color,lat,long,date
#080606,49.284042,-123.107463,003_SatJan3
#F4E8ED,49.278736,-123.112015,003_SatJan3
#020001,49.246155,-123.101036,003_SatJan3
#000200,49.283623,-123.103828,003_SatJan3
#BDC5C3,49.285029,-123.127597,003_SatJan3
#F5E7EF,49.267045,-123.068203,003_SatJan3
#070301,49.283100,-123.104393,003_SatJan3
#140408,49.270460,-123.100585,003_SatJan3
#030202,49.273353,-123.103411,003_SatJan3
#92868F,49.263038,-123.114722,003_SatJan3
#020301,49.283180,-123.114578,003_SatJan3
#F9F1F4,49.277489,-123.130630,003_SatJan3
#010101,49.299592,-123.133758,003_SatJan3
#1D1C1A,49.278542,-123.110207,003_SatJan3
#9E7082,49.281041,-123.102000,003_SatJan3
#030102,49.283100,-123.104393,003_SatJan3
#10070B,49.283573,-123.103950,003_SatJan3
#100408,49.262001,-123.070488,003_SatJan3
#040203,49.257374,-123.090424,003_SatJan3
#1C050C,49.257374,-123.090424,003_SatJan3
#F3DAE6,49.277829,-123.099403,003_SatJan3
#171610,49.284264,-123.109198,003_SatJan3
#064901,49.254256,-123.115038,003_SatJan3
#D3C9D6,49.273353,-123.103411,003_SatJan3
#0C0206,49.284981,-123.110840,003_SatJan3
#0C0809,49.272461,-123.149973,003_SatJan3
#180513,49.260937,-123.138969,003_SatJan3
#BD0719,49.284981,-123.110840,003_SatJan3
#100810,49.300000,-123.140000,003_SatJan3
#87647B,49.270833,-123.106667,003_SatJan3
#19060C,49.264014,-123.156647,003_SatJan3
#1F1012,49.285801,-123.123894,003_SatJan3
#060304,49.291870,-123.134582,003_SatJan3
#050102,49.279690,-123.097519,003_SatJan3
#FEFCFE,49.279839,-123.116882,003_SatJan3
#010000,49.246155,-123.101036,003_SatJan3
#A387A4,49.278573,-123.116909,003_SatJan3
#060101,49.254256,-123.115038,003_SatJan3
#010001,49.275276,-123.121262,003_SatJan3
#D4C2CE,49.260006,-123.138896,003_SatJan3
#080606,49.250000,-123.100000,003_SatJan3
#0D0302,49.284042,-123.107463,003_SatJan3
#020101,49.273106,-123.100279,003_SatJan3
#7D5D6D,49.283180,-123.114578,003_SatJan3
#FCFAFC,49.283314,-123.104401,003_SatJan3
#040102,49.291870,-123.134582,003_SatJan3
#130209,49.260937,-123.138969,003_SatJan3
#000100,49.262001,-123.070488,003_SatJan3
#020101,49.282051,-123.120850,003_SatJan3
#1D0E0D,49.284390,-123.109605,003_SatJan3
#A48193,49.250000,-123.100000,003_SatJan3
#020101,49.279639,-123.122613,003_SatJan3
#631108,49.282402,-123.111076,003_SatJan3
#040202,49.284042,-123.107463,003_SatJan3
#070100,49.284111,-123.111565,003_SatJan3
#A0547A,49.254256,-123.115038,003_SatJan3
#010101,49.289711,-123.116074,003_SatJan3
#090406,49.280659,-123.100861,003_SatJan3
#010B00,49.287984,-123.130875,003_SatJan3
#030102,49.234043,-123.138336,003_SatJan3
#6A0716,49.254256,-123.115038,003_SatJan3
#FAF5F8,49.254456,-123.080432,003_SatJan3
#100206,49.284390,-123.109605,003_SatJan3
#050604,49.284599,-123.108887,003_SatJan3
#130305,49.282826,-123.104485,003_SatJan3
#288948,49.284153,-123.097755,003_SatJan3
#1A1213,49.285063,-123.120397,003_SatJan3
#020403,49.300743,-123.130331,003_SatJan3
#0F070B,49.224370,-123.098519,003_SatJan3
#040001,49.266361,-123.138596,003_SatJan3
#A5B5AB,49.280212,-123.117270,003_SatJan3
#7FA491,51.297829,-117.047885,003_SatJan3
#150C00,49.279270,-123.129776,003_SatJan3
#67091F,49.276236,-123.069383,003_SatJan3
#190D08,49.285999,-123.127571,003_SatJan3
#010101,49.282556,-123.107694,003_SatJan3
#DEDFDC,49.250000,-123.100000,003_SatJan3
#0E1609,49.276809,-123.112154,003_SatJan3
#060203,49.021724,-122.808288,003_SatJan3
#040501,49.281391,-123.107781,003_SatJan3
#F8F3F6,49.277404,-123.070747,003_SatJan3
#020202,49.279270,-123.129776,003_SatJan3
#020302,49.282051,-123.120850,003_SatJan3
#F6F7F8,49.292427,-123.134285,003_SatJan3
#010000,49.282070,-123.102540,003_SatJan3
#130A06,49.285999,-123.127571,003_SatJan3
#5B5C57,49.258366,-123.097796,003_SatJan3
#FDF8FA,49.279669,-123.122709,003_SatJan3
#040502,49.283691,-123.106049,003_SatJan3
#E3C4DF,49.283718,-123.121109,003_SatJan3
#140F04,49.285999,-123.127571,003_SatJan3
#020101,49.279461,-123.122124,003_SatJan3
#010000,49.276894,-123.119896,003_SatJan3
#0E0907,49.285999,-123.127571,003_SatJan3
#FCF5FB,49.284818,-123.109329,003_SatJan3
#040102,49.263382,-123.116341,003_SatJan3
#030402,49.285999,-123.127571,003_SatJan3
#010301,49.280376,-123.113297,003_SatJan3
#1D0208,49.246710,-123.100830,003_SatJan3
#0C0D06,49.259129,-123.100769,003_SatJan3
#9A6B80,49.284098,-123.125517,003_SatJan3
#8F677F,49.250000,-123.100000,003_SatJan3
#988195,49.282051,-123.120850,003_SatJan3
#080704,49.283327,-123.119291,003_SatJan3
#E0E0DF,49.284144,-123.116244,003_SatJan3
#0E130A,49.286556,-123.142616,003_SatJan3
#1C0408,49.267956,-123.069794,003_SatJan3
#060604,49.234162,-123.153609,003_SatJan3
#020302,49.284042,-123.107463,003_SatJan3
#B6ACB9,49.285912,-123.126251,003_SatJan3
#0E0408,49.288586,-123.138726,003_SatJan3
#F0EEE9,49.282051,-123.120850,003_SatJan3
#0D0707,49.270655,-123.106396,003_SatJan3
#FDF9FB,49.279270,-123.129776,003_SatJan3
#0A6F22,49.288586,-123.138726,003_SatJan3
#0C070A,49.264251,-123.099774,003_SatJan3
#C069A6,49.250000,-123.100000,003_SatJan3
#030304,49.284159,-123.123984,003_SatJan3
#EAE8E7,49.280659,-123.100861,003_SatJan3
#040503,49.270655,-123.106396,003_SatJan3
#1E040F,49.264140,-123.100611,003_SatJan3
#F7FCF5,49.279270,-123.129776,003_SatJan3
#040001,49.261700,-123.100617,003_SatJan3
#010501,49.276979,-123.126573,003_SatJan3
#7A0D1C,49.282749,-123.109706,003_SatJan3
#D7D1D4,49.278081,-123.108029,003_SatJan3
#1C1614,49.285012,-123.119313,003_SatJan3
#060303,49.281804,-123.106025,003_SatJan3
#050504,49.278081,-123.108029,003_SatJan3
#6CC8AF,49.133300,-125.900000,003_SatJan3
#141707,49.239953,-123.068538,003_SatJan3
#F8DFFB,49.280659,-123.100861,003_SatJan3
#020103,49.282556,-123.107694,003_SatJan3
#010302,49.273220,-123.101820,003_SatJan3
#764B67,49.224370,-123.098519,003_SatJan3
#020001,49.280659,-123.100861,003_SatJan3
#040403,49.259757,-123.112279,003_SatJan3
#040101,49.284098,-123.125517,003_SatJan3
#6BCC9A,49.233352,-123.102036,003_SatJan3
#020202,49.278957,-123.123207,003_SatJan3
#040202,49.283180,-123.114578,003_SatJan3
#E9EBE4,49.275282,-123.121018,003_SatJan3
#AFB0AE,49.290437,-123.121587,003_SatJan3
#010101,49.263401,-123.117020,003_SatJan3
#7C5E6F,49.281288,-123.113140,003_SatJan3
#050203,49.283333,-123.119217,003_SatJan3
#020202,49.280659,-123.100861,003_SatJan3
#020202,49.281769,-123.133781,003_SatJan3
#AD7D9F,49.284782,-123.123183,003_SatJan3
#FBF6F9,49.281021,-123.127327,003_SatJan3
#1A0F14,49.253344,-123.082736,003_SatJan3
#F6F6F5,49.279270,-123.129776,003_SatJan3
#000102,49.279270,-123.129776,003_SatJan3
#E1011D,49.263035,-123.112511,003_SatJan3
#0C0406,49.279270,-123.129776,003_SatJan3
#9F507F,49.284782,-123.123183,003_SatJan3
#030102,49.262643,-123.101126,003_SatJan3
#030503,49.263223,-123.126127,003_SatJan3
#010402,49.300000,-123.140000,003_SatJan3
#937183,49.280289,-123.106751,003_SatJan3
#140202,49.284530,-123.123130,003_SatJan3
#030203,49.280404,-123.121227,003_SatJan3
#0C0C09,49.250000,-123.100000,003_SatJan3
#7E0D1B,49.280900,-123.120700,003_SatJan3
