color,lat,long,date
#0A1A0F,49.285106,-123.102149,008_ThuJan8
#140B0D,49.251251,-123.078478,008_ThuJan8
#050A08,49.269400,-123.123800,008_ThuJan8
#020503,49.284042,-123.107463,008_ThuJan8
#D3F3E0,49.250000,-123.100000,008_ThuJan8
#FAF8F9,49.236445,-123.139857,008_ThuJan8
#180706,49.275173,-123.120865,008_ThuJan8
#040301,49.282834,-123.120458,008_ThuJan8
#F4DAE3,49.282834,-123.120458,008_ThuJan8
#0F0208,49.284170,-123.114225,008_ThuJan8
#FBFAFB,49.282834,-123.120458,008_ThuJan8
#0B0708,49.286797,-123.142540,008_ThuJan8
#030101,49.284170,-123.114225,008_ThuJan8
#1F0613,49.283718,-123.121109,008_ThuJan8
#0C0205,49.284170,-123.114225,008_ThuJan8
#F8E5F0,49.282051,-123.120850,008_ThuJan8
#0B100E,49.285114,-123.124051,008_ThuJan8
#FDE2F1,49.279270,-123.129776,008_ThuJan8
#030402,49.269400,-123.123800,008_ThuJan8
#62C89E,22.296424,114.172307,008_ThuJan8
#878491,49.293240,-123.140152,008_ThuJan8
#010101,49.277400,-123.102766,008_ThuJan8
#EEECEC,49.219320,-123.100976,008_ThuJan8
#100404,49.284861,-123.122912,008_ThuJan8
#896683,49.260858,-123.109448,008_ThuJan8
#1A1013,49.280404,-123.121227,008_ThuJan8
#FAF5F6,49.288662,-123.131371,008_ThuJan8
#000000,49.284111,-123.111565,008_ThuJan8
#140B0D,49.283844,-123.111298,008_ThuJan8
#C32124,49.283588,-123.113770,008_ThuJan8
#F5D7E3,49.282834,-123.120458,008_ThuJan8
#020101,49.263330,-123.122480,008_ThuJan8
#ECECED,49.283718,-123.121109,008_ThuJan8
#DADADD,49.290562,-123.133602,008_ThuJan8
#020201,49.279869,-123.121490,008_ThuJan8
#F2D6E7,49.280414,-123.126281,008_ThuJan8
#010001,49.215348,-123.078833,008_ThuJan8
#DCD2D7,49.283588,-123.113770,008_ThuJan8
#E9EDE6,49.267155,-123.069608,008_ThuJan8
