color,lat,long,date
#1F0406,49.282834,-123.120458,012_MonJan12
#E0EBEB,49.254456,-123.080432,012_MonJan12
#0F0908,49.266816,-123.090111,012_MonJan12
#F2E7F0,49.241071,-123.118032,012_MonJan12
#ED88C8,49.288910,-123.131203,012_MonJan12
#8B5E6E,49.283909,-123.116691,012_MonJan12
#010201,49.259029,-123.139160,012_MonJan12
#110707,49.278969,-123.101341,012_MonJan12
#772A51,49.283333,-123.119217,012_MonJan12
#5D2640,49.283909,-123.116691,012_MonJan12
#0B0305,49.289113,-123.133989,012_MonJan12
#060204,49.283623,-123.103828,012_MonJan12
#060405,49.282501,-123.097183,012_MonJan12
#836772,49.264671,-123.114647,012_MonJan12
#080703,49.284572,-123.124657,012_MonJan12
#B7C8C2,49.278005,-123.124641,012_MonJan12
#0E0F0D,49.300743,-123.130331,012_MonJan12
#050F02,49.250000,-123.100000,012_MonJan12
#100609,49.282324,-123.104399,012_MonJan12
#010102,49.274612,-123.123344,012_MonJan12
#CEFBE6,49.248819,-123.097660,012_MonJan12
#0B0D0E,49.264671,-123.114647,012_MonJan12
#040303,49.280000,-123.099444,012_MonJan12
#DDCAD7,49.250000,-123.100000,012_MonJan12
#A01969,49.271189,-123.154923,012_MonJan12
#100806,49.249287,-123.073746,012_MonJan12
#1E1A19,49.290047,-123.128555,012_MonJan12
#020402,49.275404,-123.109266,012_MonJan12
#11030B,49.249287,-123.073746,012_MonJan12
#030303,49.268013,-123.154892,012_MonJan12
#11030B,49.249287,-123.073746,012_MonJan12
#FAF8F9,49.283909,-123.116691,012_MonJan12
#0E080A,49.263395,-123.150736,012_MonJan12
#93777F,49.278366,-123.118240,012_MonJan12
#010101,49.275404,-123.109266,012_MonJan12
#9F1959,49.278366,-123.118240,012_MonJan12
#020105,49.279705,-123.122063,012_MonJan12
#030202,49.285029,-123.127597,012_MonJan12
#F7F7F7,49.288026,-123.113001,012_MonJan12
#FCFBFC,49.284130,-123.098679,012_MonJan12
#16261D,49.286675,-123.143220,012_MonJan12
#0E0D11,49.280237,-123.123904,012_MonJan12
#EEEEEE,49.290047,-123.128555,012_MonJan12
#050105,49.279705,-123.122063,012_MonJan12
#E5DADE,49.283333,-123.119217,012_MonJan12
#0B0E0C,49.281944,-123.121944,012_MonJan12
#020202,49.263378,-123.114281,012_MonJan12
#050606,49.262500,-123.068889,012_MonJan12
#EFDEE3,49.283333,-123.119217,012_MonJan12
#171717,49.281944,-123.121944,012_MonJan12
#010401,49.280109,-123.128975,012_MonJan12
#E4E5E3,49.238990,-123.129839,012_MonJan12
#F5F3F4,49.283333,-123.119217,012_MonJan12
#030102,49.292648,-123.128988,012_MonJan12
#1B090F,49.292648,-123.128988,012_MonJan12
#010501,49.280414,-123.126281,012_MonJan12
#1B090D,49.287224,-123.113916,012_MonJan12
#C76A92,49.262520,-123.101104,012_MonJan12
#EBE9E8,49.283333,-123.119217,012_MonJan12
#F9F8F8,49.250000,-123.100000,012_MonJan12
#F6F4F3,49.284398,-123.121018,012_MonJan12
#020702,49.287224,-123.113916,012_MonJan12
#040102,49.282247,-123.122804,012_MonJan12
#040101,49.283333,-123.119217,012_MonJan12
#0C0E0A,49.280404,-123.121227,012_MonJan12
#566D54,49.270941,-123.147862,012_MonJan12
#BABCB9,49.287123,-123.142566,012_MonJan12
#050304,49.281312,-123.087722,012_MonJan12
#9A668E,49.284861,-123.122912,012_MonJan12
#020001,49.282318,-123.122810,012_MonJan12
#040402,49.288309,-123.116708,012_MonJan12
#FCFCFC,49.292465,-123.129150,012_MonJan12
#D55898,49.283336,-123.109054,012_MonJan12
#F7F2F4,49.290047,-123.128555,012_MonJan12
#549570,49.278304,-123.112944,012_MonJan12
