color,lat,long,date
#030000,49.280491,-123.120567,016_FriJan16
#050503,49.248501,-123.101471,016_FriJan16
#0B1913,49.281944,-123.121944,016_FriJan16
#985B80,49.289894,-123.128029,016_FriJan16
#AB698A,49.281605,-123.132820,016_FriJan16
#020101,49.282989,-123.124039,016_FriJan16
#979B9B,49.271856,-123.135008,016_FriJan16
#050504,49.279776,-123.109901,016_FriJan16
#160F09,49.261166,-123.108080,016_FriJan16
#050101,49.264240,-123.101410,016_FriJan16
#060501,49.250000,-123.100000,016_FriJan16
#090606,49.279776,-123.109901,016_FriJan16
#000000,49.285716,-123.124686,016_FriJan16
#FBF7FA,49.280404,-123.121227,016_FriJan16
#040505,49.279776,-123.109901,016_FriJan16
#A4B8AF,49.279776,-123.109901,016_FriJan16
#130307,49.279538,-123.100612,016_FriJan16
#D3CCD2,49.263270,-123.107360,016_FriJan16
#EAD2DF,49.279461,-123.122124,016_FriJan16
#000301,49.260307,-123.096275,016_FriJan16
#E8E9E9,49.261832,-123.255546,016_FriJan16
#0C0405,49.285133,-123.101858,016_FriJan16
#846E88,49.289711,-123.116074,016_FriJan16
#1E0605,49.280491,-123.120567,016_FriJan16
#020201,49.289112,-123.132057,016_FriJan16
#EEE3E3,49.279538,-123.100612,016_FriJan16
#92285C,49.267721,-123.096821,016_FriJan16
#4E0E22,49.269859,-123.137917,016_FriJan16
#B7146F,36.112834,-115.175292,016_FriJan16
#040403,49.279639,-123.122613,016_FriJan16
#FDF5FB,49.268242,-123.152428,016_FriJan16
#000101,49.250000,-123.100000,016_FriJan16
#000000,49.283119,-123.103912,016_FriJan16
#650A18,49.281548,-123.123627,016_FriJan16
#020101,49.282673,-123.118187,016_FriJan16
#121208,49.282663,-123.124930,016_FriJan16
#180407,49.274157,-123.119139,016_FriJan16
#0A2511,49.246155,-123.101036,016_FriJan16
#040303,49.280491,-123.120567,016_FriJan16
#B09B9F,49.289711,-123.116074,016_FriJan16
#EDB4CE,49.246155,-123.101036,016_FriJan16
#010000,49.287224,-123.113916,016_FriJan16
#705867,49.257198,-123.100853,016_FriJan16
#A7BCAF,49.262669,-123.102570,016_FriJan16
#98577F,49.250966,-123.098064,016_FriJan16
#FCFBFC,49.278038,-123.109234,016_FriJan16
#F9FCFB,49.184085,-123.133361,016_FriJan16
#131111,49.289711,-123.116074,016_FriJan16
#010101,49.278566,-123.099695,016_FriJan16
