color,lat,long,date
#6C6C73,49.250000,-123.100000,021_WedJan21
#BCE1B6,49.280212,-123.117270,021_WedJan21
#030001,49.247667,-123.127328,021_WedJan21
#9A687E,49.278688,-123.110505,021_WedJan21
#3C2D31,49.250000,-123.100000,021_WedJan21
#0A0506,49.268456,-123.069511,021_WedJan21
#040F08,49.250000,-123.100000,021_WedJan21
#1B0811,49.287334,-123.128918,021_WedJan21
#020101,49.270183,-123.074430,021_WedJan21
#030502,49.277401,-123.120397,021_WedJan21
#050406,49.285961,-123.124161,021_WedJan21
#EBEAEA,49.275960,-123.121640,021_WedJan21
#B96E9F,49.274216,-123.127068,021_WedJan21
#0F080A,49.286289,-123.136101,021_WedJan21
#0E0106,49.287842,-123.116341,021_WedJan21
#B7A6AE,49.281638,-123.125167,021_WedJan21
#78AB9F,49.279259,-123.089915,021_WedJan21
#8E7A86,49.250000,-123.100000,021_WedJan21
#010201,49.264895,-123.069458,021_WedJan21
#EDEBEA,49.288937,-123.133055,021_WedJan21
#9D5A7F,49.284225,-123.109016,021_WedJan21
#060203,49.250000,-123.100000,021_WedJan21
#D4BFCD,49.286905,-123.129728,021_WedJan21
#1C1C16,49.240291,-123.089624,021_WedJan21
#13020B,49.260006,-123.138896,021_WedJan21
#EDEFED,49.286905,-123.129728,021_WedJan21
#040405,49.290313,-123.114175,021_WedJan21
#0D0C0B,49.282183,-123.108512,021_WedJan21
#010001,49.282750,-123.109100,021_WedJan21
#A86A7F,49.286675,-123.143220,021_WedJan21
#A697AA,49.276089,-123.119293,021_WedJan21
#DF5F9A,49.283100,-123.104393,021_WedJan21
#020602,49.300000,-123.140000,021_WedJan21
#010101,49.282402,-123.111076,021_WedJan21
#120905,49.289967,-123.132828,021_WedJan21
#14060C,49.250000,-123.100000,021_WedJan21
#170409,49.288910,-123.131203,021_WedJan21
#C9C2CC,49.278304,-123.112944,021_WedJan21
#171918,49.279270,-123.129776,021_WedJan21
#466C5D,49.286675,-123.143220,021_WedJan21
#FAF4F4,49.275837,-123.122124,021_WedJan21
#1A1E1B,49.278304,-123.112944,021_WedJan21
#895977,49.282834,-123.120458,021_WedJan21
#EE9EC6,49.283108,-123.118874,021_WedJan21
#ECE2E7,49.270340,-123.141370,021_WedJan21
#030401,49.282749,-123.109100,021_WedJan21
#160710,49.282749,-123.109100,021_WedJan21
#FAFBF9,49.260307,-123.096275,021_WedJan21
#E8D9E7,49.268967,-123.102936,021_WedJan21
#8F7A86,49.288390,-123.130570,021_WedJan21
#677B62,49.288128,-123.114868,021_WedJan21
#15883E,49.280731,-123.125784,021_WedJan21
#020101,49.289967,-123.132828,021_WedJan21
#5B5C6A,49.286906,-123.109314,021_WedJan21
#070501,49.277206,-123.126526,021_WedJan21
#7B0F10,49.279843,-123.117194,021_WedJan21
#0D0203,49.282051,-123.107887,021_WedJan21
#D64DA9,49.284962,-123.124396,021_WedJan21
#5B5D57,49.278363,-123.115206,021_WedJan21
#BB84A0,49.280804,-123.107742,021_WedJan21
#0C0F10,49.284264,-123.109198,021_WedJan21
#040302,49.282051,-123.107887,021_WedJan21
#101806,49.288128,-123.114868,021_WedJan21
#20070C,49.283718,-123.121109,021_WedJan21
#ECD5E6,49.279776,-123.109901,021_WedJan21
#010101,49.300000,-123.140000,021_WedJan21
#080304,49.283718,-123.121109,021_WedJan21
#EBC8EC,49.283718,-123.121109,021_WedJan21
#C63C77,49.283718,-123.121109,021_WedJan21
#0A0807,49.288248,-123.118069,021_WedJan21
#030604,49.280781,-123.132072,021_WedJan21
#070102,49.282051,-123.107887,021_WedJan21
#000F01,49.273751,-123.154815,021_WedJan21
#DD9DC9,49.257374,-123.090424,021_WedJan21
#140507,49.283718,-123.121109,021_WedJan21
#1D0D13,49.279270,-123.129776,021_WedJan21
#0E0509,49.283718,-123.121109,021_WedJan21
#090606,49.283718,-123.121109,021_WedJan21
#0B0305,49.257374,-123.090424,021_WedJan21
#B17594,49.300000,-123.140000,021_WedJan21
#030101,49.250000,-123.100000,021_WedJan21
#F5F3F7,49.286675,-123.143220,021_WedJan21
#060601,49.242550,-123.073277,021_WedJan21
#000000,49.285137,-123.063003,021_WedJan21
#090305,49.285961,-123.124161,021_WedJan21
#AE1F60,49.288383,-123.112904,021_WedJan21
#150606,49.282834,-123.120458,021_WedJan21
#FAEBF4,49.250000,-123.100000,021_WedJan21
#07140C,49.284572,-123.124657,021_WedJan21
#060C07,49.292648,-123.128988,021_WedJan21
#010501,49.279270,-123.129776,021_WedJan21
#050802,49.242039,-123.111942,021_WedJan21
#EBD9E2,49.264413,-123.136799,021_WedJan21
#030302,49.282985,-123.115698,021_WedJan21
#060706,49.280404,-123.121227,021_WedJan21
#030402,49.283718,-123.121109,021_WedJan21
#F6E1EA,49.281263,-123.116337,021_WedJan21
#080306,49.279178,-123.131025,021_WedJan21
#12090E,49.265881,-123.138901,021_WedJan21
#050D08,49.276440,-123.104738,021_WedJan21
#030604,49.283770,-123.126120,021_WedJan21
#83A992,49.277437,-123.123244,021_WedJan21
#769384,49.283770,-123.126120,021_WedJan21
#E0DDDB,49.275723,-123.128128,021_WedJan21
#0F0308,49.300000,-123.140000,021_WedJan21
#010101,49.283484,-123.104265,021_WedJan21
#23151C,49.283718,-123.121109,021_WedJan21
#604A4E,49.288128,-123.114868,021_WedJan21
#C4BAC5,49.250000,-123.100000,021_WedJan21
#060304,49.283035,-123.115830,021_WedJan21
#040706,49.284714,-123.098921,021_WedJan21
#1D0D09,49.280414,-123.126281,021_WedJan21
#DDD2D6,49.267021,-123.113693,021_WedJan21
#B3B1B4,49.270189,-123.137231,021_WedJan21
#EADFE6,49.276134,-123.121269,021_WedJan21
#1C201F,49.284599,-123.108887,021_WedJan21
#90909D,49.271856,-123.135008,021_WedJan21
#010301,49.300000,-123.140000,021_WedJan21
#020001,49.284599,-123.108887,021_WedJan21
#091109,49.286675,-123.143220,021_WedJan21
#FCFCFC,49.264648,-123.104024,021_WedJan21
#B8648C,49.280796,-123.117943,021_WedJan21
#424143,49.278304,-123.112944,021_WedJan21
#FAF3F7,49.156247,-123.132017,021_WedJan21
#020202,49.290437,-123.121587,021_WedJan21
#040202,49.284599,-123.108887,021_WedJan21
#060401,49.280796,-123.117943,021_WedJan21
#110102,49.265408,-123.087294,021_WedJan21
#120809,49.266762,-123.105797,021_WedJan21
#E0DDDF,49.283726,-123.109711,021_WedJan21
#0D0909,49.264199,-123.120294,021_WedJan21
#F8E0EC,49.266151,-123.152603,021_WedJan21
#010101,49.226855,-123.121408,021_WedJan21
#040303,49.266072,-123.077645,021_WedJan21
#FDFCFE,49.258983,-123.123843,021_WedJan21
#090909,49.282556,-123.107694,021_WedJan21
#09120B,49.282051,-123.120850,021_WedJan21
#4BBB63,49.275959,-123.119938,021_WedJan21
#91918A,49.300000,-123.140000,021_WedJan21
#020803,49.277382,-123.118172,021_WedJan21
#050605,49.271856,-123.135008,021_WedJan21
#030402,49.269400,-123.123800,021_WedJan21
#010101,49.272015,-123.125992,021_WedJan21
#040504,49.289711,-123.116074,021_WedJan21
#020101,49.292648,-123.128988,021_WedJan21
#4B0E22,49.267151,-123.069663,021_WedJan21
#202421,49.250000,-123.100000,021_WedJan21
#020201,49.274490,-123.127708,021_WedJan21
#201315,49.273353,-123.103411,021_WedJan21
#020102,49.242222,-123.115000,021_WedJan21
#010101,49.264286,-123.116142,021_WedJan21
#8D6487,49.280371,-123.129529,021_WedJan21
#030101,49.282905,-123.106369,021_WedJan21
#DCFCCC,49.259603,-123.070535,021_WedJan21
#040101,49.276331,-123.132814,021_WedJan21
#050201,49.270833,-123.106667,021_WedJan21
#A66E88,49.263693,-123.101289,021_WedJan21
#D8CCD1,49.262642,-123.115082,021_WedJan21
#A17570,49.274373,-123.117753,021_WedJan21
#110F11,49.272625,-123.135620,021_WedJan21
#13150D,49.289711,-123.116074,021_WedJan21
#010101,49.262500,-123.068889,021_WedJan21
#F5E7ED,49.282834,-123.120458,021_WedJan21
#050404,49.288555,-123.132464,021_WedJan21
#030202,49.273106,-123.100279,021_WedJan21
#020001,49.286906,-123.109314,021_WedJan21
#131C11,49.279781,-123.105583,021_WedJan21
#12090B,49.288128,-123.114868,021_WedJan21
#160A03,49.276236,-123.069383,021_WedJan21
#0A0704,49.283129,-123.105364,021_WedJan21
#000901,49.275960,-123.121640,021_WedJan21
#EDDBDF,49.219387,-123.100953,021_WedJan21
#1C140B,49.269400,-123.123800,021_WedJan21
