color,lat,long,date
#A8867E,49.242224,-123.083007,025_SunJan25
#120207,49.254256,-123.115038,025_SunJan25
#1B0406,49.273338,-123.119461,025_SunJan25
#190910,49.280804,-123.107742,025_SunJan25
#010401,49.278149,-123.125290,025_SunJan25
#080705,49.278652,-123.128220,025_SunJan25
#BBB5B6,49.276894,-123.119896,025_SunJan25
#A8798E,49.225330,-123.112343,025_SunJan25
#040201,49.270655,-123.106396,025_SunJan25
#F5CFE5,49.263525,-123.128147,025_SunJan25
#010302,49.280659,-123.100861,025_SunJan25
#000200,49.275404,-123.109266,025_SunJan25
#110909,49.280796,-123.117943,025_SunJan25
#010202,49.282324,-123.104399,025_SunJan25
#020302,49.284111,-123.111565,025_SunJan25
#000100,49.275404,-123.109266,025_SunJan25
#030102,49.279538,-123.100612,025_SunJan25
#E1C4C2,49.283119,-123.103912,025_SunJan25
#100A07,49.274570,-123.122165,025_SunJan25
#09790B,49.275404,-123.109266,025_SunJan25
#030503,49.281582,-123.132782,025_SunJan25
#000100,49.275404,-123.109266,025_SunJan25
#010400,49.276524,-123.100084,025_SunJan25
#040101,49.274007,-123.069683,025_SunJan25
#050501,49.275173,-123.120865,025_SunJan25
#130B06,49.279755,-123.121728,025_SunJan25
#040303,49.275593,-123.122135,025_SunJan25
#93517A,49.281704,-123.104149,025_SunJan25
#FBFBFB,49.261876,-123.115915,025_SunJan25
#FFFEFE,49.280404,-123.121227,025_SunJan25
#030203,49.280404,-123.121227,025_SunJan25
#0B1107,49.283119,-123.103912,025_SunJan25
#D9DEEB,49.260006,-123.138896,025_SunJan25
#010201,49.289711,-123.116074,025_SunJan25
#050401,49.283484,-123.104265,025_SunJan25
#130605,49.273338,-123.119461,025_SunJan25
#EFDDE7,49.291050,-123.136494,025_SunJan25
#000200,49.275404,-123.109266,025_SunJan25
#040101,49.271221,-123.135757,025_SunJan25
#020501,49.274391,-123.069328,025_SunJan25
#620A1A,49.282661,-123.109276,025_SunJan25
#010000,49.276524,-123.100084,025_SunJan25
#020202,49.276979,-123.126573,025_SunJan25
#E8CFE6,49.276454,-123.118826,025_SunJan25
#5E621E,49.275404,-123.109266,025_SunJan25
#030202,49.250000,-123.100000,025_SunJan25
#566253,49.282051,-123.120850,025_SunJan25
#12180B,49.283909,-123.116691,025_SunJan25
#060605,49.275391,-123.121071,025_SunJan25
#F8F5F8,49.288648,-123.133155,025_SunJan25
#C8AEC7,49.255885,-123.109490,025_SunJan25
#020202,49.284679,-123.111893,025_SunJan25
#EBA6C6,49.271221,-123.135757,025_SunJan25
#5E0903,49.260307,-123.096275,025_SunJan25
#050503,49.273353,-123.103411,025_SunJan25
#F7F8F6,49.280414,-123.126281,025_SunJan25
#050103,49.279776,-123.109901,025_SunJan25
#19090D,49.260937,-123.138969,025_SunJan25
#030303,49.283630,-123.106369,025_SunJan25
#030101,49.284042,-123.107463,025_SunJan25
#010101,49.292465,-123.129150,025_SunJan25
#090E0A,49.281329,-123.133218,025_SunJan25
#F9F4F8,49.281990,-123.124237,025_SunJan25
#815C7B,49.276894,-123.119896,025_SunJan25
#060705,49.282070,-123.102540,025_SunJan25
#10070A,49.264456,-123.069657,025_SunJan25
#895E72,49.249290,-123.089996,025_SunJan25
#010400,49.271744,-123.105446,025_SunJan25
#070201,49.275404,-123.109266,025_SunJan25
#040000,49.275404,-123.109266,025_SunJan25
#71051D,49.291500,-123.135147,025_SunJan25
#FAF1F7,49.275593,-123.122135,025_SunJan25
#EEE9F0,49.279776,-123.109901,025_SunJan25
#0D0807,49.283642,-123.122963,025_SunJan25
#010302,49.275404,-123.109266,025_SunJan25
#040404,49.275404,-123.109266,025_SunJan25
#070706,49.285099,-123.114316,025_SunJan25
#010101,49.268940,-123.098877,025_SunJan25
#FFFFFF,49.283745,-123.104880,025_SunJan25
#17080B,49.285961,-123.124161,025_SunJan25
#030403,49.280720,-123.121391,025_SunJan25
#FAE1F4,49.282989,-123.124039,025_SunJan25
#6C0416,49.291500,-123.135147,025_SunJan25
#A67AA3,49.283336,-123.109054,025_SunJan25
#020202,49.279792,-123.121269,025_SunJan25
#010001,49.288693,-123.115773,025_SunJan25
#020301,49.283100,-123.104393,025_SunJan25
#B6496E,49.290016,-123.133453,025_SunJan25
#030201,49.283695,-123.106071,025_SunJan25
#8D8080,49.282501,-123.109139,025_SunJan25
#060303,49.279776,-123.109901,025_SunJan25
#020101,49.288500,-123.130810,025_SunJan25
#010101,49.279885,-123.130637,025_SunJan25
#18080E,49.273640,-123.118431,025_SunJan25
#010101,49.288693,-123.115773,025_SunJan25
#060303,49.283352,-123.122070,025_SunJan25
#030302,49.281021,-123.127327,025_SunJan25
#010101,49.277706,-123.125633,025_SunJan25
#130F0B,49.275527,-123.120823,025_SunJan25
#EDE9EB,49.260307,-123.096275,025_SunJan25
#9F4870,49.284439,-123.123016,025_SunJan25
#010101,49.280659,-123.100861,025_SunJan25
#031203,49.278038,-123.109234,025_SunJan25
#120703,49.279669,-123.122709,025_SunJan25
#010100,49.282070,-123.102540,025_SunJan25
#030602,49.284572,-123.124657,025_SunJan25
#030401,49.281021,-123.127327,025_SunJan25
#0A0608,49.288396,-123.130503,025_SunJan25
#060301,49.279776,-123.109901,025_SunJan25
#010001,49.280841,-123.120544,025_SunJan25
#245505,49.275404,-123.109266,025_SunJan25
#160D0A,49.265535,-123.145107,025_SunJan25
