color,lat,long,date
#FBEBF2,49.287655,-123.129242,027_TueJan27
#010101,49.286477,-123.118190,027_TueJan27
#020403,49.281944,-123.121944,027_TueJan27
#E36D9B,49.282826,-123.104485,027_TueJan27
#030704,49.288160,-123.116580,027_TueJan27
#1B0508,49.282826,-123.104485,027_TueJan27
#180506,49.259129,-123.100769,027_TueJan27
#030202,49.280404,-123.121227,027_TueJan27
#CCCACB,49.281370,-123.101870,027_TueJan27
#070604,49.276524,-123.100084,027_TueJan27
#7B9FA0,49.268616,-123.118454,027_TueJan27
#AA8B8D,49.283890,-123.104950,027_TueJan27
#661112,49.283100,-123.104393,027_TueJan27
#090509,49.268013,-123.154892,027_TueJan27
#070503,49.283100,-123.104393,027_TueJan27
#030404,49.300000,-123.140000,027_TueJan27
#E7E2E7,49.288481,-123.113243,027_TueJan27
#0E0B0F,49.286477,-123.118190,027_TueJan27
#F7D5FA,49.288586,-123.138726,027_TueJan27
#0D0405,49.263427,-123.136850,027_TueJan27
#0D0607,49.282892,-123.108087,027_TueJan27
#050400,49.223792,-123.091192,027_TueJan27
#040304,49.273353,-123.103411,027_TueJan27
#211624,49.300000,-123.140000,027_TueJan27
#120906,49.280339,-123.124896,027_TueJan27
#7D0213,49.264456,-123.069657,027_TueJan27
#C595A9,49.278412,-123.129800,027_TueJan27
#DF819C,49.275173,-123.120865,027_TueJan27
#010000,49.287842,-123.116341,027_TueJan27
#581656,49.283098,-123.117951,027_TueJan27
#9E758E,49.289613,-123.132758,027_TueJan27
#0F0509,49.264671,-123.114647,027_TueJan27
#FEFCFD,49.264456,-123.069657,027_TueJan27
#0E0B11,49.271484,-123.106384,027_TueJan27
#060C05,49.273353,-123.103411,027_TueJan27
#1F1C22,49.272625,-123.135620,027_TueJan27
#050104,49.275173,-123.120865,027_TueJan27
#060404,49.290437,-123.121587,027_TueJan27
#DC6E97,49.275173,-123.120865,027_TueJan27
#110206,49.283100,-123.104393,027_TueJan27
#EFB9CC,49.275173,-123.120865,027_TueJan27
#620A1E,49.282051,-123.107887,027_TueJan27
#060606,49.224760,-123.107897,027_TueJan27
#977384,49.275391,-123.121071,027_TueJan27
#0D0508,49.234704,-123.157735,027_TueJan27
#12160C,49.284042,-123.107463,027_TueJan27
#090808,49.281271,-123.098454,027_TueJan27
#7C8F7F,49.250000,-123.100000,027_TueJan27
#060A07,49.250000,-123.100000,027_TueJan27
#FCFDFD,49.278705,-123.113756,027_TueJan27
#08080A,43.128132,77.081920,027_TueJan27
#AC9B9E,49.288396,-123.130503,027_TueJan27
#060503,49.275391,-123.121071,027_TueJan27
#060504,49.284439,-123.123016,027_TueJan27
#020001,49.277206,-123.126526,027_TueJan27
#DFEFE9,49.300000,-123.140000,027_TueJan27
#A5A8BE,49.284145,-123.137293,027_TueJan27
#B782AB,49.275391,-123.121071,027_TueJan27
#EEF3EF,49.300000,-123.140000,027_TueJan27
#1A0307,49.280960,-123.077370,027_TueJan27
#010101,49.250000,-123.100000,027_TueJan27
#859A8B,49.263740,-123.129799,027_TueJan27
#88A6A7,49.250000,-123.100000,027_TueJan27
#7A5F87,49.272312,-123.128288,027_TueJan27
#040805,49.250000,-123.100000,027_TueJan27
#050301,49.275391,-123.121071,027_TueJan27
#A599A6,49.263740,-123.129799,027_TueJan27
#050301,49.284695,-123.119241,027_TueJan27
#070906,49.263427,-123.136850,027_TueJan27
#20B256,49.286675,-123.143220,027_TueJan27
#855C75,49.275391,-123.121071,027_TueJan27
#F9F7F8,49.300000,-123.140000,027_TueJan27
#060101,49.285719,-123.116375,027_TueJan27
#E1DEDE,49.282051,-123.120850,027_TueJan27
#A99FA9,49.263740,-123.129799,027_TueJan27
#010101,49.280491,-123.120567,027_TueJan27
#4D142B,49.285833,-123.111667,027_TueJan27
#6D5A6F,49.263740,-123.129799,027_TueJan27
#5F1613,49.263870,-123.137611,027_TueJan27
#120204,49.256138,-123.101051,027_TueJan27
#6F4762,49.263740,-123.129799,027_TueJan27
