color,lat,long,date
#7A636E,49.274307,-123.123518,035_WedFeb4
#1D040B,49.249427,-123.101099,035_WedFeb4
#060000,49.280491,-123.120567,035_WedFeb4
#670315,49.271798,-123.134801,035_WedFeb4
#020101,49.284042,-123.107463,035_WedFeb4
#060604,49.284759,-123.122697,035_WedFeb4
#050305,49.300000,-123.140000,035_WedFeb4
#030302,49.282834,-123.120458,035_WedFeb4
#F5F7F7,49.242222,-123.115000,035_WedFeb4
#692646,49.270833,-123.106667,035_WedFeb4
#8E566D,49.287334,-123.128918,035_WedFeb4
#ACACAC,49.279259,-123.101677,035_WedFeb4
#2B0810,49.271798,-123.134801,035_WedFeb4
#0E1B08,49.278038,-123.109234,035_WedFeb4
#BE95AD,49.270833,-123.106667,035_WedFeb4
#18100A,49.280491,-123.120567,035_WedFeb4
#150A13,49.264251,-123.099774,035_WedFeb4
#010101,49.278038,-123.109234,035_WedFeb4
#150105,49.271798,-123.134801,035_WedFeb4
#EAF2E9,49.279259,-123.101677,035_WedFeb4
#010102,49.282067,-123.128195,035_WedFeb4
#010101,49.278038,-123.109234,035_WedFeb4
#0B0604,49.283367,-123.116333,035_WedFeb4
#020202,49.278038,-123.109234,035_WedFeb4
#060101,49.261418,-123.138477,035_WedFeb4
#020101,49.281067,-123.102051,035_WedFeb4
#020303,49.250000,-123.100000,035_WedFeb4
#CEBAC3,49.271034,-123.133629,035_WedFeb4
#926081,49.279270,-123.129776,035_WedFeb4
#020102,49.278038,-123.109234,035_WedFeb4
#72AF9B,49.250000,-123.100000,035_WedFeb4
#050505,49.280491,-123.120567,035_WedFeb4
#130307,49.266222,-123.139545,035_WedFeb4
#F6ECF0,49.279810,-123.121969,035_WedFeb4
#CFBACA,49.284153,-123.097755,035_WedFeb4
#13100D,49.231699,-123.117155,035_WedFeb4
#040102,49.266361,-123.138596,035_WedFeb4
#070204,49.280491,-123.120567,035_WedFeb4
#1E161D,49.250000,-123.100000,035_WedFeb4
#010001,49.269400,-123.123800,035_WedFeb4
#5C0602,49.281204,-123.120316,035_WedFeb4
#5F5B61,49.282834,-123.120458,035_WedFeb4
#030302,49.227900,-123.106679,035_WedFeb4
#050705,49.250000,-123.100000,035_WedFeb4
#0F0103,49.271798,-123.134801,035_WedFeb4
#BDCDBF,49.096181,-123.413336,035_WedFeb4
#020302,49.280491,-123.120567,035_WedFeb4
#FBFAFB,49.293286,-123.139987,035_WedFeb4
#806172,49.284867,-123.125238,035_WedFeb4
#030402,49.278038,-123.109234,035_WedFeb4
