color,lat,long,date
#030303,49.278014,-123.109052,036_ThuFeb5
#010601,49.277991,-123.109338,036_ThuFeb5
#0B0204,49.284153,-123.097755,036_ThuFeb5
#0F0809,49.278014,-123.109052,036_ThuFeb5
#0A0306,49.284782,-123.123183,036_ThuFeb5
#010201,49.278038,-123.109234,036_ThuFeb5
#010101,49.278038,-123.109234,036_ThuFeb5
#020202,49.278038,-123.109234,036_ThuFeb5
#FCF9FA,49.278038,-123.109234,036_ThuFeb5
#010100,49.278038,-123.109234,036_ThuFeb5
#020101,49.278038,-123.109234,036_ThuFeb5
#100707,49.273313,-123.126274,036_ThuFeb5
#1DDD62,49.278014,-123.109052,036_ThuFeb5
#000201,49.278014,-123.109052,036_ThuFeb5
#050101,49.278778,-123.126000,036_ThuFeb5
#FEFEFE,49.278038,-123.109234,036_ThuFeb5
#F7EFF6,49.276100,-123.121140,036_ThuFeb5
#000000,49.278014,-123.109052,036_ThuFeb5
#7C7077,49.279947,-123.116552,036_ThuFeb5
#FEFEFE,49.278014,-123.109052,036_ThuFeb5
#030001,49.264019,-123.105309,036_ThuFeb5
#000800,49.278038,-123.109234,036_ThuFeb5
#010201,49.278038,-123.109234,036_ThuFeb5
#010101,49.278038,-123.109234,036_ThuFeb5
#1A090B,49.283726,-123.109711,036_ThuFeb5
#200D0A,49.283981,-123.105431,036_ThuFeb5
#010201,49.278038,-123.109234,036_ThuFeb5
#B15C82,49.282791,-123.104782,036_ThuFeb5
#17231C,49.278038,-123.109234,036_ThuFeb5
#040600,49.278038,-123.109234,036_ThuFeb5
#060403,49.278038,-123.109234,036_ThuFeb5
#FDFDFE,49.278138,-123.109302,036_ThuFeb5
#076A0C,49.278038,-123.109234,036_ThuFeb5
#1A2617,49.278038,-123.109234,036_ThuFeb5
#624F60,49.288128,-123.114868,036_ThuFeb5
#010001,49.278038,-123.109234,036_ThuFeb5
#14111A,49.282375,-123.110000,036_ThuFeb5
#682912,49.289822,-123.127922,036_ThuFeb5
#A3B19E,49.249685,-123.095554,036_ThuFeb5
#925D7F,49.277991,-123.109338,036_ThuFeb5
#010201,49.278038,-123.109234,036_ThuFeb5
#E573A5,49.289822,-123.127922,036_ThuFeb5
#020201,49.278038,-123.109234,036_ThuFeb5
#000000,49.278038,-123.109234,036_ThuFeb5
#090304,49.258038,-123.127075,036_ThuFeb5
#000001,49.277991,-123.109338,036_ThuFeb5
#020203,49.278038,-123.109234,036_ThuFeb5
#00D027,49.278038,-123.109234,036_ThuFeb5
