color,lat,long,date
#0A0B02,49.280100,-123.112800,038_SatFeb7
#010101,49.282688,-123.104805,038_SatFeb7
#B98498,49.266094,-123.069832,038_SatFeb7
#020101,49.264205,-123.120286,038_SatFeb7
#000100,49.279270,-123.129776,038_SatFeb7
#040202,49.283220,-123.119157,038_SatFeb7
#030101,49.282051,-123.107887,038_SatFeb7
#972354,49.283981,-123.105431,038_SatFeb7
#050102,49.276100,-123.121140,038_SatFeb7
#061D07,49.287842,-123.116341,038_SatFeb7
#DEB8D1,49.288349,-123.122169,038_SatFeb7
#EAE9E1,49.288396,-123.130503,038_SatFeb7
#050302,49.270634,-123.069466,038_SatFeb7
#030201,49.281982,-123.116661,038_SatFeb7
#010101,49.282688,-123.104805,038_SatFeb7
#050402,49.266361,-123.138596,038_SatFeb7
#F9FAF9,49.278014,-123.109052,038_SatFeb7
#FDF7FA,49.279610,-123.113098,038_SatFeb7
#C385A4,49.280552,-123.101929,038_SatFeb7
#665159,49.278774,-123.124023,038_SatFeb7
#010100,49.278014,-123.109052,038_SatFeb7
#C66BAB,49.282324,-123.104399,038_SatFeb7
#F8F3F7,49.248970,-123.101204,038_SatFeb7
#010101,49.279270,-123.129776,038_SatFeb7
#F4DBF1,49.284069,-123.090881,038_SatFeb7
#F4F6F8,21.006241,-89.576176,038_SatFeb7
#1C0506,49.262890,-123.115850,038_SatFeb7
#AE74A5,49.285683,-123.124107,038_SatFeb7
#080806,49.268679,-123.071934,038_SatFeb7
#934D7A,49.276952,-123.081476,038_SatFeb7
#0E0E01,49.280350,-123.122208,038_SatFeb7
#030202,49.278014,-123.109052,038_SatFeb7
#040603,49.285183,-123.124852,038_SatFeb7
#030604,49.271856,-123.135008,038_SatFeb7
#010101,49.279270,-123.129776,038_SatFeb7
#020102,49.280404,-123.121227,038_SatFeb7
#0E0406,49.282855,-123.115228,038_SatFeb7
#B97193,49.288414,-123.130440,038_SatFeb7
#EDEDEF,49.286675,-123.143220,038_SatFeb7
#0E1510,49.282909,-123.121910,038_SatFeb7
#000000,49.278038,-123.109234,038_SatFeb7
#140E08,49.266361,-123.138596,038_SatFeb7
#010201,49.281436,-123.100982,038_SatFeb7
#040102,49.271856,-123.135008,038_SatFeb7
#020101,49.279828,-123.121642,038_SatFeb7
#AB2A50,49.280100,-123.112800,038_SatFeb7
#060103,49.262215,-123.074150,038_SatFeb7
#FDFDFD,49.269400,-123.123800,038_SatFeb7
#0A0A07,49.283691,-123.103455,038_SatFeb7
#E796DB,49.259757,-123.112279,038_SatFeb7
#000000,49.278038,-123.109234,038_SatFeb7
#060705,49.280100,-123.112800,038_SatFeb7
#030202,49.278038,-123.109234,038_SatFeb7
#EDE4E8,49.284313,-123.095337,038_SatFeb7
#0E1005,49.280100,-123.112800,038_SatFeb7
#040204,49.288641,-123.112765,038_SatFeb7
#020101,49.278038,-123.109234,038_SatFeb7
#030201,49.278038,-123.109234,038_SatFeb7
