color,lat,long,date
#211A1D,49.269955,-123.108247,039_SunFeb8
#050200,49.278645,-123.098022,039_SunFeb8
#B984A0,49.262642,-123.115082,039_SunFeb8
#DFDEDC,49.278038,-123.109234,039_SunFeb8
#120A09,49.278529,-123.098299,039_SunFeb8
#010101,49.274559,-123.122650,039_SunFeb8
#BCB4B4,49.278038,-123.109234,039_SunFeb8
#000000,49.281804,-123.106025,039_SunFeb8
#EADCE4,49.250000,-123.100000,039_SunFeb8
#795D6C,49.283691,-123.103455,039_SunFeb8
#020102,49.281043,-123.107540,039_SunFeb8
#0A1106,49.280796,-123.117943,039_SunFeb8
#020001,49.274373,-123.117753,039_SunFeb8
#180A14,49.242477,-123.089092,039_SunFeb8
#150407,49.282478,-123.112060,039_SunFeb8
#E4E1E4,49.289211,-123.126372,039_SunFeb8
#FBD6F8,49.285290,-123.122795,039_SunFeb8
#000201,49.300000,-123.140000,039_SunFeb8
#100308,49.260937,-123.138969,039_SunFeb8
#000200,49.284111,-123.111565,039_SunFeb8
#A07184,49.283691,-123.103455,039_SunFeb8
#926D81,49.226389,-123.116111,039_SunFeb8
#010001,49.281804,-123.106025,039_SunFeb8
#241618,49.269031,-123.131782,039_SunFeb8
#000200,49.284111,-123.111565,039_SunFeb8
#F7F1F3,49.280796,-123.117943,039_SunFeb8
#070807,49.280491,-123.120567,039_SunFeb8
#C4B4BA,49.278038,-123.109234,039_SunFeb8
#E1DBDD,49.271856,-123.135008,039_SunFeb8
#EDEEED,49.278038,-123.109234,039_SunFeb8
#D0CDC7,49.278038,-123.109234,039_SunFeb8
#010500,49.284111,-123.111565,039_SunFeb8
#E1D8E0,49.281959,-123.106224,039_SunFeb8
#030202,49.289711,-123.116074,039_SunFeb8
#000200,49.284111,-123.111565,039_SunFeb8
#A5070E,49.284000,-123.122383,039_SunFeb8
#040A03,49.279309,-123.102247,039_SunFeb8
#010301,49.281312,-123.087722,039_SunFeb8
#F9F9FA,49.282811,-123.123575,039_SunFeb8
#0B0A09,49.282755,-123.108281,039_SunFeb8
#000000,49.284111,-123.111565,039_SunFeb8
#000100,49.284111,-123.111565,039_SunFeb8
#150E13,49.282219,-123.134659,039_SunFeb8
#68071F,49.278529,-123.098299,039_SunFeb8
#F5E0E9,49.250000,-123.100000,039_SunFeb8
#875A6A,49.282834,-123.120458,039_SunFeb8
#040201,49.270340,-123.069964,039_SunFeb8
#EAEDEC,49.278304,-123.112944,039_SunFeb8
#050605,49.279461,-123.122124,039_SunFeb8
#120608,49.268014,-123.150206,039_SunFeb8
#020701,49.283623,-123.103828,039_SunFeb8
#010101,49.278038,-123.109234,039_SunFeb8
#21060E,49.284222,-123.100403,039_SunFeb8
#FAF2F9,49.250000,-123.100000,039_SunFeb8
#040101,49.284531,-123.108809,039_SunFeb8
#040403,49.287452,-123.114704,039_SunFeb8
#010400,49.284111,-123.111565,039_SunFeb8
#020401,49.285199,-123.111159,039_SunFeb8
#C5C1C0,49.293286,-123.139987,039_SunFeb8
#13010A,49.287452,-123.114704,039_SunFeb8
#060200,49.283375,-123.102371,039_SunFeb8
#090607,49.288311,-123.116730,039_SunFeb8
#DFC7E0,49.287452,-123.114704,039_SunFeb8
#040303,49.275593,-123.122135,039_SunFeb8
#040202,49.285739,-123.123934,039_SunFeb8
#000100,49.284111,-123.111565,039_SunFeb8
#000300,49.280491,-123.120567,039_SunFeb8
#E6E1E2,49.282675,-123.106064,039_SunFeb8
#000000,49.279519,-123.115608,039_SunFeb8
#000200,49.284111,-123.111565,039_SunFeb8
#030001,49.283718,-123.121109,039_SunFeb8
#0F120F,49.277069,-123.081642,039_SunFeb8
#171808,49.251842,-123.087586,039_SunFeb8
#0A2606,49.272511,-123.077927,039_SunFeb8
#701E2F,49.270460,-123.100585,039_SunFeb8
#020302,49.271856,-123.135008,039_SunFeb8
#100C06,49.272511,-123.077927,039_SunFeb8
#B9B2B3,49.278038,-123.109234,039_SunFeb8
#FDFBFC,49.283345,-123.104855,039_SunFeb8
#070606,49.275112,-123.122772,039_SunFeb8
#101F0D,49.265644,-123.100494,039_SunFeb8
#050401,49.288746,-123.131500,039_SunFeb8
#020302,49.283573,-123.103950,039_SunFeb8
#010100,49.280491,-123.120567,039_SunFeb8
#030202,49.280491,-123.120567,039_SunFeb8
#957487,49.284439,-123.123016,039_SunFeb8
#916983,49.282400,-123.124322,039_SunFeb8
#060706,49.280491,-123.120567,039_SunFeb8
#D8A8BE,49.263245,-123.123962,039_SunFeb8
#060302,49.280491,-123.120567,039_SunFeb8
#000000,49.284111,-123.111565,039_SunFeb8
#000100,49.284111,-123.111565,039_SunFeb8
#060606,49.280491,-123.120567,039_SunFeb8
#000100,49.284111,-123.111565,039_SunFeb8
#020201,49.280659,-123.100861,039_SunFeb8
#090306,49.290437,-123.121587,039_SunFeb8
#040202,49.280720,-123.121391,039_SunFeb8
#0B0B0B,49.280491,-123.120567,039_SunFeb8
#10070A,49.268967,-123.102936,039_SunFeb8
#0A0607,49.279669,-123.122709,039_SunFeb8
#DDDBDA,49.286477,-123.118190,039_SunFeb8
#F6E8F4,49.269484,-123.151104,039_SunFeb8
#E8DCE4,49.279538,-123.100612,039_SunFeb8
#ECCFEA,49.293506,-123.132090,039_SunFeb8
#040203,49.280404,-123.121227,039_SunFeb8
#1E0405,49.290488,-123.133765,039_SunFeb8
#01011C,49.280491,-123.120567,039_SunFeb8
#160208,49.275707,-123.121719,039_SunFeb8
#040505,49.283180,-123.114578,039_SunFeb8
#060702,49.284439,-123.123016,039_SunFeb8
#BFB2B9,49.282638,-123.114670,039_SunFeb8
#010101,49.288128,-123.114868,039_SunFeb8
#F6A2D0,49.282051,-123.120850,039_SunFeb8
#F1F2EE,49.280720,-123.121391,039_SunFeb8
#020103,49.271601,-123.069718,039_SunFeb8
#010001,49.279869,-123.122688,039_SunFeb8
#040303,49.279669,-123.122709,039_SunFeb8
#030302,49.278952,-123.123126,039_SunFeb8
