color,lat,long,date
#010101,49.289470,-123.117495,047_MonFeb16
#151514,49.280212,-123.117270,047_MonFeb16
#1E1D21,49.279810,-123.121969,047_MonFeb16
#021E03,49.250000,-123.100000,047_MonFeb16
#160308,49.275404,-123.109266,047_MonFeb16
#EDE8E8,49.278969,-123.101341,047_MonFeb16
#020202,49.269400,-123.123800,047_MonFeb16
#030303,49.284569,-123.142807,047_MonFeb16
#060908,49.278980,-123.123196,047_MonFeb16
#040304,49.285763,-123.124598,047_MonFeb16
#F1F8F7,49.302488,-123.141718,047_MonFeb16
#020101,49.283623,-123.103828,047_MonFeb16
#1B0113,49.264163,-123.113980,047_MonFeb16
#020201,49.300000,-123.140000,047_MonFeb16
#F8F0F1,49.278969,-123.101341,047_MonFeb16
#070604,49.287762,-123.118332,047_MonFeb16
#CC1875,49.250000,-123.100000,047_MonFeb16
#050401,49.279949,-123.099274,047_MonFeb16
#0B180F,49.285763,-123.124598,047_MonFeb16
#010001,49.284599,-123.108887,047_MonFeb16
#A176A7,49.262920,-123.116028,047_MonFeb16
#060504,49.287762,-123.118332,047_MonFeb16
#020302,49.280096,-123.120196,047_MonFeb16
#040C08,49.272625,-123.135620,047_MonFeb16
#FEFEFE,49.280096,-123.120196,047_MonFeb16
#E4E5E3,49.272625,-123.135620,047_MonFeb16
#040B01,49.280096,-123.120196,047_MonFeb16
#070604,49.287762,-123.118332,047_MonFeb16
#030302,49.272625,-123.135620,047_MonFeb16
#080A08,49.280096,-123.120196,047_MonFeb16
#000000,49.280096,-123.120196,047_MonFeb16
#BC0470,49.250000,-123.100000,047_MonFeb16
#040503,49.300000,-123.140000,047_MonFeb16
#942844,49.288830,-123.117691,047_MonFeb16
#9B798B,49.288071,-123.130814,047_MonFeb16
#060403,49.277285,-123.114300,047_MonFeb16
#FDFDFE,49.293751,-123.149306,047_MonFeb16
#111010,49.275333,-123.099881,047_MonFeb16
#040200,49.288071,-123.130814,047_MonFeb16
#041208,49.290437,-123.121587,047_MonFeb16
#A22B48,49.291763,-123.128235,047_MonFeb16
#C0E1CF,49.280212,-123.117270,047_MonFeb16
#83668A,49.286510,-123.127190,047_MonFeb16
#EFF3F0,49.300743,-123.130331,047_MonFeb16
#020302,49.280399,-123.121010,047_MonFeb16
#050405,49.300000,-123.140000,047_MonFeb16
#020202,49.254456,-123.080432,047_MonFeb16
#54041E,49.262920,-123.116028,047_MonFeb16
#010201,49.236829,-123.086297,047_MonFeb16
#80214B,49.278652,-123.098618,047_MonFeb16
#060A07,49.300000,-123.140000,047_MonFeb16
#080506,49.280399,-123.121010,047_MonFeb16
#020501,49.271856,-123.135008,047_MonFeb16
#000000,49.269844,-123.135239,047_MonFeb16
#000000,49.279270,-123.129776,047_MonFeb16
#070604,49.283237,-123.109058,047_MonFeb16
#040303,49.300000,-123.140000,047_MonFeb16
#010101,49.280096,-123.120196,047_MonFeb16
#031E01,49.280096,-123.120196,047_MonFeb16
#F8FAF9,49.283642,-123.106773,047_MonFeb16
#010502,49.250000,-123.100000,047_MonFeb16
#020102,49.284042,-123.107463,047_MonFeb16
#040403,49.284661,-123.112716,047_MonFeb16
#040501,49.283108,-123.118874,047_MonFeb16
#160303,49.262920,-123.116028,047_MonFeb16
#040103,49.257956,-123.115428,047_MonFeb16
#1C221A,49.331315,-123.041515,047_MonFeb16
#050202,49.268299,-123.146507,047_MonFeb16
#020101,49.281929,-123.100098,047_MonFeb16
#020100,49.264240,-123.101410,047_MonFeb16
#19130A,49.282834,-123.120458,047_MonFeb16
#020202,49.284042,-123.107463,047_MonFeb16
#0B0B04,49.280096,-123.120196,047_MonFeb16
#030101,49.283098,-123.117951,047_MonFeb16
#61111B,49.280643,-123.130099,047_MonFeb16
#030202,49.282806,-123.105927,047_MonFeb16
#0D0306,49.279452,-123.122732,047_MonFeb16
#010205,49.281929,-123.100098,047_MonFeb16
#F6E8EB,49.285216,-123.125747,047_MonFeb16
#040503,49.278969,-123.101341,047_MonFeb16
#060300,49.283097,-123.135572,047_MonFeb16
#020101,49.281865,-123.120570,047_MonFeb16
#020101,49.285999,-123.127571,047_MonFeb16
#110511,49.238990,-123.129839,047_MonFeb16
#020302,49.280096,-123.120196,047_MonFeb16
#0A0607,49.282516,-123.121841,047_MonFeb16
#8E294A,49.242039,-123.111942,047_MonFeb16
#E863AA,49.242039,-123.111942,047_MonFeb16
#010201,49.281929,-123.100098,047_MonFeb16
#030102,49.285739,-123.123934,047_MonFeb16
#852C52,49.242039,-123.111942,047_MonFeb16
#A87382,49.232006,-123.117801,047_MonFeb16
#AD285A,49.242039,-123.111942,047_MonFeb16
#D9BDCA,49.284042,-123.107463,047_MonFeb16
#972252,49.242039,-123.111942,047_MonFeb16
#020301,49.281929,-123.100098,047_MonFeb16
#080307,49.250000,-123.100000,047_MonFeb16
#0D0809,49.291607,-123.134987,047_MonFeb16
#F1CADB,49.232006,-123.117801,047_MonFeb16
#7C7779,49.286881,-123.127905,047_MonFeb16
#5B3C4D,49.293286,-123.139987,047_MonFeb16
#9F0710,49.264469,-123.088422,047_MonFeb16
#0A0607,49.268897,-123.115902,047_MonFeb16
#100709,49.287224,-123.113916,047_MonFeb16
#0E0605,49.245830,-123.094177,047_MonFeb16
#F1F8F7,49.287505,-123.113715,047_MonFeb16
#040202,49.281929,-123.100098,047_MonFeb16
#2A0511,49.269527,-123.095039,047_MonFeb16
#000000,49.282520,-123.107964,047_MonFeb16
#7E6B74,49.277569,-123.122269,047_MonFeb16
#020503,49.285833,-123.111667,047_MonFeb16
#080707,49.274063,-123.154361,047_MonFeb16
#040103,49.267982,-123.143645,047_MonFeb16
#040502,49.272625,-123.135620,047_MonFeb16
#040702,49.271839,-123.134659,047_MonFeb16
#590C19,49.287655,-123.129242,047_MonFeb16
#0D0F09,49.271839,-123.134659,047_MonFeb16
#030200,49.278683,-123.118294,047_MonFeb16
#010802,49.283262,-123.125217,047_MonFeb16
#8CA99E,49.304062,-123.156487,047_MonFeb16
#22C360,49.288128,-123.114868,047_MonFeb16
#080305,49.264240,-123.101410,047_MonFeb16
#15241B,49.280096,-123.120196,047_MonFeb16
#D6C7CE,49.288128,-123.114868,047_MonFeb16
#060504,49.264240,-123.101410,047_MonFeb16
#13090A,49.303724,-123.156547,047_MonFeb16
#020101,49.279251,-123.120506,047_MonFeb16
#050605,49.257374,-123.090424,047_MonFeb16
#7D7F76,49.288128,-123.114868,047_MonFeb16
#520501,49.287029,-123.115623,047_MonFeb16
#010101,49.285603,-123.112075,047_MonFeb16
#000802,49.280796,-123.117943,047_MonFeb16
#22211E,49.288128,-123.114868,047_MonFeb16
#76857D,49.288128,-123.114868,047_MonFeb16
#FF0000,49.260860,-123.116287,047_MonFeb16
#010101,49.274311,-123.123123,047_MonFeb16
#000001,49.281929,-123.100098,047_MonFeb16
#050001,49.287773,-123.123749,047_MonFeb16
#1D0B10,49.266510,-123.069351,047_MonFeb16
#040302,49.279551,-123.103416,047_MonFeb16
#030101,49.266510,-123.069351,047_MonFeb16
#020101,49.266510,-123.069351,047_MonFeb16
#1E1A1D,49.284042,-123.107463,047_MonFeb16
#11110F,49.284042,-123.107463,047_MonFeb16
#0F140F,49.300000,-123.140000,047_MonFeb16
#020101,49.280404,-123.121227,047_MonFeb16
#1A0C0B,49.279573,-123.138529,047_MonFeb16
#010301,49.275404,-123.109266,047_MonFeb16
#111716,49.283573,-123.103950,047_MonFeb16
#030707,49.283749,-123.102394,047_MonFeb16
#060201,49.283098,-123.117951,047_MonFeb16
#AA6C93,49.283749,-123.102394,047_MonFeb16
#B87793,49.282799,-123.104073,047_MonFeb16
#010501,49.268139,-123.099663,047_MonFeb16
#040303,49.268139,-123.099663,047_MonFeb16
#020501,49.268139,-123.099663,047_MonFeb16
#0E0406,49.283749,-123.102394,047_MonFeb16
#060504,49.280096,-123.120196,047_MonFeb16
#95788E,49.283749,-123.102394,047_MonFeb16
#010101,49.280404,-123.121227,047_MonFeb16
#010000,45.500000,-73.583300,047_MonFeb16
#030202,49.248970,-123.101204,047_MonFeb16
#8E6080,49.284439,-123.123016,047_MonFeb16
#060101,49.284439,-123.123016,047_MonFeb16
#19141A,49.272625,-123.135620,047_MonFeb16
#DFDFDF,49.279843,-123.117194,047_MonFeb16
#F3F5F5,49.272451,-123.123960,047_MonFeb16
#078F75,49.300743,-123.130331,047_MonFeb16
#010100,49.269955,-123.108247,047_MonFeb16
