color,lat,long,date
#EDE4E8,49.272625,-123.135620,048_TueFeb17
#110C07,49.276524,-123.100084,048_TueFeb17
#1E0B10,49.250347,-123.115928,048_TueFeb17
#010201,49.288349,-123.122169,048_TueFeb17
#F4E5EE,49.293286,-123.139987,048_TueFeb17
#86BB9E,49.287802,-123.114354,048_TueFeb17
#000100,49.285000,-123.134000,048_TueFeb17
#090E07,49.262423,-123.069414,048_TueFeb17
#D6EADF,49.300000,-123.140000,048_TueFeb17
#E4DCE2,49.281650,-123.121071,048_TueFeb17
#1A0B08,49.232037,-123.157140,048_TueFeb17
#F9F8F9,49.278014,-123.109052,048_TueFeb17
#140D0A,49.278991,-123.122973,048_TueFeb17
#F9E9F6,49.276100,-123.121140,048_TueFeb17
#010101,49.278014,-123.109052,048_TueFeb17
#75BB92,49.250421,-123.100523,048_TueFeb17
#190C0F,49.278014,-123.109052,048_TueFeb17
#8B6579,49.281105,-123.119125,048_TueFeb17
#010101,49.289711,-123.116074,048_TueFeb17
#050204,49.289711,-123.116074,048_TueFeb17
#000100,49.280720,-123.121391,048_TueFeb17
#602D3A,49.278014,-123.109052,048_TueFeb17
#A45F8E,49.274256,-123.111744,048_TueFeb17
#040804,49.250000,-123.100000,048_TueFeb17
#020202,49.278014,-123.109052,048_TueFeb17
#010902,49.279176,-123.090173,048_TueFeb17
#F0F0F0,49.283352,-123.122070,048_TueFeb17
#030203,49.278083,-123.130914,048_TueFeb17
#030201,49.280720,-123.121391,048_TueFeb17
#0C0101,49.242222,-123.115000,048_TueFeb17
#040405,49.271856,-123.135008,048_TueFeb17
#A6859D,49.264671,-123.114647,048_TueFeb17
#050202,49.279452,-123.122732,048_TueFeb17
#140F12,49.236829,-123.086297,048_TueFeb17
#030101,49.283220,-123.119157,048_TueFeb17
#201A20,49.293286,-123.139987,048_TueFeb17
#01CCDC,49.280720,-123.121391,048_TueFeb17
#F4F5F4,49.285063,-123.120397,048_TueFeb17
#030404,49.236829,-123.086297,048_TueFeb17
#0C0A0C,49.300000,-123.140000,048_TueFeb17
#040304,49.236829,-123.086297,048_TueFeb17
#050401,49.285000,-123.134000,048_TueFeb17
#130908,49.268303,-123.113311,048_TueFeb17
#837976,49.278904,-123.116303,048_TueFeb17
#150102,49.280720,-123.121391,048_TueFeb17
#140308,49.316700,-123.067000,048_TueFeb17
#265F2E,49.269504,-123.115475,048_TueFeb17
#050303,49.264019,-123.105309,048_TueFeb17
#D2D9D3,49.264019,-123.105309,048_TueFeb17
#C189A1,49.272636,-123.149818,048_TueFeb17
#120803,49.270340,-123.134247,048_TueFeb17
#098C25,49.275604,-123.019449,048_TueFeb17
#020101,49.258939,-123.100895,048_TueFeb17
#8C8C8C,49.280701,-123.103127,048_TueFeb17
#EFECED,49.283220,-123.119157,048_TueFeb17
#130B03,49.271856,-123.135008,048_TueFeb17
#5A5A5A,49.276524,-123.100084,048_TueFeb17
#0D1907,49.283484,-123.104265,048_TueFeb17
#010101,49.280720,-123.121391,048_TueFeb17
