color,lat,long,date
#020101,49.288128,-123.114868,051_FriFeb20
#0A0607,49.274307,-123.123518,051_FriFeb20
#060303,49.286157,-123.139592,051_FriFeb20
#040202,49.280404,-123.121227,051_FriFeb20
#010100,49.281929,-123.100098,051_FriFeb20
#040502,49.278736,-123.112015,051_FriFeb20
#020502,49.279270,-123.129776,051_FriFeb20
#F8DFEC,49.260860,-123.116287,051_FriFeb20
#F9F7FA,49.279270,-123.129776,051_FriFeb20
#080705,49.264728,-123.136742,051_FriFeb20
#050102,49.288396,-123.130503,051_FriFeb20
#050505,49.278870,-123.113403,051_FriFeb20
#1F050B,49.263329,-123.141701,051_FriFeb20
#DDDEE9,49.264671,-123.114647,051_FriFeb20
#010101,49.279828,-123.121642,051_FriFeb20
#050304,49.271856,-123.135008,051_FriFeb20
#080506,49.287941,-123.113132,051_FriFeb20
#F1ECEE,49.263210,-123.099579,051_FriFeb20
#040100,49.280659,-123.100861,051_FriFeb20
#030102,49.279776,-123.109901,051_FriFeb20
#070103,49.272451,-123.123960,051_FriFeb20
#161012,49.281944,-123.121944,051_FriFeb20
#020102,49.280720,-123.121391,051_FriFeb20
#050304,49.276802,-123.126465,051_FriFeb20
#F5E5EE,49.250000,-123.100000,051_FriFeb20
#0F1608,49.250000,-123.100000,051_FriFeb20
#FDFDFD,49.280404,-123.121227,051_FriFeb20
#EFD3E6,49.270615,-123.106445,051_FriFeb20
#020202,49.284599,-123.108887,051_FriFeb20
#0C140F,49.266663,-123.077209,051_FriFeb20
#070002,49.284210,-123.108531,051_FriFeb20
#061505,49.250000,-123.100000,051_FriFeb20
#FDFCFD,49.282799,-123.104073,051_FriFeb20
#C5D4CA,49.291580,-123.130320,051_FriFeb20
#020400,49.280720,-123.121391,051_FriFeb20
#020202,49.281271,-123.098454,051_FriFeb20
#010101,49.279270,-123.129776,051_FriFeb20
#01C200,49.279270,-123.129776,051_FriFeb20
#565656,49.284183,-123.113342,051_FriFeb20
#030403,49.281944,-123.121944,051_FriFeb20
#020001,49.290437,-123.121587,051_FriFeb20
#560A21,49.270710,-123.106392,051_FriFeb20
#040502,49.280720,-123.121391,051_FriFeb20
#11080A,49.279270,-123.129776,051_FriFeb20
#020101,49.288071,-123.130814,051_FriFeb20
#775F6D,49.285873,-123.127152,051_FriFeb20
#011104,49.283508,-123.105095,051_FriFeb20
#1D0207,49.275680,-123.120972,051_FriFeb20
#050401,49.280404,-123.121227,051_FriFeb20
#DDE5E2,49.280796,-123.117943,051_FriFeb20
#010101,49.283909,-123.116691,051_FriFeb20
#EBC1DF,49.282471,-123.117504,051_FriFeb20
#080504,49.288746,-123.131500,051_FriFeb20
#C31008,49.282028,-123.117691,051_FriFeb20
#FDFBFC,49.280159,-123.122253,051_FriFeb20
#1C0506,49.281503,-123.101743,051_FriFeb20
#0E0506,49.279441,-123.100662,051_FriFeb20
#A2AFA5,49.272625,-123.135620,051_FriFeb20
#010101,49.285739,-123.123934,051_FriFeb20
#FAFAF9,49.279270,-123.129776,051_FriFeb20
#000F00,49.269400,-123.123800,051_FriFeb20
#EBA3D7,49.279441,-123.100662,051_FriFeb20
#030301,49.283484,-123.104265,051_FriFeb20
#C3C2BF,49.284599,-123.108887,051_FriFeb20
#020001,49.280213,-123.120334,051_FriFeb20
#010101,49.247066,-123.072205,051_FriFeb20
#040202,49.300000,-123.140000,051_FriFeb20
