color,lat,long,date
#020100,49.279610,-123.113098,065_FriMar6
#FCF9FB,49.355664,-123.014502,065_FriMar6
#010000,49.280491,-123.120567,065_FriMar6
#CBBCC9,49.250881,-123.077199,065_FriMar6
#160C0C,49.284390,-123.109605,065_FriMar6
#010000,49.284599,-123.108887,065_FriMar6
#E7D9DC,49.297465,-123.141346,065_FriMar6
#F5F6F9,49.274550,-123.121900,065_FriMar6
#050400,49.280491,-123.120567,065_FriMar6
#6B6E6E,49.284042,-123.107463,065_FriMar6
#E7B6E0,49.283718,-123.121109,065_FriMar6
#D4C1C9,49.280491,-123.120567,065_FriMar6
#C86E6C,49.286049,-123.121780,065_FriMar6
#020501,49.280659,-123.100861,065_FriMar6
#EDE1F1,49.272551,-123.133049,065_FriMar6
#000300,49.280491,-123.120567,065_FriMar6
#6B010F,49.289935,-123.145554,065_FriMar6
#040701,49.280491,-123.120567,065_FriMar6
#A66E9D,49.281990,-123.124237,065_FriMar6
#DFD3DB,49.250881,-123.077199,065_FriMar6
#ECE9EC,49.274766,-123.119650,065_FriMar6
#12080A,49.266383,-123.102605,065_FriMar6
#8E3152,49.280289,-123.106751,065_FriMar6
#049C03,49.280491,-123.120567,065_FriMar6
#020202,49.276894,-123.119896,065_FriMar6
#180B0C,49.264061,-123.104498,065_FriMar6
#EBCADC,49.284439,-123.110268,065_FriMar6
#010001,49.288033,-123.114475,065_FriMar6
#010000,49.262920,-123.102020,065_FriMar6
#010101,49.288396,-123.130503,065_FriMar6
#1DE304,49.280491,-123.120567,065_FriMar6
#070305,49.272005,-123.114896,065_FriMar6
#050203,49.261620,-123.101227,065_FriMar6
#090805,49.280404,-123.121227,065_FriMar6
#0C0508,49.281704,-123.104149,065_FriMar6
#010101,49.280491,-123.120567,065_FriMar6
#000100,49.250000,-123.100000,065_FriMar6
#020202,49.281434,-123.129799,065_FriMar6
#EAE6E9,49.219451,-123.142089,065_FriMar6
#F378AF,49.268185,-123.148155,065_FriMar6
#020202,49.280491,-123.120567,065_FriMar6
#020202,49.282834,-123.120458,065_FriMar6
#231210,49.291080,-123.136429,065_FriMar6
#020302,49.280491,-123.120567,065_FriMar6
#872947,49.261412,-123.066266,065_FriMar6
#090405,49.290234,-123.133789,065_FriMar6
#030202,49.284275,-123.095361,065_FriMar6
#F6A1E6,49.269400,-123.123800,065_FriMar6
#E9E3E9,49.242222,-123.115000,065_FriMar6
#056708,49.300743,-123.130331,065_FriMar6
#010101,49.279270,-123.129776,065_FriMar6
#140A0B,49.284632,-123.130517,065_FriMar6
#040101,49.260799,-123.100670,065_FriMar6
#010300,49.277103,-123.120082,065_FriMar6
#020401,49.250000,-123.100000,065_FriMar6
#C56FA6,49.250000,-123.100000,065_FriMar6
#AACDBC,49.289923,-123.126048,065_FriMar6
#040302,49.282959,-123.115181,065_FriMar6
#B66FA0,49.275173,-123.120865,065_FriMar6
#08120C,49.290437,-123.121587,065_FriMar6
#010501,49.276281,-123.099537,065_FriMar6
#010100,49.280491,-123.120567,065_FriMar6
#0B0D0C,49.281944,-123.121944,065_FriMar6
#55565D,49.274256,-123.111744,065_FriMar6
#040602,49.284016,-123.114159,065_FriMar6
#FAF5FA,49.177410,-123.138191,065_FriMar6
#070301,49.274960,-123.117521,065_FriMar6
#0A1703,49.280491,-123.120567,065_FriMar6
#082313,49.279270,-123.129776,065_FriMar6
#15080A,49.261412,-123.066266,065_FriMar6
#000100,49.280491,-123.120567,065_FriMar6
#F0E8F0,49.250000,-123.100000,065_FriMar6
#010101,49.283691,-123.106049,065_FriMar6
#010101,49.274616,-123.069305,065_FriMar6
#D5DDD7,49.300000,-123.140000,065_FriMar6
#201A5D,49.300000,-123.140000,065_FriMar6
#AA727F,49.276211,-123.099480,065_FriMar6
#000100,49.260307,-123.096275,065_FriMar6
#020001,49.272551,-123.133049,065_FriMar6
#020102,49.280491,-123.120567,065_FriMar6
#150C0C,49.242222,-123.115000,065_FriMar6
#F0F4F1,49.282834,-123.120458,065_FriMar6
#13080C,49.242222,-123.115000,065_FriMar6
#0C0506,49.242222,-123.115000,065_FriMar6
