color,lat,long,date
#F9FBFC,49.281944,-123.121944,070_WedMar11
#060706,49.274256,-123.111744,070_WedMar11
#030203,49.282834,-123.120458,070_WedMar11
#130909,49.279270,-123.129776,070_WedMar11
#F2F2F2,49.250000,-123.100000,070_WedMar11
#020000,49.282959,-123.115181,070_WedMar11
#E7DFE3,49.281755,-123.136767,070_WedMar11
#1F1417,49.285616,-123.120157,070_WedMar11
#020601,49.260307,-123.096275,070_WedMar11
#010501,49.278398,-123.110267,070_WedMar11
#0A0907,49.283247,-123.117496,070_WedMar11
#5BAC94,49.291466,-123.127777,070_WedMar11
#1D1A1B,49.280842,-123.089973,070_WedMar11
#030101,49.274380,-123.123711,070_WedMar11
#000000,49.283484,-123.104265,070_WedMar11
#ECE6EA,49.281755,-123.136767,070_WedMar11
#AD6476,49.261412,-123.066266,070_WedMar11
#99577E,49.250000,-123.100000,070_WedMar11
#030302,49.277778,-123.108889,070_WedMar11
#170D0F,49.224760,-123.107897,070_WedMar11
#F6F2F6,49.280289,-123.106751,070_WedMar11
#D7BBAA,49.250000,-123.100000,070_WedMar11
#030200,49.277287,-123.131582,070_WedMar11
#0B080A,49.279094,-123.132194,070_WedMar11
#060502,49.243628,-123.124833,070_WedMar11
#F1E2E9,49.288910,-123.131203,070_WedMar11
#E2D9DD,49.281755,-123.136767,070_WedMar11
#CAB5BB,49.263395,-123.100041,070_WedMar11
#0F0308,49.264671,-123.114647,070_WedMar11
#060504,49.285739,-123.123934,070_WedMar11
#0C0609,49.250000,-123.100000,070_WedMar11
#DCB5CC,49.263550,-123.069550,070_WedMar11
#FCF8FB,49.284635,-123.110380,070_WedMar11
#5A0C1E,49.261412,-123.066266,070_WedMar11
#030403,49.279333,-123.110473,070_WedMar11
#E7DDE3,49.281755,-123.136767,070_WedMar11
#2C9672,49.250000,-123.100000,070_WedMar11
#0E0408,49.286675,-123.143220,070_WedMar11
#030502,49.285616,-123.120157,070_WedMar11
#E968A2,49.250000,-123.100000,070_WedMar11
#0C1B13,49.281321,-123.132986,070_WedMar11
#010101,49.287773,-123.123749,070_WedMar11
#DED8DD,49.281755,-123.136767,070_WedMar11
#010201,49.260307,-123.096275,070_WedMar11
#1B010F,49.242222,-123.115000,070_WedMar11
#010200,49.285000,-123.134000,070_WedMar11
#C5C5C5,49.269400,-123.123800,070_WedMar11
#C599AE,49.234609,-123.157703,070_WedMar11
#16120E,49.259603,-123.070535,070_WedMar11
#080204,49.284042,-123.107463,070_WedMar11
#040303,49.264903,-123.107133,070_WedMar11
#F3F4F4,49.269955,-123.108247,070_WedMar11
#140C0B,49.283588,-123.113770,070_WedMar11
#CABAD3,49.281959,-123.106224,070_WedMar11
#010201,49.283375,-123.102371,070_WedMar11
#FEFEFE,49.284972,-123.138375,070_WedMar11
#6F0D18,49.224760,-123.107897,070_WedMar11
#AB86AE,49.281959,-123.106224,070_WedMar11
#C8BDE0,49.280796,-123.117943,070_WedMar11
#040201,49.283573,-123.103950,070_WedMar11
#090305,49.258767,-123.139358,070_WedMar11
#A9A3AA,49.287307,-123.141711,070_WedMar11
#201519,49.286675,-123.143220,070_WedMar11
#9A796C,49.259281,-123.134236,070_WedMar11
#DFEEE0,49.285000,-123.134000,070_WedMar11
#F8F0F5,49.285961,-123.124161,070_WedMar11
#040705,49.279270,-123.129776,070_WedMar11
#1E1E1C,49.283375,-123.102371,070_WedMar11
#010101,49.281080,-123.104900,070_WedMar11
#978188,49.300000,-123.140000,070_WedMar11
#71A981,49.300000,-123.140000,070_WedMar11
#F2F0F3,49.274063,-123.154361,070_WedMar11
#040001,49.281271,-123.098454,070_WedMar11
#0C1611,49.242039,-123.111942,070_WedMar11
#030403,49.283484,-123.104265,070_WedMar11
#0B0308,49.285616,-123.120157,070_WedMar11
#E4D8DE,49.281755,-123.136767,070_WedMar11
#6E294B,49.282324,-123.104399,070_WedMar11
#050505,49.284599,-123.108887,070_WedMar11
#050504,49.279776,-123.109901,070_WedMar11
#FEFDFD,49.260307,-123.096275,070_WedMar11
#6EA588,49.286675,-123.143220,070_WedMar11
#030303,49.283375,-123.102371,070_WedMar11
#DDD7DB,49.281755,-123.136767,070_WedMar11
#040403,49.280404,-123.121227,070_WedMar11
#0F0603,49.282620,-123.116921,070_WedMar11
#1A0E12,49.258939,-123.100895,070_WedMar11
#E5D9E0,49.277991,-123.109338,070_WedMar11
