color,lat,long,date
#060A08,49.249802,-123.100639,075_MonMar16
#EEBFEB,49.276039,-123.126473,075_MonMar16
#F7F7F8,49.250000,-123.100000,075_MonMar16
#020202,49.278542,-123.110207,075_MonMar16
#070000,49.288559,-123.120972,075_MonMar16
#170C0D,49.278038,-123.109234,075_MonMar16
#111216,49.300743,-123.130331,075_MonMar16
#E8E5E5,49.284042,-123.107463,075_MonMar16
#AD7488,49.269413,-123.130710,075_MonMar16
#8B7088,49.283718,-123.121109,075_MonMar16
#6E0211,49.282127,-123.133621,075_MonMar16
#180B12,49.246155,-123.101036,075_MonMar16
#000000,49.270690,-123.146600,075_MonMar16
#0D0D0B,49.281685,-123.132942,075_MonMar16
#734C68,49.282620,-123.116921,075_MonMar16
#7F2D43,49.250000,-123.100000,075_MonMar16
#010101,49.293286,-123.139987,075_MonMar16
#EDD8E2,49.282834,-123.120458,075_MonMar16
#0C0507,49.278014,-123.109052,075_MonMar16
#98A5A1,49.249802,-123.100639,075_MonMar16
#170D0D,49.272625,-123.135620,075_MonMar16
#050403,49.259357,-123.101038,075_MonMar16
#081404,49.246155,-123.101036,075_MonMar16
#1E1E1E,49.279551,-123.103416,075_MonMar16
#16070E,49.269413,-123.130710,075_MonMar16
#020101,49.250000,-123.100000,075_MonMar16
#1F1D1D,49.250000,-123.100000,075_MonMar16
#A5B5AE,49.249802,-123.100639,075_MonMar16
#F8F1F5,49.283691,-123.103455,075_MonMar16
#010101,49.281874,-123.124205,075_MonMar16
#191011,49.278038,-123.109234,075_MonMar16
#12090B,49.257374,-123.090424,075_MonMar16
#C0B8C2,49.265375,-123.142448,075_MonMar16
#010000,49.232739,-123.077344,075_MonMar16
#AB9CA3,49.257374,-123.090424,075_MonMar16
#191424,49.282791,-123.104782,075_MonMar16
#010101,49.278038,-123.109234,075_MonMar16
#D1D1D1,49.284352,-123.110429,075_MonMar16
#F6F4F7,49.250000,-123.100000,075_MonMar16
#7F918D,49.249802,-123.100639,075_MonMar16
#010501,49.289711,-123.116074,075_MonMar16
#030303,49.278038,-123.109234,075_MonMar16
#ACE0DD,49.275304,-123.127198,075_MonMar16
#A1D3AE,49.284398,-123.121018,075_MonMar16
#030402,49.280659,-123.100861,075_MonMar16
#EFEEEE,49.265120,-123.142331,075_MonMar16
#A8838F,49.274208,-123.069748,075_MonMar16
#050302,49.283611,-123.106377,075_MonMar16
#010602,49.278038,-123.109234,075_MonMar16
#050501,49.280212,-123.117270,075_MonMar16
#020001,49.287224,-123.113916,075_MonMar16
#060704,49.278038,-123.109234,075_MonMar16
#050501,49.280212,-123.117270,075_MonMar16
#010101,49.278038,-123.109234,075_MonMar16
#865372,49.280404,-123.121227,075_MonMar16
#615457,49.280212,-123.117270,075_MonMar16
#050103,49.282811,-123.123575,075_MonMar16
#020301,49.272200,-123.134013,075_MonMar16
#877980,49.249802,-123.100639,075_MonMar16
#AF97A1,49.280212,-123.117270,075_MonMar16
#040101,49.248970,-123.101204,075_MonMar16
#010101,49.278038,-123.109234,075_MonMar16
#090403,49.284861,-123.122912,075_MonMar16
#9F0203,49.291500,-123.135147,075_MonMar16
#030202,49.284390,-123.109605,075_MonMar16
#110F0F,49.283106,-123.119134,075_MonMar16
#070504,49.270752,-123.069687,075_MonMar16
#F4F4F4,49.133300,-125.900000,075_MonMar16
#030303,49.278014,-123.109052,075_MonMar16
#A9AEAA,49.249802,-123.100639,075_MonMar16
#9A697A,49.231608,-123.076635,075_MonMar16
#010100,49.280289,-123.106751,075_MonMar16
#030303,49.278663,-123.112843,075_MonMar16
#FAFAF9,49.280659,-123.100861,075_MonMar16
#000700,49.279461,-123.122124,075_MonMar16
#D5DBD5,49.242039,-123.111942,075_MonMar16
#030101,49.263351,-123.125471,075_MonMar16
#CFD4CE,49.242039,-123.111942,075_MonMar16
#010202,49.280659,-123.100861,075_MonMar16
#151617,49.249802,-123.100639,075_MonMar16
#020401,49.264969,-123.137512,075_MonMar16
#010102,49.280659,-123.100861,075_MonMar16
#F0E4EE,49.269583,-123.069642,075_MonMar16
#030202,49.283379,-123.102486,075_MonMar16
#1C0C0E,49.283611,-123.106377,075_MonMar16
#050403,49.279810,-123.121969,075_MonMar16
#070103,49.289331,-123.117620,075_MonMar16
