color,lat,long,date
#000101,49.277069,-123.125732,076_TueMar17
#060401,49.281704,-123.104149,076_TueMar17
#F9F7F5,49.282045,-123.103898,076_TueMar17
#9DAFB7,49.288910,-123.131203,076_TueMar17
#FCFBFB,49.273906,-123.119636,076_TueMar17
#180304,49.283109,-123.108402,076_TueMar17
#A15184,49.287466,-123.136615,076_TueMar17
#15090D,49.286944,-123.112500,076_TueMar17
#101314,49.281650,-123.121071,076_TueMar17
#010000,49.250000,-123.100000,076_TueMar17
#6A0F21,49.281754,-123.107490,076_TueMar17
#50494E,49.282471,-123.117504,076_TueMar17
#C7C7C7,49.280100,-123.112800,076_TueMar17
#F7F9FA,49.259492,-123.138600,076_TueMar17
#000000,49.281271,-123.098454,076_TueMar17
#050A05,49.280019,-123.113341,076_TueMar17
#EBDDE9,49.259492,-123.138600,076_TueMar17
#E0C0D9,49.286477,-123.118190,076_TueMar17
#160809,49.259492,-123.138600,076_TueMar17
#060305,49.281704,-123.104149,076_TueMar17
#030203,49.250000,-123.100000,076_TueMar17
#F8F3F5,49.259492,-123.138600,076_TueMar17
#EFF0F0,49.372716,-123.291200,076_TueMar17
#141413,49.278049,-123.126708,076_TueMar17
#7F4869,49.283262,-123.125217,076_TueMar17
#A45979,49.288910,-123.131203,076_TueMar17
#F6E6F2,49.259492,-123.138600,076_TueMar17
#8E517F,49.268897,-123.115902,076_TueMar17
#BA767E,49.280659,-123.100861,076_TueMar17
#A54875,49.286675,-123.143220,076_TueMar17
#F6EDF4,49.259492,-123.138600,076_TueMar17
#E7DBE5,49.280404,-123.121227,076_TueMar17
#E2DEDC,49.300000,-123.140000,076_TueMar17
#020101,49.250000,-123.100000,076_TueMar17
#D3EEE1,49.290170,-123.118142,076_TueMar17
#15090A,49.300000,-123.140000,076_TueMar17
#43B777,49.286675,-123.143220,076_TueMar17
#F8EFF6,49.259492,-123.138600,076_TueMar17
#160E12,49.259600,-123.138900,076_TueMar17
#060504,49.250000,-123.100000,076_TueMar17
#ECE5E9,49.259492,-123.138600,076_TueMar17
#212220,49.280700,-123.120614,076_TueMar17
#F3EEF3,49.284398,-123.121018,076_TueMar17
#AB7097,49.280404,-123.121227,076_TueMar17
#030C07,49.276170,-123.119655,076_TueMar17
#F5ECF3,49.259492,-123.138600,076_TueMar17
#9B2354,49.259883,-123.083145,076_TueMar17
#FEFEFE,49.257540,-123.114790,076_TueMar17
#030203,49.279934,-123.108154,076_TueMar17
#6E555D,49.286675,-123.143220,076_TueMar17
#5C8C74,49.271856,-123.135008,076_TueMar17
#727673,49.284311,-123.143344,076_TueMar17
#961B5D,49.285705,-123.130233,076_TueMar17
#020403,49.289711,-123.116074,076_TueMar17
#F6E5F1,49.259492,-123.138600,076_TueMar17
#B3C7C3,49.271856,-123.135008,076_TueMar17
#060A04,49.280100,-123.112800,076_TueMar17
#F5E6F5,49.259492,-123.138600,076_TueMar17
#74485F,49.279667,-123.136002,076_TueMar17
#F0E6EA,49.289711,-123.116074,076_TueMar17
#051B0B,49.285833,-123.111667,076_TueMar17
#E6EBED,49.279820,-123.139030,076_TueMar17
#030403,49.269400,-123.123800,076_TueMar17
#020302,49.269400,-123.123800,076_TueMar17
#0A0B06,49.280100,-123.112800,076_TueMar17
#030203,49.270340,-123.134247,076_TueMar17
#D6CBD1,49.254017,-123.090187,076_TueMar17
#F9E5F4,49.259492,-123.138600,076_TueMar17
#646464,49.261559,-123.156803,076_TueMar17
#E36CC4,49.269400,-123.123800,076_TueMar17
#16080D,49.250000,-123.100000,076_TueMar17
#040101,49.264412,-123.069595,076_TueMar17
#130712,49.280796,-123.117943,076_TueMar17
#4A0E1F,49.266037,-123.150025,076_TueMar17
#070604,49.280100,-123.112800,076_TueMar17
#070605,49.256686,-123.069140,076_TueMar17
#54514F,49.290170,-123.118142,076_TueMar17
#6A0317,49.264412,-123.069595,076_TueMar17
#AEE4BD,49.280796,-123.117943,076_TueMar17
#110308,49.287999,-123.137446,076_TueMar17
#100510,49.290562,-123.133602,076_TueMar17
#D9D7D7,49.279869,-123.122688,076_TueMar17
#A4134F,49.264412,-123.069595,076_TueMar17
#618577,49.286675,-123.143220,076_TueMar17
#0A0909,49.266361,-123.138596,076_TueMar17
#060401,49.279327,-123.123436,076_TueMar17
#261319,49.281379,-123.071924,076_TueMar17
#CED3C2,49.280100,-123.112800,076_TueMar17
#D5D5D5,49.279682,-123.117489,076_TueMar17
#090406,49.280376,-123.113297,076_TueMar17
#0A0404,49.272275,-123.069382,076_TueMar17
#150000,49.280350,-123.122208,076_TueMar17
#010001,49.250000,-123.100000,076_TueMar17
#020501,49.290437,-123.121587,076_TueMar17
#FAF7F9,49.233949,-123.129182,076_TueMar17
#071003,49.284249,-123.108278,076_TueMar17
#D0CACE,49.279989,-123.103934,076_TueMar17
#EBEEEC,49.280100,-123.112800,076_TueMar17
#700318,49.290951,-123.134346,076_TueMar17
#010202,49.216043,-123.138529,076_TueMar17
#010201,49.291763,-123.128235,076_TueMar17
#020201,49.261444,-123.072171,076_TueMar17
#FDFAFC,49.274063,-123.154361,076_TueMar17
#DACFD8,49.280100,-123.112800,076_TueMar17
#030101,49.280513,-123.131311,076_TueMar17
#020000,49.275009,-123.122002,076_TueMar17
#0F0708,49.282834,-123.120458,076_TueMar17
#120F13,49.280796,-123.117943,076_TueMar17
#010001,49.287022,-123.140892,076_TueMar17
#F8F2F0,49.288803,-123.112206,076_TueMar17
#080F07,49.279989,-123.103934,076_TueMar17
#D5BAC5,49.263191,-123.133499,076_TueMar17
#FCFCFC,49.282020,-123.118750,076_TueMar17
#77B594,49.272625,-123.135620,076_TueMar17
#FAF9FA,49.290562,-123.133602,076_TueMar17
#161616,49.280100,-123.112800,076_TueMar17
#E4D7E2,49.256941,-123.101382,076_TueMar17
#010101,49.300000,-123.140000,076_TueMar17
#030101,36.902358,-111.410935,076_TueMar17
#91A299,49.288813,-123.112139,076_TueMar17
#070604,49.280404,-123.121227,076_TueMar17
#060201,49.230862,-123.090851,076_TueMar17
#ECDBE6,49.277098,-123.128344,076_TueMar17
#DDB1CE,49.274289,-123.120123,076_TueMar17
#020302,49.283333,-123.119217,076_TueMar17
#020102,49.283267,-123.118795,076_TueMar17
#020101,49.283333,-123.119217,076_TueMar17
#5A5755,49.269955,-123.108247,076_TueMar17
#5C555A,49.283424,-123.109367,076_TueMar17
#FAEEF7,49.289882,-123.132891,076_TueMar17
#050203,49.287984,-123.130875,076_TueMar17
#F7F8FB,49.290365,-123.133573,076_TueMar17
#FE09A0,49.278809,-123.125099,076_TueMar17
#0C080C,49.278809,-123.125099,076_TueMar17
#160F0F,49.278809,-123.125099,076_TueMar17
#BC9F27,49.278809,-123.125099,076_TueMar17
#0D0606,49.278809,-123.125099,076_TueMar17
#1C0C0F,49.278809,-123.125099,076_TueMar17
#FCEE62,49.278809,-123.125099,076_TueMar17
#0B0707,49.278809,-123.125099,076_TueMar17
#FB09A1,49.289451,-123.138713,076_TueMar17
#A00B80,49.278809,-123.125099,076_TueMar17
#020101,49.286302,-123.127228,076_TueMar17
#020202,49.289882,-123.132891,076_TueMar17
#E5EAE7,49.262911,-123.137277,076_TueMar17
#1E1017,49.282697,-123.104176,076_TueMar17
#FBFBFB,49.281838,-123.133451,076_TueMar17
#A08D91,49.280739,-123.117157,076_TueMar17
#737F76,49.257288,-123.095431,076_TueMar17
#020101,49.278652,-123.098618,076_TueMar17
#CF759F,49.283749,-123.120087,076_TueMar17
#010101,49.280100,-123.112800,076_TueMar17
#020102,49.281678,-123.133362,076_TueMar17
#010101,49.250000,-123.100000,076_TueMar17
#020202,49.224760,-123.107897,076_TueMar17
#060401,49.280100,-123.112800,076_TueMar17
#9B4C74,49.224937,-123.108985,076_TueMar17
#0B0806,49.290578,-123.126174,076_TueMar17
#B68A97,49.283726,-123.109711,076_TueMar17
#746E78,49.280404,-123.121227,076_TueMar17
#F6F9FA,49.264273,-123.130193,076_TueMar17
#1C1A1A,49.264728,-123.136742,076_TueMar17
#051007,49.286250,-123.115867,076_TueMar17
#050501,49.282357,-123.118674,076_TueMar17
#020C06,49.275723,-123.128128,076_TueMar17
#F9F6FB,49.250000,-123.100000,076_TueMar17
#C76E9E,49.264870,-123.069595,076_TueMar17
#010202,49.261995,-123.134317,076_TueMar17
#BEB8B9,49.259357,-123.101038,076_TueMar17
#73CC96,49.288033,-123.114475,076_TueMar17
#010101,49.264269,-123.130171,076_TueMar17
#03DE70,49.292648,-123.128988,076_TueMar17
#080808,49.229268,-123.108768,076_TueMar17
#7A7A82,49.280237,-123.123904,076_TueMar17
#8E71AA,49.265052,-123.119575,076_TueMar17
#040501,49.281846,-123.114606,076_TueMar17
#040302,49.289711,-123.116074,076_TueMar17
#030303,49.265610,-123.145096,076_TueMar17
#050303,49.250000,-123.100000,076_TueMar17
#000001,49.286477,-123.118190,076_TueMar17
#E5F1E4,49.283909,-123.118500,076_TueMar17
#030202,49.278952,-123.123126,076_TueMar17
#010100,49.276097,-123.119497,076_TueMar17
#16090F,49.272625,-123.135620,076_TueMar17
#020101,49.288990,-123.127533,076_TueMar17
#ECF0EE,49.238990,-123.129839,076_TueMar17
