color,lat,long,date
#180C07,49.271856,-123.135008,078_ThuMar19
#BC78A5,49.275731,-123.120445,078_ThuMar19
#EF96D8,49.250000,-123.100000,078_ThuMar19
#C86EB5,49.272451,-123.123960,078_ThuMar19
#021206,49.280796,-123.117943,078_ThuMar19
#231705,49.288813,-123.112139,078_ThuMar19
#F8AEE3,49.285733,-123.123824,078_ThuMar19
#000300,49.284111,-123.111565,078_ThuMar19
#060401,49.279549,-123.122833,078_ThuMar19
#FCFBFC,49.278038,-123.109234,078_ThuMar19
#080D09,49.288128,-123.114868,078_ThuMar19
#070505,49.281582,-123.132782,078_ThuMar19
#100C10,49.282059,-123.122841,078_ThuMar19
#EDDFE4,49.264413,-123.136799,078_ThuMar19
#54110F,49.278014,-123.109052,078_ThuMar19
#E5D7E1,49.168705,-123.133995,078_ThuMar19
#010101,49.288033,-123.114475,078_ThuMar19
#020502,49.284153,-123.097755,078_ThuMar19
#030101,49.257185,-123.090494,078_ThuMar19
#000100,49.279828,-123.121642,078_ThuMar19
#B19EBC,49.272350,-123.155327,078_ThuMar19
#050203,49.282688,-123.104805,078_ThuMar19
#040200,49.284699,-123.122849,078_ThuMar19
#9E8694,49.284153,-123.097755,078_ThuMar19
#010302,49.285063,-123.120397,078_ThuMar19
#030102,49.272446,-123.135264,078_ThuMar19
#1D171A,49.266389,-123.115833,078_ThuMar19
#95557F,49.282799,-123.104073,078_ThuMar19
#030202,49.269667,-123.155000,078_ThuMar19
#020101,49.285063,-123.120397,078_ThuMar19
#A17D7D,49.285000,-123.134000,078_ThuMar19
#030202,49.250000,-123.100000,078_ThuMar19
#E2C2D0,49.281158,-123.121567,078_ThuMar19
#010201,49.280659,-123.100861,078_ThuMar19
#040305,49.250000,-123.100000,078_ThuMar19
#0D0A0F,49.242222,-123.115000,078_ThuMar19
#050401,49.258835,-123.100922,078_ThuMar19
#010101,49.265610,-123.145096,078_ThuMar19
#977682,49.264019,-123.105309,078_ThuMar19
#040302,49.290437,-123.121587,078_ThuMar19
#030502,49.282834,-123.120458,078_ThuMar19
#010101,49.289711,-123.116074,078_ThuMar19
#020103,49.285000,-123.134000,078_ThuMar19
#030203,49.280148,-123.120211,078_ThuMar19
#BB015C,49.262740,-123.114880,078_ThuMar19
#000100,49.279828,-123.121642,078_ThuMar19
#190F0A,49.280100,-123.112800,078_ThuMar19
#62A179,49.292648,-123.128988,078_ThuMar19
#016520,49.280404,-123.121227,078_ThuMar19
#040404,49.284111,-123.111565,078_ThuMar19
#080405,49.278229,-123.117401,078_ThuMar19
#E2E3E2,49.242222,-123.115000,078_ThuMar19
#698267,49.254456,-123.080432,078_ThuMar19
#00E1A1,49.224046,-123.078409,078_ThuMar19
#100606,49.250000,-123.100000,078_ThuMar19
#AB7096,49.280100,-123.112800,078_ThuMar19
#2D1119,49.280404,-123.121227,078_ThuMar19
#020102,49.280414,-123.126281,078_ThuMar19
#171109,49.284308,-123.095509,078_ThuMar19
#D592C9,49.282390,-123.124200,078_ThuMar19
#000000,49.284042,-123.107463,078_ThuMar19
#050303,49.280100,-123.112800,078_ThuMar19
#020203,49.280414,-123.126281,078_ThuMar19
#050805,49.284572,-123.124657,078_ThuMar19
#0A6705,49.284111,-123.111565,078_ThuMar19
#000000,49.279828,-123.121642,078_ThuMar19
#E3D8DC,49.611866,-119.601083,078_ThuMar19
#C9AFB7,49.236415,-123.156661,078_ThuMar19
#060604,49.259129,-123.100769,078_ThuMar19
#EEE1EA,49.269400,-123.123800,078_ThuMar19
