color,lat,long,date
#4D1525,49.284111,-123.111565,080_SatMar21
#716573,49.283642,-123.106773,080_SatMar21
#12060C,49.262920,-123.116028,080_SatMar21
#060404,49.264557,-123.105057,080_SatMar21
#935F7C,49.268967,-123.102936,080_SatMar21
#0D0907,49.284546,-123.125153,080_SatMar21
#030502,49.290610,-123.137140,080_SatMar21
#030402,49.281391,-123.107781,080_SatMar21
#E6D2DC,49.179804,-123.138801,080_SatMar21
#040304,49.281929,-123.100098,080_SatMar21
#020202,49.282020,-123.118750,080_SatMar21
#353C3A,49.289711,-123.116074,080_SatMar21
#130509,49.285294,-123.111887,080_SatMar21
#DAE7E4,49.275470,-123.136643,080_SatMar21
#F7E9F2,49.280659,-123.100861,080_SatMar21
#030102,49.278599,-123.070747,080_SatMar21
#050302,49.280659,-123.100861,080_SatMar21
#B92450,49.290161,-123.133682,080_SatMar21
#0F0B0B,49.262937,-123.102631,080_SatMar21
#1F1C21,49.284981,-123.110840,080_SatMar21
#100103,49.277191,-123.122818,080_SatMar21
#0A0C0A,49.283242,-123.120414,080_SatMar21
#060501,49.280521,-123.100789,080_SatMar21
#030302,49.280659,-123.100861,080_SatMar21
#010101,49.284439,-123.123016,080_SatMar21
#F2ECEF,49.280100,-123.112800,080_SatMar21
#708B77,49.284433,-123.122158,080_SatMar21
#FBF0F5,49.288311,-123.116730,080_SatMar21
#F8F7F5,49.228255,-123.154557,080_SatMar21
#010000,49.288128,-123.114868,080_SatMar21
#0E0904,49.279776,-123.109901,080_SatMar21
#0C0C0C,49.280248,-123.114811,080_SatMar21
#AA7792,49.280100,-123.112800,080_SatMar21
#E8D4EC,49.277577,-123.098100,080_SatMar21
#040503,49.281982,-123.122955,080_SatMar21
#050402,49.280701,-123.120544,080_SatMar21
#F9FBFA,49.284572,-123.124657,080_SatMar21
#656C66,49.285700,-123.112425,080_SatMar21
#010201,49.250000,-123.100000,080_SatMar21
#010101,49.281503,-123.101743,080_SatMar21
#040101,49.284679,-123.111893,080_SatMar21
#020402,49.276979,-123.126573,080_SatMar21
#030202,49.280659,-123.100861,080_SatMar21
#EAB1D1,49.290540,-123.133957,080_SatMar21
#040101,49.284861,-123.122912,080_SatMar21
#110104,49.275009,-123.122002,080_SatMar21
#010001,49.278191,-123.114655,080_SatMar21
#B07C93,49.289967,-123.132828,080_SatMar21
#AD0E03,49.257374,-123.090424,080_SatMar21
#1D0507,49.289967,-123.132828,080_SatMar21
#FBF5F8,49.248970,-123.101204,080_SatMar21
#9A6375,49.276979,-123.126573,080_SatMar21
#030002,49.283623,-123.103828,080_SatMar21
#030202,49.263329,-123.141701,080_SatMar21
#0E0F06,49.279989,-123.103934,080_SatMar21
#060604,49.285686,-123.114578,080_SatMar21
#216808,49.280100,-123.112800,080_SatMar21
#020202,49.261722,-123.069140,080_SatMar21
#121B14,49.292648,-123.128988,080_SatMar21
#040202,49.280010,-123.121262,080_SatMar21
#080305,49.270685,-123.136593,080_SatMar21
