color,lat,long,date
#020100,49.276918,-123.126951,081_SunMar22
#FDFAFC,49.266361,-123.138596,081_SunMar22
#010101,49.275404,-123.109266,081_SunMar22
#CECDCA,49.277500,-123.088889,081_SunMar22
#060604,49.283119,-123.103912,081_SunMar22
#190507,49.283333,-123.119217,081_SunMar22
#15080B,49.283051,-123.110077,081_SunMar22
#F8FBFA,49.272005,-123.114896,081_SunMar22
#010101,49.264240,-123.101410,081_SunMar22
#020202,49.276222,-123.129038,081_SunMar22
#140D08,49.245659,-123.101669,081_SunMar22
#1A0707,49.283971,-123.100991,081_SunMar22
#040204,49.288396,-123.130503,081_SunMar22
#17080A,49.232037,-123.157140,081_SunMar22
#21161B,49.284599,-123.108887,081_SunMar22
#020101,49.283691,-123.103455,081_SunMar22
#050304,49.289882,-123.132891,081_SunMar22
#181417,49.285000,-123.134000,081_SunMar22
#C2AFBB,49.283691,-123.103455,081_SunMar22
#030502,49.284473,-123.122284,081_SunMar22
#040404,49.275404,-123.109266,081_SunMar22
#F7F6FA,49.285301,-123.118294,081_SunMar22
#595757,49.285106,-123.102149,081_SunMar22
#010101,49.284042,-123.107463,081_SunMar22
#040201,49.300743,-123.130331,081_SunMar22
#BA669B,49.285856,-123.127205,081_SunMar22
#B15F8B,49.245201,-123.101677,081_SunMar22
#040604,49.279724,-123.130320,081_SunMar22
#030102,49.267799,-123.148819,081_SunMar22
#E9EDF7,49.300000,-123.140000,081_SunMar22
#EFBAD7,49.263395,-123.100041,081_SunMar22
#0A090A,49.283119,-123.103912,081_SunMar22
#120506,49.250000,-123.100000,081_SunMar22
#080501,49.225856,-123.101426,081_SunMar22
#F5EFF1,49.283375,-123.102371,081_SunMar22
#010101,49.284679,-123.111893,081_SunMar22
#82031D,49.284314,-123.095469,081_SunMar22
#050203,49.278703,-123.115657,081_SunMar22
#06970C,49.283180,-123.114578,081_SunMar22
#F8F8F9,49.284042,-123.107463,081_SunMar22
#EE9AD0,49.284861,-123.122912,081_SunMar22
#1A0B12,49.266472,-123.140701,081_SunMar22
#030202,49.284042,-123.107463,081_SunMar22
#E9F4F0,49.284599,-123.108887,081_SunMar22
#030102,49.283180,-123.114578,081_SunMar22
#080603,49.284042,-123.107463,081_SunMar22
#020203,49.279519,-123.115608,081_SunMar22
#040603,49.287158,-123.141899,081_SunMar22
#060201,49.276039,-123.126473,081_SunMar22
#200204,49.283119,-123.103912,081_SunMar22
#5A4D5A,49.279461,-123.122124,081_SunMar22
#DBE9E0,49.282834,-123.120458,081_SunMar22
#0E0908,49.277771,-123.099190,081_SunMar22
#4F5E57,49.275404,-123.109266,081_SunMar22
#060604,49.276894,-123.119896,081_SunMar22
#8C4E6B,49.279989,-123.103934,081_SunMar22
#030404,49.279827,-123.116577,081_SunMar22
#010100,49.285198,-123.118469,081_SunMar22
#010403,49.287231,-123.141441,081_SunMar22
#765D62,49.271856,-123.135008,081_SunMar22
#010000,49.280796,-123.117943,081_SunMar22
#030302,49.280404,-123.121227,081_SunMar22
#0F0808,49.276039,-123.126473,081_SunMar22
#020701,49.283695,-123.106071,081_SunMar22
#F6F7F7,49.280796,-123.117943,081_SunMar22
#030403,49.287029,-123.115623,081_SunMar22
#050403,49.280590,-123.120940,081_SunMar22
#482525,49.279270,-123.129776,081_SunMar22
#030102,49.282620,-123.116921,081_SunMar22
#020101,49.287224,-123.113916,081_SunMar22
#0A0A09,49.281929,-123.100098,081_SunMar22
#5C6B65,49.279164,-123.137844,081_SunMar22
#13120F,49.273353,-123.103411,081_SunMar22
#F8E8F0,49.280491,-123.120567,081_SunMar22
#655A5E,49.278952,-123.123126,081_SunMar22
#040303,49.276894,-123.119896,081_SunMar22
#5D5D5D,49.277069,-123.125732,081_SunMar22
#030302,49.280159,-123.114754,081_SunMar22
#020202,49.279679,-123.103760,081_SunMar22
#85A9A9,49.284394,-123.117260,081_SunMar22
#5A5A54,49.280796,-123.117943,081_SunMar22
#040504,49.283180,-123.114578,081_SunMar22
#050403,49.280720,-123.121391,081_SunMar22
#F2EDF1,49.258939,-123.100895,081_SunMar22
#12060F,49.286797,-123.142540,081_SunMar22
#03020A,49.283630,-123.106369,081_SunMar22
#011302,49.267151,-123.069663,081_SunMar22
#091306,49.279669,-123.122709,081_SunMar22
#090406,49.281391,-123.107781,081_SunMar22
#000301,49.279270,-123.129776,081_SunMar22
#F6EAEE,49.280720,-123.121391,081_SunMar22
#18061C,49.272451,-123.123960,081_SunMar22
#AECDBB,49.269400,-123.123800,081_SunMar22
#030104,49.250000,-123.100000,081_SunMar22
#00AD18,49.275404,-123.109266,081_SunMar22
#040203,49.279776,-123.109901,081_SunMar22
#010001,49.284394,-123.117260,081_SunMar22
#758789,49.259603,-123.070535,081_SunMar22
#090805,49.280720,-123.121391,081_SunMar22
#110509,49.250000,-123.100000,081_SunMar22
#17120A,49.283119,-123.103912,081_SunMar22
#190B17,49.250000,-123.100000,081_SunMar22
#050302,49.276520,-123.100632,081_SunMar22
#5D5454,49.277069,-123.125732,081_SunMar22
#FAF2F4,49.282834,-123.120458,081_SunMar22
#F3D6E6,49.282764,-123.105977,081_SunMar22
#010000,49.279270,-123.129776,081_SunMar22
#030101,49.254349,-123.114761,081_SunMar22
#C96799,49.266222,-123.139545,081_SunMar22
#010201,49.286800,-123.114930,081_SunMar22
#090405,49.281391,-123.107781,081_SunMar22
#141111,49.250000,-123.100000,081_SunMar22
#060501,49.277069,-123.125732,081_SunMar22
#91747F,49.283336,-123.109054,081_SunMar22
#060503,49.280720,-123.121391,081_SunMar22
#D5C4C8,49.282574,-123.111343,081_SunMar22
#FCF5FA,49.267929,-123.157021,081_SunMar22
#000000,49.274156,-123.108888,081_SunMar22
#0C0806,49.284572,-123.124657,081_SunMar22
#040302,49.256206,-123.101044,081_SunMar22
#64122C,49.267929,-123.157021,081_SunMar22
#170507,49.266222,-123.139545,081_SunMar22
#FAFBFA,49.280010,-123.121262,081_SunMar22
#060102,49.267929,-123.157021,081_SunMar22
#190201,49.276520,-123.100632,081_SunMar22
#040C06,49.271856,-123.135008,081_SunMar22
#0E810F,49.275404,-123.109266,081_SunMar22
#1C090A,49.282887,-123.131394,081_SunMar22
#FDFBFD,49.267929,-123.157021,081_SunMar22
#FCF9FC,49.281929,-123.100098,081_SunMar22
#030101,49.283909,-123.118500,081_SunMar22
#010201,49.274063,-123.154361,081_SunMar22
#57A08A,49.281213,-123.132479,081_SunMar22
#20161D,49.285616,-123.120157,081_SunMar22
#75908B,49.271856,-123.135008,081_SunMar22
#0A130E,49.285739,-123.123934,081_SunMar22
#9E6281,49.269531,-123.138962,081_SunMar22
#605B56,49.228255,-123.154557,081_SunMar22
#03140B,49.275404,-123.109266,081_SunMar22
#030304,49.275404,-123.109266,081_SunMar22
