color,lat,long,date
#20171B,49.286675,-123.143220,092_ThuApr2
#9D4B71,49.300000,-123.140000,092_ThuApr2
#100508,49.283288,-123.103398,092_ThuApr2
#8A6E6B,49.250000,-123.100000,092_ThuApr2
#020101,49.280987,-123.095436,092_ThuApr2
#030001,49.280491,-123.120567,092_ThuApr2
#020202,49.279270,-123.129776,092_ThuApr2
#0A0D0C,49.300000,-123.140000,092_ThuApr2
#010101,49.281080,-123.104900,092_ThuApr2
#D661A1,49.290161,-123.133682,092_ThuApr2
#120307,49.232662,-123.076689,092_ThuApr2
#6E111E,49.283277,-123.105656,092_ThuApr2
#060502,49.278038,-123.109234,092_ThuApr2
#021606,49.283779,-123.067879,092_ThuApr2
#201A1E,49.283672,-123.130249,092_ThuApr2
#040202,49.250000,-123.100000,092_ThuApr2
#120E08,49.254084,-123.101285,092_ThuApr2
#050202,49.280841,-123.120544,092_ThuApr2
#065A1E,49.240403,-123.105333,092_ThuApr2
#050403,49.250000,-123.100000,092_ThuApr2
#110609,49.277069,-123.125732,092_ThuApr2
#F7FBFB,49.300000,-123.140000,092_ThuApr2
#17031C,49.287979,-123.128795,092_ThuApr2
#A17599,49.283141,-123.117692,092_ThuApr2
#1C070C,49.246487,-123.101028,092_ThuApr2
#010101,49.276211,-123.099480,092_ThuApr2
#140707,49.277069,-123.125732,092_ThuApr2
#020101,49.262192,-123.092392,092_ThuApr2
#010201,49.279270,-123.129776,092_ThuApr2
#140304,49.290610,-123.137140,092_ThuApr2
#ECE4EB,49.288128,-123.114868,092_ThuApr2
#1A0D17,49.250000,-123.100000,092_ThuApr2
#5A6762,49.274256,-123.111744,092_ThuApr2
#FBF8FB,49.286198,-123.112404,092_ThuApr2
#000000,49.273353,-123.103411,092_ThuApr2
#060405,49.288248,-123.118069,092_ThuApr2
#17211B,49.290170,-123.118142,092_ThuApr2
#8E7E83,49.290610,-123.137140,092_ThuApr2
#101F14,49.250000,-123.100000,092_ThuApr2
#FBF2FB,49.286198,-123.112404,092_ThuApr2
#F3E5EF,49.290610,-123.137140,092_ThuApr2
#EAE3E8,49.261200,-123.123056,092_ThuApr2
#F9EDF5,49.276100,-123.121140,092_ThuApr2
#020100,49.279270,-123.129776,092_ThuApr2
#15080A,49.283588,-123.113770,092_ThuApr2
#040302,49.279270,-123.129776,092_ThuApr2
#020102,49.237289,-123.153427,092_ThuApr2
#000000,49.262045,-123.070514,092_ThuApr2
#020202,49.281231,-123.085993,092_ThuApr2
#020101,49.273369,-123.078571,092_ThuApr2
#915D77,49.274373,-123.117753,092_ThuApr2
#030202,49.280491,-123.120567,092_ThuApr2
#030202,49.269520,-123.103729,092_ThuApr2
#050301,49.283325,-123.112495,092_ThuApr2
#010101,49.279270,-123.129776,092_ThuApr2
#010101,49.288617,-123.116876,092_ThuApr2
#210201,49.280491,-123.120567,092_ThuApr2
#060304,49.280491,-123.120567,092_ThuApr2
#FBFAFB,49.288617,-123.116876,092_ThuApr2
#060604,49.289711,-123.116074,092_ThuApr2
#050102,49.284222,-123.100403,092_ThuApr2
#020100,49.281929,-123.100098,092_ThuApr2
#F5FAF9,49.300000,-123.140000,092_ThuApr2
#050505,49.287941,-123.113132,092_ThuApr2
#050502,49.283138,-123.130570,092_ThuApr2
#1A1511,49.250000,-123.100000,092_ThuApr2
#160A09,49.281582,-123.132782,092_ThuApr2
#DBE1DD,49.276170,-123.119655,092_ThuApr2
#050102,49.279776,-123.109901,092_ThuApr2
#978495,49.291721,-123.138573,092_ThuApr2
#040202,49.283484,-123.104265,092_ThuApr2
#8E9492,49.282661,-123.109276,092_ThuApr2
#0F0F0A,49.285719,-123.116375,092_ThuApr2
#061A07,49.288033,-123.114475,092_ThuApr2
#020401,49.289711,-123.116074,092_ThuApr2
#030303,49.250000,-123.100000,092_ThuApr2
#239541,49.259603,-123.070535,092_ThuApr2
#020301,49.275153,-123.110006,092_ThuApr2
#B47A8D,49.279270,-123.129776,092_ThuApr2
#F1DBE7,49.273296,-123.129241,092_ThuApr2
#040604,49.280404,-123.121227,092_ThuApr2
#020202,49.281391,-123.107781,092_ThuApr2
#060304,49.271856,-123.135008,092_ThuApr2
#030204,49.264049,-123.115051,092_ThuApr2
#050802,49.262001,-123.070488,092_ThuApr2
#0E0C09,49.284209,-123.141355,092_ThuApr2
#14080A,49.288617,-123.116876,092_ThuApr2
#050602,49.279633,-123.122586,092_ThuApr2
#050305,49.284661,-123.112716,092_ThuApr2
#010001,49.250000,-123.100000,092_ThuApr2
#CBA7AB,49.282620,-123.116921,092_ThuApr2
#94697D,49.263401,-123.117020,092_ThuApr2
#FDFDFB,49.279270,-123.129776,092_ThuApr2
#030303,49.262001,-123.070488,092_ThuApr2
#140A10,49.278566,-123.099695,092_ThuApr2
#AB7D8E,49.267971,-123.101708,092_ThuApr2
#580814,49.279934,-123.108154,092_ThuApr2
#0F0605,49.279258,-123.091233,092_ThuApr2
#0B0C09,49.275380,-123.093610,092_ThuApr2
#010200,49.279270,-123.129776,092_ThuApr2
#C0C8C8,49.276091,-123.126472,092_ThuApr2
#B38296,49.257550,-123.139114,092_ThuApr2
#090702,49.273353,-123.103411,092_ThuApr2
#130C10,49.250000,-123.100000,092_ThuApr2
#020601,49.279270,-123.129776,092_ThuApr2
#030100,49.254456,-123.080432,092_ThuApr2
#23AD58,49.271856,-123.135008,092_ThuApr2
#030202,49.279673,-123.122702,092_ThuApr2
#645B5B,49.286675,-123.143220,092_ThuApr2
#0F0304,49.279270,-123.129776,092_ThuApr2
#060604,49.281929,-123.100098,092_ThuApr2
#ECE7E8,49.278740,-123.126389,092_ThuApr2
#090405,49.288396,-123.130503,092_ThuApr2
#030403,49.283909,-123.116691,092_ThuApr2
#080702,49.275470,-123.136643,092_ThuApr2
#030300,49.281929,-123.100098,092_ThuApr2
#202320,49.286675,-123.143220,092_ThuApr2
#04571F,49.300743,-123.130331,092_ThuApr2
#080508,49.271856,-123.135008,092_ThuApr2
#000100,49.250000,-123.100000,092_ThuApr2
#020101,49.279270,-123.129776,092_ThuApr2
#010701,49.287431,-123.112809,092_ThuApr2
#050706,49.250000,-123.100000,092_ThuApr2
#070F0A,49.288563,-123.138597,092_ThuApr2
#110E08,49.282728,-123.123536,092_ThuApr2
#000100,49.279270,-123.129776,092_ThuApr2
#010401,49.281929,-123.100098,092_ThuApr2
#060402,49.279270,-123.129776,092_ThuApr2
#020302,49.274862,-123.069556,092_ThuApr2
#070607,49.232662,-123.076689,092_ThuApr2
#170708,49.270460,-123.100585,092_ThuApr2
#040202,49.279270,-123.129776,092_ThuApr2
#010100,49.279270,-123.129776,092_ThuApr2
#110D0E,49.284599,-123.108887,092_ThuApr2
#010300,49.279270,-123.129776,092_ThuApr2
#E1BBEC,49.269167,-123.149990,092_ThuApr2
#010201,49.279270,-123.129776,092_ThuApr2
#000000,49.279270,-123.129776,092_ThuApr2
#020102,49.279270,-123.129776,092_ThuApr2
#F8F3F4,49.271816,-123.071211,092_ThuApr2
#060606,49.287793,-123.130136,092_ThuApr2
#ACC8BB,49.250000,-123.100000,092_ThuApr2
#010101,49.279251,-123.120506,092_ThuApr2
#190209,49.265531,-123.143564,092_ThuApr2
#000000,49.250000,-123.100000,092_ThuApr2
#010001,49.282120,-123.109520,092_ThuApr2
#9C8C9C,49.293240,-123.140152,092_ThuApr2
#1D070F,49.273722,-123.097917,092_ThuApr2
#010101,49.224876,-123.107727,092_ThuApr2
#BEB9BA,49.279259,-123.101677,092_ThuApr2
#DFA8E2,49.250000,-123.100000,092_ThuApr2
#020102,49.257629,-123.100838,092_ThuApr2
#020001,49.254345,-123.085167,092_ThuApr2
#090A06,49.259357,-123.101038,092_ThuApr2
#E8DBE1,49.288915,-123.111009,092_ThuApr2
#180D0D,49.283364,-123.116994,092_ThuApr2
#010101,49.284183,-123.113342,092_ThuApr2
#D0A8C1,49.273364,-123.097832,092_ThuApr2
#B295BB,49.285492,-123.120301,092_ThuApr2
#D2D0D9,49.250000,-123.100000,092_ThuApr2
#E9E9E6,49.262989,-123.080756,092_ThuApr2
#120B0C,49.248663,-123.092244,092_ThuApr2
#0D0206,49.288639,-123.142418,092_ThuApr2
#09061B,49.276211,-123.099480,092_ThuApr2
#020502,49.285833,-123.123611,092_ThuApr2
#E4ECEF,49.284530,-123.109892,092_ThuApr2
#020202,49.283401,-123.117752,092_ThuApr2
#060505,49.278442,-123.124527,092_ThuApr2
#71E396,49.290437,-123.121587,092_ThuApr2
#020101,49.270247,-123.145522,092_ThuApr2
#030202,49.284661,-123.112716,092_ThuApr2
#040402,49.274063,-123.154361,092_ThuApr2
#020101,49.282852,-123.135269,092_ThuApr2
#F7F5F6,49.289588,-123.127209,092_ThuApr2
#8D7079,43.866700,-79.266700,092_ThuApr2
#77B08F,49.216901,-123.077238,092_ThuApr2
#D2BBC4,49.275723,-123.128128,092_ThuApr2
#9C808F,49.264719,-123.103012,092_ThuApr2
#CFD0D9,49.287991,-123.141899,092_ThuApr2
#030202,49.257629,-123.100838,092_ThuApr2
#101716,49.280063,-123.108597,092_ThuApr2
#0B0B0B,49.284064,-123.106409,092_ThuApr2
#18040B,49.280063,-123.108597,092_ThuApr2
#0E070B,49.283965,-123.106392,092_ThuApr2
#22191F,49.281921,-123.108414,092_ThuApr2
#150F12,49.284064,-123.106409,092_ThuApr2
#020202,49.271580,-123.106979,092_ThuApr2
#0A0A0A,49.276508,-123.128045,092_ThuApr2
#140F08,49.281838,-123.133451,092_ThuApr2
#C2779E,49.284661,-123.112716,092_ThuApr2
#F9F3F7,49.281921,-123.108414,092_ThuApr2
#060304,49.274412,-123.125304,092_ThuApr2
#030202,49.271580,-123.106979,092_ThuApr2
#120E10,49.269400,-123.123800,092_ThuApr2
#7E2856,49.274063,-123.154361,092_ThuApr2
#F4F6F5,49.285106,-123.102149,092_ThuApr2
#060702,49.282005,-123.108032,092_ThuApr2
#B595AB,49.281895,-123.107414,092_ThuApr2
#FCF9FC,49.276920,-123.127190,092_ThuApr2
#090713,49.250000,-123.100000,092_ThuApr2
