color,lat,long,date
#012701,49.280720,-123.121391,093_FriApr3
#1A0F17,49.289337,-123.131859,093_FriApr3
#030204,49.275276,-123.121262,093_FriApr3
#11040D,49.264561,-123.101112,093_FriApr3
#010101,49.280659,-123.100861,093_FriApr3
#9A5E90,49.275364,-123.069592,093_FriApr3
#0F060B,49.289337,-123.131859,093_FriApr3
#DED9DD,49.333867,-122.936587,093_FriApr3
#A66F92,49.242222,-123.115000,093_FriApr3
#010302,49.280720,-123.121391,093_FriApr3
#040303,49.288311,-123.116730,093_FriApr3
#02DA01,49.280460,-123.100876,093_FriApr3
#010300,49.280491,-123.120567,093_FriApr3
#AA8AA6,49.275364,-123.069592,093_FriApr3
#F9F1F5,49.282989,-123.124039,093_FriApr3
#D3B5C5,49.290562,-123.133602,093_FriApr3
#030303,49.279294,-123.075063,093_FriApr3
#000000,49.248047,-123.101239,093_FriApr3
#060505,49.277157,-123.125916,093_FriApr3
#060504,49.285961,-123.124161,093_FriApr3
#202020,49.282834,-123.120458,093_FriApr3
#050501,49.266222,-123.139545,093_FriApr3
#010101,49.280659,-123.100861,093_FriApr3
#010101,49.279160,-123.074930,093_FriApr3
#F6EDF9,49.283642,-123.106773,093_FriApr3
#030302,49.280720,-123.121391,093_FriApr3
#090306,49.284395,-123.109153,093_FriApr3
#050606,49.279270,-123.129776,093_FriApr3
#020001,49.272200,-123.134013,093_FriApr3
#650C22,49.282219,-123.134659,093_FriApr3
#010001,49.280491,-123.120567,093_FriApr3
#F5EBEF,49.283271,-123.114829,093_FriApr3
#010201,49.284438,-123.124463,093_FriApr3
#B35A6F,49.268351,-123.100271,093_FriApr3
#9A5471,49.283271,-123.114829,093_FriApr3
#F1F1F1,49.280659,-123.100861,093_FriApr3
#000100,49.280659,-123.100861,093_FriApr3
#060601,49.282124,-123.118362,093_FriApr3
#FEFEFE,49.270690,-123.146600,093_FriApr3
#0F0405,49.269400,-123.123800,093_FriApr3
#EADEE5,49.285961,-123.124161,093_FriApr3
#000000,49.255460,-123.093013,093_FriApr3
#020101,49.280796,-123.117943,093_FriApr3
#070807,49.284352,-123.110429,093_FriApr3
#080506,49.269204,-123.069556,093_FriApr3
#FCF7FB,49.280720,-123.121391,093_FriApr3
#081411,49.276711,-123.127144,093_FriApr3
#C39AB5,49.282728,-123.123536,093_FriApr3
#010101,49.283623,-123.103828,093_FriApr3
#020001,49.246155,-123.101036,093_FriApr3
#020101,49.278957,-123.123207,093_FriApr3
#020202,49.279160,-123.074930,093_FriApr3
#FBFAFB,49.279461,-123.122124,093_FriApr3
#010101,49.288071,-123.130814,093_FriApr3
#050204,49.286797,-123.142540,093_FriApr3
#020201,49.279160,-123.074930,093_FriApr3
#986679,49.278957,-123.123207,093_FriApr3
#190708,49.274208,-123.069748,093_FriApr3
#010101,49.280659,-123.100861,093_FriApr3
#010101,49.269204,-123.069556,093_FriApr3
#060204,49.272625,-123.135620,093_FriApr3
#C7DBCB,49.250978,-123.119341,093_FriApr3
#FCFDFD,49.280491,-123.120567,093_FriApr3
#0A0204,49.284861,-123.122912,093_FriApr3
#FCF3FA,49.282834,-123.120458,093_FriApr3
#040203,49.269400,-123.123800,093_FriApr3
#030502,49.279160,-123.074930,093_FriApr3
#040504,49.284538,-123.122009,093_FriApr3
#120306,49.282663,-123.124930,093_FriApr3
#010101,49.284981,-123.110840,093_FriApr3
#21C24D,49.225856,-123.101426,093_FriApr3
#1A0C14,49.229000,-123.152000,093_FriApr3
#030102,49.283623,-123.103828,093_FriApr3
#0D0404,49.276711,-123.127144,093_FriApr3
#7F0419,49.283277,-123.105656,093_FriApr3
#111702,49.279270,-123.129776,093_FriApr3
#030102,49.290880,-123.136390,093_FriApr3
#030303,49.242222,-123.115000,093_FriApr3
#090309,49.270690,-123.146600,093_FriApr3
#010001,49.280659,-123.100861,093_FriApr3
#110508,49.276352,-123.119621,093_FriApr3
#0F0A0B,49.280404,-123.121227,093_FriApr3
#060605,49.284538,-123.122009,093_FriApr3
#120F0C,49.280491,-123.120567,093_FriApr3
#5D091B,49.288128,-123.114868,093_FriApr3
#010100,49.281391,-123.107781,093_FriApr3
#DFDEE0,49.670943,-123.131188,093_FriApr3
#0A0E0C,49.273071,-123.157333,093_FriApr3
#050604,49.282620,-123.116921,093_FriApr3
#211D19,49.283623,-123.103828,093_FriApr3
#E0F4EF,49.282728,-123.123536,093_FriApr3
#040F08,49.273071,-123.157333,093_FriApr3
#010301,49.280720,-123.121391,093_FriApr3
#100705,49.290880,-123.136390,093_FriApr3
#111512,49.274063,-123.154361,093_FriApr3
#020201,49.261200,-123.123056,093_FriApr3
#F7ECF2,49.284042,-123.107463,093_FriApr3
#0AAA01,49.280659,-123.100861,093_FriApr3
#060606,49.275452,-123.121330,093_FriApr3
#098C03,49.280491,-123.120567,093_FriApr3
#040507,49.277799,-123.107774,093_FriApr3
#010201,49.280659,-123.100861,093_FriApr3
#030202,49.280796,-123.117943,093_FriApr3
#050501,49.280720,-123.121391,093_FriApr3
#F8E7F0,49.282834,-123.120458,093_FriApr3
#070501,49.260338,-123.096552,093_FriApr3
#171206,49.279270,-123.129776,093_FriApr3
#E6BECE,49.282620,-123.116921,093_FriApr3
#190B0E,49.250000,-123.100000,093_FriApr3
#020101,49.242514,-123.151428,093_FriApr3
#F3ECEF,49.282834,-123.120458,093_FriApr3
#E7FBF2,49.280720,-123.121391,093_FriApr3
#FDF9FA,49.280248,-123.114811,093_FriApr3
#7E7778,49.282356,-123.134501,093_FriApr3
#AD5A8E,49.268595,-123.097924,093_FriApr3
#7EF6B8,49.280720,-123.121391,093_FriApr3
#040402,49.283909,-123.116691,093_FriApr3
#241519,49.280491,-123.120567,093_FriApr3
#000101,49.279461,-123.122124,093_FriApr3
#000600,49.260307,-123.096275,093_FriApr3
#FDFBFD,49.284599,-123.108887,093_FriApr3
#010000,49.266145,-123.088719,093_FriApr3
#100609,49.279270,-123.129776,093_FriApr3
#ECA4DC,49.276352,-123.119621,093_FriApr3
#030101,49.264019,-123.105309,093_FriApr3
#050A03,49.281391,-123.107781,093_FriApr3
#100107,49.300000,-123.140000,093_FriApr3
#020601,49.250000,-123.100000,093_FriApr3
#010001,49.281411,-123.074650,093_FriApr3
#030101,49.289923,-123.126048,093_FriApr3
#8F8082,49.250000,-123.100000,093_FriApr3
#010101,49.280659,-123.100861,093_FriApr3
#040E06,49.250000,-123.100000,093_FriApr3
#FDF8F9,49.279270,-123.129776,093_FriApr3
#020101,49.280720,-123.121391,093_FriApr3
#1D1006,49.269520,-123.103729,093_FriApr3
#010101,49.280659,-123.100861,093_FriApr3
#020403,49.263550,-123.069550,093_FriApr3
#21191A,49.284016,-123.114159,093_FriApr3
#03E304,49.280491,-123.120567,093_FriApr3
#0A160B,49.250000,-123.100000,093_FriApr3
#FCFCFB,49.279160,-123.074930,093_FriApr3
#F0E4E6,49.281582,-123.132782,093_FriApr3
#EDECEF,49.260532,-123.127214,093_FriApr3
#010302,49.280720,-123.121391,093_FriApr3
#F8F7F2,49.279270,-123.129776,093_FriApr3
#110909,49.284861,-123.122912,093_FriApr3
#99A3A0,49.283156,-123.109243,093_FriApr3
#040303,49.286521,-123.136112,093_FriApr3
#020602,49.280720,-123.121391,093_FriApr3
#050201,49.283333,-123.119217,093_FriApr3
#050202,49.279270,-123.129776,093_FriApr3
#051604,49.280720,-123.121391,093_FriApr3
#041404,49.242039,-123.111942,093_FriApr3
#D5CCD5,49.281874,-123.124205,093_FriApr3
#020102,49.286521,-123.136112,093_FriApr3
#070601,49.273638,-123.127420,093_FriApr3
#010101,49.279160,-123.074930,093_FriApr3
