color,lat,long,date
#010001,49.274093,-123.123655,109_SunApr19
#E09ECF,49.287811,-123.120529,109_SunApr19
#0F0807,49.273605,-123.069344,109_SunApr19
#B35680,49.264248,-123.110818,109_SunApr19
#FDFDFD,49.278005,-123.124641,109_SunApr19
#739D8E,49.341032,-123.267198,109_SunApr19
#0D0707,49.283508,-123.105095,109_SunApr19
#050204,49.284424,-123.112965,109_SunApr19
#040404,49.285301,-123.118294,109_SunApr19
#FDFCFD,49.284016,-123.114159,109_SunApr19
#060604,49.277950,-123.113991,109_SunApr19
#97969F,49.268013,-123.154892,109_SunApr19
#717B74,49.271856,-123.135008,109_SunApr19
#070901,49.279669,-123.122709,109_SunApr19
#010101,49.284599,-123.108887,109_SunApr19
#020302,49.264171,-123.069925,109_SunApr19
#020001,49.263550,-123.069550,109_SunApr19
#C5C9C9,49.284996,-123.120818,109_SunApr19
#62190C,49.288311,-123.116730,109_SunApr19
#1D1E1E,49.290298,-123.133347,109_SunApr19
#1B140E,49.288639,-123.142418,109_SunApr19
#7C9181,49.251011,-123.119489,109_SunApr19
#020202,49.289054,-123.111023,109_SunApr19
#050807,49.276066,-123.144535,109_SunApr19
#030303,49.278966,-123.123368,109_SunApr19
#CBC6CB,49.274373,-123.117753,109_SunApr19
#629373,49.269400,-123.123800,109_SunApr19
#010501,49.271580,-123.106979,109_SunApr19
#020202,49.279294,-123.075063,109_SunApr19
#FDFBFC,49.283336,-123.109054,109_SunApr19
#030102,49.281704,-123.104149,109_SunApr19
#010500,49.278038,-123.109234,109_SunApr19
#541416,49.231013,-123.154118,109_SunApr19
#020101,49.278038,-123.109234,109_SunApr19
#733D55,49.288311,-123.116730,109_SunApr19
#E2E0E9,49.287431,-123.112809,109_SunApr19
#110B07,49.281204,-123.120316,109_SunApr19
#090305,49.279294,-123.075063,109_SunApr19
#030602,49.280720,-123.121391,109_SunApr19
#F8E5F4,49.279573,-123.138529,109_SunApr19
#201A1F,49.232700,-123.117188,109_SunApr19
#120508,49.278529,-123.098299,109_SunApr19
#0F0A0D,49.280796,-123.117943,109_SunApr19
#000000,49.278038,-123.109234,109_SunApr19
#020102,49.279669,-123.122709,109_SunApr19
#831828,49.279551,-123.103416,109_SunApr19
#FBEAF8,49.279573,-123.138529,109_SunApr19
#0A0407,49.285164,-123.111912,109_SunApr19
#E8E5E4,49.264530,-123.105271,109_SunApr19
#F6F3F5,49.291103,-123.136284,109_SunApr19
#917683,49.279294,-123.075063,109_SunApr19
#0E0807,49.281846,-123.114606,109_SunApr19
#926981,49.262384,-123.074278,109_SunApr19
#0E050D,49.242911,-123.100297,109_SunApr19
#77A783,49.300000,-123.140000,109_SunApr19
#86AD9C,49.234502,-123.070149,109_SunApr19
#C49DB1,49.284485,-123.113434,109_SunApr19
#010101,49.250000,-123.100000,109_SunApr19
#0A0D09,49.282739,-123.106424,109_SunApr19
#F6FAF9,49.285833,-123.111667,109_SunApr19
#030203,49.258366,-123.097796,109_SunApr19
#635567,49.300000,-123.140000,109_SunApr19
#060D06,49.278326,-123.115005,109_SunApr19
#020101,49.282116,-123.099838,109_SunApr19
#B397A4,49.279294,-123.075063,109_SunApr19
#040101,49.281704,-123.104149,109_SunApr19
#C16CA7,49.165013,-123.127335,109_SunApr19
#110805,49.232979,-123.077461,109_SunApr19
#020501,49.266938,-123.069565,109_SunApr19
#070702,49.270031,-123.144997,109_SunApr19
#7AAF94,49.288128,-123.114868,109_SunApr19
#A3A3A3,49.282520,-123.107964,109_SunApr19
#090605,49.284618,-123.112020,109_SunApr19
#9F6E85,49.279551,-123.103416,109_SunApr19
#040702,49.276979,-123.126573,109_SunApr19
#101413,49.288128,-123.114868,109_SunApr19
#120B0F,49.283083,-123.110442,109_SunApr19
#020202,49.278038,-123.109234,109_SunApr19
#020101,49.264897,-123.069818,109_SunApr19
#C5D9CD,49.254456,-123.080432,109_SunApr19
#A7879B,49.279551,-123.103416,109_SunApr19
#020101,49.280659,-123.100861,109_SunApr19
#91596D,49.270031,-123.144997,109_SunApr19
#030201,49.282739,-123.106424,109_SunApr19
#010501,49.277157,-123.125916,109_SunApr19
#070907,49.284111,-123.111565,109_SunApr19
#020302,49.284618,-123.112020,109_SunApr19
#F4F6F5,49.293286,-123.139987,109_SunApr19
#020202,49.282801,-123.124067,109_SunApr19
#61B77D,49.289187,-123.114270,109_SunApr19
#030400,49.284111,-123.111565,109_SunApr19
#090909,49.292465,-123.129150,109_SunApr19
#E9FBFB,49.290437,-123.121587,109_SunApr19
#010101,49.271856,-123.135008,109_SunApr19
#020101,49.262959,-123.115059,109_SunApr19
#7F7676,49.285842,-123.141289,109_SunApr19
#070705,49.271856,-123.135008,109_SunApr19
#020202,49.280659,-123.100861,109_SunApr19
#0C0C0D,49.279519,-123.115608,109_SunApr19
#020302,49.280659,-123.100861,109_SunApr19
#F9F1F5,49.271790,-123.105713,109_SunApr19
#EBEDED,49.270979,-123.127850,109_SunApr19
#020402,49.282739,-123.106424,109_SunApr19
#14070E,49.300000,-123.140000,109_SunApr19
#96294E,49.255959,-123.101700,109_SunApr19
#5F5F5F,49.289711,-123.116074,109_SunApr19
#DD9AC0,49.283100,-123.104393,109_SunApr19
#FCFBFC,49.300000,-123.140000,109_SunApr19
#020202,49.257489,-123.092249,109_SunApr19
#0B0707,49.280404,-123.121227,109_SunApr19
#030102,49.279690,-123.097519,109_SunApr19
#050203,49.278304,-123.112944,109_SunApr19
#21191F,49.300000,-123.140000,109_SunApr19
#1F0301,49.280659,-123.100861,109_SunApr19
#E7B1C0,49.285739,-123.123934,109_SunApr19
#070101,49.279720,-123.121712,109_SunApr19
#010101,49.264473,-123.069595,109_SunApr19
#A5A29E,49.261501,-123.157282,109_SunApr19
#080504,49.276390,-123.109489,109_SunApr19
#080605,49.279690,-123.097519,109_SunApr19
#001101,49.283484,-123.104265,109_SunApr19
#050401,49.282675,-123.106064,109_SunApr19
#0A0607,49.274063,-123.154361,109_SunApr19
#031D01,49.281271,-123.098454,109_SunApr19
#170309,49.264473,-123.069595,109_SunApr19
#010100,49.264795,-123.070008,109_SunApr19
#030502,49.281271,-123.098454,109_SunApr19
#050401,49.282675,-123.106064,109_SunApr19
#0E0703,49.275726,-123.120552,109_SunApr19
#040304,49.215577,-123.102296,109_SunApr19
#994E78,49.277031,-123.218043,109_SunApr19
#050605,49.281271,-123.098454,109_SunApr19
#000000,49.275404,-123.109266,109_SunApr19
#030302,49.281271,-123.098454,109_SunApr19
#091302,49.278111,-123.108854,109_SunApr19
#020201,49.281271,-123.098454,109_SunApr19
#010000,49.288621,-123.114094,109_SunApr19
#8C6C81,49.250000,-123.100000,109_SunApr19
#0B1E00,49.278111,-123.108854,109_SunApr19
#FEFAFC,49.285739,-123.123934,109_SunApr19
#28141A,49.267879,-123.153412,109_SunApr19
#1D1218,49.276470,-123.114105,109_SunApr19
#020202,49.284569,-123.142807,109_SunApr19
#F3F5F3,49.282688,-123.104805,109_SunApr19
#4F544E,49.275051,-123.121628,109_SunApr19
#0E0A09,49.275490,-123.120918,109_SunApr19
#030402,49.284599,-123.108887,109_SunApr19
#0E0A08,49.285716,-123.124686,109_SunApr19
#050203,49.278129,-123.124989,109_SunApr19
#B1BFBA,49.275051,-123.121628,109_SunApr19
#0F0905,49.275490,-123.120918,109_SunApr19
#0B0505,49.283138,-123.100302,109_SunApr19
#140F09,49.289310,-123.140080,109_SunApr19
#131110,49.275490,-123.120918,109_SunApr19
#998498,49.284042,-123.107463,109_SunApr19
#010101,49.289711,-123.116074,109_SunApr19
#040203,49.278386,-123.116439,109_SunApr19
#490106,49.275490,-123.120918,109_SunApr19
#030102,49.275490,-123.120918,109_SunApr19
#CC6C9C,49.226822,-123.128702,109_SunApr19
#020201,49.289711,-123.116074,109_SunApr19
#040304,49.275490,-123.120918,109_SunApr19
#160D06,49.285294,-123.111887,109_SunApr19
#160509,49.279776,-123.109901,109_SunApr19
#020102,49.279705,-123.122063,109_SunApr19
#F8F8F8,49.266361,-123.138596,109_SunApr19
#B3AEB0,49.259539,-123.137133,109_SunApr19
#CCD2D0,49.275107,-123.122541,109_SunApr19
#010201,49.278038,-123.109234,109_SunApr19
#75BFA0,49.290170,-123.118142,109_SunApr19
#635156,49.276445,-123.087142,109_SunApr19
#050303,49.278111,-123.108854,109_SunApr19
#020001,49.274642,-123.122509,109_SunApr19
#51946E,49.260872,-123.113953,109_SunApr19
#030204,49.278038,-123.109234,109_SunApr19
#020101,49.283220,-123.119157,109_SunApr19
#946E75,49.280796,-123.117943,109_SunApr19
#BB718D,49.271759,-123.106279,109_SunApr19
#150E15,49.250000,-123.100000,109_SunApr19
#020201,49.279669,-123.122709,109_SunApr19
#66EF9E,49.288128,-123.114868,109_SunApr19
#050602,49.284111,-123.111565,109_SunApr19
#231405,49.292465,-123.129150,109_SunApr19
#C693AC,49.278992,-123.109411,109_SunApr19
#704C65,49.250000,-123.100000,109_SunApr19
#0C0E0B,49.276520,-123.100632,109_SunApr19
#F7F4F9,49.272625,-123.135620,109_SunApr19
#161112,49.281391,-123.132736,109_SunApr19
#F8F3F5,49.279270,-123.129776,109_SunApr19
#120B05,49.283214,-123.103059,109_SunApr19
#020101,49.280720,-123.121391,109_SunApr19
#FB6A9C,49.275470,-123.136643,109_SunApr19
#020201,49.290437,-123.121587,109_SunApr19
#190B08,49.279270,-123.129776,109_SunApr19
#0E1A15,49.269400,-123.123800,109_SunApr19
#050100,49.283623,-123.103828,109_SunApr19
#050302,49.281982,-123.116661,109_SunApr19
#020101,49.280404,-123.121227,109_SunApr19
#1B1509,49.284042,-123.107463,109_SunApr19
#030102,49.286078,-123.133545,109_SunApr19
#020101,49.280660,-123.100860,109_SunApr19
#070807,49.281271,-123.098454,109_SunApr19
#060501,49.277157,-123.125916,109_SunApr19
#020501,49.278038,-123.109234,109_SunApr19
#020402,49.278038,-123.109234,109_SunApr19
#240A15,49.232979,-123.077461,109_SunApr19
#001821,49.273353,-123.103411,109_SunApr19
#180602,49.250000,-123.100000,109_SunApr19
#040102,49.263750,-123.145136,109_SunApr19
#020202,49.250000,-123.100000,109_SunApr19
#1B070E,49.281273,-123.106551,109_SunApr19
#030101,49.264561,-123.101112,109_SunApr19
#040501,49.281509,-123.132667,109_SunApr19
#F2E7EE,49.279966,-123.127649,109_SunApr19
#060102,49.257133,-123.097105,109_SunApr19
#182916,49.279085,-123.122717,109_SunApr19
#D2C1CB,49.276516,-123.069633,109_SunApr19
#030102,49.288311,-123.116730,109_SunApr19
#020101,49.216514,-123.090853,109_SunApr19
#060604,49.276979,-123.126573,109_SunApr19
#F9FCFB,49.254456,-123.080432,109_SunApr19
#1D0A04,49.284569,-123.142807,109_SunApr19
#FCF6F9,49.242222,-123.115000,109_SunApr19
#010001,49.284569,-123.142807,109_SunApr19
#FEFBFE,49.242222,-123.115000,109_SunApr19
#020302,49.283718,-123.121109,109_SunApr19
#FBF4F9,49.242222,-123.115000,109_SunApr19
#A49B9F,49.269955,-123.108247,109_SunApr19
#0F0119,49.242222,-123.115000,109_SunApr19
#010101,49.283119,-123.103912,109_SunApr19
#1B1C1A,49.290722,-123.133995,109_SunApr19
#11080B,49.250000,-123.100000,109_SunApr19
#E8EBE4,49.282834,-123.120458,109_SunApr19
#110B06,49.271702,-123.150573,109_SunApr19
#FEFCFD,49.292427,-123.134285,109_SunApr19
#050402,49.284111,-123.111565,109_SunApr19
#000000,49.271702,-123.150573,109_SunApr19
#010401,49.229848,-122.905031,109_SunApr19
#72A291,49.286332,-123.127460,109_SunApr19
#030403,49.264191,-123.156807,109_SunApr19
#DBD7D9,49.270460,-123.100585,109_SunApr19
#E1DFE0,49.270460,-123.100585,109_SunApr19
#1C1E09,49.279735,-123.109801,109_SunApr19
#FBECF6,49.232662,-123.076689,109_SunApr19
#070202,49.281982,-123.122955,109_SunApr19
#030303,49.250000,-123.100000,109_SunApr19
#ADA6C5,49.250000,-123.100000,109_SunApr19
#150B0C,49.288791,-123.112479,109_SunApr19
#060102,49.280659,-123.100861,109_SunApr19
#1C0808,49.276100,-123.121140,109_SunApr19
#1C1111,49.287290,-123.129217,109_SunApr19
#0F0605,49.280552,-123.101929,109_SunApr19
#160512,49.300000,-123.140000,109_SunApr19
#000200,49.283240,-123.114790,109_SunApr19
#D9B9CD,49.278632,-123.127291,109_SunApr19
#CBC7CB,49.280796,-123.117943,109_SunApr19
#1D0108,49.251419,-123.078827,109_SunApr19
#020104,49.300000,-123.140000,109_SunApr19
#020302,49.289882,-123.132891,109_SunApr19
#70F097,49.271856,-123.135008,109_SunApr19
#E9EAEC,49.284148,-123.119035,109_SunApr19
#5E0418,49.269454,-123.131054,109_SunApr19
#FFFFFF,49.242222,-123.115000,109_SunApr19
#050503,49.263561,-123.144646,109_SunApr19
#F4E7F8,49.379556,-123.081803,109_SunApr19
#020504,49.279308,-123.119463,109_SunApr19
#B78B9F,49.288333,-123.117778,109_SunApr19
#918380,49.281796,-123.124709,109_SunApr19
#040501,49.268013,-123.154892,109_SunApr19
#C6B1B0,49.283909,-123.116691,109_SunApr19
#B76D9D,49.265881,-123.107803,109_SunApr19
#020102,49.282348,-123.101948,109_SunApr19
#010101,49.286240,-123.116974,109_SunApr19
#AB669D,49.223761,-123.089225,109_SunApr19
#E8C8E0,49.289882,-123.132891,109_SunApr19
#030302,49.278014,-123.109052,109_SunApr19
#4D665C,49.280404,-123.121227,109_SunApr19
#C1BABD,49.283909,-123.116691,109_SunApr19
#030300,49.250000,-123.100000,109_SunApr19
#070606,49.275832,-123.110378,109_SunApr19
#0C0606,49.280384,-123.131455,109_SunApr19
#79696F,49.282219,-123.134659,109_SunApr19
#010202,49.250000,-123.100000,109_SunApr19
#040404,49.277487,-123.120208,109_SunApr19
#030502,49.283169,-123.102859,109_SunApr19
#D21B78,49.267997,-123.098487,109_SunApr19
#020101,49.279610,-123.113098,109_SunApr19
#060304,49.273353,-123.103411,109_SunApr19
#010401,49.269281,-123.118655,109_SunApr19
#030202,49.276685,-123.112000,109_SunApr19
#050401,49.273353,-123.103411,109_SunApr19
#020102,49.273476,-123.113510,109_SunApr19
#15100D,49.290438,-123.130592,109_SunApr19
#B46AAB,49.273353,-123.103411,109_SunApr19
#3C0109,49.273353,-123.103411,109_SunApr19
#EBD4EC,49.292598,-123.138363,109_SunApr19
#070203,49.273353,-123.103411,109_SunApr19
#070604,49.282051,-123.107887,109_SunApr19
#CBD5CD,49.300000,-123.140000,109_SunApr19
#FDFDFD,49.286549,-123.120918,109_SunApr19
#EEEDEE,49.283185,-123.107820,109_SunApr19
#C4CEC6,49.279232,-123.116798,109_SunApr19
#0A040F,49.238990,-123.129839,109_SunApr19
#150611,49.238990,-123.129839,109_SunApr19
#AF7196,49.250000,-123.100000,109_SunApr19
