color,lat,long,date
#0B0F07,49.281849,-123.105560,115_SatApr25
#08110A,49.276817,-123.121964,115_SatApr25
#040202,49.274380,-123.123711,115_SatApr25
#C8D3C9,49.273353,-123.103411,115_SatApr25
#090B05,49.275404,-123.109266,115_SatApr25
#150F0E,49.282834,-123.120458,115_SatApr25
#020402,49.279720,-123.121710,115_SatApr25
#D4D4D4,49.304062,-123.156487,115_SatApr25
#020201,49.266667,-123.166667,115_SatApr25
#F2EFF2,49.283439,-123.115350,115_SatApr25
#020103,49.263250,-123.106190,115_SatApr25
#0C0D02,49.280287,-123.121436,115_SatApr25
#0D0306,49.276100,-123.121140,115_SatApr25
#040403,49.283770,-123.126120,115_SatApr25
#0B0307,49.278652,-123.098618,115_SatApr25
#040503,49.280659,-123.100861,115_SatApr25
#B19BA4,49.250000,-123.100000,115_SatApr25
#030101,49.264240,-123.101410,115_SatApr25
#010201,49.278936,-123.123275,115_SatApr25
#080305,49.284818,-123.121436,115_SatApr25
#030400,49.264240,-123.101410,115_SatApr25
#010101,49.275153,-123.110006,115_SatApr25
#F6F0F2,49.288181,-123.115578,115_SatApr25
#040201,49.285199,-123.111159,115_SatApr25
#030302,49.277740,-123.129740,115_SatApr25
#18130B,49.263346,-123.125261,115_SatApr25
#020401,49.279270,-123.129776,115_SatApr25
#17110E,49.284159,-123.123984,115_SatApr25
#0C0507,49.279538,-123.100612,115_SatApr25
#010000,49.274380,-123.123711,115_SatApr25
#0F0A0E,49.281503,-123.101743,115_SatApr25
#020100,49.264130,-123.100878,115_SatApr25
#030404,49.282834,-123.120458,115_SatApr25
#1C0B0C,49.284020,-123.117212,115_SatApr25
#C8C6CE,49.267700,-123.101242,115_SatApr25
#030101,49.274559,-123.122650,115_SatApr25
#F6D8E6,49.276154,-123.078766,115_SatApr25
#070604,49.280659,-123.100861,115_SatApr25
#698286,49.275470,-123.136643,115_SatApr25
#010201,49.280659,-123.100861,115_SatApr25
#B2EEDC,49.250000,-123.100000,115_SatApr25
#060605,49.281548,-123.123627,115_SatApr25
#010403,49.283140,-123.117380,115_SatApr25
#1A1018,49.263351,-123.125471,115_SatApr25
#030302,49.281422,-123.105757,115_SatApr25
#1B110F,49.224639,-123.083608,115_SatApr25
#FBFBFB,49.279270,-123.129776,115_SatApr25
#040202,49.283367,-123.116333,115_SatApr25
#0B0609,49.279720,-123.121712,115_SatApr25
#020102,49.282679,-123.104909,115_SatApr25
#040101,49.279720,-123.121712,115_SatApr25
#686868,49.267700,-123.101242,115_SatApr25
#010101,49.282679,-123.104909,115_SatApr25
#020001,49.288635,-123.131332,115_SatApr25
#030202,49.282834,-123.120458,115_SatApr25
#100612,49.277778,-123.143333,115_SatApr25
#F7D5EA,49.250000,-123.100000,115_SatApr25
#010101,49.280720,-123.121391,115_SatApr25
#020101,49.290249,-123.133812,115_SatApr25
#190618,49.277778,-123.143333,115_SatApr25
#050203,49.279839,-123.116882,115_SatApr25
#181818,49.286542,-123.119960,115_SatApr25
#090909,49.279720,-123.121712,115_SatApr25
