color,lat,long,date
#181208,49.268330,-123.149429,117_MonApr27
#131313,49.260338,-123.096552,117_MonApr27
#835F7B,49.282620,-123.116921,117_MonApr27
#170E08,49.281704,-123.104149,117_MonApr27
#151B13,49.278529,-123.098299,117_MonApr27
#106826,49.300000,-123.140000,117_MonApr27
#5C5C5C,49.260307,-123.096275,117_MonApr27
#020203,49.259129,-123.100769,117_MonApr27
#1C0B09,49.265700,-123.146148,117_MonApr27
#EFECEE,49.271856,-123.135008,117_MonApr27
#040504,49.289711,-123.116074,117_MonApr27
#FCF8F8,49.283108,-123.118874,117_MonApr27
#000100,49.293751,-123.149306,117_MonApr27
#B3E9E0,49.288026,-123.113001,117_MonApr27
#030303,49.281271,-123.098454,117_MonApr27
#AB6A89,49.290722,-123.133995,117_MonApr27
#A65B7C,49.278386,-123.116439,117_MonApr27
#89020D,49.285192,-123.111250,117_MonApr27
#100408,49.283623,-123.103828,117_MonApr27
#15040F,49.250000,-123.100000,117_MonApr27
#4E5B57,49.300000,-123.140000,117_MonApr27
#010100,49.260307,-123.096275,117_MonApr27
#E0E7E5,49.285393,-123.125778,117_MonApr27
#020102,49.285856,-123.127205,117_MonApr27
#FCF2F9,49.231907,-123.117792,117_MonApr27
#D4ACCE,49.280404,-123.121227,117_MonApr27
#1E1C1C,49.282834,-123.120458,117_MonApr27
#030D01,49.279270,-123.129776,117_MonApr27
#030402,49.260307,-123.096275,117_MonApr27
#010000,49.280404,-123.121227,117_MonApr27
#040202,49.260307,-123.096275,117_MonApr27
#050907,49.278603,-123.118064,117_MonApr27
#B5CAB1,49.263442,-123.113372,117_MonApr27
#845C6C,49.283691,-123.103455,117_MonApr27
#927D8C,49.268967,-123.102936,117_MonApr27
#180306,49.286556,-123.142616,117_MonApr27
#0B0004,49.277534,-123.125833,117_MonApr27
#DAF5EF,49.302264,-123.142251,117_MonApr27
#1B1112,49.280189,-123.121010,117_MonApr27
#EDECED,49.216144,-123.092262,117_MonApr27
#540251,49.238990,-123.129839,117_MonApr27
#171411,49.276809,-123.112154,117_MonApr27
#EAEDEE,49.276809,-123.112154,117_MonApr27
#030303,49.284340,-123.107437,117_MonApr27
#06120A,49.284569,-123.142807,117_MonApr27
#021205,49.278603,-123.118064,117_MonApr27
#BBC3C6,49.259029,-123.139160,117_MonApr27
#14081A,49.300000,-123.140000,117_MonApr27
#FBFDFC,49.280179,-123.117022,117_MonApr27
