color,lat,long,date
#020001,49.283333,-123.119217,118_TueApr28
#7A254C,49.284695,-123.119241,118_TueApr28
#BCC3BD,49.278304,-123.112944,118_TueApr28
#DD569D,49.281077,-123.132313,118_TueApr28
#676663,49.255960,-123.101870,118_TueApr28
#070604,49.284016,-123.114159,118_TueApr28
#F6BFF7,49.259000,-123.070333,118_TueApr28
#B1B1A8,49.279720,-123.121712,118_TueApr28
#7B234A,49.284695,-123.119241,118_TueApr28
#020401,49.280720,-123.121391,118_TueApr28
#030101,49.283573,-123.103950,118_TueApr28
#5E0D1A,49.284679,-123.119270,118_TueApr28
#A1688B,49.293040,-123.146367,118_TueApr28
#DDC9D9,49.274273,-123.124512,118_TueApr28
#F4D2ED,49.250000,-123.100000,118_TueApr28
#C7798F,49.277500,-123.088889,118_TueApr28
#B4F0CC,49.268897,-123.115902,118_TueApr28
#59051A,49.290562,-123.133602,118_TueApr28
#1D0A10,49.283451,-123.105721,118_TueApr28
#AD97BE,49.231852,-123.071374,118_TueApr28
#531518,49.284695,-123.119241,118_TueApr28
#CBB5C7,49.274273,-123.124512,118_TueApr28
#FDFCFD,49.279720,-123.121712,118_TueApr28
#DDEBE4,49.279989,-123.103934,118_TueApr28
#000600,49.284742,-123.115244,118_TueApr28
#070707,49.283333,-123.119217,118_TueApr28
#546562,49.286675,-123.143220,118_TueApr28
#050102,49.260739,-123.138295,118_TueApr28
#030303,49.282688,-123.104805,118_TueApr28
#ECECF0,49.267799,-123.148819,118_TueApr28
#051805,49.261858,-123.127797,118_TueApr28
#22161C,49.279720,-123.121712,118_TueApr28
#060706,49.279720,-123.121712,118_TueApr28
#040303,49.279465,-123.122971,118_TueApr28
#FEFDFE,49.279720,-123.121712,118_TueApr28
#06A075,49.260390,-123.113360,118_TueApr28
#F3F6F7,49.267799,-123.148819,118_TueApr28
#CEB2BE,49.274273,-123.124512,118_TueApr28
#130A0A,49.254256,-123.115038,118_TueApr28
#14080C,49.231720,-123.116130,118_TueApr28
#2BC172,49.247536,-123.103776,118_TueApr28
#FAF9FA,49.232006,-123.117801,118_TueApr28
#E2ECE9,49.271856,-123.135008,118_TueApr28
#030303,49.289882,-123.132891,118_TueApr28
#060604,49.287449,-123.115120,118_TueApr28
#150509,49.287041,-123.128807,118_TueApr28
#020602,49.273104,-123.119106,118_TueApr28
#061C16,49.286477,-123.118190,118_TueApr28
#030102,49.250000,-123.100000,118_TueApr28
#896589,49.270634,-123.069466,118_TueApr28
#030202,49.287022,-123.140892,118_TueApr28
#969391,49.273353,-123.103411,118_TueApr28
#000000,49.281929,-123.095070,118_TueApr28
#020101,49.300743,-123.130331,118_TueApr28
#9A6184,49.289825,-123.116800,118_TueApr28
#040300,49.273724,-123.069344,118_TueApr28
#FBF4F9,49.287334,-123.128918,118_TueApr28
#090607,49.271557,-123.106613,118_TueApr28
#040303,49.275593,-123.122135,118_TueApr28
#FDFDFD,49.282834,-123.120458,118_TueApr28
#FAFAFA,49.279422,-123.098447,118_TueApr28
#0F0D0D,49.283390,-123.117911,118_TueApr28
#D2BDCB,49.274273,-123.124512,118_TueApr28
#BA6985,49.274208,-123.069748,118_TueApr28
#050503,49.249432,-123.089691,118_TueApr28
#050504,49.276524,-123.100084,118_TueApr28
#DDB4C9,49.274208,-123.069748,118_TueApr28
#FDFDFD,49.279720,-123.121712,118_TueApr28
#020101,49.274273,-123.124512,118_TueApr28
#0B0403,49.280777,-123.119171,118_TueApr28
#09160E,49.291466,-123.127777,118_TueApr28
#F4F7F8,49.289711,-123.116074,118_TueApr28
#0C0C07,49.279169,-123.119842,118_TueApr28
#FAFBFB,49.289711,-123.116074,118_TueApr28
#16120D,49.276524,-123.100084,118_TueApr28
#F0F1F1,49.289711,-123.116074,118_TueApr28
#8F5D76,49.281434,-123.129799,118_TueApr28
#EAF3F2,49.289711,-123.116074,118_TueApr28
#0E0305,49.287514,-123.114811,118_TueApr28
#000000,49.280404,-123.121227,118_TueApr28
#F2E7F1,49.277285,-123.114300,118_TueApr28
#0F0A0D,49.276211,-123.099480,118_TueApr28
#EFEFEE,49.285205,-123.118122,118_TueApr28
#030703,49.287022,-123.140892,118_TueApr28
#1D0E19,49.299325,-123.121405,118_TueApr28
#E6DDE0,49.269316,-123.151202,118_TueApr28
#E4E8F0,49.294399,-123.136726,118_TueApr28
#000101,49.272005,-123.114896,118_TueApr28
#090606,49.288390,-123.130570,118_TueApr28
#F6F8F6,49.273353,-123.103411,118_TueApr28
#A18A94,49.276809,-123.112154,118_TueApr28
#010101,49.284599,-123.108887,118_TueApr28
#679868,49.290437,-123.121587,118_TueApr28
#140508,49.280000,-123.099444,118_TueApr28
#4B5E57,49.274256,-123.111744,118_TueApr28
#010000,49.284042,-123.107463,118_TueApr28
#180B0F,49.287842,-123.116341,118_TueApr28
#010201,49.271580,-123.106979,118_TueApr28
