color,lat,long,date
#0F060C,49.282722,-123.118908,119_WedApr29
#0C0609,49.285236,-123.125716,119_WedApr29
#020101,49.270340,-123.069964,119_WedApr29
#F3EFF1,49.216901,-123.077238,119_WedApr29
#110609,49.268306,-123.157147,119_WedApr29
#E9E9E7,49.281993,-123.121065,119_WedApr29
#020302,49.300000,-123.140000,119_WedApr29
#050705,49.263181,-123.069802,119_WedApr29
#8C7886,49.275720,-123.069490,119_WedApr29
#160E06,49.283981,-123.105431,119_WedApr29
#585858,49.280905,-123.120658,119_WedApr29
#09070B,49.284578,-123.110214,119_WedApr29
#020101,49.284569,-123.142807,119_WedApr29
#F5F2F4,49.301238,-123.131164,119_WedApr29
#C666A2,49.288128,-123.114868,119_WedApr29
#040203,49.301071,-123.153511,119_WedApr29
#020303,49.279720,-123.121712,119_WedApr29
#1A0E0E,49.287431,-123.112809,119_WedApr29
#060402,49.283060,-123.103010,119_WedApr29
#0B0202,49.248970,-123.101204,119_WedApr29
#D9D5D6,49.280842,-123.089973,119_WedApr29
#A05E7C,49.284047,-123.139350,119_WedApr29
#E0EBE6,49.282620,-123.116921,119_WedApr29
#BBC5C4,49.232141,-123.111148,119_WedApr29
#020403,49.280096,-123.120196,119_WedApr29
#606060,49.277771,-123.099190,119_WedApr29
#050101,49.285192,-123.111250,119_WedApr29
#F0EDF1,49.271856,-123.135008,119_WedApr29
#040404,49.271034,-123.133629,119_WedApr29
#020202,49.280263,-123.126479,119_WedApr29
#0E0307,49.248970,-123.101204,119_WedApr29
#040102,49.278952,-123.123126,119_WedApr29
#040504,49.264240,-123.101410,119_WedApr29
#A1A1A1,49.289711,-123.116074,119_WedApr29
#020203,49.284618,-123.112020,119_WedApr29
#0F0D0F,49.293240,-123.140152,119_WedApr29
#600514,49.264205,-123.120286,119_WedApr29
#030303,49.276211,-123.099480,119_WedApr29
#DBD2E4,49.288128,-123.114868,119_WedApr29
#F6F6F8,49.270655,-123.106396,119_WedApr29
#020202,49.282555,-123.093599,119_WedApr29
#F1EEF3,49.288910,-123.131203,119_WedApr29
#020101,49.283327,-123.119291,119_WedApr29
#8C5C78,49.283909,-123.116691,119_WedApr29
#030202,49.280096,-123.120196,119_WedApr29
#F2F7ED,49.279270,-123.129776,119_WedApr29
#0B0205,49.288746,-123.131500,119_WedApr29
#020101,49.286240,-123.116974,119_WedApr29
#CEBFD5,49.282620,-123.116921,119_WedApr29
#EEF6F2,49.268897,-123.115902,119_WedApr29
#010101,49.280096,-123.120196,119_WedApr29
#000302,49.231573,-123.105654,119_WedApr29
#6D2549,49.283327,-123.119291,119_WedApr29
#020301,49.264240,-123.101410,119_WedApr29
#020502,49.268897,-123.115902,119_WedApr29
#020403,49.265315,-123.137618,119_WedApr29
#F3F9F7,49.268897,-123.115902,119_WedApr29
#15070B,49.284042,-123.107463,119_WedApr29
#0E0909,49.280045,-123.118613,119_WedApr29
#040302,49.284042,-123.107463,119_WedApr29
#021811,49.290295,-123.128467,119_WedApr29
#031A06,49.287029,-123.115623,119_WedApr29
#060401,49.280096,-123.120196,119_WedApr29
#510D1D,49.275009,-123.122002,119_WedApr29
#E1E1E1,49.289711,-123.116074,119_WedApr29
#010101,49.284933,-123.143065,119_WedApr29
#010001,49.300000,-123.140000,119_WedApr29
#010202,49.285999,-123.127571,119_WedApr29
#040305,49.242222,-123.115000,119_WedApr29
#FBFBFC,49.272005,-123.114896,119_WedApr29
#B97471,49.274208,-123.069748,119_WedApr29
#050201,49.257092,-123.100853,119_WedApr29
#050304,49.286836,-123.128212,119_WedApr29
#F7F2F8,49.271856,-123.135008,119_WedApr29
#030502,49.273998,-123.124132,119_WedApr29
#0D090B,49.286836,-123.128212,119_WedApr29
#030101,49.257092,-123.100853,119_WedApr29
#1D1B1D,49.290437,-123.121587,119_WedApr29
#ADB1B4,49.267936,-123.157419,119_WedApr29
#E4E3E1,49.226635,-123.073515,119_WedApr29
#A58C99,49.272592,-123.134671,119_WedApr29
#050500,49.279270,-123.129776,119_WedApr29
#150708,49.272636,-123.149818,119_WedApr29
#FBF6FB,49.260940,-123.129893,119_WedApr29
#011101,49.290365,-123.133573,119_WedApr29
#1A5549,49.271358,-123.134056,119_WedApr29
#020302,49.283156,-123.109243,119_WedApr29
#060401,49.270460,-123.100585,119_WedApr29
#E8DCE0,49.271856,-123.135008,119_WedApr29
#050F07,49.300743,-123.130331,119_WedApr29
#1E0A0F,49.262348,-123.101410,119_WedApr29
#020202,49.300000,-123.140000,119_WedApr29
#1A090E,49.262348,-123.101410,119_WedApr29
#5D5D5D,49.275009,-123.122002,119_WedApr29
#12180F,49.287290,-123.129217,119_WedApr29
#1A0C11,49.273361,-123.119415,119_WedApr29
#030402,49.281582,-123.132782,119_WedApr29
#150F19,49.250000,-123.100000,119_WedApr29
#040101,49.275009,-123.122002,119_WedApr29
#0F1010,49.262348,-123.101410,119_WedApr29
#020101,49.256463,-123.093717,119_WedApr29
#0F0D09,49.273476,-123.113510,119_WedApr29
#EDD3DF,49.271856,-123.135008,119_WedApr29
#1E0405,49.280096,-123.120196,119_WedApr29
#1D1619,49.269955,-123.108247,119_WedApr29
#040202,49.271412,-123.154785,119_WedApr29
#030101,49.286560,-123.132751,119_WedApr29
#050202,49.282811,-123.123575,119_WedApr29
#050206,49.290460,-123.134040,119_WedApr29
#514C50,49.278882,-123.123080,119_WedApr29
#160D10,49.284042,-123.107463,119_WedApr29
#F7F4F8,49.231852,-123.071374,119_WedApr29
#78021D,49.280000,-123.099444,119_WedApr29
#0E0C0D,49.288576,-123.117241,119_WedApr29
#020403,49.263367,-123.100022,119_WedApr29
#6F1443,49.292465,-123.129150,119_WedApr29
#E8EDEA,49.262740,-123.114880,119_WedApr29
#050304,49.283691,-123.106049,119_WedApr29
#A77E92,49.268165,-123.151717,119_WedApr29
#111108,49.281944,-123.121944,119_WedApr29
#86636E,49.277489,-123.126984,119_WedApr29
#570D1A,49.267799,-123.148819,119_WedApr29
#E793BF,49.282051,-123.107887,119_WedApr29
#969895,49.288473,-123.140354,119_WedApr29
#F8F8F8,49.278751,-123.115028,119_WedApr29
#9F4E73,49.290539,-123.136589,119_WedApr29
#BF5F9B,49.290365,-123.133573,119_WedApr29
#06150C,49.300743,-123.130331,119_WedApr29
#130C0E,49.282854,-123.121905,119_WedApr29
#760515,49.282051,-123.107887,119_WedApr29
#030304,49.279034,-123.123356,119_WedApr29
#070506,49.279245,-123.106347,119_WedApr29
#F5F6F6,49.283570,-123.114700,119_WedApr29
#0B0A0F,49.275470,-123.136643,119_WedApr29
#030503,49.283333,-123.119217,119_WedApr29
#020101,49.283333,-123.119217,119_WedApr29
#9F6A7D,49.288950,-123.140411,119_WedApr29
#E2E3E1,49.282574,-123.111343,119_WedApr29
#9B1D5A,49.283570,-123.114700,119_WedApr29
#70CA97,49.287290,-123.129217,119_WedApr29
#0A0607,49.280109,-123.128975,119_WedApr29
#040503,49.281391,-123.132736,119_WedApr29
#7E7A81,49.266151,-123.152603,119_WedApr29
#0C0407,49.281704,-123.104149,119_WedApr29
#150A0C,49.300000,-123.140000,119_WedApr29
#F9FCF5,49.279270,-123.129776,119_WedApr29
#906681,49.285077,-123.139144,119_WedApr29
#DCE6E0,49.019270,-122.805776,119_WedApr29
#0B0205,49.247688,-123.099314,119_WedApr29
#ACAEB3,49.286498,-123.136216,119_WedApr29
#0A0909,49.283142,-123.103722,119_WedApr29
#F7E9F0,49.279251,-123.120506,119_WedApr29
#010001,49.277172,-123.119805,119_WedApr29
#060604,49.279270,-123.129776,119_WedApr29
#031305,49.277670,-123.126891,119_WedApr29
#1C1622,49.290460,-123.134040,119_WedApr29
#0C0E07,49.277491,-123.092676,119_WedApr29
#EEF0F2,49.250000,-123.100000,119_WedApr29
#061001,49.279270,-123.129776,119_WedApr29
#020201,49.279930,-123.115440,119_WedApr29
#F8ECF7,49.287793,-123.130136,119_WedApr29
#926878,49.282722,-123.118908,119_WedApr29
#0D120E,49.290437,-123.121587,119_WedApr29
#887785,49.267799,-123.148819,119_WedApr29
#020001,49.290610,-123.137140,119_WedApr29
#050403,49.284042,-123.107463,119_WedApr29
#FAFAFA,49.279270,-123.129776,119_WedApr29
#050404,49.265881,-123.138901,119_WedApr29
#F0E7EF,49.277340,-123.125641,119_WedApr29
#B8DFCA,49.262972,-123.106345,119_WedApr29
#261F21,49.271856,-123.135008,119_WedApr29
#545653,49.292465,-123.129150,119_WedApr29
#2E6146,49.279765,-123.099753,119_WedApr29
#060506,49.279775,-123.099751,119_WedApr29
#040102,49.273338,-123.119461,119_WedApr29
#FEFEFE,49.280045,-123.127643,119_WedApr29
#19070C,49.280609,-123.132118,119_WedApr29
#020001,49.250000,-123.100000,119_WedApr29
#060202,49.283726,-123.109711,119_WedApr29
#030303,49.289664,-123.150901,119_WedApr29
#0B0B0C,49.274791,-123.127109,119_WedApr29
#040503,49.269859,-123.137917,119_WedApr29
#758D7F,49.290157,-123.136405,119_WedApr29
#917C8C,49.300000,-123.140000,119_WedApr29
#214C28,49.269360,-123.133789,119_WedApr29
#0E0D0A,49.284111,-123.111565,119_WedApr29
#000100,49.276097,-123.119497,119_WedApr29
#D7D7D7,49.282882,-123.107551,119_WedApr29
#050605,49.275362,-123.120754,119_WedApr29
#070607,49.282739,-123.106424,119_WedApr29
#DFDFDE,49.289588,-123.127209,119_WedApr29
#010101,49.278191,-123.129982,119_WedApr29
#110507,49.282257,-123.133820,119_WedApr29
#100B0A,49.266728,-123.149874,119_WedApr29
#020101,49.288830,-123.117691,119_WedApr29
#14020E,49.278191,-123.129982,119_WedApr29
#F1F1F1,49.289711,-123.116074,119_WedApr29
#041008,49.290437,-123.121587,119_WedApr29
#B2778F,49.263358,-123.148391,119_WedApr29
#030303,49.280404,-123.121227,119_WedApr29
#BBBFBD,49.269400,-123.123800,119_WedApr29
#288149,49.286675,-123.143220,119_WedApr29
#020402,49.286504,-123.127521,119_WedApr29
#0B0809,49.275400,-123.124842,119_WedApr29
#B68392,49.278049,-123.099140,119_WedApr29
#09120C,49.300000,-123.140000,119_WedApr29
#E0F0EA,49.300000,-123.140000,119_WedApr29
#8D737E,49.281895,-123.107414,119_WedApr29
#13090B,49.255822,-123.098590,119_WedApr29
#B30104,49.259280,-123.095145,119_WedApr29
#0A0706,49.269859,-123.137917,119_WedApr29
#040604,49.284618,-123.112020,119_WedApr29
#63505B,49.275072,-123.121252,119_WedApr29
#070306,49.280000,-123.099444,119_WedApr29
