color,lat,long,date
#090305,49.260220,-123.069946,122_SatMay2
#040305,49.288639,-123.142418,122_SatMay2
#1D1115,49.281379,-123.071924,122_SatMay2
#010201,49.277157,-123.125916,122_SatMay2
#BB6EA2,49.283354,-123.103735,122_SatMay2
#1B1E1A,49.268531,-123.152994,122_SatMay2
#A77E92,49.289710,-123.116070,122_SatMay2
#020401,49.275404,-123.109266,122_SatMay2
#0C0A08,49.276236,-123.069383,122_SatMay2
#030101,49.274391,-123.069328,122_SatMay2
#AF7A93,49.282728,-123.123536,122_SatMay2
#0A0709,49.288350,-123.113277,122_SatMay2
#730C17,49.281379,-123.071924,122_SatMay2
#E2AAC7,49.280100,-123.112800,122_SatMay2
#030303,49.281944,-123.121944,122_SatMay2
#A4A7AF,49.250000,-123.100000,122_SatMay2
#040602,49.268215,-123.150085,122_SatMay2
#000101,49.280100,-123.112800,122_SatMay2
#690616,49.265434,-123.069923,122_SatMay2
#120D0C,49.280294,-123.125283,122_SatMay2
#BCB2BB,49.283420,-123.104110,122_SatMay2
#060305,49.279164,-123.137844,122_SatMay2
#040303,49.280100,-123.112800,122_SatMay2
#050202,49.287449,-123.115120,122_SatMay2
#F7F4F4,49.281379,-123.071924,122_SatMay2
#020101,49.275527,-123.120823,122_SatMay2
#040001,49.281271,-123.098454,122_SatMay2
#5C2D44,49.218710,-123.102690,122_SatMay2
#040504,49.269583,-123.069642,122_SatMay2
#150D0C,49.267791,-123.143494,122_SatMay2
#060301,49.279796,-123.121661,122_SatMay2
#EBF4F1,49.280796,-123.117943,122_SatMay2
#010202,49.275053,-123.105372,122_SatMay2
#150B0C,49.281379,-123.071924,122_SatMay2
#BD6D8E,49.265434,-123.069923,122_SatMay2
#EEDEE8,49.283420,-123.104110,122_SatMay2
#030300,49.242222,-123.115000,122_SatMay2
#1D1A16,49.269400,-123.123800,122_SatMay2
#CC8FB5,49.271601,-123.069718,122_SatMay2
#20080A,49.281056,-123.102051,122_SatMay2
#AD94A1,49.284264,-123.109198,122_SatMay2
#020101,49.234798,-123.116760,122_SatMay2
#DFBAB5,49.278149,-123.125290,122_SatMay2
#010102,49.234798,-123.116760,122_SatMay2
#1C0B13,49.282219,-123.134659,122_SatMay2
#080808,49.280659,-123.100861,122_SatMay2
#010102,49.276809,-123.112154,122_SatMay2
#010201,49.281271,-123.098454,122_SatMay2
#050403,49.214960,-122.926808,122_SatMay2
#A497A3,49.283420,-123.104110,122_SatMay2
#701D52,49.265213,-123.069923,122_SatMay2
#050402,49.281271,-123.098454,122_SatMay2
#040305,49.282698,-123.128576,122_SatMay2
