color,lat,long,date
#030101,49.284308,-123.095509,130_SunMay10
#7793A0,49.269400,-123.123800,130_SunMay10
#95657C,49.276685,-123.112000,130_SunMay10
#050505,49.264561,-123.101112,130_SunMay10
#060504,49.249802,-123.100639,130_SunMay10
#030102,49.283180,-123.114578,130_SunMay10
#C7C4CC,49.270655,-123.106396,130_SunMay10
#111713,49.287011,-123.128757,130_SunMay10
#040101,49.283119,-123.103912,130_SunMay10
#000001,49.283180,-123.114578,130_SunMay10
#614B53,49.272979,-123.132646,130_SunMay10
#DC709D,49.282791,-123.104782,130_SunMay10
#0A140D,49.284560,-123.113105,130_SunMay10
#020502,49.271856,-123.135008,130_SunMay10
#C3CCC8,49.288020,-123.125709,130_SunMay10
#110406,49.264877,-123.069862,130_SunMay10
#030203,49.275362,-123.120754,130_SunMay10
#F6EFF2,49.273373,-123.129810,130_SunMay10
#C28C74,49.263939,-123.105110,130_SunMay10
#020101,49.283623,-123.103828,130_SunMay10
#081305,49.304062,-123.156487,130_SunMay10
#A7F9D4,49.282740,-123.109820,130_SunMay10
#EEE8EA,49.260860,-123.116287,130_SunMay10
#040502,49.283100,-123.104393,130_SunMay10
#181712,49.274914,-123.100136,130_SunMay10
#180E14,49.242070,-123.113628,130_SunMay10
#CABABB,49.285183,-123.124852,130_SunMay10
#4C4C4C,49.231852,-123.071374,130_SunMay10
#030302,49.262066,-123.138428,130_SunMay10
#B76178,49.280096,-123.120196,130_SunMay10
#1B1B1B,49.242070,-123.113628,130_SunMay10
#020101,49.300000,-123.140000,130_SunMay10
#140706,49.276809,-123.112154,130_SunMay10
#81807D,49.285183,-123.124852,130_SunMay10
#A06C80,49.246710,-123.100830,130_SunMay10
#190C17,49.269400,-123.123800,130_SunMay10
#0D110A,49.300000,-123.140000,130_SunMay10
#1C1A1B,49.284229,-123.069977,130_SunMay10
#120409,49.283421,-123.104652,130_SunMay10
#030101,49.280841,-123.120544,130_SunMay10
#180710,49.290363,-123.137383,130_SunMay10
#040203,49.288639,-123.142418,130_SunMay10
#040200,49.246136,-123.101163,130_SunMay10
#11090F,49.281944,-123.121944,130_SunMay10
#050506,49.249448,-123.054862,130_SunMay10
#12070A,49.271790,-123.105713,130_SunMay10
#6E636E,49.250421,-123.100523,130_SunMay10
#979495,49.302448,-123.144623,130_SunMay10
#E9D0E0,49.284074,-123.106520,130_SunMay10
#C4BBBC,49.288128,-123.114868,130_SunMay10
#F1F2F1,49.300000,-123.140000,130_SunMay10
#010101,49.280720,-123.121391,130_SunMay10
#C31860,49.232979,-123.077461,130_SunMay10
#9D8486,49.250421,-123.100523,130_SunMay10
#040104,49.238990,-123.129839,130_SunMay10
#030200,49.278500,-123.123558,130_SunMay10
#040404,49.266667,-123.166667,130_SunMay10
#030200,49.280100,-123.112800,130_SunMay10
#FBFEFD,49.279270,-123.129776,130_SunMay10
#020402,49.280491,-123.120567,130_SunMay10
#080506,49.279294,-123.075063,130_SunMay10
#5D1326,49.279164,-123.137844,130_SunMay10
#53C289,49.282374,-123.123953,130_SunMay10
#1C0F16,49.280960,-123.077370,130_SunMay10
#050202,49.281315,-123.124417,130_SunMay10
#231A1A,49.284569,-123.142807,130_SunMay10
#040203,49.284599,-123.108887,130_SunMay10
#CEB8BB,49.196276,-123.127350,130_SunMay10
#030303,49.272005,-123.114896,130_SunMay10
#716663,49.250421,-123.100523,130_SunMay10
#221417,49.284042,-123.107463,130_SunMay10
#520D1E,49.289711,-123.116074,130_SunMay10
#050102,49.288033,-123.114475,130_SunMay10
#F5E7EF,49.300000,-123.140000,130_SunMay10
#010201,49.280491,-123.120567,130_SunMay10
#010101,49.271790,-123.105713,130_SunMay10
#020201,49.288311,-123.116730,130_SunMay10
#9D7A98,49.286675,-123.143220,130_SunMay10
#63907B,49.278056,-123.125936,130_SunMay10
#020501,49.279549,-123.122833,130_SunMay10
#544B50,49.293751,-123.149306,130_SunMay10
#170604,49.284931,-123.096791,130_SunMay10
#DBB1AF,49.279549,-123.122833,130_SunMay10
#C90F64,49.286872,-123.140898,130_SunMay10
#0E0305,49.271790,-123.105713,130_SunMay10
#555D55,49.280404,-123.121227,130_SunMay10
#091D09,49.279121,-123.123505,130_SunMay10
#280245,49.277778,-123.143333,130_SunMay10
#040101,49.280010,-123.130089,130_SunMay10
#828C8E,49.271820,-123.134785,130_SunMay10
#030202,49.288746,-123.131500,130_SunMay10
#020101,49.280491,-123.120567,130_SunMay10
#020202,49.242222,-123.115000,130_SunMay10
#280813,49.281444,-123.133636,130_SunMay10
#110309,49.280960,-123.077370,130_SunMay10
#F1EDF0,49.300000,-123.140000,130_SunMay10
#9E7994,49.286556,-123.142616,130_SunMay10
#020201,49.283623,-123.103828,130_SunMay10
#020202,49.283508,-123.105095,130_SunMay10
#DEEADE,49.303039,-123.130539,130_SunMay10
#1C1E22,49.300000,-123.140000,130_SunMay10
#030201,49.285889,-123.125000,130_SunMay10
#06130C,49.289711,-123.116074,130_SunMay10
#927F8E,49.287033,-123.128822,130_SunMay10
#877A81,49.282834,-123.120458,130_SunMay10
#010200,49.280491,-123.120567,130_SunMay10
#1D0C0A,49.280010,-123.130089,130_SunMay10
#050101,49.284759,-123.122697,130_SunMay10
#021808,49.279638,-123.120499,130_SunMay10
#090406,49.279270,-123.129776,130_SunMay10
#010001,49.289967,-123.132828,130_SunMay10
#E04A54,49.250000,-123.100000,130_SunMay10
#10050A,49.275051,-123.121628,130_SunMay10
#010001,49.250000,-123.100000,130_SunMay10
#14090B,49.290610,-123.137140,130_SunMay10
#020502,49.282749,-123.109100,130_SunMay10
#030201,49.283508,-123.105095,130_SunMay10
#7B6976,49.287033,-123.128822,130_SunMay10
#020102,49.281944,-123.121944,130_SunMay10
#E4CBDE,49.279167,-123.126770,130_SunMay10
#E4C2DB,49.283680,-123.119652,130_SunMay10
#CBE7E3,49.272551,-123.133049,130_SunMay10
#14120A,49.279827,-123.116577,130_SunMay10
#0C0607,49.284472,-123.099028,130_SunMay10
#685D67,49.287033,-123.128822,130_SunMay10
#020101,49.278014,-123.109052,130_SunMay10
#760610,49.290184,-123.133713,130_SunMay10
#050501,49.279720,-123.130350,130_SunMay10
#030103,49.280491,-123.120567,130_SunMay10
#0E0B0D,49.282219,-123.134659,130_SunMay10
#A14F76,49.260307,-123.096275,130_SunMay10
#0F080A,49.284135,-123.113872,130_SunMay10
#95677F,49.287033,-123.128822,130_SunMay10
#050202,49.281982,-123.116661,130_SunMay10
#E0E9E0,49.280491,-123.120567,130_SunMay10
#030203,49.250000,-123.100000,130_SunMay10
#1A0C11,49.274917,-123.121505,130_SunMay10
