color,lat,long,date
#070000,49.280659,-123.100861,134_ThuMay14
#010000,49.284908,-123.136009,134_ThuMay14
#070604,49.280720,-123.121391,134_ThuMay14
#C5D8D0,49.300000,-123.140000,134_ThuMay14
#C7487E,49.291080,-123.136429,134_ThuMay14
#000101,49.274924,-123.141597,134_ThuMay14
#020101,49.283108,-123.118874,134_ThuMay14
#040101,49.279720,-123.121712,134_ThuMay14
#030203,49.281944,-123.121944,134_ThuMay14
#D66A9B,49.275173,-123.120865,134_ThuMay14
#0C0406,49.283108,-123.118874,134_ThuMay14
#020101,49.283108,-123.118874,134_ThuMay14
#F5F5F5,49.279720,-123.121710,134_ThuMay14
#1E1816,49.279155,-123.112661,134_ThuMay14
#180C12,49.288341,-123.129941,134_ThuMay14
#010101,49.279720,-123.121710,134_ThuMay14
#10080C,49.282581,-123.105370,134_ThuMay14
#891219,49.287041,-123.128807,134_ThuMay14
#040100,49.277069,-123.081642,134_ThuMay14
#83070B,49.280659,-123.100861,134_ThuMay14
#FCFCFC,49.283484,-123.104265,134_ThuMay14
#F8F7F5,49.278249,-123.111732,134_ThuMay14
#F9F8F9,49.287334,-123.128918,134_ThuMay14
#010101,49.288311,-123.116730,134_ThuMay14
#1A090C,49.279720,-123.121712,134_ThuMay14
#F1F1F1,49.279843,-123.117194,134_ThuMay14
#8FA280,49.268297,-123.069727,134_ThuMay14
#030101,49.279796,-123.121661,134_ThuMay14
#010000,49.279720,-123.121710,134_ThuMay14
#11090A,49.269520,-123.103729,134_ThuMay14
#171717,49.225180,-123.077209,134_ThuMay14
#717CA2,49.272636,-123.136124,134_ThuMay14
#030102,49.279720,-123.121712,134_ThuMay14
#84010E,49.279828,-123.121642,134_ThuMay14
#040101,49.266361,-123.138596,134_ThuMay14
#0B0807,49.262192,-123.092392,134_ThuMay14
#10070A,49.280830,-123.124741,134_ThuMay14
#96B590,49.268297,-123.069727,134_ThuMay14
#790411,49.283333,-123.119217,134_ThuMay14
#0A6719,49.279796,-123.121661,134_ThuMay14
#FDFCFD,49.260448,-123.112342,134_ThuMay14
#000000,49.278278,-123.110923,134_ThuMay14
#060101,49.280659,-123.100861,134_ThuMay14
#AE7995,49.283649,-123.118851,134_ThuMay14
#0A0E0E,49.278485,-123.121208,134_ThuMay14
#BDB1B7,49.232437,-123.128856,134_ThuMay14
#020001,49.263280,-123.136298,134_ThuMay14
#921629,49.280659,-123.100861,134_ThuMay14
#130A06,49.250000,-123.100000,134_ThuMay14
#1B191A,49.281391,-123.132736,134_ThuMay14
#020101,49.280804,-123.107742,134_ThuMay14
#010101,49.278481,-123.122780,134_ThuMay14
#040102,49.279796,-123.121661,134_ThuMay14
#091A11,49.250000,-123.100000,134_ThuMay14
#030202,49.279720,-123.121712,134_ThuMay14
#020102,49.279720,-123.121712,134_ThuMay14
#030304,49.238990,-123.129839,134_ThuMay14
#242023,49.272625,-123.135620,134_ThuMay14
#D8BDCD,49.269421,-123.139839,134_ThuMay14
#090607,49.279796,-123.121661,134_ThuMay14
#9E6381,49.255146,-123.114929,134_ThuMay14
#99537D,49.258572,-123.137995,134_ThuMay14
#060504,49.279720,-123.121712,134_ThuMay14
#1D1D1D,49.288033,-123.114475,134_ThuMay14
#050300,49.257187,-123.128419,134_ThuMay14
#AE5E98,49.276809,-123.112154,134_ThuMay14
#13060B,49.278000,-123.099342,134_ThuMay14
#1D1D1E,49.269400,-123.123800,134_ThuMay14
#020202,49.260307,-123.096275,134_ThuMay14
#030101,49.278481,-123.122780,134_ThuMay14
#020202,49.260307,-123.096275,134_ThuMay14
#030202,49.260307,-123.096275,134_ThuMay14
#030202,49.283100,-123.104393,134_ThuMay14
#A05073,49.284063,-123.108673,134_ThuMay14
#160A0D,49.276542,-123.124178,134_ThuMay14
#020202,49.270162,-123.107200,134_ThuMay14
#080502,49.279720,-123.121712,134_ThuMay14
#030001,49.279796,-123.121661,134_ThuMay14
#0F0A09,49.269520,-123.103729,134_ThuMay14
#0F0E07,49.271865,-123.134840,134_ThuMay14
#012104,49.300743,-123.130331,134_ThuMay14
#150C0A,49.283725,-123.105454,134_ThuMay14
#74BD95,49.282728,-123.123536,134_ThuMay14
#010000,49.260307,-123.096275,134_ThuMay14
#0F060F,49.276542,-123.124178,134_ThuMay14
#090805,49.276705,-123.112065,134_ThuMay14
#E9E7E9,49.284630,-123.113426,134_ThuMay14
#1C0608,49.279828,-123.121642,134_ThuMay14
#22181E,49.276809,-123.112154,134_ThuMay14
#10B769,49.279270,-123.129776,134_ThuMay14
#F7F3F6,49.276809,-123.112154,134_ThuMay14
#0A0707,49.264574,-123.076440,134_ThuMay14
#090607,49.280294,-123.125283,134_ThuMay14
#0F170A,49.276809,-123.112154,134_ThuMay14
#10060A,49.283708,-123.119312,134_ThuMay14
#050402,49.274914,-123.100136,134_ThuMay14
#010101,49.278500,-123.123558,134_ThuMay14
#080305,49.268204,-123.156586,134_ThuMay14
#ADB3A6,49.201372,-122.914195,134_ThuMay14
#5D5D5D,49.250000,-123.100000,134_ThuMay14
#FEFBFD,49.227527,-123.087547,134_ThuMay14
