color,lat,long,date
#F3F1F5,49.276171,-123.144431,138_MonMay18
#12080C,49.288910,-123.131203,138_MonMay18
#010501,49.269583,-123.069642,138_MonMay18
#9A8876,49.265873,-123.127486,138_MonMay18
#0A070B,49.242100,-123.113800,138_MonMay18
#020202,49.274380,-123.123711,138_MonMay18
#010101,49.271412,-123.154785,138_MonMay18
#07060E,49.300000,-123.140000,138_MonMay18
#010000,49.274490,-123.127708,138_MonMay18
#040200,49.281411,-123.121786,138_MonMay18
#E0E0E4,49.246295,-123.075151,138_MonMay18
#040100,49.276146,-123.134140,138_MonMay18
#120D11,49.268185,-123.148155,138_MonMay18
#968F91,49.238990,-123.129839,138_MonMay18
#040103,49.278171,-123.121287,138_MonMay18
#14070E,49.282374,-123.123953,138_MonMay18
#F3F2F4,49.272511,-123.077927,138_MonMay18
#030102,49.284042,-123.107463,138_MonMay18
#140707,49.269527,-123.095039,138_MonMay18
#170306,49.285739,-123.123934,138_MonMay18
#A5A3A0,49.254456,-123.080432,138_MonMay18
#5E5559,49.278481,-123.128649,138_MonMay18
#FBFDFC,49.280910,-123.119471,138_MonMay18
#E5F4EC,49.283079,-123.117487,138_MonMay18
#9D7EA3,49.282067,-123.092097,138_MonMay18
#9CA99E,49.280212,-123.117270,138_MonMay18
#B450D9,49.238990,-123.129839,138_MonMay18
#12080C,49.280732,-123.119164,138_MonMay18
#F1ECF7,49.286675,-123.143220,138_MonMay18
#1C0409,49.284572,-123.124657,138_MonMay18
#000000,49.274063,-123.154361,138_MonMay18
#F1F0F1,49.284538,-123.109901,138_MonMay18
#180109,49.268568,-123.119434,138_MonMay18
#CB82B2,49.276394,-123.125152,138_MonMay18
#8C767D,49.238990,-123.129839,138_MonMay18
#5C8571,49.286675,-123.143220,138_MonMay18
#070706,49.280659,-123.100861,138_MonMay18
#0C0607,49.246487,-123.101028,138_MonMay18
#050908,49.290915,-123.126694,138_MonMay18
#1E0F13,49.289711,-123.116074,138_MonMay18
