color,lat,long,date
#120910,49.242100,-123.113800,139_TueMay19
#07471B,49.290685,-123.142802,139_TueMay19
#E7E3E4,49.284759,-123.122697,139_TueMay19
#020201,49.285063,-123.120397,139_TueMay19
#590207,49.263550,-123.069550,139_TueMay19
#020101,49.285912,-123.126251,139_TueMay19
#020101,49.270460,-123.100585,139_TueMay19
#E2F9EB,49.300000,-123.140000,139_TueMay19
#131817,49.271856,-123.135008,139_TueMay19
#D0D5D2,49.281956,-123.104416,139_TueMay19
#877880,49.282834,-123.120458,139_TueMay19
#F7F7F7,49.269400,-123.123800,139_TueMay19
#F8F4F6,49.372716,-123.291200,139_TueMay19
#0A1208,49.289711,-123.116074,139_TueMay19
#100608,49.298172,-123.117940,139_TueMay19
#080D0C,49.232006,-123.117801,139_TueMay19
#030101,49.246155,-123.101036,139_TueMay19
#72686B,49.300000,-123.140000,139_TueMay19
#5E6D61,49.234146,-123.133382,139_TueMay19
#855D74,49.269955,-123.108247,139_TueMay19
#865B72,49.286675,-123.143220,139_TueMay19
#190820,49.242222,-123.115000,139_TueMay19
#BB92B2,49.285821,-123.115242,139_TueMay19
#0A0D06,49.289249,-123.122093,139_TueMay19
#471A20,49.284042,-123.107463,139_TueMay19
#040504,49.283680,-123.119652,139_TueMay19
#1E060E,49.275982,-123.120163,139_TueMay19
#020200,49.286675,-123.143220,139_TueMay19
#010102,49.304062,-123.156487,139_TueMay19
#FBEFF4,49.268967,-123.102936,139_TueMay19
#19090E,49.283749,-123.135826,139_TueMay19
#036220,49.302488,-123.141718,139_TueMay19
#030303,49.242222,-123.115000,139_TueMay19
#B3D2BB,49.290437,-123.121587,139_TueMay19
#5D9176,49.276171,-123.144431,139_TueMay19
#050502,49.282811,-123.123575,139_TueMay19
#8ECDC1,49.274256,-123.111744,139_TueMay19
#170F0E,49.275593,-123.122135,139_TueMay19
#E3DFE1,49.270556,-123.133333,139_TueMay19
#070E05,49.275362,-123.120754,139_TueMay19
#050508,49.250000,-123.100000,139_TueMay19
#DAEAE4,49.272312,-123.128288,139_TueMay19
#D2A8D5,49.279428,-123.124984,139_TueMay19
#0B0304,49.275173,-123.120865,139_TueMay19
#F2E8ED,49.287625,-123.123693,139_TueMay19
#FCFBFB,49.284538,-123.109901,139_TueMay19
#856F7A,49.289955,-123.133354,139_TueMay19
#070203,49.283695,-123.106071,139_TueMay19
#730610,49.272636,-123.149818,139_TueMay19
#00C02C,49.282728,-123.123536,139_TueMay19
#010101,49.282834,-123.120458,139_TueMay19
#020101,49.288668,-123.115109,139_TueMay19
#99C2B5,49.360062,-123.108632,139_TueMay19
#030404,49.268372,-123.100617,139_TueMay19
#EBE3EA,49.282834,-123.120458,139_TueMay19
#E5CADA,49.281796,-123.124709,139_TueMay19
#040206,49.300000,-123.140000,139_TueMay19
#180311,49.278529,-123.098299,139_TueMay19
#010102,49.280491,-123.120567,139_TueMay19
#020604,49.257134,-123.102221,139_TueMay19
#040506,49.242552,-123.106764,139_TueMay19
#0D0F0F,49.283839,-123.120959,139_TueMay19
#CD1D67,49.284308,-123.095509,139_TueMay19
#08100B,49.283079,-123.117487,139_TueMay19
#F1EEF0,49.286884,-123.143014,139_TueMay19
#DFBCCE,49.283327,-123.119291,139_TueMay19
#020202,49.279573,-123.138529,139_TueMay19
#0E0808,49.249769,-123.115547,139_TueMay19
#0E120F,49.286675,-123.143220,139_TueMay19
#DAEFE8,49.286675,-123.143220,139_TueMay19
#040303,49.283079,-123.117487,139_TueMay19
#090605,49.274760,-123.119080,139_TueMay19
#010101,49.268967,-123.102936,139_TueMay19
#030101,49.254150,-123.114975,139_TueMay19
#A19FA3,49.270090,-123.107221,139_TueMay19
#FAD6F4,49.282982,-123.100052,139_TueMay19
#A8B8B4,49.284861,-123.122912,139_TueMay19
#E2E2DE,49.265120,-123.142331,139_TueMay19
#889B8E,49.275470,-123.136643,139_TueMay19
#5B071C,49.268160,-123.151540,139_TueMay19
#8D021C,49.179835,-123.138926,139_TueMay19
#150C18,49.267929,-123.157021,139_TueMay19
#DBC2C6,49.281012,-123.107818,139_TueMay19
#0E140D,49.274917,-123.121505,139_TueMay19
#83978F,49.273071,-123.157333,139_TueMay19
#1D0D13,49.271856,-123.135008,139_TueMay19
#1C1C1F,49.271856,-123.135008,139_TueMay19
#38203B,49.286675,-123.143220,139_TueMay19
#EAE8EA,49.250000,-123.100000,139_TueMay19
#817479,49.271856,-123.135008,139_TueMay19
#F5F7F8,49.287876,-123.129954,139_TueMay19
#E7E5EA,49.272414,-123.110831,139_TueMay19
#0B0706,49.226496,-123.113505,139_TueMay19
#190C10,49.282219,-123.134659,139_TueMay19
#15080B,49.286675,-123.143220,139_TueMay19
#1B0C09,49.284439,-123.123016,139_TueMay19
#040402,49.250000,-123.100000,139_TueMay19
#EAF2F2,49.282855,-123.118665,139_TueMay19
#DAF2E6,49.289711,-123.116074,139_TueMay19
#F7FAF9,49.288033,-123.114475,139_TueMay19
#040304,49.278862,-123.069019,139_TueMay19
#F0DEF4,49.242222,-123.115000,139_TueMay19
#F6F6F3,49.276100,-123.121140,139_TueMay19
#020503,49.280491,-123.120567,139_TueMay19
#D3DCD5,49.290100,-123.140402,139_TueMay19
#1C1617,49.267487,-123.069534,139_TueMay19
#030302,49.276524,-123.100084,139_TueMay19
#030504,49.280414,-123.126281,139_TueMay19
#809D8F,49.300000,-123.140000,139_TueMay19
#11061E,49.300000,-123.140000,139_TueMay19
#E6EEEB,49.225569,-123.066804,139_TueMay19
#12061E,49.300000,-123.140000,139_TueMay19
#030204,49.300000,-123.140000,139_TueMay19
#010101,49.285106,-123.102149,139_TueMay19
#3D3E3A,49.279670,-123.135013,139_TueMay19
#1B120A,49.288128,-123.114868,139_TueMay19
#060607,49.300000,-123.140000,139_TueMay19
#DCB4D3,49.300000,-123.140000,139_TueMay19
#AF0309,49.234852,-123.156418,139_TueMay19
#0D0504,49.281516,-123.132764,139_TueMay19
#A37184,49.260872,-123.113953,139_TueMay19
#11060A,49.300000,-123.140000,139_TueMay19
#060A0A,49.289967,-123.132828,139_TueMay19
#640D5D,49.288472,-123.142781,139_TueMay19
#050502,49.284222,-123.100403,139_TueMay19
#0F0A0D,49.280491,-123.120567,139_TueMay19
#905683,49.279551,-123.103416,139_TueMay19
#150D19,49.238990,-123.129839,139_TueMay19
#030101,49.280796,-123.117943,139_TueMay19
#6A524D,49.281197,-123.122725,139_TueMay19
#040101,49.284912,-123.123474,139_TueMay19
#B294AD,49.282813,-123.132667,139_TueMay19
#211F1F,49.273114,-123.100348,139_TueMay19
#0E1A07,49.271856,-123.135008,139_TueMay19
#1D1D1C,49.269400,-123.123800,139_TueMay19
#0A090E,49.300000,-123.140000,139_TueMay19
#070D0A,49.271856,-123.135008,139_TueMay19
#1B1F1C,49.278038,-123.109234,139_TueMay19
#A85D81,49.279519,-123.115608,139_TueMay19
#110A08,49.278912,-123.122932,139_TueMay19
#706469,49.281846,-123.114606,139_TueMay19
#221921,49.293751,-123.149306,139_TueMay19
#15060B,49.259625,-123.117783,139_TueMay19
#030202,49.284599,-123.108887,139_TueMay19
#010000,49.281231,-123.085993,139_TueMay19
#241921,49.281097,-123.120304,139_TueMay19
#70616D,49.276722,-122.859618,139_TueMay19
#10080B,49.286182,-123.131171,139_TueMay19
