color,lat,long,date
#908B7A,49.298841,-123.133583,142_FriMay22
#44D47F,49.250964,-123.119308,142_FriMay22
#020102,49.250707,-123.101068,142_FriMay22
#020100,49.240203,-123.081889,142_FriMay22
#050205,49.288994,-123.111904,142_FriMay22
#030403,49.288994,-123.111904,142_FriMay22
#D5D5D4,49.250000,-123.100000,142_FriMay22
#080606,49.298956,-123.133658,142_FriMay22
#080405,49.298841,-123.133583,142_FriMay22
#130E10,49.283355,-123.104329,142_FriMay22
#090905,49.271759,-123.106279,142_FriMay22
#B3E1C3,49.275362,-123.120754,142_FriMay22
#201B1C,49.242222,-123.115000,142_FriMay22
#000000,49.280491,-123.120567,142_FriMay22
#0F0A0A,49.274063,-123.154361,142_FriMay22
#1D060A,49.250707,-123.101068,142_FriMay22
#020402,49.281929,-123.100098,142_FriMay22
#020501,49.298841,-123.133583,142_FriMay22
#10110B,49.300000,-123.140000,142_FriMay22
#FEFFFF,49.282478,-123.112060,142_FriMay22
#0F140A,49.242222,-123.115000,142_FriMay22
#010301,49.279720,-123.121712,142_FriMay22
#A88B93,49.276100,-123.121140,142_FriMay22
#010100,49.279796,-123.121661,142_FriMay22
#020101,49.242222,-123.115000,142_FriMay22
#CCE5DD,49.287941,-123.112997,142_FriMay22
#72586A,49.254518,-123.080301,142_FriMay22
#040D06,49.278056,-123.125936,142_FriMay22
#010001,49.280166,-123.113135,142_FriMay22
#180E0C,49.283214,-123.103059,142_FriMay22
#030001,49.283642,-123.106773,142_FriMay22
#CDD8B7,49.266232,-123.105431,142_FriMay22
#ECF1EF,49.282374,-123.123953,142_FriMay22
#798B82,49.282425,-123.124291,142_FriMay22
#070404,49.280491,-123.120567,142_FriMay22
#020101,49.281929,-123.100098,142_FriMay22
#E3DEE1,49.289394,-123.126973,142_FriMay22
#F0E5EE,49.289711,-123.116074,142_FriMay22
#DED5D9,49.279028,-123.123137,142_FriMay22
#010000,49.279810,-123.121969,142_FriMay22
#050404,49.271708,-123.134842,142_FriMay22
#7A7371,49.298909,-123.140010,142_FriMay22
#0C0909,49.270340,-123.134247,142_FriMay22
#100B11,49.215124,-123.114017,142_FriMay22
#030202,49.276836,-123.125878,142_FriMay22
#011302,49.264019,-123.105309,142_FriMay22
#0F0209,49.253927,-123.082864,142_FriMay22
#030202,49.298841,-123.133583,142_FriMay22
#040303,49.284218,-123.110700,142_FriMay22
#050301,49.286675,-123.143220,142_FriMay22
#1F0003,49.283573,-123.103950,142_FriMay22
#12070B,49.283960,-123.126300,142_FriMay22
#0A0708,49.278038,-123.109234,142_FriMay22
#030202,49.281944,-123.121944,142_FriMay22
#010401,49.283642,-123.106773,142_FriMay22
#030303,49.280100,-123.112800,142_FriMay22
#000F02,49.286675,-123.143220,142_FriMay22
#010501,49.280491,-123.120567,142_FriMay22
#080507,49.280590,-123.120940,142_FriMay22
#030203,49.280248,-123.114811,142_FriMay22
#090000,49.280404,-123.121227,142_FriMay22
#000000,49.281929,-123.100098,142_FriMay22
#8A6066,49.274490,-123.127708,142_FriMay22
#010201,49.280491,-123.120567,142_FriMay22
#000300,49.300000,-123.140000,142_FriMay22
#0E160F,49.274063,-123.154361,142_FriMay22
#000000,49.284842,-123.111074,142_FriMay22
#010502,49.301006,-123.131899,142_FriMay22
#010101,49.284792,-123.115374,142_FriMay22
#77877E,49.242100,-123.113800,142_FriMay22
#102209,49.279270,-123.129776,142_FriMay22
#020302,49.283333,-123.119217,142_FriMay22
#0B0705,49.264240,-123.101410,142_FriMay22
#030102,49.280491,-123.120567,142_FriMay22
#1A0A0D,49.288746,-123.131500,142_FriMay22
#F1EFF0,49.283089,-123.119385,142_FriMay22
#040203,49.284599,-123.108887,142_FriMay22
#0B0807,49.274780,-123.121693,142_FriMay22
#AD5788,49.278573,-123.116909,142_FriMay22
#050403,49.264859,-123.099633,142_FriMay22
#818A8A,49.267689,-123.122479,142_FriMay22
#B27799,49.282391,-123.111603,142_FriMay22
#070704,49.300000,-123.140000,142_FriMay22
#110307,49.288383,-123.112904,142_FriMay22
#0B1006,49.298841,-123.133583,142_FriMay22
#090406,49.282425,-123.124291,142_FriMay22
#F6ECEF,49.274063,-123.154361,142_FriMay22
#EEEFF2,49.259029,-123.139160,142_FriMay22
#150C11,49.279164,-123.137844,142_FriMay22
#0A0709,49.300000,-123.140000,142_FriMay22
#FBF4FA,49.279461,-123.122124,142_FriMay22
#000000,49.282959,-123.115181,142_FriMay22
#020601,49.283247,-123.117720,142_FriMay22
#EDEDED,49.250000,-123.100000,142_FriMay22
#957185,49.298841,-123.133583,142_FriMay22
#925B7E,49.280408,-123.118376,142_FriMay22
#A95567,49.276520,-123.100632,142_FriMay22
#947580,49.252820,-123.100840,142_FriMay22
#221618,49.300000,-123.140000,142_FriMay22
#000105,49.281929,-123.100098,142_FriMay22
#070615,49.266667,-123.166667,142_FriMay22
#19090F,49.280294,-123.125283,142_FriMay22
#000100,49.281929,-123.100098,142_FriMay22
#050202,49.280100,-123.112800,142_FriMay22
#0D0C05,49.280100,-123.112800,142_FriMay22
#130707,49.284679,-123.111893,142_FriMay22
#010101,49.271856,-123.135008,142_FriMay22
#978385,49.255907,-123.096185,142_FriMay22
#030101,49.298841,-123.133583,142_FriMay22
#0C1801,49.280100,-123.112800,142_FriMay22
#75897A,49.280216,-123.098594,142_FriMay22
#060303,49.285106,-123.102149,142_FriMay22
#040205,49.300000,-123.140000,142_FriMay22
#010402,49.286675,-123.143220,142_FriMay22
#020102,49.275411,-123.115845,142_FriMay22
#D4CCD3,49.282391,-123.111603,142_FriMay22
#1D0A14,49.279882,-123.117511,142_FriMay22
#020402,49.298956,-123.133658,142_FriMay22
#17090D,49.285739,-123.123934,142_FriMay22
#060305,49.284302,-123.114838,142_FriMay22
#030402,49.281948,-123.118972,142_FriMay22
#76A287,49.288915,-123.111009,142_FriMay22
#050403,49.278832,-123.109734,142_FriMay22
#030302,49.283573,-123.103950,142_FriMay22
#69100D,49.282739,-123.106424,142_FriMay22
#120909,49.250000,-123.100000,142_FriMay22
#080506,49.284439,-123.110268,142_FriMay22
#F5F4F5,49.298956,-123.133658,142_FriMay22
#0C0C0C,49.279573,-123.138529,142_FriMay22
#070506,49.284439,-123.110268,142_FriMay22
#070202,49.284599,-123.108887,142_FriMay22
#050103,49.268967,-123.102936,142_FriMay22
#000000,49.277498,-123.114056,142_FriMay22
#D2CAE8,49.269131,-123.145210,142_FriMay22
#E3D1DB,49.282325,-123.108887,142_FriMay22
#EBA8AC,49.287842,-123.116341,142_FriMay22
#D6E1DF,49.259129,-123.100769,142_FriMay22
#030402,49.279573,-123.138529,142_FriMay22
#020102,49.281929,-123.100098,142_FriMay22
#D7CCD1,49.252914,-123.100739,142_FriMay22
#FDFCFC,49.281929,-123.100098,142_FriMay22
#020301,49.269131,-123.145210,142_FriMay22
#E0DDE3,49.278049,-123.126708,142_FriMay22
#060404,49.269031,-123.131782,142_FriMay22
#050504,49.298956,-123.133658,142_FriMay22
#150E12,49.280673,-123.127496,142_FriMay22
#D5C1C2,49.274063,-123.154361,142_FriMay22
#977C8F,49.274063,-123.154361,142_FriMay22
#6E9078,49.266667,-123.166667,142_FriMay22
#0A0A09,49.278809,-123.098831,142_FriMay22
#F0E9EE,49.280404,-123.121227,142_FriMay22
#020301,49.298956,-123.133658,142_FriMay22
#0D1408,49.279828,-123.121642,142_FriMay22
#FEFDFE,49.298841,-123.133583,142_FriMay22
#000000,49.284371,-123.110200,142_FriMay22
#040504,49.275453,-123.069732,142_FriMay22
#08A64B,49.279551,-123.103416,142_FriMay22
#010000,49.284371,-123.110200,142_FriMay22
#967489,49.280739,-123.117157,142_FriMay22
#020402,49.268190,-123.127637,142_FriMay22
#041D02,49.280491,-123.120567,142_FriMay22
#020802,49.281929,-123.100098,142_FriMay22
#000000,49.284371,-123.110200,142_FriMay22
#040404,49.286906,-123.109314,142_FriMay22
#020102,49.285739,-123.123934,142_FriMay22
#020101,49.284688,-123.110953,142_FriMay22
#10070C,49.224918,-123.090668,142_FriMay22
#050203,49.282219,-123.134659,142_FriMay22
#030302,49.275772,-123.069976,142_FriMay22
#010100,49.279720,-123.121712,142_FriMay22
#E6DEE4,49.264671,-123.114647,142_FriMay22
#AF0500,49.279720,-123.121712,142_FriMay22
#F8F8F8,49.249290,-123.089996,142_FriMay22
#010101,49.250000,-123.100000,142_FriMay22
#E6DCE3,49.282325,-123.108887,142_FriMay22
#0C0A07,49.288134,-123.115401,142_FriMay22
#0B0709,49.279981,-123.124550,142_FriMay22
#090507,49.250000,-123.100000,142_FriMay22
#020202,49.298841,-123.133583,142_FriMay22
#020202,49.298841,-123.133583,142_FriMay22
#FDFBFC,49.250000,-123.100000,142_FriMay22
#B81B73,49.267151,-123.069663,142_FriMay22
#0A1911,49.281450,-122.531700,142_FriMay22
#9E7088,49.267151,-123.069663,142_FriMay22
#030403,49.298956,-123.133658,142_FriMay22
#7D8388,49.276667,-123.111944,142_FriMay22
#865C7B,49.267151,-123.069663,142_FriMay22
#060506,49.283623,-123.103828,142_FriMay22
#060806,49.275795,-123.121590,142_FriMay22
