color,lat,long,date
#030707,49.298841,-123.133583,147_WedMay27
#E5DEE2,49.283718,-123.121109,147_WedMay27
#060605,49.284042,-123.107463,147_WedMay27
#194133,49.281379,-123.071924,147_WedMay27
#000200,49.280100,-123.112800,147_WedMay27
#F0E7F1,49.286556,-123.142616,147_WedMay27
#5E5E5E,49.250530,-123.100601,147_WedMay27
#93BD9E,49.287290,-123.129217,147_WedMay27
#6E6265,49.268967,-123.102936,147_WedMay27
#736565,49.280100,-123.112800,147_WedMay27
#130C15,49.278781,-123.120097,147_WedMay27
#EEE7EA,49.285282,-123.113541,147_WedMay27
#5F8E72,49.289923,-123.126048,147_WedMay27
#1B0509,49.298841,-123.133583,147_WedMay27
#0D110D,49.272332,-123.102719,147_WedMay27
#F6ECF1,49.281379,-123.071924,147_WedMay27
#AF7FA5,49.250000,-123.100000,147_WedMay27
#5B5B5B,49.279519,-123.115608,147_WedMay27
#0D0415,49.277290,-123.148800,147_WedMay27
#A38195,49.262878,-123.096726,147_WedMay27
#080C0B,49.280100,-123.112800,147_WedMay27
#040303,49.242222,-123.115000,147_WedMay27
#A27F7F,49.278235,-123.117443,147_WedMay27
#150D0D,49.282791,-123.104782,147_WedMay27
#010303,49.281271,-123.098454,147_WedMay27
#150F13,49.285000,-123.134000,147_WedMay27
#0F0C0A,49.267204,-123.091989,147_WedMay27
#966F89,49.266598,-123.145604,147_WedMay27
#010201,49.274256,-123.111744,147_WedMay27
#FAFAFA,49.282889,-123.107614,147_WedMay27
#0D0506,49.273640,-123.118431,147_WedMay27
#7EA795,49.267204,-123.091989,147_WedMay27
#060405,49.298956,-123.133658,147_WedMay27
#010102,49.298841,-123.133583,147_WedMay27
#231219,49.283141,-123.117692,147_WedMay27
#010101,49.225180,-123.077209,147_WedMay27
#B58BA6,49.273898,-123.124192,147_WedMay27
#020202,49.267204,-123.091989,147_WedMay27
#040401,49.262321,-123.087814,147_WedMay27
#040404,49.280100,-123.112800,147_WedMay27
#010201,49.300743,-123.130331,147_WedMay27
#010201,49.280100,-123.112800,147_WedMay27
#EDE4E6,49.282188,-123.108612,147_WedMay27
#040102,51.118092,-106.594924,147_WedMay27
#0F2923,49.282834,-123.120458,147_WedMay27
#72B793,49.249294,-123.122133,147_WedMay27
#FDFDFD,49.257958,-123.090188,147_WedMay27
#F7F8F8,49.283100,-123.104393,147_WedMay27
#524A6B,49.282834,-123.120458,147_WedMay27
#020101,49.219219,-123.118942,147_WedMay27
#251B25,49.282834,-123.120458,147_WedMay27
#EBE7EB,49.250000,-123.100000,147_WedMay27
#ACAFAA,49.283401,-123.117752,147_WedMay27
#9EAEB1,49.270942,-123.109478,147_WedMay27
#000100,49.298841,-123.133583,147_WedMay27
#70A884,49.282728,-123.123536,147_WedMay27
#93BE9D,49.287290,-123.129217,147_WedMay27
#030403,49.284599,-123.108887,147_WedMay27
#D4819E,49.283440,-123.118910,147_WedMay27
#030303,49.298956,-123.133658,147_WedMay27
#967182,49.280289,-123.106751,147_WedMay27
#BFB5B5,49.249290,-123.089996,147_WedMay27
#040304,49.281271,-123.098454,147_WedMay27
#010101,49.289846,-123.129826,147_WedMay27
#0A0909,49.279573,-123.138529,147_WedMay27
#276159,49.278995,-123.119743,147_WedMay27
#020104,49.300000,-123.140000,147_WedMay27
#67967F,49.250000,-123.100000,147_WedMay27
#CFBFCA,49.281913,-123.107028,147_WedMay27
#8F718A,49.271856,-123.135008,147_WedMay27
#9A999C,49.298841,-123.133583,147_WedMay27
#030702,49.272005,-123.114896,147_WedMay27
#0F0E13,49.293751,-123.149306,147_WedMay27
#030303,49.271856,-123.135008,147_WedMay27
#010801,49.279270,-123.129776,147_WedMay27
#020101,49.280150,-123.100990,147_WedMay27
#C4B2B9,49.251839,-123.101189,147_WedMay27
#000000,49.298956,-123.133658,147_WedMay27
#030404,49.298841,-123.133583,147_WedMay27
#270811,49.270778,-123.069692,147_WedMay27
#000100,49.279270,-123.129776,147_WedMay27
#010101,49.281271,-123.098454,147_WedMay27
#0C0E0C,49.279551,-123.103416,147_WedMay27
#0A0C09,49.269760,-123.143667,147_WedMay27
#010000,49.284439,-123.123016,147_WedMay27
#030101,49.284439,-123.123016,147_WedMay27
#010000,49.272000,-123.192000,147_WedMay27
#040505,49.283807,-123.105546,147_WedMay27
#010101,49.234909,-123.115814,147_WedMay27
#040304,49.298956,-123.133658,147_WedMay27
#140608,49.272005,-123.114896,147_WedMay27
#11090B,49.233031,-123.117251,147_WedMay27
#020202,49.281540,-123.138985,147_WedMay27
#060606,49.288915,-123.111009,147_WedMay27
#0B0209,49.281944,-123.121944,147_WedMay27
#F3E8EF,49.286556,-123.142616,147_WedMay27
#020104,49.250000,-123.100000,147_WedMay27
#020103,49.250000,-123.100000,147_WedMay27
#040205,49.250000,-123.100000,147_WedMay27
#D47116,49.250000,-123.100000,147_WedMay27
#040306,49.250000,-123.100000,147_WedMay27
#050605,49.215244,-123.142587,147_WedMay27
#0F0D0C,49.224046,-123.078409,147_WedMay27
#51635D,49.250000,-123.100000,147_WedMay27
#140A10,49.250000,-123.100000,147_WedMay27
#7E7D8B,49.288311,-123.116730,147_WedMay27
#050303,49.265327,-123.100655,147_WedMay27
#CDC5CA,49.233031,-123.117251,147_WedMay27
#E4B2BD,49.279176,-123.090173,147_WedMay27
#A55487,49.284311,-123.143344,147_WedMay27
#010000,49.250000,-123.100000,147_WedMay27
#010101,49.286675,-123.143220,147_WedMay27
#030306,49.256986,-123.073477,147_WedMay27
#080A18,49.300829,-123.130553,147_WedMay27
#020101,49.275556,-123.120833,147_WedMay27
#050A03,49.298841,-123.133583,147_WedMay27
#14040B,49.286556,-123.142616,147_WedMay27
#650517,49.268280,-123.146431,147_WedMay27
#877C80,49.280414,-123.126281,147_WedMay27
#030403,49.250000,-123.100000,147_WedMay27
#917186,49.249904,-123.075554,147_WedMay27
#000301,49.298841,-123.133583,147_WedMay27
#040100,49.282959,-123.115181,147_WedMay27
#700F03,49.265961,-123.069710,147_WedMay27
#EDF5F0,49.224666,-122.938373,147_WedMay27
#060301,49.283573,-123.103950,147_WedMay27
#040202,49.278038,-123.109234,147_WedMay27
#020201,49.279270,-123.129776,147_WedMay27
#1C0B0E,49.280294,-123.125283,147_WedMay27
#FCFAFC,49.290800,-123.136361,147_WedMay27
#FDFBFD,49.276836,-123.125878,147_WedMay27
#D6D0D1,49.264473,-123.069595,147_WedMay27
#050505,49.283573,-123.103950,147_WedMay27
#020202,49.279573,-123.138529,147_WedMay27
#041109,49.287941,-123.113132,147_WedMay27
#0B0708,49.282318,-123.122810,147_WedMay27
#010101,49.266472,-123.140701,147_WedMay27
#E2D7DE,49.282325,-123.108887,147_WedMay27
#545454,49.282834,-123.120458,147_WedMay27
#020502,49.277704,-123.114411,147_WedMay27
#81928D,49.269623,-123.079248,147_WedMay27
#030403,49.275929,-123.130192,147_WedMay27
#0D1508,49.282989,-123.124039,147_WedMay27
#110806,49.263920,-123.141258,147_WedMay27
#1B2615,49.300000,-123.140000,147_WedMay27
#09110B,49.282349,-123.133200,147_WedMay27
#0A0607,49.288311,-123.116730,147_WedMay27
#050301,49.276836,-123.125878,147_WedMay27
#060805,49.281311,-123.132904,147_WedMay27
#857C74,49.280289,-123.106751,147_WedMay27
#020305,49.276524,-123.100084,147_WedMay27
#020501,49.279270,-123.129776,147_WedMay27
#DEF0EE,49.286884,-123.143014,147_WedMay27
#1C080B,49.298956,-123.133658,147_WedMay27
#0C090F,49.285739,-123.123934,147_WedMay27
#260301,49.269955,-123.108247,147_WedMay27
#000000,49.280100,-123.112800,147_WedMay27
#070A06,49.284560,-123.113105,147_WedMay27
#E2C5DD,49.300743,-123.130331,147_WedMay27
#0A030A,49.268280,-123.146431,147_WedMay27
#000000,49.280100,-123.112800,147_WedMay27
#000000,49.280100,-123.112800,147_WedMay27
#080403,49.280404,-123.121227,147_WedMay27
#002C02,49.279270,-123.129776,147_WedMay27
#154628,49.256136,-123.082030,147_WedMay27
#010202,49.292648,-123.128988,147_WedMay27
#05280C,9.735050,126.125851,147_WedMay27
#030303,49.283327,-123.119291,147_WedMay27
#020302,49.270470,-123.135529,147_WedMay27
#C5BEC1,49.285739,-123.123934,147_WedMay27
#030101,49.270470,-123.135529,147_WedMay27
#5C585C,49.284599,-123.108887,147_WedMay27
#040102,49.270237,-123.134750,147_WedMay27
#050200,49.298956,-123.133658,147_WedMay27
#AB879F,49.286537,-123.134079,147_WedMay27
#14050B,49.252219,-123.111874,147_WedMay27
#151207,49.298956,-123.133658,147_WedMay27
#030601,49.277830,-123.128707,147_WedMay27
#6F0D04,49.222401,-123.101601,147_WedMay27
#060505,49.265881,-123.138901,147_WedMay27
#7E00F7,49.263302,-123.109878,147_WedMay27
#E8E3E6,49.250000,-123.100000,147_WedMay27
#635050,49.280414,-123.126281,147_WedMay27
#676E67,49.276809,-123.112154,147_WedMay27
#030401,49.283840,-123.109564,147_WedMay27
#040001,49.282070,-123.106071,147_WedMay27
#BE6BA5,49.280002,-123.116782,147_WedMay27
#F6EAEB,49.250000,-123.100000,147_WedMay27
#050806,49.286959,-123.113929,147_WedMay27
#EEE0E8,49.289588,-123.127209,147_WedMay27
#7AA78C,49.264152,-123.104593,147_WedMay27
