color,lat,long,date
#060303,49.279796,-123.121661,153_TueJun2
#030202,49.288390,-123.130570,153_TueJun2
#020202,49.279573,-123.138529,153_TueJun2
#060203,49.279828,-123.121642,153_TueJun2
#140713,49.293240,-123.140152,153_TueJun2
#AAC2BC,49.271856,-123.135008,153_TueJun2
#AAA2A8,49.288383,-123.112904,153_TueJun2
#0D0508,49.281384,-123.074303,153_TueJun2
#11060D,49.279828,-123.121642,153_TueJun2
#140E0A,49.285739,-123.123934,153_TueJun2
#EDF7F4,49.290170,-123.118142,153_TueJun2
#D66F96,49.272350,-123.155327,153_TueJun2
#7F7B7D,49.280100,-123.112800,153_TueJun2
#060402,49.284672,-123.121429,153_TueJun2
#050605,49.264870,-123.069595,153_TueJun2
#050505,49.288311,-123.116730,153_TueJun2
#B8BBAF,49.274256,-123.111744,153_TueJun2
#BDCCC1,49.290170,-123.118142,153_TueJun2
#7D9194,49.262740,-123.114880,153_TueJun2
#040604,49.242222,-123.115000,153_TueJun2
#9B9CA0,49.293240,-123.140152,153_TueJun2
#010101,49.286675,-123.143220,153_TueJun2
#020303,49.280100,-123.112800,153_TueJun2
#091813,49.279828,-123.121642,153_TueJun2
#5CA08D,49.269400,-123.123800,153_TueJun2
#0A180A,49.250000,-123.100000,153_TueJun2
#C5657B,49.272625,-123.135620,153_TueJun2
#D6D0D4,49.263573,-123.141593,153_TueJun2
#0D0D0D,49.300000,-123.140000,153_TueJun2
#040203,49.250000,-123.100000,153_TueJun2
#0C0D0F,49.289711,-123.116074,153_TueJun2
#000100,49.279828,-123.121642,153_TueJun2
#3E1D1D,49.269470,-123.110603,153_TueJun2
#EEF5F3,49.254150,-123.114975,153_TueJun2
#EAB4D5,49.262726,-123.101181,153_TueJun2
#81CA9D,49.271787,-123.071169,153_TueJun2
#050504,49.286675,-123.143220,153_TueJun2
#010101,49.279461,-123.122124,153_TueJun2
#0E0E10,49.289711,-123.116074,153_TueJun2
#F4F5F4,49.256935,-123.122712,153_TueJun2
#020302,49.262192,-123.092392,153_TueJun2
#040202,49.288020,-123.125709,153_TueJun2
#000000,49.282855,-123.115228,153_TueJun2
#010101,49.249535,-123.074326,153_TueJun2
#9B9075,49.250000,-123.100000,153_TueJun2
#000100,49.279796,-123.121661,153_TueJun2
#E4A6C0,49.282698,-123.128576,153_TueJun2
#040304,49.284572,-123.124657,153_TueJun2
#5D6465,49.280796,-123.117943,153_TueJun2
#020202,49.281874,-123.124205,153_TueJun2
#020202,49.278652,-123.128220,153_TueJun2
#030203,49.280796,-123.117943,153_TueJun2
#EAE1E8,49.279796,-123.121661,153_TueJun2
#030101,49.280294,-123.125283,153_TueJun2
#010201,49.279796,-123.121661,153_TueJun2
#040404,49.284599,-123.108887,153_TueJun2
#530F1F,49.283325,-123.112495,153_TueJun2
#060404,49.272613,-123.148697,153_TueJun2
#030402,49.279796,-123.121661,153_TueJun2
#090507,49.283325,-123.112495,153_TueJun2
#AE877E,49.278943,-123.084643,153_TueJun2
#020701,49.264240,-123.101410,153_TueJun2
#AC829F,49.278229,-123.117401,153_TueJun2
#06F717,49.279796,-123.121661,153_TueJun2
#9D979D,49.270460,-123.100585,153_TueJun2
#070501,49.284222,-123.100403,153_TueJun2
#BBAFB7,49.285210,-123.116015,153_TueJun2
#010101,49.289711,-123.116074,153_TueJun2
#FAF9FA,49.279796,-123.121661,153_TueJun2
#050102,49.279796,-123.121661,153_TueJun2
#9D7381,49.300000,-123.140000,153_TueJun2
#5A8F68,49.281846,-123.114606,153_TueJun2
#4A665D,49.303748,-123.145237,153_TueJun2
#070705,49.286675,-123.143220,153_TueJun2
#100D06,49.279796,-123.121661,153_TueJun2
#0E0D0A,49.283153,-123.140115,153_TueJun2
#BE748E,49.277817,-123.125465,153_TueJun2
#1A161A,49.289711,-123.116074,153_TueJun2
#050201,49.279828,-123.121642,153_TueJun2
#040702,49.300000,-123.140000,153_TueJun2
#040502,49.276395,-123.116089,153_TueJun2
#845A71,49.270833,-123.106667,153_TueJun2
#0E060B,49.250000,-123.100000,153_TueJun2
#E67CA2,49.279828,-123.121642,153_TueJun2
#E8C8E1,49.279828,-123.121642,153_TueJun2
#010101,49.282739,-123.106424,153_TueJun2
#030202,49.262192,-123.092392,153_TueJun2
#010101,49.289711,-123.116074,153_TueJun2
#020101,49.272079,-123.120377,153_TueJun2
#4F452B,49.279796,-123.121661,153_TueJun2
#34B827,49.279828,-123.121642,153_TueJun2
#010000,49.289950,-123.129930,153_TueJun2
#030001,49.272005,-123.114896,153_TueJun2
#020101,49.276222,-123.129038,153_TueJun2
#E8AFE9,49.280414,-123.126281,153_TueJun2
#040204,49.273353,-123.103411,153_TueJun2
#030302,49.275470,-123.136643,153_TueJun2
#281E26,49.280404,-123.121227,153_TueJun2
#030003,49.280404,-123.121227,153_TueJun2
#0E0002,49.276836,-123.125878,153_TueJun2
#030203,49.280460,-123.127000,153_TueJun2
#A19AA5,49.250000,-123.100000,153_TueJun2
#E6E0E1,49.271856,-123.135008,153_TueJun2
#020101,49.276817,-123.121964,153_TueJun2
#211912,49.279828,-123.121642,153_TueJun2
#010301,49.249175,-123.077617,153_TueJun2
#11090C,49.285198,-123.118469,153_TueJun2
#1B0C10,49.286959,-123.113929,153_TueJun2
#0E1011,49.286959,-123.113929,153_TueJun2
#0C0918,49.286959,-123.113929,153_TueJun2
#09100A,49.282162,-123.107964,153_TueJun2
#402E2F,49.286959,-123.113929,153_TueJun2
#67595A,49.273476,-123.113510,153_TueJun2
#DAB3BE,49.286959,-123.113929,153_TueJun2
#95767D,49.279828,-123.121642,153_TueJun2
#D8A1DA,49.024071,-123.068929,153_TueJun2
#065E0D,49.250000,-123.100000,153_TueJun2
#0A1712,49.300000,-123.140000,153_TueJun2
#282841,49.238990,-123.129839,153_TueJun2
#0B0508,49.285739,-123.123934,153_TueJun2
#B40700,49.250000,-123.100000,153_TueJun2
#626262,49.201512,-122.910701,153_TueJun2
#EAE1E8,49.283493,-123.109367,153_TueJun2
#ECE7EA,49.283493,-123.109367,153_TueJun2
#190F10,49.288026,-123.113001,153_TueJun2
#E2E2E1,49.271580,-123.106979,153_TueJun2
#070802,49.265881,-123.138901,153_TueJun2
#000000,49.280414,-123.126281,153_TueJun2
#B1B4AF,49.271580,-123.106979,153_TueJun2
#92496D,49.278366,-123.118240,153_TueJun2
#000100,49.281426,-123.105959,153_TueJun2
#C0C0C0,49.279169,-123.107111,153_TueJun2
#030102,49.275362,-123.120754,153_TueJun2
#0D0909,49.279169,-123.107111,153_TueJun2
#030101,49.280512,-123.120350,153_TueJun2
#020101,49.280512,-123.120350,153_TueJun2
#8E727C,49.277016,-123.134210,153_TueJun2
#000201,49.300743,-123.130331,153_TueJun2
#18F76E,49.277437,-123.123244,153_TueJun2
#020001,49.300000,-123.140000,153_TueJun2
#01EB43,49.277437,-123.123244,153_TueJun2
#030103,49.277437,-123.123244,153_TueJun2
#020102,49.271856,-123.135008,153_TueJun2
#F0E8EE,49.265789,-123.105423,153_TueJun2
#1F0A60,49.275500,-123.117833,153_TueJun2
#130B0D,49.265789,-123.105423,153_TueJun2
#1B030F,49.277092,-123.122125,153_TueJun2
#697675,49.274063,-123.154361,153_TueJun2
#9C556D,49.276836,-123.125878,153_TueJun2
#746989,49.285158,-123.125196,153_TueJun2
#A47D8B,49.282739,-123.106424,153_TueJun2
#DEE6EA,49.264172,-123.128289,153_TueJun2
#120D0D,49.270409,-123.134079,153_TueJun2
#039719,49.300743,-123.130331,153_TueJun2
#5E0914,49.283141,-123.117692,153_TueJun2
#EAD3DF,49.265896,-123.114395,153_TueJun2
#060604,49.285192,-123.111250,153_TueJun2
#F8DDEF,49.281384,-123.074303,153_TueJun2
#65595C,49.275362,-123.120754,153_TueJun2
#C2BEBE,49.282213,-123.102517,153_TueJun2
#040303,49.282970,-123.115967,153_TueJun2
#101012,49.275470,-123.136643,153_TueJun2
#A9EFDA,49.292465,-123.129150,153_TueJun2
#050203,49.280796,-123.117943,153_TueJun2
#060C07,49.292465,-123.129150,153_TueJun2
#010201,49.292465,-123.129150,153_TueJun2
#905B7A,49.273769,-123.078194,153_TueJun2
#B3B4B0,49.288128,-123.114868,153_TueJun2
#FCFDFD,49.286675,-123.143220,153_TueJun2
#DEB5D3,49.265896,-123.114395,153_TueJun2
#12050B,49.286959,-123.113929,153_TueJun2
#040202,49.269859,-123.137917,153_TueJun2
#141214,49.286959,-123.113929,153_TueJun2
#180F12,49.280237,-123.123904,153_TueJun2
#B68484,49.293240,-123.140152,153_TueJun2
#0A070A,49.250000,-123.100000,153_TueJun2
#D0A7A6,49.250000,-123.100000,153_TueJun2
#B6FAF5,49.286959,-123.113929,153_TueJun2
#897274,49.250000,-123.100000,153_TueJun2
#040001,49.281804,-123.106025,153_TueJun2
#C2C7C4,49.269475,-123.140831,153_TueJun2
#010801,49.263847,-123.100723,153_TueJun2
#010302,49.286477,-123.118190,153_TueJun2
#F8F6FA,49.277321,-123.115254,153_TueJun2
#202020,49.201512,-122.910701,153_TueJun2
#1D0913,49.277805,-123.099243,153_TueJun2
#120B0D,49.251839,-123.101189,153_TueJun2
#11080A,49.286976,-123.114708,153_TueJun2
#101510,49.280404,-123.121227,153_TueJun2
#D2CBD3,49.300000,-123.140000,153_TueJun2
#1C141B,49.274063,-123.154361,153_TueJun2
#030302,49.270655,-123.106396,153_TueJun2
#050504,49.263531,-123.154121,153_TueJun2
#FCFAFC,49.287842,-123.116341,153_TueJun2
#A4B79F,49.278056,-123.125936,153_TueJun2
#020101,49.287399,-123.129738,153_TueJun2
#060102,49.280248,-123.114811,153_TueJun2
#030302,49.282194,-123.124928,153_TueJun2
#CAA7A2,49.275628,-123.117492,153_TueJun2
#050302,49.259129,-123.100769,153_TueJun2
#0A0A06,49.287022,-123.140892,153_TueJun2
#F2D5EB,49.289940,-123.130348,153_TueJun2
#26874F,49.287290,-123.129217,153_TueJun2
#030304,49.288639,-123.142418,153_TueJun2
#DCCCD1,49.283327,-123.119291,153_TueJun2
#158F63,49.273071,-123.157333,153_TueJun2
#510315,49.289711,-123.116074,153_TueJun2
#E1E1E1,49.283691,-123.103455,153_TueJun2
#21030A,49.289711,-123.116074,153_TueJun2
#1D0409,49.289711,-123.116074,153_TueJun2
#9AAB98,49.276631,-123.070467,153_TueJun2
#708B7C,49.280404,-123.121227,153_TueJun2
#6D7173,49.283966,-123.108908,153_TueJun2
#0F0A16,49.249904,-123.075554,153_TueJun2
#8C8389,49.274113,-123.118370,153_TueJun2
#B98191,49.268261,-123.153389,153_TueJun2
#BAA2B0,49.282896,-123.089551,153_TueJun2
#8A7680,49.265746,-123.100333,153_TueJun2
#020202,49.268323,-123.169743,153_TueJun2
#DEC4D0,49.292381,-123.129954,153_TueJun2
#0F0307,49.276097,-123.119497,153_TueJun2
#040204,49.289923,-123.126048,153_TueJun2
#00C129,49.302264,-123.142251,153_TueJun2
#D2B5B6,49.277462,-123.115761,153_TueJun2
#030101,49.280404,-123.121227,153_TueJun2
#0E0A0C,49.284538,-123.109901,153_TueJun2
#AA7E96,49.300000,-123.140000,153_TueJun2
#160306,49.276097,-123.119497,153_TueJun2
#BCA2B6,49.276295,-123.121407,153_TueJun2
#5D5E5E,49.287941,-123.113132,153_TueJun2
#0C0306,49.273724,-123.069344,153_TueJun2
#030202,49.271393,-123.106682,153_TueJun2
#010101,49.275723,-123.128128,153_TueJun2
#F6FAF9,49.300000,-123.140000,153_TueJun2
#E8DBE4,49.282896,-123.089551,153_TueJun2
#1B171A,49.283138,-123.118855,153_TueJun2
#6B6061,49.300000,-123.140000,153_TueJun2
#020701,49.250000,-123.100000,153_TueJun2
#020102,49.284042,-123.107463,153_TueJun2
#5A0901,49.279057,-123.111279,153_TueJun2
#030201,49.279828,-123.121642,153_TueJun2
#8E7D8B,49.275726,-123.120552,153_TueJun2
#100905,49.249427,-123.101099,153_TueJun2
#021C0C,49.279828,-123.121642,153_TueJun2
#DED2DA,49.289735,-123.138300,153_TueJun2
#070613,49.285106,-123.102149,153_TueJun2
#AF9CAA,49.266232,-123.105431,153_TueJun2
#E1E5E2,49.270439,-123.086012,153_TueJun2
#9E4A71,49.283821,-123.114693,153_TueJun2
#E2CDD8,49.247272,-123.101386,153_TueJun2
#F7FBFA,49.284067,-123.103385,153_TueJun2
#BA6992,49.280704,-123.117167,153_TueJun2
#040402,49.242100,-123.113800,153_TueJun2
#030404,49.261063,-123.156060,153_TueJun2
#F0EEED,49.281067,-123.102051,153_TueJun2
#EEDFE6,49.273724,-123.069344,153_TueJun2
#201A1C,49.272322,-123.069494,153_TueJun2
#E4EAE6,49.251839,-123.101189,153_TueJun2
#FAF0F9,49.239953,-123.068538,153_TueJun2
#000100,49.286675,-123.143220,153_TueJun2
#050303,49.264240,-123.101410,153_TueJun2
#A55C9C,49.286542,-123.119960,153_TueJun2
#010300,49.280491,-123.120567,153_TueJun2
#6C6C6B,49.242222,-123.115000,153_TueJun2
#040404,49.260307,-123.096275,153_TueJun2
#F7F3F2,49.254441,-123.107413,153_TueJun2
#120C0B,49.275470,-123.136643,153_TueJun2
#E2DBE4,49.285359,-123.113844,153_TueJun2
#F8EAF1,49.274373,-123.120964,153_TueJun2
#C6B6C2,49.284448,-123.110143,153_TueJun2
#030C06,49.272005,-123.114896,153_TueJun2
#040404,49.283718,-123.121109,153_TueJun2
#D3BFDD,49.284572,-123.124657,153_TueJun2
#050307,49.238990,-123.129839,153_TueJun2
#5F9173,49.289331,-123.117620,153_TueJun2
#F3ECEF,49.276524,-123.100084,153_TueJun2
#FBF1F5,49.283420,-123.104110,153_TueJun2
#020301,49.250000,-123.100000,153_TueJun2
#070606,49.279828,-123.121642,153_TueJun2
#E4E1E2,49.278000,-123.117667,153_TueJun2
#D0D7D1,49.244298,-123.127707,153_TueJun2
#040204,49.250000,-123.100000,153_TueJun2
#B8ACB2,49.259357,-123.101038,153_TueJun2
#C6D0CA,49.283966,-123.108908,153_TueJun2
#020404,49.264049,-123.115051,153_TueJun2
#0A040F,49.300000,-123.140000,153_TueJun2
#100916,49.232006,-123.117801,153_TueJun2
#738B79,49.290170,-123.118142,153_TueJun2
#E0E3E1,49.284599,-123.108887,153_TueJun2
#0A0D13,49.250000,-123.100000,153_TueJun2
#000000,49.262500,-123.068889,153_TueJun2
#030804,49.283412,-123.118872,153_TueJun2
#0E1105,49.288043,-123.117565,153_TueJun2
#070707,49.283360,-123.104197,153_TueJun2
#110208,49.283641,-123.122213,153_TueJun2
#B8A8A7,49.274546,-123.125791,153_TueJun2
#0E0808,49.280000,-123.099444,153_TueJun2
#736967,49.288559,-123.120972,153_TueJun2
#0A040D,49.250000,-123.100000,153_TueJun2
#C7574F,49.268167,-123.149667,153_TueJun2
#1F0814,49.266472,-123.140701,153_TueJun2
#1C1B19,49.283412,-123.118872,153_TueJun2
#0E0A0D,49.280695,-123.125914,153_TueJun2
#030202,49.277908,-123.128357,153_TueJun2
#F3F3F3,49.279573,-123.138529,153_TueJun2
#F4F5F5,49.264019,-123.105309,153_TueJun2
#011503,49.289923,-123.126048,153_TueJun2
#191F1D,49.250000,-123.100000,153_TueJun2
#10090F,49.270833,-123.106667,153_TueJun2
#060203,49.283156,-123.109243,153_TueJun2
#030102,49.259758,-123.070007,153_TueJun2
#695259,49.248634,-123.152152,153_TueJun2
#060505,49.248560,-123.154510,153_TueJun2
#0C0607,49.268608,-123.104423,153_TueJun2
#091707,49.260307,-123.096275,153_TueJun2
#060806,49.260307,-123.096275,153_TueJun2
#020101,49.284530,-123.123130,153_TueJun2
#D9B8CA,49.282028,-123.125763,153_TueJun2
#9A7B86,49.269400,-123.123800,153_TueJun2
#180913,49.288093,-123.130385,153_TueJun2
#0F0B0C,49.276295,-123.121407,153_TueJun2
#EAE5EB,49.290563,-123.140462,153_TueJun2
#060704,49.273353,-123.103411,153_TueJun2
#0D090B,49.282955,-123.121039,153_TueJun2
#1A0F15,49.278750,-123.136375,153_TueJun2
#B4A9B9,49.283966,-123.108908,153_TueJun2
#E4CDC6,49.268980,-123.109636,153_TueJun2
#E5E0E0,49.266575,-123.135323,153_TueJun2
#13141A,49.279028,-123.123137,153_TueJun2
#9DA3A3,49.268013,-123.154892,153_TueJun2
#010001,49.281813,-123.133410,153_TueJun2
#081306,49.267601,-123.150854,153_TueJun2
#9D9C97,49.258541,-123.138344,153_TueJun2
#040303,49.289711,-123.116074,153_TueJun2
#000100,49.286850,-123.116586,153_TueJun2
#C06E9D,49.268980,-123.109636,153_TueJun2
#E2E5DD,49.246707,-123.090552,153_TueJun2
#000400,49.260307,-123.096275,153_TueJun2
#9EA09C,49.246971,-123.100822,153_TueJun2
#CED6CD,49.288813,-123.112139,153_TueJun2
#020101,49.218710,-123.102690,153_TueJun2
#0B0810,49.279551,-123.103416,153_TueJun2
#020202,49.293861,-123.135883,153_TueJun2
#050605,49.290544,-123.140605,153_TueJun2
#130509,49.290249,-123.133812,153_TueJun2
#030302,49.261700,-123.100617,153_TueJun2
#FCF9FB,49.287396,-123.115782,153_TueJun2
#010502,49.277450,-123.093782,153_TueJun2
#000101,49.269634,-123.145126,153_TueJun2
#F6F0F6,49.282271,-123.103734,153_TueJun2
#060502,49.288990,-123.127533,153_TueJun2
#150709,49.275362,-123.120754,153_TueJun2
#FEFEFE,49.282162,-123.107964,153_TueJun2
#D1D0D1,49.243107,-123.151318,153_TueJun2
#010101,49.285000,-123.134000,153_TueJun2
#CEE0D8,49.270348,-123.099569,153_TueJun2
#CCE3D8,49.271856,-123.135008,153_TueJun2
#70051B,49.274594,-123.122184,153_TueJun2
#0E0306,49.278049,-123.099140,153_TueJun2
#CEC2C7,49.260006,-123.138896,153_TueJun2
#040202,49.279828,-123.121642,153_TueJun2
#C5B0BD,49.259129,-123.100769,153_TueJun2
