color,lat,long,date
#000000,49.272625,-123.135620,156_FriJun5
#070501,49.285000,-123.134000,156_FriJun5
#040D02,49.280720,-123.121391,156_FriJun5
#696C69,49.276734,-123.124521,156_FriJun5
#EBF6F9,49.264172,-123.128289,156_FriJun5
#020001,49.272200,-123.134013,156_FriJun5
#010200,49.260307,-123.096275,156_FriJun5
#230611,49.282989,-123.124039,156_FriJun5
#0E0804,49.281384,-123.074303,156_FriJun5
#170B1A,49.271856,-123.135008,156_FriJun5
#090B0A,49.285716,-123.124686,156_FriJun5
#0F0A17,49.250000,-123.100000,156_FriJun5
#060103,49.278481,-123.122780,156_FriJun5
#D073A8,49.272209,-123.155342,156_FriJun5
#B3E1CD,49.271856,-123.135008,156_FriJun5
#120A12,49.286446,-123.115364,156_FriJun5
#010101,49.274063,-123.154361,156_FriJun5
#521B24,49.284183,-123.113342,156_FriJun5
#020202,49.271856,-123.135008,156_FriJun5
#020101,49.271856,-123.135008,156_FriJun5
#200810,49.283573,-123.103950,156_FriJun5
#876D7A,49.289711,-123.116074,156_FriJun5
#020203,49.280100,-123.112800,156_FriJun5
#E2DFE0,49.286675,-123.143220,156_FriJun5
#A41E57,49.264969,-123.137512,156_FriJun5
#040701,49.260307,-123.096275,156_FriJun5
#AB4572,49.267101,-123.103561,156_FriJun5
#030204,49.271856,-123.135008,156_FriJun5
#250E12,49.288311,-123.116730,156_FriJun5
#F3F0F2,49.289735,-123.138300,156_FriJun5
#12090D,49.275349,-123.080353,156_FriJun5
#F0F2F2,49.272551,-123.133049,156_FriJun5
#140F13,49.282425,-123.124291,156_FriJun5
#FBFDFD,49.271856,-123.135008,156_FriJun5
#CB677D,49.262001,-123.070488,156_FriJun5
#DEF6E5,49.280414,-123.126281,156_FriJun5
#030302,49.263149,-123.105270,156_FriJun5
#E4D7DF,49.285290,-123.122795,156_FriJun5
#000201,49.284016,-123.114159,156_FriJun5
#000000,49.300000,-123.140000,156_FriJun5
#297950,49.302264,-123.142251,156_FriJun5
#090607,49.279270,-123.129776,156_FriJun5
#010100,49.280100,-123.112800,156_FriJun5
#040101,49.282520,-123.107964,156_FriJun5
#010101,49.279025,-123.135796,156_FriJun5
#638572,49.272451,-123.123960,156_FriJun5
#726877,49.249427,-123.101099,156_FriJun5
#B48099,49.283573,-123.103950,156_FriJun5
#815B78,49.250000,-123.100000,156_FriJun5
#938B8D,49.300000,-123.140000,156_FriJun5
#050304,49.274063,-123.154361,156_FriJun5
#FCFAFB,49.260307,-123.096275,156_FriJun5
#C2D7C9,49.270833,-123.106667,156_FriJun5
