color,lat,long,date
#090507,49.282799,-123.104073,157_SatJun6
#010905,49.686667,-123.135000,157_SatJun6
#929896,49.249290,-123.089996,157_SatJun6
#020001,49.281271,-123.098454,157_SatJun6
#050404,49.284599,-123.108887,157_SatJun6
#030505,49.279828,-123.121642,157_SatJun6
#EDE6EA,49.274063,-123.154361,157_SatJun6
#020102,49.263381,-123.120366,157_SatJun6
#040100,49.280987,-123.095436,157_SatJun6
#020201,49.281929,-123.100098,157_SatJun6
#030303,49.282834,-123.120458,157_SatJun6
#010100,49.277069,-123.125732,157_SatJun6
#010101,49.273353,-123.103411,157_SatJun6
#6B0D21,49.268967,-123.102936,157_SatJun6
#10B157,49.280404,-123.121227,157_SatJun6
#020101,49.280100,-123.112800,157_SatJun6
#050605,49.276283,-123.119720,157_SatJun6
#060601,49.288311,-123.116730,157_SatJun6
#6E091C,49.278529,-123.098299,157_SatJun6
#291517,49.270095,-123.106378,157_SatJun6
#162062,49.272312,-123.128288,157_SatJun6
#070D07,49.274917,-123.121505,157_SatJun6
#111A12,49.284618,-123.112020,157_SatJun6
#EADDF3,49.294900,-123.150161,157_SatJun6
#0D0407,49.274063,-123.154361,157_SatJun6
#0B0706,49.280100,-123.112800,157_SatJun6
#060304,49.284861,-123.122912,157_SatJun6
#0C0102,49.275490,-123.120918,157_SatJun6
#181014,49.287205,-123.142601,157_SatJun6
#020301,49.274063,-123.154361,157_SatJun6
#080402,49.279669,-123.122709,157_SatJun6
#0F0B11,49.250000,-123.100000,157_SatJun6
#020103,49.300000,-123.140000,157_SatJun6
#130C10,49.281582,-123.132782,157_SatJun6
#040202,49.275490,-123.120918,157_SatJun6
#0A070F,49.271856,-123.135008,157_SatJun6
#EFDBDA,49.280100,-123.112800,157_SatJun6
#14100B,49.289711,-123.116074,157_SatJun6
#A0597E,49.281391,-123.107781,157_SatJun6
#040401,49.279610,-123.113098,157_SatJun6
#060404,49.284042,-123.107463,157_SatJun6
#7F6478,49.229000,-123.152000,157_SatJun6
#10080E,49.279551,-123.103416,157_SatJun6
#080303,49.280659,-123.100861,157_SatJun6
#FAF5F6,49.286130,-123.134260,157_SatJun6
#0B0909,49.300000,-123.140000,157_SatJun6
#280D42,49.272312,-123.128288,157_SatJun6
#936A7A,49.265327,-123.100655,157_SatJun6
#E25FB4,49.283588,-123.113770,157_SatJun6
#F5E4EE,49.284439,-123.110268,157_SatJun6
#070708,49.270931,-123.146782,157_SatJun6
#060501,49.287224,-123.113916,157_SatJun6
#000000,49.284759,-123.122697,157_SatJun6
#040303,49.268139,-123.099663,157_SatJun6
#1D0308,49.284364,-123.109425,157_SatJun6
#040101,49.279251,-123.120506,157_SatJun6
#030001,49.280659,-123.100861,157_SatJun6
#222222,49.279551,-123.103416,157_SatJun6
#040203,49.289967,-123.132828,157_SatJun6
#090608,49.286675,-123.143220,157_SatJun6
#0E0303,49.282040,-123.118492,157_SatJun6
#020201,49.277644,-123.127207,157_SatJun6
#010001,49.273353,-123.103411,157_SatJun6
#030401,49.267956,-123.069794,157_SatJun6
#F4DCE7,49.282852,-123.115857,157_SatJun6
#120F10,49.262889,-123.126105,157_SatJun6
#030101,49.280659,-123.100861,157_SatJun6
#0F180A,49.279617,-123.101364,157_SatJun6
#030102,49.276979,-123.126573,157_SatJun6
#FCF6FA,49.285833,-123.111667,157_SatJun6
#040102,49.280720,-123.121391,157_SatJun6
#040203,49.287991,-123.141899,157_SatJun6
#131708,49.287105,-123.128429,157_SatJun6
#171413,49.283333,-123.119217,157_SatJun6
#F0F0F0,49.273105,-123.149361,157_SatJun6
#090306,49.283336,-123.109054,157_SatJun6
#040101,49.282589,-123.102959,157_SatJun6
#060000,49.286675,-123.143220,157_SatJun6
#030000,49.280659,-123.100861,157_SatJun6
#020101,49.279869,-123.122688,157_SatJun6
#FCF4FB,49.284668,-123.122794,157_SatJun6
#020701,49.280100,-123.112800,157_SatJun6
#0D0304,49.264149,-123.074288,157_SatJun6
#010101,49.284695,-123.119241,157_SatJun6
#050403,49.274063,-123.154361,157_SatJun6
#0A1207,49.285739,-123.123934,157_SatJun6
#0D0206,49.282558,-123.106278,157_SatJun6
#010101,49.276211,-123.099480,157_SatJun6
#060405,49.284599,-123.108887,157_SatJun6
#070607,49.286675,-123.143220,157_SatJun6
#AE7E9C,49.278229,-123.117401,157_SatJun6
#090505,49.276279,-123.134491,157_SatJun6
#030303,49.260307,-123.096275,157_SatJun6
#040102,49.284981,-123.110840,157_SatJun6
#000100,49.283718,-123.121109,157_SatJun6
#040202,49.286556,-123.142616,157_SatJun6
#EBEAEA,49.283333,-123.119217,157_SatJun6
#040103,49.280010,-123.121262,157_SatJun6
#BDCAC1,49.292648,-123.128988,157_SatJun6
#D9BED7,49.289923,-123.126048,157_SatJun6
#FCF9FA,49.281271,-123.098454,157_SatJun6
#050503,49.279251,-123.120506,157_SatJun6
#141505,49.283718,-123.121109,157_SatJun6
#010201,49.284759,-123.122697,157_SatJun6
#040304,49.272697,-123.152794,157_SatJun6
#1B070D,49.281411,-123.074650,157_SatJun6
#030202,49.242222,-123.115000,157_SatJun6
#829181,49.303227,-123.130853,157_SatJun6
#020001,49.284599,-123.108887,157_SatJun6
#010501,49.275153,-123.110006,157_SatJun6
#020302,49.273353,-123.103411,157_SatJun6
#020302,49.288128,-123.114868,157_SatJun6
#110D0E,49.242100,-123.113800,157_SatJun6
#070A08,49.300000,-123.140000,157_SatJun6
#D9BDC6,49.275408,-123.116122,157_SatJun6
#76B79E,49.245396,-123.138763,157_SatJun6
#020202,49.277505,-123.121697,157_SatJun6
#010000,49.281271,-123.098454,157_SatJun6
#F8F8F8,49.277924,-123.126739,157_SatJun6
#010000,49.281292,-123.098593,157_SatJun6
#020102,49.280659,-123.100861,157_SatJun6
#040403,49.247706,-123.070259,157_SatJun6
#020102,49.282834,-123.120458,157_SatJun6
#6E4E62,49.274063,-123.154361,157_SatJun6
#040305,49.270655,-123.106396,157_SatJun6
#010100,49.280659,-123.100861,157_SatJun6
#BD85A2,49.285049,-123.125519,157_SatJun6
#040203,49.284098,-123.125517,157_SatJun6
#070402,49.285063,-123.120397,157_SatJun6
#060606,49.285524,-123.118666,157_SatJun6
#9B6696,49.278171,-123.121287,157_SatJun6
#896F8B,49.242100,-123.113800,157_SatJun6
#F4F6F4,49.280100,-123.112800,157_SatJun6
#D7D8D5,49.283333,-123.119217,157_SatJun6
#0E020F,49.287960,-123.140495,157_SatJun6
#022A06,49.279270,-123.129776,157_SatJun6
#7BA08C,49.242100,-123.113800,157_SatJun6
#604E5B,49.289625,-123.136828,157_SatJun6
#010101,49.283180,-123.114578,157_SatJun6
#070200,49.270126,-123.069516,157_SatJun6
#020202,49.201512,-122.910701,157_SatJun6
#141917,49.279551,-123.103416,157_SatJun6
#CC6D98,49.290722,-123.133995,157_SatJun6
#020102,49.283129,-123.105364,157_SatJun6
#090892,49.285000,-123.134000,157_SatJun6
#030103,49.281929,-123.100098,157_SatJun6
#0C1014,49.379556,-123.081803,157_SatJun6
#89040C,49.275404,-123.109266,157_SatJun6
#172622,49.242100,-123.113800,157_SatJun6
#050203,49.275009,-123.122002,157_SatJun6
#661B24,49.280100,-123.112800,157_SatJun6
#F4DEF2,49.300000,-123.140000,157_SatJun6
#CA6093,49.263860,-123.149219,157_SatJun6
#1A4729,49.275961,-123.128805,157_SatJun6
#51595A,49.275362,-123.120754,157_SatJun6
#DCD4F2,49.280100,-123.112800,157_SatJun6
#100C0A,49.242100,-123.113800,157_SatJun6
#040203,49.275404,-123.109266,157_SatJun6
#040203,49.283379,-123.102486,157_SatJun6
#07100C,49.250000,-123.100000,157_SatJun6
#182608,49.269520,-123.103729,157_SatJun6
#05100A,49.242100,-123.113800,157_SatJun6
#1A0E10,49.269527,-123.095039,157_SatJun6
#080707,49.282791,-123.104782,157_SatJun6
#5B5D5C,49.280100,-123.112800,157_SatJun6
#FEFBFD,49.304062,-123.156487,157_SatJun6
#0A0507,49.280294,-123.125283,157_SatJun6
#030503,49.300000,-123.140000,157_SatJun6
#040203,49.276572,-123.120895,157_SatJun6
#E7EDE9,49.286675,-123.143220,157_SatJun6
#030505,49.274063,-123.154361,157_SatJun6
#010401,49.287022,-123.140892,157_SatJun6
#030102,49.283150,-123.106422,157_SatJun6
#1E1D1C,49.300743,-123.130331,157_SatJun6
#100B08,49.269281,-123.118655,157_SatJun6
#020202,49.279270,-123.129776,157_SatJun6
#4D1127,49.284572,-123.124657,157_SatJun6
#010101,49.280720,-123.121391,157_SatJun6
#020101,49.279025,-123.135796,157_SatJun6
#0B0B09,49.280659,-123.100861,157_SatJun6
#040301,49.286675,-123.143220,157_SatJun6
#180808,49.280659,-123.100861,157_SatJun6
#1A0E16,49.261228,-123.071609,157_SatJun6
#030101,49.281271,-123.098454,157_SatJun6
#F4F7F6,49.289711,-123.116074,157_SatJun6
#010100,49.280100,-123.112800,157_SatJun6
#030302,49.279270,-123.129776,157_SatJun6
#070506,49.283573,-123.103950,157_SatJun6
#060504,49.269281,-123.118655,157_SatJun6
#020601,49.280720,-123.121391,157_SatJun6
#070802,49.279270,-123.129776,157_SatJun6
#030303,49.280659,-123.100861,157_SatJun6
#F5F1F4,49.279549,-123.127006,157_SatJun6
#020201,49.250000,-123.100000,157_SatJun6
#0F0406,49.269281,-123.118655,157_SatJun6
#040404,49.286675,-123.143220,157_SatJun6
#F8FAF6,49.280100,-123.112800,157_SatJun6
#F0F1F0,49.271816,-123.071211,157_SatJun6
#140508,49.284679,-123.119270,157_SatJun6
#072312,49.277948,-123.128486,157_SatJun6
#020101,49.280100,-123.112800,157_SatJun6
#EDF8F7,49.280100,-123.112800,157_SatJun6
#020001,49.289237,-123.122274,157_SatJun6
#181D1C,49.260145,-123.134430,157_SatJun6
#F6F0F2,49.280659,-123.100861,157_SatJun6
#0C0411,49.250000,-123.100000,157_SatJun6
#1C070C,49.285833,-123.111667,157_SatJun6
#0B0103,49.250000,-123.100000,157_SatJun6
#A975A2,49.260937,-123.138969,157_SatJun6
#030303,49.268139,-123.099663,157_SatJun6
#E8EBF2,49.280910,-123.119471,157_SatJun6
#9D7995,49.276376,-123.129241,157_SatJun6
#020102,49.300743,-123.130331,157_SatJun6
#090204,49.281929,-123.100098,157_SatJun6
#D0507C,49.281271,-123.098454,157_SatJun6
#030303,49.283623,-123.103828,157_SatJun6
#050202,49.280949,-123.123828,157_SatJun6
#090803,49.260307,-123.096275,157_SatJun6
#EE2A92,49.277423,-123.124931,157_SatJun6
#010101,49.281422,-123.105757,157_SatJun6
#010200,49.281271,-123.098454,157_SatJun6
#030103,49.281271,-123.098454,157_SatJun6
#F9F9F9,49.279270,-123.129776,157_SatJun6
#57605E,49.287431,-123.112809,157_SatJun6
#010101,49.281271,-123.098454,157_SatJun6
#030202,49.281271,-123.098454,157_SatJun6
#030303,49.281271,-123.098454,157_SatJun6
#0A0405,49.262552,-123.100871,157_SatJun6
#000000,49.300000,-123.140000,157_SatJun6
#F3F3F3,49.281944,-123.121944,157_SatJun6
