color,lat,long,date
#02080A,49.278038,-123.109234,159_MonJun8
#050102,49.274063,-123.154361,159_MonJun8
#1F100B,49.269031,-123.131782,159_MonJun8
#090607,49.286675,-123.143220,159_MonJun8
#030202,49.274550,-123.121900,159_MonJun8
#FCFDFD,49.271614,-123.136299,159_MonJun8
#A08191,49.278014,-123.109052,159_MonJun8
#E1DCC8,49.275495,-123.135378,159_MonJun8
#030001,49.286675,-123.143220,159_MonJun8
#020101,49.250000,-123.100000,159_MonJun8
#FDFEFE,49.278038,-123.109234,159_MonJun8
#050101,49.280720,-123.121391,159_MonJun8
#C10505,49.278014,-123.109052,159_MonJun8
#155B45,49.289923,-123.126048,159_MonJun8
#040202,49.264240,-123.101410,159_MonJun8
#190C19,49.355664,-123.014502,159_MonJun8
#F6A0D8,49.280159,-123.116409,159_MonJun8
#000100,49.278014,-123.109052,159_MonJun8
#EADFE8,49.284572,-123.124657,159_MonJun8
#030000,49.278038,-123.109234,159_MonJun8
#918098,49.286675,-123.143220,159_MonJun8
#0C0B08,49.281540,-123.138985,159_MonJun8
#030303,49.278014,-123.109052,159_MonJun8
#030101,49.280720,-123.121391,159_MonJun8
#031002,49.291640,-123.135240,159_MonJun8
#050305,49.286556,-123.142616,159_MonJun8
#040303,49.271856,-123.135008,159_MonJun8
#978B9E,49.274063,-123.154361,159_MonJun8
#171306,49.278038,-123.109234,159_MonJun8
#8E2A14,49.278038,-123.109234,159_MonJun8
#CD555F,49.277752,-123.109226,159_MonJun8
#030001,49.278038,-123.109234,159_MonJun8
#0C0608,49.279121,-123.123505,159_MonJun8
#080302,49.280720,-123.121391,159_MonJun8
#FDFDFD,49.279461,-123.122124,159_MonJun8
#EBF6F0,49.289923,-123.126048,159_MonJun8
#090503,49.278038,-123.109234,159_MonJun8
#100605,49.278038,-123.109234,159_MonJun8
#1AF584,49.261307,-123.262201,159_MonJun8
#87677E,49.250000,-123.100000,159_MonJun8
#94988F,49.250148,-123.081934,159_MonJun8
#010201,49.300000,-123.140000,159_MonJun8
#B3CCC2,49.264759,-123.116791,159_MonJun8
#A35B79,49.254256,-123.115038,159_MonJun8
#E0E4E3,49.277752,-123.109226,159_MonJun8
#0D0B0F,49.286675,-123.143220,159_MonJun8
#040101,49.282675,-123.106064,159_MonJun8
#14070B,49.267921,-123.149918,159_MonJun8
#957F8D,49.286675,-123.143220,159_MonJun8
#030101,49.279461,-123.122124,159_MonJun8
#030305,49.300000,-123.140000,159_MonJun8
#965A79,49.280159,-123.122253,159_MonJun8
#090202,49.264019,-123.105309,159_MonJun8
#110B0A,49.272350,-123.155327,159_MonJun8
#E2E6E3,49.294900,-123.150161,159_MonJun8
#0A1312,49.300000,-123.140000,159_MonJun8
#040302,49.280720,-123.121391,159_MonJun8
#9BC9B2,49.275982,-123.120163,159_MonJun8
#81817D,49.287307,-123.141711,159_MonJun8
#FBFBFB,49.260307,-123.096275,159_MonJun8
#000000,49.272005,-123.114896,159_MonJun8
#060511,49.269623,-123.079248,159_MonJun8
#010505,49.300000,-123.140000,159_MonJun8
#5E5E5E,49.282854,-123.121905,159_MonJun8
#020105,49.281944,-123.121944,159_MonJun8
#050402,49.300000,-123.140000,159_MonJun8
#030101,49.278500,-123.123558,159_MonJun8
#E8E8E9,49.257892,-123.101140,159_MonJun8
#001D01,49.277644,-123.127207,159_MonJun8
#020102,49.300000,-123.140000,159_MonJun8
#050100,49.281582,-123.132782,159_MonJun8
#020403,49.300000,-123.140000,159_MonJun8
#070C07,49.284042,-123.107463,159_MonJun8
#010601,49.278038,-123.109234,159_MonJun8
#100B16,49.300000,-123.140000,159_MonJun8
#020102,49.276454,-123.118826,159_MonJun8
#CABDE0,49.284962,-123.124396,159_MonJun8
#16060A,49.280294,-123.125283,159_MonJun8
#E6F1ED,49.281993,-123.121065,159_MonJun8
#E1F9F4,49.278038,-123.109234,159_MonJun8
#020204,49.233762,-123.083794,159_MonJun8
#F6EBF2,49.271189,-123.154923,159_MonJun8
#070405,49.300000,-123.140000,159_MonJun8
#AB879C,49.285873,-123.127152,159_MonJun8
#8CC5AF,49.287399,-123.125815,159_MonJun8
#080306,49.283631,-123.119881,159_MonJun8
#C4A3B8,49.285192,-123.111250,159_MonJun8
#81555B,49.288248,-123.118069,159_MonJun8
#090607,49.276524,-123.100084,159_MonJun8
#6D7E7A,49.271839,-123.134659,159_MonJun8
#21181D,49.279869,-123.122688,159_MonJun8
#190B05,49.278014,-123.109052,159_MonJun8
#614E5F,49.282834,-123.120458,159_MonJun8
#E5D7DD,49.281380,-123.085930,159_MonJun8
#EFEDEF,49.282739,-123.106424,159_MonJun8
#060302,49.281271,-123.098454,159_MonJun8
#5F2755,49.293751,-123.149306,159_MonJun8
#010101,49.277069,-123.125732,159_MonJun8
#E6E3E7,49.286675,-123.143220,159_MonJun8
#C6BBBD,49.269527,-123.095039,159_MonJun8
#140416,49.288248,-123.118069,159_MonJun8
#F7F6F7,49.282739,-123.106424,159_MonJun8
#050404,49.280100,-123.112800,159_MonJun8
#020302,49.278014,-123.109052,159_MonJun8
#F5EDF2,49.288311,-123.116730,159_MonJun8
#040204,49.288248,-123.118069,159_MonJun8
#5C474C,49.274917,-123.121505,159_MonJun8
#96637C,49.286228,-123.143023,159_MonJun8
#030403,49.263044,-123.117365,159_MonJun8
#010101,49.285063,-123.120397,159_MonJun8
#000000,49.278014,-123.109052,159_MonJun8
#0E090C,49.278038,-123.109234,159_MonJun8
#DBCDD9,49.292648,-123.128988,159_MonJun8
#710618,49.275982,-123.120163,159_MonJun8
#030101,49.278038,-123.109234,159_MonJun8
#020102,49.239953,-123.068538,159_MonJun8
#0C0B08,49.278038,-123.109234,159_MonJun8
#EEE2ED,49.284572,-123.124657,159_MonJun8
#040501,49.289711,-123.116074,159_MonJun8
#DAB7D2,49.278038,-123.109234,159_MonJun8
#E9DFDF,49.286675,-123.143220,159_MonJun8
#060604,49.284042,-123.107463,159_MonJun8
#E3DEDD,49.269573,-123.095844,159_MonJun8
#161210,49.239953,-123.068538,159_MonJun8
#030603,49.278038,-123.109234,159_MonJun8
#100606,49.278038,-123.109234,159_MonJun8
#0D161D,49.302264,-123.142251,159_MonJun8
#030401,49.276211,-123.099480,159_MonJun8
#626262,49.283783,-123.120995,159_MonJun8
#010101,49.276524,-123.100084,159_MonJun8
#050605,49.276211,-123.099480,159_MonJun8
#040702,49.276211,-123.099480,159_MonJun8
