color,lat,long,date
#01070C,49.263267,-123.126280,162_ThuJun11
#0E0508,49.284679,-123.111893,162_ThuJun11
#EBE7E9,49.276445,-123.087142,162_ThuJun11
#010202,49.279573,-123.138529,162_ThuJun11
#27B051,49.302264,-123.142251,162_ThuJun11
#1B0211,49.286675,-123.143220,162_ThuJun11
#F1EFEF,49.272000,-123.192000,162_ThuJun11
#180B11,49.288349,-123.122169,162_ThuJun11
#ECFBF4,49.282039,-123.099933,162_ThuJun11
#23AD50,49.302264,-123.142251,162_ThuJun11
#15161D,49.288349,-123.122169,162_ThuJun11
#6FC1A4,49.262740,-123.114880,162_ThuJun11
#C6C0D7,49.274917,-123.121505,162_ThuJun11
#DCEEE4,49.216901,-123.077238,162_ThuJun11
#070707,49.250000,-123.100000,162_ThuJun11
#13090D,49.288349,-123.122169,162_ThuJun11
#142B22,49.284569,-123.142807,162_ThuJun11
#040404,49.271856,-123.135008,162_ThuJun11
#F5F4F4,49.246702,-123.090436,162_ThuJun11
#0F0C13,49.300000,-123.140000,162_ThuJun11
#C6ACBB,49.288349,-123.122169,162_ThuJun11
#120B0D,49.226070,-123.127790,162_ThuJun11
#000000,49.270460,-123.100585,162_ThuJun11
#040303,49.254456,-123.080432,162_ThuJun11
#041503,49.282020,-123.118750,162_ThuJun11
#0B0508,49.284153,-123.097755,162_ThuJun11
#AF8F97,49.280609,-123.132118,162_ThuJun11
#063F10,49.254456,-123.080432,162_ThuJun11
#545555,49.270941,-123.147862,162_ThuJun11
#241719,49.254456,-123.080432,162_ThuJun11
#E8F1EF,49.290437,-123.121587,162_ThuJun11
#0C0D0B,49.225856,-123.101426,162_ThuJun11
#0D0607,49.280010,-123.122459,162_ThuJun11
#5F5D5F,49.270941,-123.147862,162_ThuJun11
#030302,49.279736,-123.118616,162_ThuJun11
#020204,49.283079,-123.117487,162_ThuJun11
#F8E9FB,49.270460,-123.100585,162_ThuJun11
#FAFDFC,49.303227,-123.130853,162_ThuJun11
#DFDEDE,49.281097,-123.120304,162_ThuJun11
#571C13,49.279147,-123.122802,162_ThuJun11
#0F0A09,49.260390,-123.113360,162_ThuJun11
#BB8DA9,49.285856,-123.127205,162_ThuJun11
#EFEDEC,49.302264,-123.142251,162_ThuJun11
#1C070C,49.287655,-123.129242,162_ThuJun11
#080203,49.286240,-123.116974,162_ThuJun11
#FDF8FC,49.271601,-123.069718,162_ThuJun11
#AE7894,49.285856,-123.127205,162_ThuJun11
#010101,49.286675,-123.143220,162_ThuJun11
#050804,49.275470,-123.136643,162_ThuJun11
#020101,49.286556,-123.142616,162_ThuJun11
#DAD6D8,49.282989,-123.124039,162_ThuJun11
#F6F2F3,49.271601,-123.069718,162_ThuJun11
#070707,49.242477,-123.089092,162_ThuJun11
#0E0810,49.261620,-123.101227,162_ThuJun11
#030404,49.284599,-123.108887,162_ThuJun11
#687674,49.272551,-123.133049,162_ThuJun11
#F7E8EC,49.271601,-123.069718,162_ThuJun11
#0A180A,49.282834,-123.120458,162_ThuJun11
#F0E5E9,49.271601,-123.069718,162_ThuJun11
#F2F1F2,49.288181,-123.115578,162_ThuJun11
#0F0B0B,49.216448,-123.133070,162_ThuJun11
#040101,49.277523,-123.113826,162_ThuJun11
#83577A,49.261620,-123.101227,162_ThuJun11
#020001,49.279869,-123.121490,162_ThuJun11
#031006,49.284311,-123.143344,162_ThuJun11
#8EAEA0,49.294399,-123.136726,162_ThuJun11
#23191B,49.286675,-123.143220,162_ThuJun11
#030202,49.274063,-123.154361,162_ThuJun11
#231016,49.282834,-123.120458,162_ThuJun11
#BE749C,49.264675,-123.112160,162_ThuJun11
#DA67A5,49.274063,-123.154361,162_ThuJun11
#BFBCBF,49.288128,-123.114868,162_ThuJun11
#010201,49.278957,-123.123207,162_ThuJun11
#B06793,49.291693,-123.127686,162_ThuJun11
#752955,49.250000,-123.100000,162_ThuJun11
#130C0C,49.269955,-123.108247,162_ThuJun11
#047023,49.272625,-123.135620,162_ThuJun11
#FEFEFE,49.290170,-123.118142,162_ThuJun11
#030603,49.273353,-123.103411,162_ThuJun11
#160E10,49.279682,-123.117489,162_ThuJun11
#030403,49.283354,-123.116944,162_ThuJun11
#010000,49.278604,-123.125696,162_ThuJun11
#020102,49.280315,-123.121681,162_ThuJun11
#F6EEF1,49.284790,-123.093086,162_ThuJun11
#08090B,49.300000,-123.140000,162_ThuJun11
#B191A4,49.270012,-123.108217,162_ThuJun11
#0A0B09,49.260307,-123.096275,162_ThuJun11
#040503,49.294900,-123.150161,162_ThuJun11
#4A0D26,49.286289,-123.116852,162_ThuJun11
#F5F9F9,49.957525,-123.120213,162_ThuJun11
#010001,49.293751,-123.149306,162_ThuJun11
#010001,49.269400,-123.123800,162_ThuJun11
#030303,49.270162,-123.107200,162_ThuJun11
#5B5658,49.300000,-123.140000,162_ThuJun11
#010301,49.286675,-123.143220,162_ThuJun11
#030303,49.269180,-123.152683,162_ThuJun11
#20050D,49.280609,-123.132118,162_ThuJun11
#A38097,49.283691,-123.103455,162_ThuJun11
#C6BBAC,49.242222,-123.115000,162_ThuJun11
#170F11,49.270460,-123.100585,162_ThuJun11
#090507,49.281582,-123.132782,162_ThuJun11
#110102,49.284210,-123.108531,162_ThuJun11
#010101,49.281929,-123.100098,162_ThuJun11
#0A0809,49.286675,-123.143220,162_ThuJun11
#090202,49.283573,-123.103950,162_ThuJun11
#000000,49.280335,-123.104073,162_ThuJun11
#3A1C44,49.300000,-123.140000,162_ThuJun11
#19181F,49.242222,-123.115000,162_ThuJun11
#B9C1C3,49.282669,-123.129860,162_ThuJun11
#5E1D5B,49.273722,-123.097917,162_ThuJun11
#2A9755,49.289711,-123.116074,162_ThuJun11
#060204,49.284439,-123.110268,162_ThuJun11
#010101,49.288071,-123.130814,162_ThuJun11
#F0ECEF,49.282834,-123.120458,162_ThuJun11
#D96BAB,49.271856,-123.135008,162_ThuJun11
#0D0E0C,49.280796,-123.117943,162_ThuJun11
#010000,49.284439,-123.110268,162_ThuJun11
#030202,49.277952,-123.118977,162_ThuJun11
#1A0E17,49.274256,-123.111744,162_ThuJun11
#160C10,49.280096,-123.120196,162_ThuJun11
#08130D,49.294399,-123.136726,162_ThuJun11
#BB8094,49.284222,-123.100403,162_ThuJun11
#020102,49.294399,-123.136726,162_ThuJun11
#A76377,49.266585,-123.152425,162_ThuJun11
#080504,49.280796,-123.117943,162_ThuJun11
#010200,49.286675,-123.143220,162_ThuJun11
#030203,49.284538,-123.109901,162_ThuJun11
#040304,49.284538,-123.109901,162_ThuJun11
#040203,49.284538,-123.109901,162_ThuJun11
#F8F6F7,49.274063,-123.154361,162_ThuJun11
#050404,49.284538,-123.109901,162_ThuJun11
#F0F6F2,49.288994,-123.111904,162_ThuJun11
#040201,49.284882,-123.122894,162_ThuJun11
#020303,49.228255,-123.154557,162_ThuJun11
#757577,49.283852,-123.105453,162_ThuJun11
#94999C,49.283852,-123.105453,162_ThuJun11
#1D060A,49.273053,-123.126975,162_ThuJun11
#040303,49.283852,-123.105453,162_ThuJun11
#090C0D,49.290170,-123.118142,162_ThuJun11
#010201,49.293286,-123.139987,162_ThuJun11
#020101,49.283379,-123.102486,162_ThuJun11
#000202,49.298841,-123.133583,162_ThuJun11
#010101,49.279187,-123.126826,162_ThuJun11
#010101,49.281379,-123.071924,162_ThuJun11
#020101,49.280796,-123.117943,162_ThuJun11
#000000,49.281379,-123.071924,162_ThuJun11
#040305,49.286675,-123.143220,162_ThuJun11
#CBE1D8,49.225272,-123.091030,162_ThuJun11
#07100B,49.289923,-123.126048,162_ThuJun11
#019A26,49.286959,-123.113929,162_ThuJun11
#B7F1E7,49.286959,-123.113929,162_ThuJun11
#D6FCFB,49.286959,-123.113929,162_ThuJun11
#F1C3DC,49.286959,-123.113929,162_ThuJun11
#050200,49.284439,-123.110268,162_ThuJun11
#070805,49.291080,-123.136429,162_ThuJun11
#C3DED1,49.216439,-123.111673,162_ThuJun11
#145527,49.283424,-123.109367,162_ThuJun11
#020602,49.274428,-123.152621,162_ThuJun11
#ECE9EA,49.283691,-123.111200,162_ThuJun11
#060606,49.270460,-123.100585,162_ThuJun11
#F5EEF1,49.255146,-123.114929,162_ThuJun11
#150C10,49.272625,-123.135620,162_ThuJun11
#D1B2BD,49.282761,-123.118713,162_ThuJun11
#A57899,49.288033,-123.114475,162_ThuJun11
#D9C2D5,49.282739,-123.106424,162_ThuJun11
#D4C4C9,49.263302,-123.109878,162_ThuJun11
#010101,49.283049,-123.108227,162_ThuJun11
#060201,49.281097,-123.120304,162_ThuJun11
#030101,49.232006,-123.117801,162_ThuJun11
#010101,49.285000,-123.134000,162_ThuJun11
#82877F,49.284790,-123.093086,162_ThuJun11
#E5E1E2,49.289588,-123.127209,162_ThuJun11
#070D07,49.287739,-123.124108,162_ThuJun11
#E0C8D8,49.283108,-123.118874,162_ThuJun11
#C9C2C8,49.283718,-123.121109,162_ThuJun11
#C4C4C4,49.364001,-123.277433,162_ThuJun11
#960205,49.263391,-123.099906,162_ThuJun11
#CE6DB7,49.277891,-123.118181,162_ThuJun11
#8FA49A,49.275680,-123.133250,162_ThuJun11
#FCF1FD,49.264172,-123.128289,162_ThuJun11
#220713,49.279573,-123.138529,162_ThuJun11
#201A08,49.263310,-123.121260,162_ThuJun11
#EBEAEB,49.266510,-123.069351,162_ThuJun11
#1C0A10,49.274063,-123.154361,162_ThuJun11
#050806,49.280346,-123.104340,162_ThuJun11
#026014,49.273071,-123.157333,162_ThuJun11
#170A0D,49.267692,-123.114410,162_ThuJun11
#D2CCD0,49.294399,-123.136726,162_ThuJun11
#000000,49.233800,-123.076950,162_ThuJun11
#9C9B9F,49.283691,-123.103455,162_ThuJun11
#1D0205,49.284210,-123.108531,162_ThuJun11
#D9CACF,49.266232,-123.105431,162_ThuJun11
#FCFCFC,49.271580,-123.106979,162_ThuJun11
#87877D,49.245830,-123.094177,162_ThuJun11
#526359,49.276913,-123.119873,162_ThuJun11
#FBFAFA,49.299042,-123.119904,162_ThuJun11
#9B7799,49.253410,-123.082436,162_ThuJun11
#CCA6B6,49.286675,-123.143220,162_ThuJun11
#231B1D,49.284782,-123.123183,162_ThuJun11
#F7F5F7,49.284311,-123.143344,162_ThuJun11
#010101,49.265439,-123.145566,162_ThuJun11
#1A0911,49.253410,-123.082436,162_ThuJun11
#050303,49.290170,-123.118142,162_ThuJun11
#089D70,49.288639,-123.142418,162_ThuJun11
#8B7682,49.282325,-123.108887,162_ThuJun11
#130F08,49.281079,-123.107744,162_ThuJun11
#F3E2EF,49.275906,-123.119751,162_ThuJun11
