color,lat,long,date
#F6F4F5,49.292446,-123.133774,168_WedJun17
#000000,49.271580,-123.106979,168_WedJun17
#050C06,49.278656,-123.114548,168_WedJun17
#B96C8E,49.281804,-123.106025,168_WedJun17
#07190D,49.273039,-123.115334,168_WedJun17
#977D8C,49.282051,-123.107887,168_WedJun17
#010502,49.284641,-123.097641,168_WedJun17
#8F7987,49.282051,-123.107887,168_WedJun17
#06060A,49.300000,-123.140000,168_WedJun17
#020101,49.282051,-123.107887,168_WedJun17
#FAF7F7,49.284630,-123.113430,168_WedJun17
#AF9B9B,49.271790,-123.105713,168_WedJun17
#816A83,49.293751,-123.149306,168_WedJun17
#C8D4D5,49.261501,-123.157282,168_WedJun17
#FAFBFB,49.268094,-123.155494,168_WedJun17
#040705,49.300743,-123.130331,168_WedJun17
#AAAAAA,49.278656,-123.114548,168_WedJun17
#060311,49.278656,-123.114548,168_WedJun17
#040303,49.282471,-123.133881,168_WedJun17
#FDFCFD,49.284218,-123.110700,168_WedJun17
#FDFDFE,49.294399,-123.136726,168_WedJun17
#060403,49.275668,-123.069507,168_WedJun17
#A1919F,49.234162,-123.153609,168_WedJun17
#C0AFBA,49.283119,-123.103912,168_WedJun17
#120A04,49.269281,-123.118655,168_WedJun17
#070F0C,49.272005,-123.114896,168_WedJun17
#0B0504,49.268372,-123.100617,168_WedJun17
#12060B,49.283333,-123.119217,168_WedJun17
#FCFAFC,49.280659,-123.100861,168_WedJun17
#541D1E,49.262911,-123.138683,168_WedJun17
#030203,49.265766,-123.100643,168_WedJun17
#040202,49.276809,-123.112154,168_WedJun17
#BD659C,49.279810,-123.121969,168_WedJun17
#592C42,49.281804,-123.106025,168_WedJun17
#EDD8E4,49.283708,-123.119312,168_WedJun17
#010101,49.281582,-123.132782,168_WedJun17
#79141D,49.304062,-123.156487,168_WedJun17
#120E0A,49.283119,-123.103912,168_WedJun17
#181914,49.273510,-123.132005,168_WedJun17
#7D7B86,49.250000,-123.100000,168_WedJun17
#120704,49.283708,-123.119312,168_WedJun17
#020102,49.276809,-123.112154,168_WedJun17
#130E10,49.250000,-123.100000,168_WedJun17
#030200,49.280659,-123.100861,168_WedJun17
#020202,49.285063,-123.120397,168_WedJun17
#FDFBFC,49.267811,-123.149033,168_WedJun17
#F9FAFB,49.293751,-123.149306,168_WedJun17
#1F9941,49.279791,-123.130174,168_WedJun17
#0B0505,49.279519,-123.115608,168_WedJun17
#0F0C0B,49.279124,-123.124051,168_WedJun17
#FCFCFC,49.280659,-123.100861,168_WedJun17
#110A0B,49.276809,-123.112154,168_WedJun17
