color,lat,long,date
#030505,49.268215,-123.150085,179_SunJun28
#F9F4F6,49.284006,-123.106930,179_SunJun28
#1D1B16,49.269281,-123.118655,179_SunJun28
#EEF0EF,49.264019,-123.105309,179_SunJun28
#81A592,49.280796,-123.117943,179_SunJun28
#A286A4,49.280404,-123.121227,179_SunJun28
#010100,49.284176,-123.099177,179_SunJun28
#12090E,49.283642,-123.106773,179_SunJun28
#FBFBFB,49.243166,-123.106213,179_SunJun28
#060304,49.283119,-123.103912,179_SunJun28
#010101,49.249059,-122.818993,179_SunJun28
#020102,49.284042,-123.107463,179_SunJun28
#1B0A0D,49.279810,-123.121969,179_SunJun28
#060301,49.284016,-123.114159,179_SunJun28
#020101,49.283623,-123.103828,179_SunJun28
#F1FBF9,49.287817,-123.129763,179_SunJun28
#AAC8B7,49.287431,-123.112809,179_SunJun28
#5A6B60,49.277709,-123.118509,179_SunJun28
#0D080B,49.272451,-123.123960,179_SunJun28
#F7F3F6,49.234703,-123.153572,179_SunJun28
#0D0707,49.274428,-123.152621,179_SunJun28
#D3D6D2,49.280499,-123.099358,179_SunJun28
#DAE0DE,49.294399,-123.136726,179_SunJun28
#A6A0A9,49.243119,-123.106293,179_SunJun28
#1B0A0F,49.217308,-123.090893,179_SunJun28
#140F0C,49.286675,-123.143220,179_SunJun28
#060503,49.276809,-123.112154,179_SunJun28
#150309,49.278976,-123.117859,179_SunJun28
#120A0B,49.281410,-123.133690,179_SunJun28
#BD8D9B,49.271856,-123.135008,179_SunJun28
#94265F,49.275739,-123.120378,179_SunJun28
#718682,49.300000,-123.140000,179_SunJun28
#030405,49.271856,-123.135008,179_SunJun28
#0D0C07,49.271856,-123.135008,179_SunJun28
#0D0E08,49.291125,-123.127342,179_SunJun28
#AD9CAA,49.270162,-123.107200,179_SunJun28
#020202,49.273353,-123.103411,179_SunJun28
#EFF1EF,49.278343,-123.116702,179_SunJun28
#DDCFCA,49.242039,-123.111942,179_SunJun28
#E3E1EF,49.286675,-123.143220,179_SunJun28
#F4F5F6,49.276809,-123.112154,179_SunJun28
#BCDACB,49.272332,-123.102719,179_SunJun28
#BF849C,49.283642,-123.106773,179_SunJun28
#100709,49.284561,-123.109283,179_SunJun28
#190E0D,49.280376,-123.113297,179_SunJun28
#EFF5F1,49.282253,-123.074692,179_SunJun28
#F6E2ED,49.272332,-123.102719,179_SunJun28
#F3DBE5,49.282698,-123.128576,179_SunJun28
#E95A6D,49.274063,-123.154361,179_SunJun28
#040203,49.289882,-123.132891,179_SunJun28
#110B09,49.284569,-123.142807,179_SunJun28
#040103,49.281391,-123.107781,179_SunJun28
#C0A69B,49.287290,-123.129217,179_SunJun28
#080405,49.272332,-123.102719,179_SunJun28
#E7DAE1,49.285615,-123.123408,179_SunJun28
#D4E3E7,49.276809,-123.112154,179_SunJun28
#72121E,49.279668,-123.120385,179_SunJun28
#AB7E90,49.272451,-123.123960,179_SunJun28
#150704,49.272552,-123.134292,179_SunJun28
#86BBA1,49.286412,-123.129946,179_SunJun28
#63966B,49.283864,-123.111991,179_SunJun28
#050E05,49.271856,-123.135008,179_SunJun28
#C1A3C9,49.284569,-123.142807,179_SunJun28
#020202,49.272332,-123.102719,179_SunJun28
#000100,49.286675,-123.143220,179_SunJun28
#0E0304,49.286612,-123.127195,179_SunJun28
#030102,49.276979,-123.126573,179_SunJun28
#190913,49.276171,-123.144431,179_SunJun28
#030102,49.276809,-123.112154,179_SunJun28
#665C62,49.265961,-123.069710,179_SunJun28
#6FDEB9,49.274063,-123.154361,179_SunJun28
#030202,49.286675,-123.143220,179_SunJun28
#020303,49.286675,-123.143220,179_SunJun28
#20030F,49.286675,-123.143220,179_SunJun28
#040203,49.238990,-123.129839,179_SunJun28
#B76791,49.225037,-123.090935,179_SunJun28
#F5FAF8,49.276127,-123.123821,179_SunJun28
#160309,49.281105,-123.119125,179_SunJun28
#030102,49.285389,-123.134064,179_SunJun28
#0F0902,49.242039,-123.111942,179_SunJun28
#020202,49.286675,-123.143220,179_SunJun28
#020101,49.288128,-123.114868,179_SunJun28
#BEE0D3,49.274063,-123.154361,179_SunJun28
#050301,49.282234,-123.124434,179_SunJun28
#16080B,49.287941,-123.113132,179_SunJun28
#030202,49.286675,-123.143220,179_SunJun28
#030202,49.286675,-123.143220,179_SunJun28
#120608,49.304062,-123.156487,179_SunJun28
#BAECD0,49.288128,-123.114868,179_SunJun28
#000100,49.284042,-123.107463,179_SunJun28
#14100A,49.287290,-123.129217,179_SunJun28
#070606,49.286675,-123.143220,179_SunJun28
#010202,49.278002,-123.147068,179_SunJun28
#040203,49.243198,-123.105362,179_SunJun28
#5F605E,49.285683,-123.124107,179_SunJun28
#000000,49.283333,-123.119217,179_SunJun28
#5C5B70,49.274256,-123.111744,179_SunJun28
#C6AFBF,49.282219,-123.134659,179_SunJun28
#151415,49.284569,-123.142807,179_SunJun28
#0D0706,49.276524,-123.100084,179_SunJun28
#0B0907,49.263082,-123.106709,179_SunJun28
#555547,49.274063,-123.154361,179_SunJun28
#110705,49.278381,-123.112839,179_SunJun28
#F8F5F8,49.284569,-123.142807,179_SunJun28
#1D090D,49.274063,-123.154361,179_SunJun28
#120312,49.276809,-123.112154,179_SunJun28
#D5D1D5,49.258572,-123.137995,179_SunJun28
#CB9BB3,49.280796,-123.117943,179_SunJun28
#0C0B0D,49.276809,-123.112154,179_SunJun28
#070209,49.276809,-123.112154,179_SunJun28
#5E6149,49.274063,-123.154361,179_SunJun28
#050903,49.283333,-123.119217,179_SunJun28
#E0C2CD,49.275739,-123.120378,179_SunJun28
#F5F2F2,49.294900,-123.150161,179_SunJun28
#010000,49.274753,-123.122558,179_SunJun28
#FAF4F7,49.185138,-123.130059,179_SunJun28
#0C0B0D,49.304062,-123.156487,179_SunJun28
#5F9574,49.294399,-123.136726,179_SunJun28
#EFE4E8,49.275604,-123.121522,179_SunJun28
#030101,49.298839,-123.124629,179_SunJun28
#E4E3E5,49.284572,-123.124657,179_SunJun28
#130508,49.271856,-123.135008,179_SunJun28
#CECED1,49.286675,-123.143220,179_SunJun28
#4F0617,49.287834,-123.141212,179_SunJun28
#0B0A0B,49.269520,-123.103729,179_SunJun28
#040304,49.279270,-123.129776,179_SunJun28
#07120B,49.282039,-123.099933,179_SunJun28
#965F89,49.289459,-123.132942,179_SunJun28
#000000,49.276524,-123.100084,179_SunJun28
#030303,49.275362,-123.120754,179_SunJun28
