color,lat,long,date
#030103,49.304030,-123.156496,186_SunJul5
#180105,49.288662,-123.131371,186_SunJul5
#040404,49.287762,-123.118332,186_SunJul5
#020101,49.264240,-123.101410,186_SunJul5
#030202,49.273640,-123.118431,186_SunJul5
#090909,49.272332,-123.102719,186_SunJul5
#F8E8F2,49.272634,-123.154525,186_SunJul5
#202922,49.250000,-123.100000,186_SunJul5
#222222,49.201512,-122.910701,186_SunJul5
#221615,49.304960,-123.156395,186_SunJul5
#0E0307,49.276100,-123.121140,186_SunJul5
#7D6570,49.276919,-123.118886,186_SunJul5
#010100,49.268215,-123.150085,186_SunJul5
#020202,49.288357,-123.139023,186_SunJul5
#DBCBD7,49.280491,-123.120567,186_SunJul5
#020001,49.276550,-123.133840,186_SunJul5
#E4E1E3,49.286675,-123.143220,186_SunJul5
#030203,49.274428,-123.152621,186_SunJul5
#532C44,49.249658,-123.115699,186_SunJul5
#090507,49.271856,-123.135008,186_SunJul5
#096B21,49.284933,-123.143065,186_SunJul5
#071211,49.287318,-123.109527,186_SunJul5
#020102,49.277948,-123.128486,186_SunJul5
#1F0E0B,49.300743,-123.130331,186_SunJul5
#130F07,49.248360,-123.101471,186_SunJul5
#0D0405,49.278858,-123.123001,186_SunJul5
#030302,49.274063,-123.154361,186_SunJul5
#E1D3DF,49.250000,-123.100000,186_SunJul5
#010000,49.256206,-123.101044,186_SunJul5
#040403,49.284569,-123.142807,186_SunJul5
#661D23,49.266529,-123.139580,186_SunJul5
#040201,49.279723,-123.130186,186_SunJul5
#668B79,49.279274,-123.132651,186_SunJul5
#030202,49.284569,-123.142807,186_SunJul5
#040203,49.288791,-123.126940,186_SunJul5
#0C080A,49.276809,-123.112154,186_SunJul5
#75D098,49.300629,-123.117593,186_SunJul5
#766265,49.276809,-123.112154,186_SunJul5
#D2BABC,49.266529,-123.139580,186_SunJul5
#5FBB8E,49.279670,-123.129018,186_SunJul5
#13130B,49.263250,-123.106190,186_SunJul5
#696463,49.277420,-123.089889,186_SunJul5
#C67CA0,49.268967,-123.102936,186_SunJul5
#030102,49.250000,-123.100000,186_SunJul5
#E2D5DB,49.282620,-123.116921,186_SunJul5
#0A0A0A,49.300000,-123.140000,186_SunJul5
#121508,49.281176,-123.108698,186_SunJul5
#1A211C,49.268089,-123.074152,186_SunJul5
#060201,49.274311,-123.123123,186_SunJul5
#040403,49.289015,-123.125307,186_SunJul5
#0D0E18,49.271431,-123.076981,186_SunJul5
#010201,49.286675,-123.143220,186_SunJul5
#5A4A5B,49.286446,-123.115364,186_SunJul5
#B66F9B,49.262948,-123.097179,186_SunJul5
#A4697E,49.291454,-123.128304,186_SunJul5
#619D7C,49.271856,-123.135008,186_SunJul5
#0E0F07,49.283247,-123.117496,186_SunJul5
#131610,49.282739,-123.106424,186_SunJul5
#F9F6F7,49.279270,-123.129776,186_SunJul5
#0F100B,49.280491,-123.120567,186_SunJul5
#202020,49.266056,-123.150105,186_SunJul5
#030503,49.284688,-123.110953,186_SunJul5
#100707,49.290722,-123.133995,186_SunJul5
#050505,49.285099,-123.114316,186_SunJul5
#B76793,49.280404,-123.121227,186_SunJul5
#1D2422,49.282533,-123.117387,186_SunJul5
#040203,49.282799,-123.104073,186_SunJul5
#6A4958,49.245342,-123.065478,186_SunJul5
#585453,49.300743,-123.130331,186_SunJul5
#661728,49.274914,-123.100136,186_SunJul5
#190403,49.282385,-123.108977,186_SunJul5
#D4586A,49.284933,-123.143065,186_SunJul5
#010101,49.275562,-123.135196,186_SunJul5
#100B0A,49.270340,-123.134247,186_SunJul5
#0D1003,49.279836,-123.109821,186_SunJul5
#030201,49.246155,-123.101036,186_SunJul5
#030101,49.272552,-123.134292,186_SunJul5
#040202,49.304062,-123.156487,186_SunJul5
#060302,49.271856,-123.135008,186_SunJul5
#16070A,49.280658,-123.120911,186_SunJul5
#7B6B71,49.300629,-123.117593,186_SunJul5
#010101,49.279669,-123.122709,186_SunJul5
#010201,49.280376,-123.113297,186_SunJul5
#151212,49.286675,-123.143220,186_SunJul5
#011C03,49.280376,-123.113297,186_SunJul5
#030101,49.282799,-123.104073,186_SunJul5
#F2EDF1,49.281685,-123.132942,186_SunJul5
#130E0D,49.281391,-123.107781,186_SunJul5
#806070,49.283180,-123.114578,186_SunJul5
#EDF0EF,49.287674,-123.114174,186_SunJul5
#101111,49.274063,-123.154361,186_SunJul5
#010100,49.281506,-123.125394,186_SunJul5
#051804,49.280491,-123.120567,186_SunJul5
#EBECF7,49.346733,-122.878990,186_SunJul5
#050001,49.285272,-123.111095,186_SunJul5
#1F241C,49.300000,-123.140000,186_SunJul5
#050404,49.279541,-123.129646,186_SunJul5
#F9E8F9,49.280491,-123.120567,186_SunJul5
