color,lat,long,date
#1F0C0F,49.276352,-123.119621,189_WedJul8
#F2E3E9,49.283588,-123.113770,189_WedJul8
#010302,49.294900,-123.150161,189_WedJul8
#050303,49.280376,-123.113297,189_WedJul8
#000000,49.280376,-123.113297,189_WedJul8
#281521,49.268799,-123.092918,189_WedJul8
#111008,49.286675,-123.143220,189_WedJul8
#240E16,49.282028,-123.117691,189_WedJul8
#EFE0E8,49.271484,-123.106384,189_WedJul8
#060203,49.280376,-123.113297,189_WedJul8
#AD98A5,49.268531,-123.152994,189_WedJul8
#D0A4C7,49.262972,-123.106345,189_WedJul8
#010101,49.270690,-123.146600,189_WedJul8
#040102,49.284670,-123.120499,189_WedJul8
#020101,49.280404,-123.121227,189_WedJul8
#060404,49.280796,-123.117943,189_WedJul8
#210B11,49.280159,-123.122253,189_WedJul8
#202020,49.283691,-123.106049,189_WedJul8
#B4A3AC,49.302264,-123.142251,189_WedJul8
#030502,49.286556,-123.142616,189_WedJul8
#000600,49.279270,-123.129776,189_WedJul8
#B4AFB5,49.268013,-123.154892,189_WedJul8
#8A647D,49.286579,-123.122818,189_WedJul8
#110B0A,49.283129,-123.105364,189_WedJul8
#030103,49.300743,-123.130331,189_WedJul8
#F0EAE6,49.304960,-123.156395,189_WedJul8
#100A0C,49.282834,-123.120458,189_WedJul8
#050503,49.293751,-123.149306,189_WedJul8
#0E0B14,49.272312,-123.128288,189_WedJul8
#030202,49.284042,-123.107463,189_WedJul8
#000F01,49.282834,-123.120458,189_WedJul8
#7C7786,49.268013,-123.154892,189_WedJul8
#0E100F,49.286477,-123.118190,189_WedJul8
#111410,49.268568,-123.119434,189_WedJul8
#040203,49.245899,-123.104207,189_WedJul8
#020102,49.289846,-123.127090,189_WedJul8
#030503,49.294408,-123.149493,189_WedJul8
#F6F3F5,49.265481,-123.100674,189_WedJul8
#AA7A95,49.294900,-123.150161,189_WedJul8
#C6CAC8,49.270690,-123.146600,189_WedJul8
#14070B,49.287937,-123.140526,189_WedJul8
#F7F7F7,49.294809,-123.149419,189_WedJul8
#29B84F,49.286675,-123.143220,189_WedJul8
#A3B7B6,49.273353,-123.103411,189_WedJul8
#F5F6F6,49.245529,-123.141060,189_WedJul8
#020101,49.294900,-123.150161,189_WedJul8
#020202,49.284569,-123.142807,189_WedJul8
#10090B,49.277498,-123.092696,189_WedJul8
#410A21,49.280965,-123.119910,189_WedJul8
#010600,49.294791,-123.149523,189_WedJul8
#FCF9FC,49.291870,-123.134582,189_WedJul8
#010101,49.280965,-123.119910,189_WedJul8
#C9CBC7,49.276932,-123.117706,189_WedJul8
#0A0407,49.283119,-123.103912,189_WedJul8
#0F0707,49.273476,-123.113510,189_WedJul8
#11060B,49.271759,-123.106279,189_WedJul8
#000000,49.294791,-123.149523,189_WedJul8
#C9A6CE,49.270931,-123.115402,189_WedJul8
#E5E0E2,49.284861,-123.122912,189_WedJul8
#140709,49.271759,-123.106279,189_WedJul8
#E463B7,49.289711,-123.116074,189_WedJul8
#010101,49.279617,-123.101364,189_WedJul8
#EFE4EB,49.285739,-123.123934,189_WedJul8
#010302,49.300743,-123.130331,189_WedJul8
#161314,49.140582,-121.959429,189_WedJul8
#040403,49.274063,-123.154361,189_WedJul8
#150E0E,49.273476,-123.113510,189_WedJul8
#020203,49.289711,-123.116074,189_WedJul8
#140C0E,49.271856,-123.135008,189_WedJul8
#F2F1F0,49.286675,-123.143220,189_WedJul8
#08691A,42.173936,21.708574,189_WedJul8
#F4F5F6,49.294900,-123.150161,189_WedJul8
#010501,49.288128,-123.114868,189_WedJul8
#B6A9AE,49.280804,-123.107742,189_WedJul8
#0F0207,49.276524,-123.100084,189_WedJul8
#010301,49.276211,-123.099480,189_WedJul8
#BF71A7,49.249535,-123.074326,189_WedJul8
#FAF7F9,49.273220,-123.101820,189_WedJul8
#AF7589,49.276527,-123.125503,189_WedJul8
#010101,49.272332,-123.102719,189_WedJul8
#100B06,49.287290,-123.129217,189_WedJul8
#A36C9A,49.284569,-123.142807,189_WedJul8
#130509,49.259758,-123.070007,189_WedJul8
#CCC7C8,49.282082,-123.102859,189_WedJul8
#D2C7CD,49.282082,-123.102859,189_WedJul8
#CDD1D2,49.294900,-123.150161,189_WedJul8
#000000,49.294809,-123.149419,189_WedJul8
