color,lat,long,date
#52F29E,49.271856,-123.135008,191_FriJul10
#0B0405,49.261418,-123.138477,191_FriJul10
#070C09,49.262482,-123.088663,191_FriJul10
#060505,49.279617,-123.101364,191_FriJul10
#010101,49.279669,-123.122709,191_FriJul10
#040404,49.284439,-123.110268,191_FriJul10
#030101,49.279617,-123.101364,191_FriJul10
#574F55,49.288128,-123.114868,191_FriJul10
#0C0E0B,49.288556,-123.120416,191_FriJul10
#020304,49.250000,-123.100000,191_FriJul10
#BB6A7A,49.284538,-123.122009,191_FriJul10
#9C224C,49.289711,-123.116074,191_FriJul10
#DDE3E0,49.280796,-123.117943,191_FriJul10
#1C1C1C,49.272551,-123.133049,191_FriJul10
#EBE0EB,49.274063,-123.154361,191_FriJul10
#060305,49.271601,-123.069718,191_FriJul10
#EEE8F0,49.272625,-123.135620,191_FriJul10
#826E76,49.263908,-123.140160,191_FriJul10
#DEA7D1,49.271856,-123.135008,191_FriJul10
#4AD6A2,49.290363,-123.137383,191_FriJul10
#080405,49.282028,-123.125763,191_FriJul10
#050504,49.265980,-123.069321,191_FriJul10
#030202,49.315278,-123.138333,191_FriJul10
#090909,49.278038,-123.109234,191_FriJul10
#100408,49.274917,-123.121505,191_FriJul10
#F1E5EB,49.280704,-123.117167,191_FriJul10
#140409,49.283051,-123.110077,191_FriJul10
#061508,8.980635,-79.527425,191_FriJul10
#020101,49.273411,-123.121453,191_FriJul10
#040404,49.274063,-123.154361,191_FriJul10
#12090D,49.271798,-123.134801,191_FriJul10
#959595,49.284569,-123.142807,191_FriJul10
#040503,49.265415,-123.166416,191_FriJul10
#040202,49.250122,-123.101187,191_FriJul10
#010101,49.280720,-123.121391,191_FriJul10
#010201,49.284439,-123.110268,191_FriJul10
#1C271F,49.278307,-123.116641,191_FriJul10
#1A1B1B,49.278038,-123.109234,191_FriJul10
#F8EAF3,49.243773,-123.151444,191_FriJul10
#EEE4E7,49.272660,-123.147371,191_FriJul10
#D9D8DA,49.243843,-123.151299,191_FriJul10
#E4CFE5,49.279459,-123.123020,191_FriJul10
#020101,49.283630,-123.106369,191_FriJul10
#929795,49.300000,-123.140000,191_FriJul10
#010201,49.288026,-123.113001,191_FriJul10
#E0C8D3,49.293751,-123.149306,191_FriJul10
#190E0F,49.283318,-123.109074,191_FriJul10
#E5DEE2,49.280796,-123.117943,191_FriJul10
#030303,49.281097,-123.120304,191_FriJul10
#EBE5E8,49.268799,-123.092918,191_FriJul10
#010101,49.231845,-123.118188,191_FriJul10
#0C0C0C,49.279573,-123.138529,191_FriJul10
#100206,49.284861,-123.122912,191_FriJul10
#020201,49.263250,-123.106190,191_FriJul10
#0D090E,49.279677,-123.119916,191_FriJul10
#080406,49.273640,-123.118431,191_FriJul10
#010403,49.279677,-123.119916,191_FriJul10
#060304,49.276524,-123.100084,191_FriJul10
#471A20,49.265766,-123.100643,191_FriJul10
#0D0D09,49.287856,-123.137575,191_FriJul10
#9A7989,49.287446,-123.116579,191_FriJul10
#020501,49.283073,-123.121315,191_FriJul10
#0A0E08,49.287029,-123.115623,191_FriJul10
#CEBAC6,49.280914,-123.122635,191_FriJul10
#708185,49.300629,-123.117593,191_FriJul10
#DFDDDD,49.284572,-123.124657,191_FriJul10
#260A13,49.285063,-123.120397,191_FriJul10
#F4F1F2,49.291203,-123.131414,191_FriJul10
#030101,49.279617,-123.101364,191_FriJul10
#040504,49.284670,-123.120499,191_FriJul10
#F7EFF0,49.232662,-123.076689,191_FriJul10
#2E3339,49.289465,-123.114267,191_FriJul10
#DCD2D2,49.219006,-123.101393,191_FriJul10
#7F8D6F,49.288128,-123.114868,191_FriJul10
#1C0509,49.278972,-123.123570,191_FriJul10
#060404,49.279573,-123.138529,191_FriJul10
#B78798,49.283880,-123.109600,191_FriJul10
#020101,49.284439,-123.110268,191_FriJul10
#EFEEF0,49.281990,-123.065437,191_FriJul10
#DA62AE,49.293751,-123.149306,191_FriJul10
#030403,49.278413,-123.148618,191_FriJul10
#1F0208,49.279617,-123.101364,191_FriJul10
#070503,49.283994,-123.114044,191_FriJul10
#0E160B,49.287290,-123.129217,191_FriJul10
#040202,49.279617,-123.101364,191_FriJul10
#CB6E8B,49.278972,-123.123570,191_FriJul10
#9D6494,49.269888,-123.116836,191_FriJul10
#0F0C0B,49.287399,-123.125815,191_FriJul10
#11060C,49.287029,-123.115623,191_FriJul10
#011001,49.270685,-123.136593,191_FriJul10
#010401,49.278912,-123.122932,191_FriJul10
#120B11,49.284592,-123.124557,191_FriJul10
#DAE0DB,49.300000,-123.140000,191_FriJul10
#CBAAC0,49.288128,-123.114868,191_FriJul10
#E0E0E1,49.282834,-123.120458,191_FriJul10
#9C5D7C,49.273158,-123.119131,191_FriJul10
#887C7D,49.248154,-123.101387,191_FriJul10
#160E0E,49.271856,-123.135008,191_FriJul10
#7F7F71,49.287123,-123.142566,191_FriJul10
#090909,49.284439,-123.110268,191_FriJul10
#0C0D0E,49.289711,-123.116074,191_FriJul10
#020203,49.280132,-123.109833,191_FriJul10
#0A0506,49.255849,-123.115402,191_FriJul10
#010000,49.278912,-123.122932,191_FriJul10
#000102,49.271856,-123.135008,191_FriJul10
#1A0707,49.282749,-123.109100,191_FriJul10
#020101,49.250000,-123.100000,191_FriJul10
#100507,49.280609,-123.132118,191_FriJul10
#040103,49.283691,-123.103455,191_FriJul10
#0C0709,49.284861,-123.122912,191_FriJul10
#E3CED2,49.280132,-123.109833,191_FriJul10
#BAC0BE,49.275107,-123.122541,191_FriJul10
#010001,49.287290,-123.129217,191_FriJul10
#020102,49.271856,-123.135008,191_FriJul10
#030101,49.246155,-123.101036,191_FriJul10
#F8F3F4,49.284439,-123.110268,191_FriJul10
#EFEFEF,49.279270,-123.129776,191_FriJul10
#12110F,49.288128,-123.114868,191_FriJul10
#030202,49.274378,-123.131077,191_FriJul10
#160808,49.271706,-123.069725,191_FriJul10
#050503,49.276396,-123.128979,191_FriJul10
#030604,49.285174,-123.111425,191_FriJul10
#736A6C,49.280796,-123.117943,191_FriJul10
#020202,49.270931,-123.115402,191_FriJul10
#020302,49.250000,-123.100000,191_FriJul10
#06040C,49.272312,-123.128288,191_FriJul10
#B4778C,49.219006,-123.101393,191_FriJul10
#F3EFF4,49.271856,-123.135008,191_FriJul10
#D3C6CC,49.271856,-123.135008,191_FriJul10
#0A0709,49.291607,-123.134987,191_FriJul10
#C8A5BD,49.243166,-123.106213,191_FriJul10
#020102,49.228942,-123.113345,191_FriJul10
#180B0B,49.263870,-123.137611,191_FriJul10
#9EECCD,49.279573,-123.138529,191_FriJul10
#010101,49.250000,-123.100000,191_FriJul10
#4F9A74,49.279519,-123.115608,191_FriJul10
#020101,49.278481,-123.122780,191_FriJul10
#F8F3F8,49.274612,-123.123344,191_FriJul10
#01AD5A,49.300743,-123.130331,191_FriJul10
#050202,49.280796,-123.117943,191_FriJul10
#23161B,49.270470,-123.135529,191_FriJul10
