color,lat,long,date
#040203,49.270300,-123.086683,204_ThuJul23
#020202,49.243853,-123.151495,204_ThuJul23
#ECAECB,49.282652,-123.104467,204_ThuJul23
#C6A1B2,49.270690,-123.146600,204_ThuJul23
#020103,49.231845,-123.118188,204_ThuJul23
#130605,49.291000,-123.134102,204_ThuJul23
#F6CBF6,49.270821,-123.167788,204_ThuJul23
#ECDEE3,49.281742,-123.133359,204_ThuJul23
#BE025F,49.276171,-123.144431,204_ThuJul23
#110206,49.279503,-123.117210,204_ThuJul23
#1B090F,49.283745,-123.122376,204_ThuJul23
#000000,49.283859,-123.112185,204_ThuJul23
#030302,49.264278,-123.081299,204_ThuJul23
#BCB5BA,49.289967,-123.132828,204_ThuJul23
#96606F,49.291466,-123.127777,204_ThuJul23
#24151C,49.270821,-123.167788,204_ThuJul23
#020202,49.258366,-123.097796,204_ThuJul23
#1EF201,49.280491,-123.120567,204_ThuJul23
#FAFBFA,49.289824,-123.129751,204_ThuJul23
#030202,49.279573,-123.138529,204_ThuJul23
#010201,49.288071,-123.130814,204_ThuJul23
#835672,49.285106,-123.102149,204_ThuJul23
#F9F0F4,49.281742,-123.133359,204_ThuJul23
#010101,49.288071,-123.130814,204_ThuJul23
#090E0B,49.280796,-123.117943,204_ThuJul23
#030202,49.222219,-123.080974,204_ThuJul23
#030202,49.283141,-123.117692,204_ThuJul23
#060606,49.280404,-123.121227,204_ThuJul23
#00D600,49.280491,-123.120567,204_ThuJul23
#7DA095,49.274256,-123.111744,204_ThuJul23
#818982,49.282739,-123.106424,204_ThuJul23
#EDECEE,49.250000,-123.100000,204_ThuJul23
#DDE7DA,49.289237,-123.122274,204_ThuJul23
#030102,49.283345,-123.104855,204_ThuJul23
#000000,49.268372,-123.100617,204_ThuJul23
#E6E5E3,49.278778,-123.120085,204_ThuJul23
#030303,49.272451,-123.123960,204_ThuJul23
#9B7480,49.284755,-123.109377,204_ThuJul23
#060605,49.283141,-123.117692,204_ThuJul23
#F3ECF0,49.282211,-123.123802,204_ThuJul23
#160710,49.280261,-123.117792,204_ThuJul23
#DFDDDF,49.275814,-123.099678,204_ThuJul23
#020201,49.284340,-123.111359,204_ThuJul23
#130C0C,49.283784,-123.106033,204_ThuJul23
#039E07,49.300743,-123.130331,204_ThuJul23
#F0F8F6,49.244298,-123.127707,204_ThuJul23
#010201,49.280491,-123.120567,204_ThuJul23
#1C1D1F,49.280404,-123.121227,204_ThuJul23
#1B0D1C,49.291466,-123.127777,204_ThuJul23
#170D0B,49.300743,-123.130331,204_ThuJul23
#020101,49.280399,-123.121010,204_ThuJul23
#0C0B06,49.280491,-123.120567,204_ThuJul23
#F6DAE5,49.287290,-123.129217,204_ThuJul23
#030503,49.283345,-123.104855,204_ThuJul23
#86818A,49.284153,-123.097755,204_ThuJul23
#13120D,49.284962,-123.124396,204_ThuJul23
#000000,49.224401,-123.134472,204_ThuJul23
#040303,49.250000,-123.100000,204_ThuJul23
#FDFCFD,49.287460,-123.128937,204_ThuJul23
#070504,49.282219,-123.134659,204_ThuJul23
#000100,49.284042,-123.107463,204_ThuJul23
#080306,49.280491,-123.120567,204_ThuJul23
#CFE2D0,49.283083,-123.110442,204_ThuJul23
#010203,49.284599,-123.108887,204_ThuJul23
#030201,49.263860,-123.149219,204_ThuJul23
#030303,49.275600,-123.121101,204_ThuJul23
#7A767B,49.300000,-123.140000,204_ThuJul23
#050603,49.278594,-123.115419,204_ThuJul23
#F3F0F1,49.287842,-123.116341,204_ThuJul23
#0F050A,49.272005,-123.114896,204_ThuJul23
#040705,49.280659,-123.100861,204_ThuJul23
#060504,49.280491,-123.120567,204_ThuJul23
