color,lat,long,date
#242222,49.276809,-123.112154,206_SatJul25
#032013,49.262087,-123.095473,206_SatJul25
#020102,49.280339,-123.124896,206_SatJul25
#180C11,49.280339,-123.124896,206_SatJul25
#EEE4E9,49.254641,-123.128195,206_SatJul25
#050B06,49.293751,-123.149306,206_SatJul25
#010101,49.292427,-123.134285,206_SatJul25
#160A10,49.270931,-123.115402,206_SatJul25
#110D0A,49.281204,-123.120316,206_SatJul25
#1D030B,49.278529,-123.098299,206_SatJul25
#020102,49.286090,-123.140070,206_SatJul25
#000300,49.218710,-123.102690,206_SatJul25
#191214,49.249854,-123.107102,206_SatJul25
#E6EDE0,49.286675,-123.143220,206_SatJul25
#170B0E,49.275814,-123.099678,206_SatJul25
#070301,49.274311,-123.123123,206_SatJul25
#011D01,49.282688,-123.104805,206_SatJul25
#FCF8FA,49.282148,-123.122156,206_SatJul25
#CEE2D3,49.286228,-123.143023,206_SatJul25
#1D0808,49.284314,-123.095469,206_SatJul25
#022612,49.262087,-123.095473,206_SatJul25
#AC85A3,49.280540,-123.125611,206_SatJul25
#1C1E1C,49.274256,-123.111744,206_SatJul25
#0F090A,48.433300,-123.350000,206_SatJul25
#070405,49.288311,-123.116730,206_SatJul25
#010101,49.298828,-123.133521,206_SatJul25
#050305,49.280659,-123.100861,206_SatJul25
#595C55,49.273158,-123.119131,206_SatJul25
#114C28,49.288918,-123.112056,206_SatJul25
#9E8090,49.276809,-123.112154,206_SatJul25
#8DAAAE,49.277290,-123.148804,206_SatJul25
#030101,49.282688,-123.104805,206_SatJul25
#1E0205,49.263898,-123.141402,206_SatJul25
#6E4D62,55.342122,-131.642395,206_SatJul25
#CACECF,49.271856,-123.135008,206_SatJul25
#020102,49.288128,-123.114868,206_SatJul25
#060A07,49.268649,-123.112124,206_SatJul25
#0D0406,49.248970,-123.101204,206_SatJul25
#030302,49.280659,-123.100861,206_SatJul25
#0B090A,49.291480,-123.128047,206_SatJul25
#130707,49.263832,-123.101471,206_SatJul25
#C3D7CE,49.273338,-123.119461,206_SatJul25
#0E0D0C,49.302264,-123.142251,206_SatJul25
#0F0B0D,48.433300,-123.350000,206_SatJul25
#10090B,49.271856,-123.135008,206_SatJul25
#060605,49.271369,-123.139463,206_SatJul25
#B2BFAD,49.282739,-123.106424,206_SatJul25
#16090F,49.276809,-123.112154,206_SatJul25
#070204,49.302264,-123.142251,206_SatJul25
#030301,49.286102,-123.127388,206_SatJul25
#7A5F65,49.272312,-123.128288,206_SatJul25
#E8F6EB,49.286228,-123.143023,206_SatJul25
#090204,49.233748,-123.153244,206_SatJul25
#F9F7F9,49.298241,-123.119230,206_SatJul25
#0A0F0D,49.285393,-123.125778,206_SatJul25
#C2789A,49.282684,-123.111953,206_SatJul25
#0E0408,49.266222,-123.139545,206_SatJul25
#1C0511,49.277929,-123.132845,206_SatJul25
#E7DCDF,49.285739,-123.123934,206_SatJul25
#040102,49.277367,-123.079772,206_SatJul25
#2A161F,49.266222,-123.139545,206_SatJul25
#565758,49.279519,-123.115608,206_SatJul25
#F3E7EE,49.268490,-123.101700,206_SatJul25
#1D0907,49.276894,-123.119896,206_SatJul25
#011702,49.263832,-123.101471,206_SatJul25
#120C11,49.266222,-123.139545,206_SatJul25
#FEFBFE,49.274063,-123.154361,206_SatJul25
#A57691,49.266222,-123.139545,206_SatJul25
#D8C3CE,49.294399,-123.136726,206_SatJul25
#040201,49.276572,-123.120895,206_SatJul25
#23181C,49.267799,-123.148819,206_SatJul25
#FBD9F5,49.280552,-123.101929,206_SatJul25
#0B0507,49.266222,-123.139545,206_SatJul25
#9B5F83,49.280571,-123.125613,206_SatJul25
#060706,49.268967,-123.102936,206_SatJul25
#010301,49.280796,-123.117943,206_SatJul25
#0C0504,49.283093,-123.106964,206_SatJul25
#C9C9C9,49.286477,-123.118190,206_SatJul25
#B895AD,49.280615,-123.132822,206_SatJul25
#0B070A,49.275814,-123.099678,206_SatJul25
#F5FBFA,58.298637,-134.404862,206_SatJul25
#040303,49.270863,-123.136085,206_SatJul25
#A2677D,49.250000,-123.100000,206_SatJul25
#030101,49.287470,-123.140990,206_SatJul25
#030404,49.284439,-123.110268,206_SatJul25
#050303,49.282188,-123.108612,206_SatJul25
#977E8C,49.275814,-123.099678,206_SatJul25
#100A0C,49.276894,-123.119896,206_SatJul25
#020001,49.288481,-123.113243,206_SatJul25
#050403,49.281410,-123.133690,206_SatJul25
#040203,49.277041,-123.112426,206_SatJul25
#71CFA0,49.270931,-123.115402,206_SatJul25
#B86CA4,49.276600,-123.117286,206_SatJul25
#FCFAFB,49.279549,-123.122833,206_SatJul25
#E6D6DE,49.287431,-123.112809,206_SatJul25
#040102,49.283214,-123.103059,206_SatJul25
#9E6D9F,49.277041,-123.112426,206_SatJul25
#66D79F,49.254518,-123.080301,206_SatJul25
#040404,49.268967,-123.102936,206_SatJul25
#081307,49.279390,-123.080490,206_SatJul25
#5AB385,49.294900,-123.150161,206_SatJul25
#B9A9B0,49.288918,-123.112056,206_SatJul25
#100C06,49.280720,-123.121391,206_SatJul25
#E4D4CD,49.291466,-123.127777,206_SatJul25
#022018,49.284439,-123.110268,206_SatJul25
#826477,49.288311,-123.116730,206_SatJul25
#BB69A0,49.288918,-123.112056,206_SatJul25
#C4B5C4,49.283691,-123.103455,206_SatJul25
#D0CCD2,49.288918,-123.112056,206_SatJul25
#0B0907,49.281620,-123.077362,206_SatJul25
#F5F2F3,49.288918,-123.112056,206_SatJul25
#E0D4F7,49.288918,-123.112056,206_SatJul25
