color,lat,long,date
#121A11,49.276003,-123.103090,208_MonJul27
#EDC4D8,49.257540,-123.114790,208_MonJul27
#010101,49.250000,-123.100000,208_MonJul27
#0F0407,49.281059,-123.119690,208_MonJul27
#010101,49.284569,-123.142807,208_MonJul27
#170B0E,49.280958,-123.089094,208_MonJul27
#19090E,49.250000,-123.100000,208_MonJul27
#010000,49.272552,-123.134292,208_MonJul27
#020000,49.289861,-123.145284,208_MonJul27
#050102,49.242039,-123.111942,208_MonJul27
#010101,49.239953,-123.068538,208_MonJul27
#EFFAF1,49.284989,-123.143061,208_MonJul27
#8E6D7E,49.269520,-123.103729,208_MonJul27
#040406,49.290216,-123.120726,208_MonJul27
#CDBDBC,49.231852,-123.071374,208_MonJul27
#D3ABA6,49.274311,-123.123817,208_MonJul27
#0A080D,49.273071,-123.157333,208_MonJul27
#77C292,49.274063,-123.154361,208_MonJul27
#D5AEBC,49.282799,-123.104073,208_MonJul27
#EEE9EA,49.277799,-123.107774,208_MonJul27
#CDB7C8,49.267921,-123.156197,208_MonJul27
#010200,49.281929,-123.100098,208_MonJul27
#F5E9EE,49.280796,-123.117943,208_MonJul27
#010101,49.286675,-123.143220,208_MonJul27
#050401,49.260300,-123.096588,208_MonJul27
#E4EAE8,49.277799,-123.107774,208_MonJul27
#776E7E,49.273722,-123.097917,208_MonJul27
#D8BCD3,49.265120,-123.142331,208_MonJul27
#010001,49.281195,-123.135387,208_MonJul27
#060405,49.284439,-123.123016,208_MonJul27
#020202,49.288834,-123.118171,208_MonJul27
#E3D9E2,49.277644,-123.127207,208_MonJul27
#1D060D,49.279761,-123.081125,208_MonJul27
#010101,49.236775,-123.090087,208_MonJul27
#B4B4B4,49.286477,-123.118190,208_MonJul27
#000000,49.290722,-123.133995,208_MonJul27
#231B1E,49.284792,-123.115374,208_MonJul27
#AF658F,49.284439,-123.123016,208_MonJul27
#5A032C,49.276171,-123.144431,208_MonJul27
#E7E6E5,49.277799,-123.107774,208_MonJul27
#866283,49.270439,-123.148109,208_MonJul27
#744B60,49.288311,-123.116730,208_MonJul27
#160906,49.300000,-123.140000,208_MonJul27
#140407,49.250000,-123.100000,208_MonJul27
#130804,49.272850,-123.069778,208_MonJul27
#010000,49.284569,-123.142807,208_MonJul27
#B75687,49.284439,-123.123016,208_MonJul27
#E8EBE8,49.277799,-123.107774,208_MonJul27
#02F35C,11.117075,-74.232663,208_MonJul27
#FAF1FA,49.250000,-123.100000,208_MonJul27
#888B8E,49.284572,-123.124657,208_MonJul27
#040101,49.284439,-123.123016,208_MonJul27
#010501,49.278952,-123.123126,208_MonJul27
#090303,49.266361,-123.138596,208_MonJul27
#1B1419,49.284569,-123.142807,208_MonJul27
#060606,49.286446,-123.115364,208_MonJul27
#6A0227,49.276171,-123.144431,208_MonJul27
#E4E0E3,49.277799,-123.107774,208_MonJul27
#EEF4F3,49.302264,-123.142251,208_MonJul27
#010101,49.273220,-123.101820,208_MonJul27
#010202,49.275470,-123.136643,208_MonJul27
#000000,49.286675,-123.143220,208_MonJul27
#050505,49.264817,-123.077504,208_MonJul27
#030402,49.284569,-123.142807,208_MonJul27
#040102,49.276171,-123.144431,208_MonJul27
#EFF0F2,49.277799,-123.107774,208_MonJul27
#040403,49.289711,-123.116074,208_MonJul27
#030202,49.230943,-123.085525,208_MonJul27
#060205,49.287233,-123.131732,208_MonJul27
#7B676E,49.289351,-123.114345,208_MonJul27
#9F789E,49.286675,-123.143220,208_MonJul27
#040201,49.286675,-123.143220,208_MonJul27
#050200,49.278952,-123.123126,208_MonJul27
#0E0508,49.233068,-123.080991,208_MonJul27
#0E0407,49.278488,-123.111397,208_MonJul27
#0A0508,49.282673,-123.118187,208_MonJul27
#070705,49.276171,-123.144431,208_MonJul27
#FFFFFF,49.279573,-123.138529,208_MonJul27
#020202,49.281929,-123.100098,208_MonJul27
#1C130C,49.287334,-123.128918,208_MonJul27
#090508,49.260307,-123.096275,208_MonJul27
#080405,49.281929,-123.100098,208_MonJul27
#0B0D0B,49.280796,-123.117943,208_MonJul27
#8A6271,49.232006,-123.117801,208_MonJul27
#050503,49.276171,-123.144431,208_MonJul27
#C9ACBA,49.277724,-123.071804,208_MonJul27
#8C6C86,49.284569,-123.142807,208_MonJul27
#965680,49.276171,-123.144431,208_MonJul27
#020001,49.266510,-123.069351,208_MonJul27
#729184,49.304062,-123.156487,208_MonJul27
#000000,49.249802,-123.100639,208_MonJul27
#0D1008,49.279274,-123.132651,208_MonJul27
#071103,49.281874,-123.124205,208_MonJul27
#E9EEEB,49.284394,-123.117260,208_MonJul27
#030604,49.284790,-123.093086,208_MonJul27
#936C7A,49.304062,-123.156487,208_MonJul27
#000301,49.276171,-123.144431,208_MonJul27
#F4F0F0,49.283745,-123.109200,208_MonJul27
#9E7AA0,49.266361,-123.138596,208_MonJul27
#7C636B,49.288130,-123.114870,208_MonJul27
#C5CAC4,49.244037,-123.076227,208_MonJul27
#DFE1DE,49.284599,-123.108887,208_MonJul27
#1C191B,49.276809,-123.112154,208_MonJul27
#1D201D,49.300000,-123.140000,208_MonJul27
#F6E3EF,49.284121,-123.107531,208_MonJul27
#F5F6F6,49.288020,-123.125709,208_MonJul27
#120C01,49.283330,-123.115540,208_MonJul27
#548662,49.286675,-123.143220,208_MonJul27
#050202,49.284569,-123.142807,208_MonJul27
#030303,49.284661,-123.112716,208_MonJul27
#0F0D0A,49.284569,-123.142807,208_MonJul27
#0B0805,49.276171,-123.144431,208_MonJul27
#76606D,49.270162,-123.107200,208_MonJul27
#ECF6EF,49.259533,-123.087270,208_MonJul27
#E7F0EF,49.293751,-123.149306,208_MonJul27
#090909,49.284759,-123.122697,208_MonJul27
#030303,49.284661,-123.112716,208_MonJul27
#640C0B,49.269913,-123.108161,208_MonJul27
#766805,49.276171,-123.144431,208_MonJul27
#010301,49.288128,-123.114868,208_MonJul27
#010101,49.284569,-123.142807,208_MonJul27
#1A100E,49.284439,-123.123016,208_MonJul27
#F5EFF2,49.284759,-123.122697,208_MonJul27
#030202,49.232979,-123.077461,208_MonJul27
#87717A,49.283718,-123.121109,208_MonJul27
#BE71AA,49.270460,-123.100585,208_MonJul27
#030302,49.281929,-123.100098,208_MonJul27
#040202,49.278038,-123.109234,208_MonJul27
#1E0607,49.282219,-123.134659,208_MonJul27
#080F0B,49.289711,-123.116074,208_MonJul27
#010101,49.284569,-123.142807,208_MonJul27
#D460A8,49.266139,-123.157372,208_MonJul27
#020101,49.289711,-123.116074,208_MonJul27
#040102,49.284439,-123.110268,208_MonJul27
#F3E7F7,49.288559,-123.120972,208_MonJul27
#F3F7F5,49.287123,-123.142566,208_MonJul27
#EBE8EA,49.289711,-123.116074,208_MonJul27
#010201,49.273353,-123.103411,208_MonJul27
#0F1711,49.288128,-123.114868,208_MonJul27
#0F0A0B,49.284569,-123.142807,208_MonJul27
#210208,49.246175,-123.104239,208_MonJul27
#050604,49.279164,-123.137844,208_MonJul27
#DFCEF3,49.277644,-123.127207,208_MonJul27
#070406,49.283508,-123.105095,208_MonJul27
#010201,49.288830,-123.117691,208_MonJul27
#110406,49.284912,-123.123474,208_MonJul27
#A91A59,49.285797,-123.124458,208_MonJul27
#000100,49.281929,-123.100098,208_MonJul27
#8DA098,49.277592,-123.125358,208_MonJul27
#24221E,49.282047,-123.133499,208_MonJul27
#FAFAFC,49.293751,-123.149306,208_MonJul27
#AF98A9,49.289085,-123.132637,208_MonJul27
#0E0C0C,49.274687,-123.109443,208_MonJul27
#11051D,49.242222,-123.115000,208_MonJul27
#C6BEBE,49.280704,-123.117167,208_MonJul27
#65020D,49.287941,-123.113132,208_MonJul27
#0B0809,49.278307,-123.116641,208_MonJul27
#97A389,49.282075,-123.118721,208_MonJul27
#030202,49.285568,-123.112141,208_MonJul27
#1C0A12,49.260010,-123.141667,208_MonJul27
#B4595D,49.268013,-123.154892,208_MonJul27
#0D0A0B,49.268967,-123.102936,208_MonJul27
#020101,49.261645,-123.056562,208_MonJul27
#D6ECE2,49.275961,-123.128805,208_MonJul27
#62555D,49.282443,-123.118320,208_MonJul27
#040303,49.249290,-123.089996,208_MonJul27
#050404,49.267105,-123.124484,208_MonJul27
#946A76,49.283508,-123.105095,208_MonJul27
#F4E9F5,49.285912,-123.126251,208_MonJul27
#050505,49.265881,-123.138901,208_MonJul27
#E7ECE9,49.293751,-123.149306,208_MonJul27
#FCF8FB,49.272613,-123.148697,208_MonJul27
#140E0D,49.285912,-123.126251,208_MonJul27
#F0EBED,49.283331,-123.123250,208_MonJul27
#7D6579,49.285192,-123.111250,208_MonJul27
#020101,49.281704,-123.104149,208_MonJul27
#020202,49.272697,-123.152794,208_MonJul27
#F0EEEF,49.288910,-123.131203,208_MonJul27
#010101,49.272979,-123.132646,208_MonJul27
#F4E7EC,49.276246,-123.123983,208_MonJul27
#020202,49.290722,-123.133995,208_MonJul27
#796F71,49.268013,-123.154892,208_MonJul27
#131A05,49.272551,-123.133049,208_MonJul27
#131707,49.300000,-123.140000,208_MonJul27
#8BC4A4,49.287123,-123.142566,208_MonJul27
#CBC1C5,49.289150,-123.128899,208_MonJul27
#836081,49.289583,-123.117568,208_MonJul27
#080607,49.280491,-123.120567,208_MonJul27
#9D779C,49.280023,-123.129923,208_MonJul27
#150509,49.290722,-123.133995,208_MonJul27
#010000,49.277706,-123.125633,208_MonJul27
#030604,49.242222,-123.115000,208_MonJul27
#F5FBF9,49.300000,-123.140000,208_MonJul27
#020201,49.276809,-123.112154,208_MonJul27
#010000,49.284569,-123.142807,208_MonJul27
#020101,49.281704,-123.104149,208_MonJul27
#030303,49.286148,-123.124516,208_MonJul27
#FCF7FB,49.277523,-123.113826,208_MonJul27
#010201,49.270309,-123.114891,208_MonJul27
#020402,49.284569,-123.142807,208_MonJul27
#020201,49.238990,-123.129839,208_MonJul27
#120B0A,49.279573,-123.138529,208_MonJul27
#010101,49.284569,-123.142807,208_MonJul27
#070705,49.256404,-123.097518,208_MonJul27
#010303,49.280023,-123.129923,208_MonJul27
#071209,49.278038,-123.109234,208_MonJul27
#F8F8F8,49.284394,-123.117260,208_MonJul27
#020104,49.276524,-123.100084,208_MonJul27
#578170,49.274256,-123.111744,208_MonJul27
#030202,49.283860,-123.113209,208_MonJul27
#DEE3E0,49.281678,-123.133362,208_MonJul27
#13160D,49.258939,-123.100895,208_MonJul27
#060404,49.282148,-123.122156,208_MonJul27
#030205,49.286675,-123.143220,208_MonJul27
#030303,49.277297,-123.114493,208_MonJul27
#030202,49.277297,-123.114493,208_MonJul27
