color,lat,long,date
#000000,49.279828,-123.121642,209_TueJul28
#030304,49.242222,-123.115000,209_TueJul28
#040102,49.284042,-123.107463,209_TueJul28
#070607,49.286675,-123.143220,209_TueJul28
#07140B,49.282124,-123.120682,209_TueJul28
#040605,49.300743,-123.130331,209_TueJul28
#786965,49.276003,-123.103090,209_TueJul28
#010101,49.284569,-123.142807,209_TueJul28
#0B110F,49.293240,-123.140152,209_TueJul28
#0F0A0C,49.294720,-123.136340,209_TueJul28
#30161A,49.279538,-123.100612,209_TueJul28
#5C6E68,49.300743,-123.130331,209_TueJul28
#F9F8F9,49.271856,-123.135008,209_TueJul28
#040403,49.284661,-123.112716,209_TueJul28
#140204,49.279810,-123.121969,209_TueJul28
#010401,49.283652,-123.139732,209_TueJul28
#030303,49.280491,-123.120567,209_TueJul28
#0E0507,49.283345,-123.104855,209_TueJul28
#010300,49.279828,-123.121642,209_TueJul28
#555555,49.279828,-123.121642,209_TueJul28
#170813,49.242625,-123.153250,209_TueJul28
#040404,49.279121,-123.123505,209_TueJul28
#060601,49.279270,-123.129776,209_TueJul28
#0D0407,49.270763,-123.136146,209_TueJul28
#655365,49.269955,-123.108247,209_TueJul28
#C3D9DD,49.287231,-123.141441,209_TueJul28
#1D0B0F,49.290610,-123.137140,209_TueJul28
#0E0602,49.279828,-123.121642,209_TueJul28
#E6E2E5,49.289711,-123.116074,209_TueJul28
#018806,49.280491,-123.120567,209_TueJul28
#F0C4E2,49.291466,-123.127777,209_TueJul28
#0B0808,49.270222,-123.135673,209_TueJul28
#000000,49.279828,-123.121642,209_TueJul28
#0B0407,49.268231,-123.155153,209_TueJul28
#010202,49.284569,-123.142807,209_TueJul28
#767F02,49.279828,-123.121642,209_TueJul28
#1A4E23,49.280491,-123.120567,209_TueJul28
#040300,49.280491,-123.120567,209_TueJul28
#020101,35.666245,139.743373,209_TueJul28
#21261A,49.274063,-123.154361,209_TueJul28
#000000,49.279828,-123.121642,209_TueJul28
#060705,49.283217,-123.121779,209_TueJul28
#977E8C,49.288892,-123.128147,209_TueJul28
#E8ECEA,49.281678,-123.133362,209_TueJul28
#060F0A,49.292648,-123.128988,209_TueJul28
#FCFCFC,49.289882,-123.132891,209_TueJul28
#020503,49.275219,-123.123123,209_TueJul28
#8E7882,49.277069,-123.081642,209_TueJul28
#CFE2D8,49.286675,-123.143220,209_TueJul28
#110505,49.268339,-123.069690,209_TueJul28
#E174AB,49.267811,-123.149033,209_TueJul28
#070D04,49.280491,-123.120567,209_TueJul28
#071A0A,49.271614,-123.136299,209_TueJul28
#15090F,49.281391,-123.107781,209_TueJul28
#57545A,49.274063,-123.154361,209_TueJul28
#F64778,49.285797,-123.124458,209_TueJul28
#1C0F10,49.245830,-123.094177,209_TueJul28
#E3F2EC,49.300000,-123.140000,209_TueJul28
#010101,49.287441,-123.141958,209_TueJul28
#030203,49.273819,-123.120685,209_TueJul28
#040305,49.294399,-123.136726,209_TueJul28
#EAD3D6,49.263428,-123.138786,209_TueJul28
#0B0707,49.270634,-123.069466,209_TueJul28
#000000,49.283089,-123.119385,209_TueJul28
#060605,49.300000,-123.140000,209_TueJul28
#C6B1BF,49.283421,-123.115280,209_TueJul28
#C9C3C7,49.227956,-123.073378,209_TueJul28
#6B9C82,49.300000,-123.140000,209_TueJul28
#040303,49.270637,-123.069466,209_TueJul28
#940F02,49.279828,-123.121642,209_TueJul28
#000000,49.271303,-123.154645,209_TueJul28
#010301,49.279828,-123.121642,209_TueJul28
#72B98F,49.271788,-123.106280,209_TueJul28
#CC9EB2,49.228951,-123.091072,209_TueJul28
#1C0B0C,49.282739,-123.106424,209_TueJul28
#080705,49.286675,-123.143220,209_TueJul28
#1B0402,49.279828,-123.121642,209_TueJul28
#020200,49.279270,-123.129776,209_TueJul28
#9A9DA2,49.282728,-123.123536,209_TueJul28
#E1EFE7,49.274063,-123.154361,209_TueJul28
#ECBAE1,49.289095,-123.111413,209_TueJul28
#040C07,49.300000,-123.140000,209_TueJul28
#000000,49.283089,-123.119385,209_TueJul28
#847483,49.294900,-123.150161,209_TueJul28
#040303,49.288033,-123.114475,209_TueJul28
#5C8770,49.300000,-123.140000,209_TueJul28
#140B0C,49.231845,-123.118188,209_TueJul28
#1B0710,49.263550,-123.069550,209_TueJul28
#020202,49.290722,-123.133995,209_TueJul28
#121409,49.283580,-123.102196,209_TueJul28
#050F05,49.231845,-123.118188,209_TueJul28
#020100,49.283379,-123.102486,209_TueJul28
#0E0D0E,49.257956,-123.115428,209_TueJul28
#010201,49.250000,-123.100000,209_TueJul28
#F7DDEF,49.276295,-123.121407,209_TueJul28
#EFF6F3,49.289583,-123.117568,209_TueJul28
#0C090A,49.250000,-123.100000,209_TueJul28
#080406,49.271856,-123.135008,209_TueJul28
#F9FBFB,49.276809,-123.112154,209_TueJul28
#171213,49.250000,-123.100000,209_TueJul28
#B76E9A,49.237560,-123.155693,209_TueJul28
#019A0B,49.288020,-123.125709,209_TueJul28
#100707,49.231845,-123.118188,209_TueJul28
#B4B8BF,49.231845,-123.118188,209_TueJul28
#F9F7F9,49.284042,-123.107463,209_TueJul28
#1C0913,49.267659,-123.125395,209_TueJul28
#6E4855,49.266121,-123.111839,209_TueJul28
#010101,49.280720,-123.121391,209_TueJul28
#EBF5F3,49.273353,-123.103411,209_TueJul28
#030303,49.278500,-123.123558,209_TueJul28
#010001,49.290365,-123.133573,209_TueJul28
#EDE0E8,43.649000,-79.386000,209_TueJul28
#F4F0F4,49.271029,-123.140491,209_TueJul28
#1A1618,49.274256,-123.111744,209_TueJul28
#000000,49.286675,-123.143220,209_TueJul28
#141E1A,49.289711,-123.116074,209_TueJul28
#000000,49.283355,-123.104329,209_TueJul28
#977C8A,49.280800,-123.120079,209_TueJul28
#10040B,49.237560,-123.155693,209_TueJul28
#000000,49.231845,-123.118188,209_TueJul28
#000000,49.281312,-123.087722,209_TueJul28
#F7F2F5,49.263381,-123.120366,209_TueJul28
#DFD4D9,49.282834,-123.120458,209_TueJul28
#FAF8F9,49.283573,-123.103950,209_TueJul28
