color,lat,long,date
#030202,49.276809,-123.112154,214_SunAug2
#080A07,49.282244,-123.121151,214_SunAug2
#190C12,49.276809,-123.112154,214_SunAug2
#010000,49.281342,-123.119797,214_SunAug2
#DED5DD,49.280804,-123.107742,214_SunAug2
#D69BBE,49.275470,-123.136643,214_SunAug2
#0D1010,49.283420,-123.104110,214_SunAug2
#480A25,49.283108,-123.118874,214_SunAug2
#0D0F0D,49.280404,-123.121227,214_SunAug2
#040404,49.286675,-123.143220,214_SunAug2
#020101,49.287168,-123.142805,214_SunAug2
#000100,49.276631,-123.112198,214_SunAug2
#091C0E,49.279949,-123.117557,214_SunAug2
#050102,49.282663,-123.124930,214_SunAug2
#010101,49.287168,-123.142805,214_SunAug2
#0D0D0C,49.288313,-123.140235,214_SunAug2
#010202,49.276631,-123.112198,214_SunAug2
#120C07,49.276631,-123.112198,214_SunAug2
#010101,49.284569,-123.142807,214_SunAug2
#010202,49.276809,-123.112154,214_SunAug2
#DCDCDC,49.276809,-123.112154,214_SunAug2
#020401,49.276809,-123.112154,214_SunAug2
#58B864,49.270688,-123.103009,214_SunAug2
#010101,49.276809,-123.112154,214_SunAug2
#040303,49.276809,-123.112154,214_SunAug2
#040303,49.276809,-123.112154,214_SunAug2
#010101,49.273093,-123.156783,214_SunAug2
#030404,49.285206,-123.143287,214_SunAug2
#040203,49.281636,-123.125818,214_SunAug2
#010101,49.274063,-123.154361,214_SunAug2
#030302,49.287199,-123.142736,214_SunAug2
#1B0F0D,49.288033,-123.114475,214_SunAug2
#0C0709,49.276631,-123.112198,214_SunAug2
#020101,49.272697,-123.152794,214_SunAug2
#030201,49.287462,-123.125857,214_SunAug2
#090707,49.274063,-123.154361,214_SunAug2
#140803,49.276809,-123.112154,214_SunAug2
#010201,49.276809,-123.112154,214_SunAug2
#020602,49.278014,-123.109052,214_SunAug2
#020102,49.280509,-123.138430,214_SunAug2
#010101,49.284569,-123.142807,214_SunAug2
#020201,49.276809,-123.112154,214_SunAug2
#020402,49.287453,-123.125838,214_SunAug2
#0C0B0B,49.291466,-123.127777,214_SunAug2
#020302,49.274720,-123.118394,214_SunAug2
#010101,49.286675,-123.143220,214_SunAug2
#000000,49.284569,-123.142807,214_SunAug2
#0A0708,49.280943,-123.132171,214_SunAug2
#010401,49.276809,-123.112154,214_SunAug2
#12050A,49.276809,-123.112154,214_SunAug2
#000600,49.276631,-123.112198,214_SunAug2
#020402,49.276631,-123.112198,214_SunAug2
#010101,49.288128,-123.114868,214_SunAug2
#DAB9CA,49.277823,-123.124630,214_SunAug2
#030401,49.276631,-123.112198,214_SunAug2
#020202,49.286675,-123.143220,214_SunAug2
#100D0A,49.274512,-123.119590,214_SunAug2
#020302,49.273575,-123.124129,214_SunAug2
#222C41,49.283722,-123.132046,214_SunAug2
#7E4667,49.277290,-123.148804,214_SunAug2
#030403,49.276631,-123.112198,214_SunAug2
#050501,49.282688,-123.104805,214_SunAug2
#060705,49.280509,-123.138430,214_SunAug2
#040101,49.280590,-123.120940,214_SunAug2
#010101,49.287123,-123.142566,214_SunAug2
#060403,49.276542,-123.124178,214_SunAug2
#110509,49.275032,-123.121101,214_SunAug2
#020402,49.275680,-123.118770,214_SunAug2
#010301,49.276631,-123.112198,214_SunAug2
#040302,49.286675,-123.143220,214_SunAug2
#0B0809,49.288033,-123.114475,214_SunAug2
#D67F80,49.278155,-123.136130,214_SunAug2
#FAFAFA,49.276631,-123.112198,214_SunAug2
#050603,49.276631,-123.112198,214_SunAug2
#000000,49.282520,-123.107964,214_SunAug2
#030302,49.276809,-123.112154,214_SunAug2
#E7DEE1,49.276809,-123.112154,214_SunAug2
#020202,49.276809,-123.112154,214_SunAug2
#020201,49.288033,-123.114475,214_SunAug2
#070202,49.280491,-123.120567,214_SunAug2
#180707,49.287199,-123.142736,214_SunAug2
#010101,49.276809,-123.112154,214_SunAug2
#010201,49.286675,-123.143220,214_SunAug2
#0B0807,49.276809,-123.112154,214_SunAug2
#1B1813,49.276809,-123.112154,214_SunAug2
#000000,49.282999,-123.115785,214_SunAug2
#010102,49.276631,-123.112198,214_SunAug2
#ECE4EA,49.250000,-123.100000,214_SunAug2
#060606,49.268494,-123.069511,214_SunAug2
#020101,49.287168,-123.142805,214_SunAug2
#030303,49.276631,-123.112198,214_SunAug2
#020202,49.283180,-123.114578,214_SunAug2
#040906,49.275015,-123.110175,214_SunAug2
#1E0C09,49.286675,-123.143220,214_SunAug2
#020001,49.284569,-123.142807,214_SunAug2
#010100,49.284569,-123.142807,214_SunAug2
#060706,49.286320,-123.125687,214_SunAug2
#030404,49.284569,-123.142807,214_SunAug2
#7BA591,49.294399,-123.136726,214_SunAug2
#E1CFCA,49.280041,-123.124908,214_SunAug2
#000401,49.276631,-123.112198,214_SunAug2
#010101,49.276631,-123.112198,214_SunAug2
#060605,49.272636,-123.136124,214_SunAug2
#010100,49.276809,-123.112154,214_SunAug2
#F8F6F8,49.276631,-123.112198,214_SunAug2
#880F05,49.284569,-123.142807,214_SunAug2
#0B1D0E,49.276809,-123.112154,214_SunAug2
#010000,49.284569,-123.142807,214_SunAug2
#010201,49.276631,-123.112198,214_SunAug2
#020202,49.285167,-123.142999,214_SunAug2
#010101,49.277041,-123.112426,214_SunAug2
#F4EDEE,49.250000,-123.100000,214_SunAug2
#D4BABA,49.283329,-123.093552,214_SunAug2
#060204,49.285167,-123.142999,214_SunAug2
#030403,49.276809,-123.112154,214_SunAug2
#010100,49.276631,-123.112198,214_SunAug2
#171916,49.276809,-123.112154,214_SunAug2
#020101,49.284569,-123.142807,214_SunAug2
#030503,49.276631,-123.112198,214_SunAug2
#080705,49.276631,-123.112198,214_SunAug2
#020202,49.286675,-123.143220,214_SunAug2
#010101,49.276809,-123.112154,214_SunAug2
#020302,49.276631,-123.112198,214_SunAug2
#020302,49.276631,-123.112198,214_SunAug2
#180A0C,49.283420,-123.104110,214_SunAug2
#010101,49.276631,-123.112198,214_SunAug2
#030302,49.285079,-123.113636,214_SunAug2
#000000,49.276809,-123.112154,214_SunAug2
#E5E7E6,49.272625,-123.135620,214_SunAug2
#010101,49.276809,-123.112154,214_SunAug2
#040303,49.276809,-123.112154,214_SunAug2
#020403,49.284569,-123.142807,214_SunAug2
#040101,49.277539,-123.147470,214_SunAug2
#A187A0,49.268013,-123.154892,214_SunAug2
#66967F,49.276562,-123.112664,214_SunAug2
#030202,49.276809,-123.112154,214_SunAug2
#000000,49.274063,-123.154361,214_SunAug2
#040001,49.287199,-123.142736,214_SunAug2
#0F0A0A,49.276809,-123.112154,214_SunAug2
#030101,49.286675,-123.143220,214_SunAug2
#080A08,49.272636,-123.136124,214_SunAug2
#040403,49.276631,-123.112198,214_SunAug2
#060706,49.276631,-123.112198,214_SunAug2
#020102,49.285167,-123.142999,214_SunAug2
