color,lat,long,date
#050605,49.279742,-123.120531,218_ThuAug6
#EEFCF9,49.289583,-123.117568,218_ThuAug6
#010101,49.282183,-123.124033,218_ThuAug6
#E9E2E9,49.287778,-123.113117,218_ThuAug6
#050704,49.280454,-123.108708,218_ThuAug6
#010301,49.264084,-123.144968,218_ThuAug6
#C17597,49.264102,-123.118119,218_ThuAug6
#0D0D12,49.276524,-123.100084,218_ThuAug6
#020001,49.281685,-123.132942,218_ThuAug6
#0B0304,49.279934,-123.108154,218_ThuAug6
#120407,49.280941,-123.132324,218_ThuAug6
#EBEDF1,49.280509,-123.138430,218_ThuAug6
#040301,49.282959,-123.115181,218_ThuAug6
#020201,49.271856,-123.135008,218_ThuAug6
#050203,49.284042,-123.107463,218_ThuAug6
#0D1D15,49.274917,-123.121505,218_ThuAug6
#000000,49.284042,-123.107463,218_ThuAug6
#8ADEA7,49.276099,-123.100045,218_ThuAug6
#CFCECE,49.276809,-123.112154,218_ThuAug6
#030303,49.288128,-123.114868,218_ThuAug6
#010101,49.280796,-123.117943,218_ThuAug6
#EEEEED,49.281097,-123.120304,218_ThuAug6
#040404,49.284042,-123.107463,218_ThuAug6
#09070A,49.242080,-123.113786,218_ThuAug6
#775664,49.284915,-123.112606,218_ThuAug6
#050202,49.252901,-123.080096,218_ThuAug6
#080405,49.263351,-123.125471,218_ThuAug6
#FBF9FA,49.280509,-123.138430,218_ThuAug6
#AC718F,49.273353,-123.103411,218_ThuAug6
#ADC3B7,49.273178,-123.123019,218_ThuAug6
#FBFAFC,49.280509,-123.138430,218_ThuAug6
#F6F1F4,49.282593,-123.125427,218_ThuAug6
#87284C,49.279643,-123.120485,218_ThuAug6
#030203,49.284915,-123.112606,218_ThuAug6
#010100,49.291466,-123.127777,218_ThuAug6
#000100,49.293751,-123.149306,218_ThuAug6
#E5FBF7,49.280509,-123.138430,218_ThuAug6
#120A0B,49.280960,-123.118980,218_ThuAug6
#020202,49.276099,-123.100040,218_ThuAug6
#010101,49.288570,-123.130684,218_ThuAug6
#0B070A,49.284915,-123.112606,218_ThuAug6
#515152,49.288128,-123.114868,218_ThuAug6
#C7A6B9,49.244119,-123.107394,218_ThuAug6
#120507,49.268047,-123.156853,218_ThuAug6
#161912,49.284915,-123.112606,218_ThuAug6
#160A0D,49.267799,-123.148819,218_ThuAug6
#C78EB2,49.278936,-123.123275,218_ThuAug6
#8DBCAB,49.261501,-123.157282,218_ThuAug6
#96627E,49.280609,-123.132118,218_ThuAug6
#111012,49.284915,-123.112606,218_ThuAug6
#E7E7E6,49.240102,-123.077495,218_ThuAug6
#050505,49.260307,-123.096275,218_ThuAug6
#0B060B,49.284915,-123.112606,218_ThuAug6
#160708,49.272613,-123.148697,218_ThuAug6
#0B0406,49.288910,-123.131203,218_ThuAug6
#040302,49.288885,-123.120237,218_ThuAug6
#C4A5B4,49.284538,-123.122009,218_ThuAug6
#FAF8FA,49.271856,-123.135008,218_ThuAug6
#89727F,49.240102,-123.077495,218_ThuAug6
#0B0306,49.292099,-123.134781,218_ThuAug6
#FBFBFB,49.289711,-123.116074,218_ThuAug6
#0E0107,49.290066,-123.137833,218_ThuAug6
#0E0104,49.292099,-123.134781,218_ThuAug6
#030202,49.280777,-123.116562,218_ThuAug6
#FDF7FA,49.292099,-123.134781,218_ThuAug6
#E6DBD5,49.300000,-123.140000,218_ThuAug6
#0A010E,49.292099,-123.134781,218_ThuAug6
#E0BED5,49.286556,-123.142616,218_ThuAug6
#F9F1F6,49.254824,-123.128522,218_ThuAug6
#180804,49.280277,-123.109818,218_ThuAug6
#110308,49.292099,-123.134781,218_ThuAug6
#0F0608,49.277069,-123.081642,218_ThuAug6
#FBF2F6,49.292099,-123.134781,218_ThuAug6
#090507,49.282183,-123.124033,218_ThuAug6
#010301,49.281929,-123.100098,218_ThuAug6
#030403,49.281097,-123.120304,218_ThuAug6
#030101,49.283097,-123.135572,218_ThuAug6
#FDFCFD,49.276809,-123.112154,218_ThuAug6
#E0A2C2,49.275982,-123.120163,218_ThuAug6
#0A1C10,49.243166,-123.106213,218_ThuAug6
#010000,49.280590,-123.120940,218_ThuAug6
#020302,49.281271,-123.098454,218_ThuAug6
#592C3F,49.280796,-123.117943,218_ThuAug6
#030202,49.234909,-123.115814,218_ThuAug6
#080707,49.228881,-123.117571,218_ThuAug6
#A8959F,49.292648,-123.128988,218_ThuAug6
#000000,49.274063,-123.154361,218_ThuAug6
#BB7A92,49.283878,-123.116771,218_ThuAug6
#E9DDE4,49.289413,-123.138291,218_ThuAug6
#A86698,49.218710,-123.102690,218_ThuAug6
#B30557,49.276249,-123.117264,218_ThuAug6
#EED8DE,49.288128,-123.114868,218_ThuAug6
#010101,49.285000,-123.134000,218_ThuAug6
#C0C0C0,49.270496,-123.109596,218_ThuAug6
#1B0D0F,49.280777,-123.116562,218_ThuAug6
#050603,49.282852,-123.115857,218_ThuAug6
#8D5C72,49.291466,-123.127777,218_ThuAug6
#9E8F9F,49.273338,-123.119461,218_ThuAug6
#0C1309,49.261418,-123.138477,218_ThuAug6
#BFD1D4,49.273338,-123.119461,218_ThuAug6
#151410,49.273353,-123.103411,218_ThuAug6
#E4DFE0,49.283909,-123.116691,218_ThuAug6
#B46588,49.271188,-123.157415,218_ThuAug6
#050202,49.281271,-123.098454,218_ThuAug6
#041A0D,49.294399,-123.136726,218_ThuAug6
#D4ABC3,49.280796,-123.117943,218_ThuAug6
#1E070D,49.283119,-123.103912,218_ThuAug6
#0D030B,49.225479,-123.090797,218_ThuAug6
#060605,49.282538,-123.121805,218_ThuAug6
#040304,49.250000,-123.100000,218_ThuAug6
#FDFDFD,49.226699,-123.089075,218_ThuAug6
#FDFDFD,49.226704,-123.089117,218_ThuAug6
#A0477A,49.280796,-123.117943,218_ThuAug6
#0D0708,49.261418,-123.138477,218_ThuAug6
#201921,49.262500,-123.068889,218_ThuAug6
#010001,49.290365,-123.133573,218_ThuAug6
#020101,49.281086,-123.119975,218_ThuAug6
#A9619A,49.276809,-123.112154,218_ThuAug6
#0D0307,49.249290,-123.089996,218_ThuAug6
#120914,49.275470,-123.136643,218_ThuAug6
#1B171A,49.249290,-123.089996,218_ThuAug6
#020603,49.276944,-123.121505,218_ThuAug6
#060201,49.288685,-123.131409,218_ThuAug6
#050304,49.240102,-123.077495,218_ThuAug6
#1E1C1B,49.263372,-123.069343,218_ThuAug6
#070807,49.274241,-123.111827,218_ThuAug6
#827D87,49.284111,-123.111565,218_ThuAug6
#0A0205,49.249427,-123.101099,218_ThuAug6
#090506,49.276352,-123.119621,218_ThuAug6
#030101,49.249427,-123.101099,218_ThuAug6
#040503,49.271759,-123.106279,218_ThuAug6
#1C030A,49.282791,-123.104782,218_ThuAug6
#010101,49.292648,-123.128988,218_ThuAug6
#181E19,49.293751,-123.149306,218_ThuAug6
#030402,49.274513,-123.147660,218_ThuAug6
#927E86,49.279136,-123.125510,218_ThuAug6
#BB72AE,49.218710,-123.102690,218_ThuAug6
#040503,49.273845,-123.127803,218_ThuAug6
#010501,49.279419,-123.122739,218_ThuAug6
#020101,49.280965,-123.119910,218_ThuAug6
#020101,49.282188,-123.108612,218_ThuAug6
#ADE3CC,49.293751,-123.149306,218_ThuAug6
#FAEFF6,49.254456,-123.080432,218_ThuAug6
#1E070C,49.283588,-123.113770,218_ThuAug6
#07100E,49.286675,-123.143220,218_ThuAug6
#190C0A,49.272350,-123.155327,218_ThuAug6
#040605,49.280000,-123.099444,218_ThuAug6
#160609,49.284821,-123.096764,218_ThuAug6
#130508,49.284821,-123.096764,218_ThuAug6
#050404,49.280339,-123.124896,218_ThuAug6
#010001,49.282673,-123.118187,218_ThuAug6
