color,lat,long,date
#0E0B08,49.291080,-123.136429,219_FriAug7
#14050A,49.267811,-123.149033,219_FriAug7
#0A0104,49.248360,-123.101471,219_FriAug7
#F8FAFB,49.273353,-123.103411,219_FriAug7
#0B0C0B,49.276809,-123.112154,219_FriAug7
#946D78,49.284861,-123.122912,219_FriAug7
#0C0707,49.264671,-123.114647,219_FriAug7
#B28EA3,49.290951,-123.134346,219_FriAug7
#070306,49.264049,-123.115051,219_FriAug7
#010101,49.287290,-123.129217,219_FriAug7
#FBFAFD,49.272451,-123.123960,219_FriAug7
#826797,49.260006,-123.138896,219_FriAug7
#5E515A,49.282834,-123.120458,219_FriAug7
#EFFAF6,49.261501,-123.157282,219_FriAug7
#F1EDF2,49.283642,-123.106773,219_FriAug7
#010001,49.290951,-123.134346,219_FriAug7
#080A0D,49.271856,-123.135008,219_FriAug7
#561026,49.250000,-123.100000,219_FriAug7
#FBFAFC,49.272451,-123.123960,219_FriAug7
#130E10,49.287290,-123.129217,219_FriAug7
#020403,49.273353,-123.103411,219_FriAug7
#0D080B,49.280404,-123.121227,219_FriAug7
#EDE8ED,49.263355,-123.119858,219_FriAug7
#010301,49.286675,-123.143220,219_FriAug7
#0C0F0B,49.263529,-123.133003,219_FriAug7
#010201,49.288128,-123.114868,219_FriAug7
#C7ECD9,49.288033,-123.114475,219_FriAug7
#D8CCD2,49.284572,-123.124657,219_FriAug7
#030504,49.261501,-123.157282,219_FriAug7
#190D15,49.272000,-123.192000,219_FriAug7
#EFECF1,49.284042,-123.107463,219_FriAug7
#A26587,49.262940,-123.117279,219_FriAug7
#E0DCDC,49.284572,-123.124657,219_FriAug7
#020201,49.281311,-123.132904,219_FriAug7
#FBF7FB,49.262940,-123.117279,219_FriAug7
#070203,49.284210,-123.108531,219_FriAug7
#0F0607,49.281097,-123.120304,219_FriAug7
#EDEEED,49.272636,-123.136124,219_FriAug7
#0F0D0A,49.280609,-123.132118,219_FriAug7
#030505,49.285206,-123.143287,219_FriAug7
#100E10,49.282791,-123.104782,219_FriAug7
#010101,49.282799,-123.104073,219_FriAug7
#AF58BB,49.276809,-123.112154,219_FriAug7
#F4F3F5,49.288128,-123.114868,219_FriAug7
#100807,49.283119,-123.103912,219_FriAug7
#1D1C1B,49.280414,-123.126281,219_FriAug7
#030103,49.273640,-123.118431,219_FriAug7
#E9ADC8,49.279270,-123.129776,219_FriAug7
#0C0A10,49.276809,-123.112154,219_FriAug7
#090909,49.957525,-123.120213,219_FriAug7
#030303,49.262940,-123.117279,219_FriAug7
#171414,49.218710,-123.102690,219_FriAug7
#040303,49.284572,-123.124657,219_FriAug7
#000300,49.284042,-123.107463,219_FriAug7
#9D547A,49.284042,-123.107463,219_FriAug7
#010102,49.302264,-123.142251,219_FriAug7
#020202,49.276687,-123.112157,219_FriAug7
#020202,49.268963,-123.141960,219_FriAug7
#120509,49.289337,-123.131859,219_FriAug7
#EEF5EF,49.275961,-123.128805,219_FriAug7
#F9F5F7,49.284042,-123.107463,219_FriAug7
#FBFAFB,49.262940,-123.117279,219_FriAug7
#040302,49.280151,-123.106570,219_FriAug7
#030202,49.289124,-123.125765,219_FriAug7
#060604,49.279461,-123.122124,219_FriAug7
#B57594,49.284861,-123.122912,219_FriAug7
#DFF2F3,49.284042,-123.107463,219_FriAug7
#140507,49.284569,-123.142807,219_FriAug7
#150607,49.250000,-123.100000,219_FriAug7
#060305,49.289061,-123.140917,219_FriAug7
#060201,49.283966,-123.108908,219_FriAug7
#0D0406,49.289124,-123.125765,219_FriAug7
#FAF1F8,49.262920,-123.116028,219_FriAug7
#6F796E,49.281391,-123.132736,219_FriAug7
#090D09,49.248970,-123.101204,219_FriAug7
#F6EAF3,49.262920,-123.116028,219_FriAug7
#130F12,49.248970,-123.101204,219_FriAug7
#BA5B97,49.262920,-123.116028,219_FriAug7
#950714,49.248970,-123.101204,219_FriAug7
#020101,49.263130,-123.104446,219_FriAug7
#130408,49.284153,-123.097755,219_FriAug7
#110E0D,49.248970,-123.101204,219_FriAug7
#E3B5D1,49.265144,-123.114517,219_FriAug7
#BB75A8,49.218710,-123.102690,219_FriAug7
#020202,49.276809,-123.112154,219_FriAug7
#150E0C,49.248970,-123.101204,219_FriAug7
#6A5556,49.276295,-123.121407,219_FriAug7
#0B130D,49.288033,-123.114475,219_FriAug7
#130E0F,49.276687,-123.112086,219_FriAug7
#5F3843,49.248970,-123.101204,219_FriAug7
#FDFAFC,49.283852,-123.105453,219_FriAug7
#A16F88,49.254456,-123.080432,219_FriAug7
#070A08,49.279519,-123.115608,219_FriAug7
#180408,49.248970,-123.101204,219_FriAug7
#010201,49.276809,-123.112154,219_FriAug7
#1A1613,49.276918,-123.126951,219_FriAug7
#588067,49.248970,-123.101204,219_FriAug7
#55E8A3,49.276809,-123.112154,219_FriAug7
#A7D6C7,49.248970,-123.101204,219_FriAug7
#132A1A,49.254456,-123.080432,219_FriAug7
#B07498,49.283336,-123.109054,219_FriAug7
#09090A,49.248970,-123.101204,219_FriAug7
#F7F5F6,49.271856,-123.135008,219_FriAug7
#140E0A,49.248970,-123.101204,219_FriAug7
#0B5A24,49.218710,-123.102690,219_FriAug7
#211919,49.264291,-123.114976,219_FriAug7
#A47693,49.275929,-123.130192,219_FriAug7
#050304,49.250000,-123.100000,219_FriAug7
#907688,49.285999,-123.127571,219_FriAug7
#040504,49.275929,-123.130192,219_FriAug7
#0E0A0B,49.271856,-123.135008,219_FriAug7
#19181A,49.289202,-123.125741,219_FriAug7
#A19CA0,49.291454,-123.128304,219_FriAug7
#FAF8FC,49.279910,-123.110623,219_FriAug7
#121517,49.275929,-123.130192,219_FriAug7
#967998,49.275726,-123.120552,219_FriAug7
#010102,49.282673,-123.118187,219_FriAug7
#B2EFBB,49.300743,-123.130331,219_FriAug7
#040606,49.286412,-123.129946,219_FriAug7
#020101,49.282127,-123.133621,219_FriAug7
