color,lat,long,date
#91818D,49.263378,-123.114151,230_TueAug18
#EFF3F7,49.258572,-123.137995,230_TueAug18
#CCDAD6,49.250000,-123.100000,230_TueAug18
#140E0A,49.264240,-123.101410,230_TueAug18
#030101,49.280796,-123.117943,230_TueAug18
#FEFEFE,49.282556,-123.107694,230_TueAug18
#000000,49.225337,-123.083160,230_TueAug18
#060802,49.270351,-123.144737,230_TueAug18
#957383,49.264412,-123.069595,230_TueAug18
#E3DADD,49.238990,-123.129839,230_TueAug18
#561A2C,49.243100,-123.106300,230_TueAug18
#0D0912,49.280910,-123.119471,230_TueAug18
#4F5E56,49.271856,-123.135008,230_TueAug18
#AC1061,49.249535,-123.074326,230_TueAug18
#454334,49.286675,-123.143220,230_TueAug18
#0B0304,49.241222,-123.101677,230_TueAug18
#020202,49.284524,-123.093493,230_TueAug18
#040203,49.249290,-123.089996,230_TueAug18
#190A16,49.379556,-123.081803,230_TueAug18
#550207,49.278038,-123.109234,230_TueAug18
#070908,49.287123,-123.142566,230_TueAug18
#020101,49.287431,-123.112809,230_TueAug18
#565B5A,49.232037,-123.157140,230_TueAug18
#010101,49.280159,-123.122253,230_TueAug18
#170107,49.250000,-123.100000,230_TueAug18
#0F0308,49.283142,-123.103722,230_TueAug18
#020000,49.300743,-123.130331,230_TueAug18
#080701,49.250000,-123.100000,230_TueAug18
#0C0F10,49.294399,-123.136726,230_TueAug18
#040202,49.287431,-123.112809,230_TueAug18
#09100D,49.286675,-123.143220,230_TueAug18
#8F777A,49.279573,-123.138529,230_TueAug18
#AC8E9F,49.280704,-123.117167,230_TueAug18
#FDF8FB,49.263427,-123.136850,230_TueAug18
#010101,49.280159,-123.122253,230_TueAug18
#EBAEC5,49.289711,-123.116074,230_TueAug18
#010102,49.278604,-123.125696,230_TueAug18
#040704,49.274063,-123.154361,230_TueAug18
#050304,49.284538,-123.109901,230_TueAug18
#B4718E,49.281765,-123.107483,230_TueAug18
#C1ADB6,49.250000,-123.100000,230_TueAug18
#927484,49.274063,-123.154361,230_TueAug18
#E7EDE8,49.278038,-123.109234,230_TueAug18
#F1EFF3,49.287441,-123.141958,230_TueAug18
#F8F6F8,49.289711,-123.116074,230_TueAug18
#F9F0F4,49.232979,-123.077461,230_TueAug18
#030101,49.284439,-123.110268,230_TueAug18
#010101,49.250000,-123.100000,230_TueAug18
#020101,49.262972,-123.106345,230_TueAug18
#98768C,49.300000,-123.140000,230_TueAug18
#D394C1,49.242222,-123.115000,230_TueAug18
#C5B5C3,49.250000,-123.100000,230_TueAug18
#100E1B,49.270865,-123.151236,230_TueAug18
#F5F5F7,49.274391,-123.069328,230_TueAug18
#060704,49.263427,-123.136850,230_TueAug18
#695461,49.288128,-123.114868,230_TueAug18
#A88EAB,49.250000,-123.100000,230_TueAug18
#020101,49.276918,-123.126951,230_TueAug18
#5A545A,49.250000,-123.100000,230_TueAug18
#F6EEEF,49.273724,-123.069344,230_TueAug18
#040503,49.264759,-123.116791,230_TueAug18
#77846F,49.286228,-123.143023,230_TueAug18
#FAF8F9,49.279549,-123.122833,230_TueAug18
#5AD095,49.272697,-123.152794,230_TueAug18
#030F07,49.285099,-123.114316,230_TueAug18
#110914,49.255570,-123.091900,230_TueAug18
#FCFBFB,49.280509,-123.138430,230_TueAug18
#9B89A1,49.289459,-123.132942,230_TueAug18
#260618,49.255570,-123.091900,230_TueAug18
#010301,49.283859,-123.112185,230_TueAug18
#C7D2C5,67.900057,13.045354,230_TueAug18
#936D8F,49.289459,-123.132942,230_TueAug18
#17060C,49.259319,-123.069450,230_TueAug18
#080707,49.279549,-123.122833,230_TueAug18
#020401,49.290610,-123.137140,230_TueAug18
#FBF3F7,49.273724,-123.069344,230_TueAug18
#040101,49.283630,-123.106369,230_TueAug18
#140711,49.282728,-123.123536,230_TueAug18
#050605,49.282340,-123.108965,230_TueAug18
#0C0506,49.284313,-123.095337,230_TueAug18
#030102,49.292648,-123.128988,230_TueAug18
#7EDAC2,49.300000,-123.140000,230_TueAug18
#F0D6E7,49.243100,-123.106300,230_TueAug18
#EBEDEF,49.250000,-123.100000,230_TueAug18
#150D0D,49.250000,-123.100000,230_TueAug18
#F4F1F2,49.288128,-123.114868,230_TueAug18
#DEDDDE,49.283260,-123.109092,230_TueAug18
#010101,49.273722,-123.097917,230_TueAug18
#020201,49.256206,-123.101044,230_TueAug18
#060305,49.270865,-123.151236,230_TueAug18
#0C0607,49.262959,-123.115059,230_TueAug18
#A78B76,49.288435,-123.112562,230_TueAug18
#010101,49.304062,-123.156487,230_TueAug18
#FEFEFF,49.250000,-123.100000,230_TueAug18
#F7F6F8,49.278952,-123.123126,230_TueAug18
#010101,49.304062,-123.156487,230_TueAug18
#100809,49.272697,-123.152794,230_TueAug18
#88657A,49.286228,-123.143023,230_TueAug18
#10050E,49.242222,-123.115000,230_TueAug18
#030304,49.261501,-123.157282,230_TueAug18
#828F87,49.300743,-123.130331,230_TueAug18
#160108,49.278786,-123.115585,230_TueAug18
#0D140C,49.269400,-123.123800,230_TueAug18
#15090A,49.260911,-123.135112,230_TueAug18
#0D050A,49.280289,-123.106751,230_TueAug18
#0A0807,49.264061,-123.104498,230_TueAug18
#FBFCFC,49.289249,-123.122093,230_TueAug18
#1D9365,49.957525,-123.120213,230_TueAug18
#010101,49.250000,-123.100000,230_TueAug18
#010101,49.280159,-123.122253,230_TueAug18
