color,lat,long,date
#10080E,49.279551,-123.103416,236_MonAug24
#090506,49.288128,-123.114868,236_MonAug24
#070707,49.287290,-123.129217,236_MonAug24
#000400,49.282070,-123.102540,236_MonAug24
#780A18,49.270470,-123.135529,236_MonAug24
#EEF5F3,49.271856,-123.135008,236_MonAug24
#040503,49.288071,-123.130814,236_MonAug24
#F4F3F4,49.279573,-123.138529,236_MonAug24
#020302,49.249535,-123.074326,236_MonAug24
#C5CDC9,49.243100,-123.106300,236_MonAug24
#070304,49.268967,-123.102936,236_MonAug24
#6A8C95,49.279274,-123.132651,236_MonAug24
#619A7E,49.277854,-123.128335,236_MonAug24
#C2C6CD,49.282555,-123.093599,236_MonAug24
#8A6E7C,49.284915,-123.112606,236_MonAug24
#031602,49.300743,-123.130331,236_MonAug24
#020102,49.243100,-123.106300,236_MonAug24
#090F0A,49.288033,-123.114475,236_MonAug24
#180D0E,49.289711,-123.116074,236_MonAug24
#6FB584,49.288033,-123.114475,236_MonAug24
#010101,49.280720,-123.121391,236_MonAug24
#D8E4D6,49.280404,-123.121227,236_MonAug24
#0F0B0F,49.300000,-123.140000,236_MonAug24
#858987,49.271856,-123.135008,236_MonAug24
#010101,49.280720,-123.121391,236_MonAug24
#DDE7E0,49.268089,-123.074152,236_MonAug24
#091308,49.294408,-123.149493,236_MonAug24
#11060A,49.280491,-123.120567,236_MonAug24
#020201,49.280757,-123.080138,236_MonAug24
#1E1E1E,49.300743,-123.130331,236_MonAug24
#614D5C,49.274550,-123.121900,236_MonAug24
#070707,49.271856,-123.135008,236_MonAug24
#1A040D,49.283119,-123.103912,236_MonAug24
#858985,49.277778,-123.143333,236_MonAug24
#09170D,49.280509,-123.138430,236_MonAug24
#020702,49.267293,-123.103583,236_MonAug24
#010501,49.283180,-123.114578,236_MonAug24
#E249A6,49.288406,-123.139816,236_MonAug24
#956A6F,49.279541,-123.129646,236_MonAug24
#010000,49.280491,-123.120567,236_MonAug24
#0A0B06,49.266139,-123.157372,236_MonAug24
#020304,49.279551,-123.103416,236_MonAug24
#040504,49.250000,-123.100000,236_MonAug24
#928A8F,49.289711,-123.116074,236_MonAug24
#0A0202,49.280371,-123.129529,236_MonAug24
#020101,49.278809,-123.098930,236_MonAug24
#080601,49.264240,-123.101410,236_MonAug24
#1D0100,49.280491,-123.120567,236_MonAug24
#959490,49.250000,-123.100000,236_MonAug24
#1F0C11,49.281071,-123.112518,236_MonAug24
#EDEDED,49.280704,-123.117167,236_MonAug24
#FCFDFD,49.287441,-123.141958,236_MonAug24
#160E09,49.282855,-123.115228,236_MonAug24
#43252A,49.272697,-123.152794,236_MonAug24
#FAFDFD,49.293667,-123.129701,236_MonAug24
#202020,49.220674,-123.119521,236_MonAug24
#020202,49.284042,-123.107463,236_MonAug24
#040202,49.284029,-123.111848,236_MonAug24
#070402,49.289967,-123.132828,236_MonAug24
#E3DCD7,49.289711,-123.116074,236_MonAug24
#AD798F,49.293751,-123.149306,236_MonAug24
#B99FA3,49.272697,-123.152794,236_MonAug24
#730B13,49.280491,-123.120567,236_MonAug24
#070201,49.263191,-123.133499,236_MonAug24
#B7619B,49.281678,-123.133362,236_MonAug24
#0A0306,49.288390,-123.130570,236_MonAug24
#0C080A,49.280371,-123.129529,236_MonAug24
#030302,49.250000,-123.100000,236_MonAug24
#FBFBFB,49.289842,-123.114195,236_MonAug24
#020101,49.282041,-123.117473,236_MonAug24
#F0D2E3,49.290249,-123.133812,236_MonAug24
#F2F9F7,49.279085,-123.122717,236_MonAug24
#010401,49.250000,-123.100000,236_MonAug24
#050203,49.283333,-123.119217,236_MonAug24
#F1E7E9,49.289711,-123.116074,236_MonAug24
#0D0C0B,49.270690,-123.146600,236_MonAug24
#CDD4DA,49.284153,-123.097755,236_MonAug24
#847587,49.272697,-123.152794,236_MonAug24
#8A2210,49.281391,-123.107781,236_MonAug24
#856B7B,49.289351,-123.114345,236_MonAug24
#10080B,49.283428,-123.102821,236_MonAug24
#9E6674,49.268330,-123.149429,236_MonAug24
#120D0D,49.272451,-123.123960,236_MonAug24
#060401,49.287441,-123.141958,236_MonAug24
#F7F6F6,49.289923,-123.126048,236_MonAug24
#020101,49.284029,-123.111848,236_MonAug24
#020101,49.265766,-123.100643,236_MonAug24
#F3F4F3,49.279810,-123.121969,236_MonAug24
#9C8F8E,49.282041,-123.117473,236_MonAug24
#D0CECE,49.289711,-123.116074,236_MonAug24
#E0E7E5,49.254456,-123.080432,236_MonAug24
#ABD0B8,49.280404,-123.121227,236_MonAug24
#937C8D,49.285524,-123.118666,236_MonAug24
#F3EBF1,49.282593,-123.125427,236_MonAug24
#030202,49.263427,-123.136850,236_MonAug24
#907A8B,49.285524,-123.118666,236_MonAug24
#050103,49.282120,-123.109520,236_MonAug24
#040101,49.246155,-123.101036,236_MonAug24
#F6F0F4,49.286049,-123.121780,236_MonAug24
#D3D4D3,49.289711,-123.116074,236_MonAug24
#A5807C,49.250000,-123.100000,236_MonAug24
#C270A5,49.281097,-123.120304,236_MonAug24
#66CC8E,49.288128,-123.114868,236_MonAug24
#110605,49.286228,-123.143023,236_MonAug24
#815F73,49.272660,-123.147371,236_MonAug24
#CAAEB6,49.262778,-123.114444,236_MonAug24
#D6C6EF,49.272625,-123.135620,236_MonAug24
#5C5455,49.274256,-123.111744,236_MonAug24
#DDBED0,49.280509,-123.138430,236_MonAug24
#000100,45.516700,-73.650000,236_MonAug24
#130508,49.280529,-123.117470,236_MonAug24
#616B66,49.279573,-123.138529,236_MonAug24
#050201,49.221653,-123.093829,236_MonAug24
#FEFDFE,49.276944,-123.121505,236_MonAug24
#090508,49.280704,-123.117167,236_MonAug24
#0C020C,49.242222,-123.115000,236_MonAug24
#FBFBFB,49.288033,-123.114475,236_MonAug24
#050602,49.300000,-123.140000,236_MonAug24
#161211,49.286675,-123.143220,236_MonAug24
#978A9B,49.291307,-123.135193,236_MonAug24
#080808,49.279676,-123.073004,236_MonAug24
#060506,49.274063,-123.154361,236_MonAug24
#8E6983,49.250000,-123.100000,236_MonAug24
#0C0909,49.271856,-123.135008,236_MonAug24
#DB97D7,49.300000,-123.140000,236_MonAug24
#E8EAE7,49.282728,-123.123536,236_MonAug24
#C8D1CB,49.264469,-123.088422,236_MonAug24
#B96063,49.274445,-123.123054,236_MonAug24
#ABA2A6,49.250000,-123.100000,236_MonAug24
#0F1804,49.258373,-123.138557,236_MonAug24
#AA6D93,49.288128,-123.114868,236_MonAug24
#090808,49.300000,-123.140000,236_MonAug24
#10090B,49.259628,-123.101624,236_MonAug24
#130806,49.264834,-123.123416,236_MonAug24
#060604,49.280720,-123.121391,236_MonAug24
#030101,49.278809,-123.098930,236_MonAug24
#1C1719,49.281773,-123.116715,236_MonAug24
#10090B,49.259628,-123.101624,236_MonAug24
#976979,49.271856,-123.135008,236_MonAug24
#110A0C,49.259628,-123.101624,236_MonAug24
#040503,49.278618,-123.073347,236_MonAug24
#050204,49.258939,-123.100895,236_MonAug24
#130B0C,49.259628,-123.101624,236_MonAug24
#FCFAFB,49.270655,-123.106396,236_MonAug24
#10090A,49.259628,-123.101624,236_MonAug24
#8A5872,49.286675,-123.143220,236_MonAug24
#D798D4,49.288859,-123.109865,236_MonAug24
#1F2211,49.284042,-123.107463,236_MonAug24
#0C091B,49.288639,-123.142418,236_MonAug24
#0F070A,49.259628,-123.101624,236_MonAug24
#040200,49.281944,-123.121944,236_MonAug24
#11090A,49.259628,-123.101624,236_MonAug24
#19040B,49.280704,-123.117167,236_MonAug24
#FBF8FA,49.300743,-123.130331,236_MonAug24
#F9F9F8,49.280796,-123.117943,236_MonAug24
#070806,49.266222,-123.139545,236_MonAug24
#0D060D,49.294408,-123.149493,236_MonAug24
#050304,49.279519,-123.115608,236_MonAug24
#5C9F7E,49.250000,-123.100000,236_MonAug24
#F3E5EC,49.289967,-123.132828,236_MonAug24
#040402,49.279617,-123.101364,236_MonAug24
#0C0806,49.284962,-123.124396,236_MonAug24
#090A0A,49.300000,-123.140000,236_MonAug24
#010101,49.279147,-123.122802,236_MonAug24
#214234,49.251219,-123.136169,236_MonAug24
#000101,49.288128,-123.114868,236_MonAug24
#060701,49.263755,-123.179704,236_MonAug24
#6E5D67,49.286675,-123.143220,236_MonAug24
#0F1212,49.271856,-123.135008,236_MonAug24
#B27F99,49.271856,-123.135008,236_MonAug24
#050604,49.263531,-123.154121,236_MonAug24
#030201,49.270690,-123.146600,236_MonAug24
#121017,49.250000,-123.100000,236_MonAug24
#010201,49.242222,-123.115000,236_MonAug24
#67535B,49.271856,-123.135008,236_MonAug24
#010802,49.283745,-123.109200,236_MonAug24
#F8F0F7,49.287441,-123.141958,236_MonAug24
#A2496D,49.272697,-123.152794,236_MonAug24
#060203,49.272511,-123.077927,236_MonAug24
#040402,49.283623,-123.103828,236_MonAug24
#050606,49.250000,-123.100000,236_MonAug24
#1F1011,49.266222,-123.139545,236_MonAug24
#BB82A2,49.290365,-123.133573,236_MonAug24
#C4779E,49.282663,-123.124930,236_MonAug24
#BCB6BD,49.280552,-123.101929,236_MonAug24
#030202,49.257185,-123.090494,236_MonAug24
#050503,49.280371,-123.129529,236_MonAug24
#81081E,49.273114,-123.100348,236_MonAug24
#FEFEFE,49.279869,-123.121490,236_MonAug24
#030202,49.279836,-123.109821,236_MonAug24
#0B0610,49.270865,-123.151236,236_MonAug24
#120609,49.283185,-123.107820,236_MonAug24
#1A1216,49.285833,-123.111667,236_MonAug24
#F0E5ED,49.281921,-123.069969,236_MonAug24
#020202,49.250000,-123.100000,236_MonAug24
#060202,49.292099,-123.134781,236_MonAug24
#010201,49.300743,-123.130331,236_MonAug24
#4D4E4C,49.289923,-123.126048,236_MonAug24
#010001,49.242222,-123.115000,236_MonAug24
#060501,49.276318,-123.119667,236_MonAug24
#050505,49.250000,-123.100000,236_MonAug24
#0B120E,49.250000,-123.100000,236_MonAug24
#D10104,49.250000,-123.100000,236_MonAug24
#060603,49.300000,-123.140000,236_MonAug24
#617B74,49.250000,-123.100000,236_MonAug24
#FBFAFB,49.270865,-123.151236,236_MonAug24
#B7A5B1,49.284572,-123.124657,236_MonAug24
#8E7B97,49.250000,-123.100000,236_MonAug24
#0E0709,49.250000,-123.100000,236_MonAug24
#1A0E0F,49.270865,-123.151236,236_MonAug24
#0B081A,49.270865,-123.151236,236_MonAug24
#040102,49.300000,-123.140000,236_MonAug24
#D2C4C9,49.263755,-123.179704,236_MonAug24
#050605,49.280796,-123.117943,236_MonAug24
#060604,49.270833,-123.106667,236_MonAug24
#16160B,49.279461,-123.122124,236_MonAug24
#DCFBF9,49.250000,-123.100000,236_MonAug24
#01160A,49.292648,-123.128988,236_MonAug24
#FDFCFD,49.272551,-123.133049,236_MonAug24
#966D7C,49.287168,-123.142805,236_MonAug24
#EFF0F0,49.250000,-123.100000,236_MonAug24
#040403,49.280404,-123.121227,236_MonAug24
#559E6F,49.288033,-123.114475,236_MonAug24
#020302,49.250000,-123.100000,236_MonAug24
#030303,49.288033,-123.114475,236_MonAug24
#070402,49.250000,-123.100000,236_MonAug24
#030403,49.282020,-123.118750,236_MonAug24
#000000,49.280371,-123.129529,236_MonAug24
#020202,49.300743,-123.130331,236_MonAug24
#070304,49.233762,-123.083794,236_MonAug24
#100E0D,49.242222,-123.115000,236_MonAug24
#020202,49.288128,-123.114868,236_MonAug24
#010101,49.288311,-123.116730,236_MonAug24
#070605,49.283691,-123.106049,236_MonAug24
#068B13,49.250000,-123.100000,236_MonAug24
#FCF8F9,49.250000,-123.100000,236_MonAug24
#FBF9FA,49.288026,-123.113001,236_MonAug24
#026519,49.250000,-123.100000,236_MonAug24
#8B6C7F,49.281773,-123.116715,236_MonAug24
#080506,49.281895,-123.107414,236_MonAug24
#EEEDEA,49.277254,-123.117247,236_MonAug24
#689088,49.250000,-123.100000,236_MonAug24
#EEE7EB,49.277254,-123.117247,236_MonAug24
#5BA06E,49.300000,-123.140000,236_MonAug24
#14020B,49.281982,-123.122955,236_MonAug24
#020202,49.280414,-123.126281,236_MonAug24
#010601,49.250000,-123.100000,236_MonAug24
#070707,49.280414,-123.126281,236_MonAug24
#10192D,49.278339,-123.125778,236_MonAug24
#030102,49.284766,-123.124576,236_MonAug24
#030202,49.264076,-123.138771,236_MonAug24
#010202,49.278038,-123.109234,236_MonAug24
#030403,49.275404,-123.109266,236_MonAug24
#977890,49.278526,-123.124397,236_MonAug24
#551423,49.275527,-123.120823,236_MonAug24
#040404,49.272551,-123.133049,236_MonAug24
#040504,49.291466,-123.127777,236_MonAug24
#68BEAA,49.273071,-123.157333,236_MonAug24
#0A050A,49.272005,-123.114896,236_MonAug24
#090507,49.282913,-123.106989,236_MonAug24
#F8EFF5,49.279187,-123.138885,236_MonAug24
#0C0F0A,49.287290,-123.129217,236_MonAug24
#D7E5DA,49.242222,-123.115000,236_MonAug24
#040205,49.257313,-123.136675,236_MonAug24
