color,lat,long,date
#D7EDE0,49.288128,-123.114868,238_WedAug26
#040303,49.269400,-123.123800,238_WedAug26
#040305,49.284572,-123.124657,238_WedAug26
#7FB996,49.263693,-123.101289,238_WedAug26
#0C0803,49.281097,-123.120304,238_WedAug26
#020101,49.285294,-123.111887,238_WedAug26
#14150F,49.294900,-123.150161,238_WedAug26
#020302,49.300000,-123.140000,238_WedAug26
#71716B,49.288128,-123.114868,238_WedAug26
#030303,49.285106,-123.102149,238_WedAug26
#F1F0F1,49.283825,-123.134298,238_WedAug26
#000101,49.286675,-123.143220,238_WedAug26
#090504,49.236300,-123.135900,238_WedAug26
#050203,49.283180,-123.114578,238_WedAug26
#120F0D,49.288128,-123.114868,238_WedAug26
#585253,49.263374,-123.116089,238_WedAug26
#BF76A5,49.300000,-123.140000,238_WedAug26
#0A130B,49.289711,-123.116074,238_WedAug26
#B3A4AE,49.282834,-123.120458,238_WedAug26
#110307,49.291080,-123.136322,238_WedAug26
#E6C6D8,49.288128,-123.114868,238_WedAug26
#FCF7F9,49.284861,-123.122912,238_WedAug26
#040B05,49.283083,-123.110442,238_WedAug26
#060401,49.284599,-123.108887,238_WedAug26
#221A1F,49.275961,-123.128805,238_WedAug26
#0A0F0B,49.284720,-123.074485,238_WedAug26
#140D18,49.280796,-123.117943,238_WedAug26
#FBF8FB,49.282039,-123.099933,238_WedAug26
#020202,49.288128,-123.114868,238_WedAug26
#1C181B,49.288033,-123.114475,238_WedAug26
#010001,49.284599,-123.108887,238_WedAug26
#0E070B,49.266733,-123.070587,238_WedAug26
#E3C6CA,49.274892,-123.124261,238_WedAug26
#040404,49.243100,-123.106300,238_WedAug26
#070B08,49.288128,-123.114868,238_WedAug26
#191115,49.284042,-123.107463,238_WedAug26
#79A18F,49.288128,-123.114868,238_WedAug26
#7C656C,49.286468,-122.780609,238_WedAug26
#010801,49.288128,-123.114868,238_WedAug26
#100305,49.266361,-123.138596,238_WedAug26
#ABCAB7,49.288128,-123.114868,238_WedAug26
#020302,49.272625,-123.135620,238_WedAug26
#CDC7CC,49.288128,-123.114868,238_WedAug26
#091711,49.272697,-123.152794,238_WedAug26
#040504,49.281097,-123.120304,238_WedAug26
#7FBB99,49.288128,-123.114868,238_WedAug26
#EFECEC,49.288128,-123.114868,238_WedAug26
#040203,49.288128,-123.114868,238_WedAug26
#AE969B,49.272697,-123.152794,238_WedAug26
#06030A,49.300000,-123.140000,238_WedAug26
#920501,49.277297,-123.114493,238_WedAug26
#0C130C,49.286910,-123.116510,238_WedAug26
#14110C,49.250000,-123.100000,238_WedAug26
#140F10,49.280796,-123.117943,238_WedAug26
#010000,49.282556,-123.107694,238_WedAug26
#0A0506,49.262500,-123.068889,238_WedAug26
#DEE2E0,49.243100,-123.106300,238_WedAug26
#020601,49.288128,-123.114868,238_WedAug26
#060305,49.276734,-123.124521,238_WedAug26
#17070D,49.288128,-123.114868,238_WedAug26
#E79EC3,49.277778,-123.143333,238_WedAug26
#030304,49.280796,-123.117943,238_WedAug26
#0A0103,49.254349,-123.114761,238_WedAug26
#030304,49.280796,-123.117943,238_WedAug26
#1A0405,49.288128,-123.114868,238_WedAug26
#011201,49.273353,-123.103411,238_WedAug26
#555C53,49.288128,-123.114868,238_WedAug26
#040304,49.304062,-123.156487,238_WedAug26
#191818,49.271856,-123.135008,238_WedAug26
#FBF9FB,49.294900,-123.150161,238_WedAug26
#E8EEEC,49.250000,-123.100000,238_WedAug26
#5A5550,49.277400,-123.102766,238_WedAug26
#F5F7F2,49.288128,-123.114868,238_WedAug26
#0C0406,49.288128,-123.114868,238_WedAug26
#180B10,49.285063,-123.120397,238_WedAug26
#0D150D,49.288128,-123.114868,238_WedAug26
#020502,49.286228,-123.143023,238_WedAug26
#060906,49.288128,-123.114868,238_WedAug26
#D3E5DB,49.283079,-123.117487,238_WedAug26
#F1EBEC,49.288128,-123.114868,238_WedAug26
#020402,49.267786,-123.145078,238_WedAug26
#010401,49.289711,-123.116074,238_WedAug26
#770B07,49.272625,-123.135620,238_WedAug26
#030202,49.284752,-123.114418,238_WedAug26
#030101,49.288128,-123.114868,238_WedAug26
#A68999,49.288311,-123.116730,238_WedAug26
#0B0D08,49.288128,-123.114868,238_WedAug26
#08060F,49.242222,-123.115000,238_WedAug26
#842853,49.282728,-123.123536,238_WedAug26
#C6C2C3,49.288128,-123.114868,238_WedAug26
#040302,49.288128,-123.114868,238_WedAug26
#010101,49.294809,-123.149419,238_WedAug26
#81A497,49.288128,-123.114868,238_WedAug26
#110A0D,49.288128,-123.114868,238_WedAug26
#11110B,49.288128,-123.114868,238_WedAug26
#050102,49.284759,-123.122697,238_WedAug26
#130D06,49.288128,-123.114868,238_WedAug26
#A08096,49.288128,-123.114868,238_WedAug26
#1D010D,49.279549,-123.122833,238_WedAug26
#9CC9AB,49.288128,-123.114868,238_WedAug26
#1E020B,49.300000,-123.140000,238_WedAug26
#201D17,49.288026,-123.113001,238_WedAug26
#020202,49.287123,-123.142566,238_WedAug26
#FEFDFE,49.280720,-123.121391,238_WedAug26
#030504,49.288128,-123.114868,238_WedAug26
#4B6515,49.284042,-123.107463,238_WedAug26
