color,lat,long,date
#080605,49.283508,-123.105095,241_SatAug29
#D4DAD6,49.287431,-123.112809,241_SatAug29
#030303,49.250000,-123.100000,241_SatAug29
#FCFBFB,49.276171,-123.144431,241_SatAug29
#137309,49.286675,-123.143220,241_SatAug29
#D5DCD8,49.288907,-123.129061,241_SatAug29
#030303,49.281982,-123.116661,241_SatAug29
#1C040C,49.278912,-123.122932,241_SatAug29
#1E0B08,49.293240,-123.140152,241_SatAug29
#1E060D,49.250000,-123.100000,241_SatAug29
#040102,49.285524,-123.118666,241_SatAug29
#050501,49.278397,-123.099243,241_SatAug29
#F6F2F4,49.268456,-123.069511,241_SatAug29
#0D1D0E,49.281195,-123.135387,241_SatAug29
#0A0C03,49.279573,-123.138529,241_SatAug29
#010101,49.286675,-123.143220,241_SatAug29
#85251C,49.293240,-123.140152,241_SatAug29
#A2889C,49.269527,-123.095039,241_SatAug29
#020203,49.249167,-123.115833,241_SatAug29
#040403,49.282673,-123.118187,241_SatAug29
#DBD2E7,49.288435,-123.112562,241_SatAug29
#140810,49.251219,-123.136169,241_SatAug29
#140806,49.285524,-123.118666,241_SatAug29
#020202,49.284661,-123.112716,241_SatAug29
#760D15,49.280371,-123.129529,241_SatAug29
#D28B9A,49.288033,-123.114475,241_SatAug29
#A67281,49.285833,-123.111667,241_SatAug29
#010301,49.293240,-123.140152,241_SatAug29
#B9C5BE,49.289923,-123.126048,241_SatAug29
#010101,49.282834,-123.120458,241_SatAug29
#020202,49.282009,-123.105713,241_SatAug29
#818786,49.278905,-123.233868,241_SatAug29
#242121,49.287941,-123.113132,241_SatAug29
#020202,49.284439,-123.110268,241_SatAug29
#816B71,49.291870,-123.134582,241_SatAug29
#040201,49.280659,-123.100861,241_SatAug29
#B6E9D3,49.288033,-123.114475,241_SatAug29
#0E0607,49.256138,-123.101051,241_SatAug29
#030101,49.288830,-123.117691,241_SatAug29
#030101,49.249427,-123.101099,241_SatAug29
#DFC4D1,49.283142,-123.103722,241_SatAug29
#030201,49.302448,-123.144623,241_SatAug29
#120711,49.250000,-123.100000,241_SatAug29
#140C18,49.272625,-123.135620,241_SatAug29
#090909,49.280404,-123.121227,241_SatAug29
#A2697E,49.246710,-123.100830,241_SatAug29
#0B0F0B,49.280509,-123.138430,241_SatAug29
#010201,49.283691,-123.103455,241_SatAug29
#1D0A0A,49.293240,-123.140152,241_SatAug29
#1F020C,49.291080,-123.136429,241_SatAug29
#0A060C,49.274020,-123.126317,241_SatAug29
#0C0909,49.285192,-123.111250,241_SatAug29
#050303,49.300000,-123.140000,241_SatAug29
#1C0708,49.288746,-123.131500,241_SatAug29
#19030D,49.291080,-123.136429,241_SatAug29
#F5E8F0,49.250000,-123.100000,241_SatAug29
#030202,49.275814,-123.099678,241_SatAug29
#010101,49.273114,-123.100348,241_SatAug29
#170809,49.283440,-123.118910,241_SatAug29
#010401,49.288128,-123.114868,241_SatAug29
#010201,49.279270,-123.129776,241_SatAug29
#0A0406,49.277805,-123.099243,241_SatAug29
#100204,49.283093,-123.106964,241_SatAug29
#FEFEFE,49.250000,-123.100000,241_SatAug29
#040102,49.283966,-123.108908,241_SatAug29
#906F8D,49.274020,-123.126317,241_SatAug29
#050605,49.289711,-123.116074,241_SatAug29
#030102,49.250000,-123.100000,241_SatAug29
#130A0D,49.282834,-123.120458,241_SatAug29
#040302,49.283518,-123.111184,241_SatAug29
#030202,49.275814,-123.099678,241_SatAug29
#130611,49.300000,-123.140000,241_SatAug29
#090909,49.298828,-123.133521,241_SatAug29
#73485E,49.263351,-123.125471,241_SatAug29
