color,lat,long,date
#030303,49.289711,-123.116074,246_ThuSep3
#869884,49.293286,-123.139987,246_ThuSep3
#020402,49.277227,-123.106409,246_ThuSep3
#0B0304,49.270470,-123.135529,246_ThuSep3
#030101,49.261700,-123.100617,246_ThuSep3
#181010,49.274063,-123.154361,246_ThuSep3
#08180D,49.274063,-123.154361,246_ThuSep3
#0D0F07,49.288128,-123.114868,246_ThuSep3
#030603,49.289711,-123.116074,246_ThuSep3
#C7EFE3,49.274063,-123.154361,246_ThuSep3
#020202,49.281097,-123.120304,246_ThuSep3
#11080B,49.287431,-123.112809,246_ThuSep3
#13090A,49.268967,-123.102936,246_ThuSep3
#200606,49.274311,-123.123123,246_ThuSep3
#020102,49.286228,-123.143023,246_ThuSep3
#CD9FB4,49.286675,-123.143220,246_ThuSep3
#FEFCFE,49.271798,-123.134801,246_ThuSep3
#030101,49.258835,-123.100922,246_ThuSep3
#011106,49.285079,-123.113636,246_ThuSep3
#030102,49.270690,-123.146600,246_ThuSep3
#CBD9DC,49.282124,-123.120682,246_ThuSep3
#1C1E1C,49.287029,-123.115623,246_ThuSep3
#020101,49.261700,-123.100617,246_ThuSep3
#010101,49.271856,-123.135008,246_ThuSep3
#020202,49.280704,-123.117167,246_ThuSep3
#130907,49.279669,-123.122709,246_ThuSep3
#09110D,49.300000,-123.140000,246_ThuSep3
#D66FA3,49.285160,-123.126297,246_ThuSep3
#180C06,49.260006,-123.138896,246_ThuSep3
#9C515B,49.231608,-123.076635,246_ThuSep3
#040404,49.271411,-123.105777,246_ThuSep3
#010303,49.284661,-123.112716,246_ThuSep3
#020503,49.300743,-123.130331,246_ThuSep3
#F3FCFC,49.274063,-123.154361,246_ThuSep3
#18101A,49.250000,-123.100000,246_ThuSep3
#010000,49.283352,-123.122070,246_ThuSep3
#FCFBFB,49.250000,-123.100000,246_ThuSep3
#A5768D,49.250000,-123.100000,246_ThuSep3
#501A26,49.269527,-123.095039,246_ThuSep3
#16CC6C,49.250000,-123.100000,246_ThuSep3
#020201,49.283691,-123.106049,246_ThuSep3
#6F6D6A,49.270460,-123.100585,246_ThuSep3
#F0E4F0,49.258366,-123.097796,246_ThuSep3
#020101,49.279573,-123.138529,246_ThuSep3
#B3BDB7,49.290437,-123.121587,246_ThuSep3
#010000,49.282124,-123.120682,246_ThuSep3
#F8F6F8,49.284599,-123.108887,246_ThuSep3
#4B1727,49.286537,-123.134079,246_ThuSep3
#010201,49.278038,-123.109234,246_ThuSep3
#020204,49.285000,-123.134000,246_ThuSep3
#B4DDCE,49.281234,-123.091293,246_ThuSep3
#010000,49.280159,-123.122253,246_ThuSep3
#A64A6F,49.266529,-123.139580,246_ThuSep3
#A9B8AC,49.288128,-123.114868,246_ThuSep3
#130207,49.279573,-123.138529,246_ThuSep3
#10040A,49.267799,-123.148819,246_ThuSep3
#FCFCFC,49.289187,-123.114270,246_ThuSep3
#090909,49.283691,-123.106049,246_ThuSep3
#000000,49.280159,-123.122253,246_ThuSep3
#120B0B,49.274712,-123.069939,246_ThuSep3
#896372,49.282728,-123.123536,246_ThuSep3
#030200,49.262001,-123.070488,246_ThuSep3
#020501,49.284042,-123.107463,246_ThuSep3
#8B5F82,49.280294,-123.125283,246_ThuSep3
#120910,49.269400,-123.123800,246_ThuSep3
#010302,49.281271,-123.098454,246_ThuSep3
#1E050B,49.284222,-123.100403,246_ThuSep3
#DBD5D9,49.287290,-123.129217,246_ThuSep3
#FDFDFD,49.282581,-123.105370,246_ThuSep3
#536256,49.300000,-123.140000,246_ThuSep3
#BA7266,49.291566,-123.135276,246_ThuSep3
#041101,49.286537,-123.134079,246_ThuSep3
#0F0B0C,49.283923,-123.123627,246_ThuSep3
#0E0913,49.280371,-123.129529,246_ThuSep3
#121212,49.232037,-123.157140,246_ThuSep3
#141219,49.282124,-123.120682,246_ThuSep3
#020302,49.300000,-123.140000,246_ThuSep3
#060701,49.281271,-123.098454,246_ThuSep3
#D89AD6,49.260390,-123.113360,246_ThuSep3
#080202,49.280704,-123.117167,246_ThuSep3
#050605,49.283333,-123.119217,246_ThuSep3
#010001,49.288033,-123.114475,246_ThuSep3
#491828,49.280704,-123.117167,246_ThuSep3
#090607,49.281271,-123.098454,246_ThuSep3
#7B2849,49.266529,-123.139580,246_ThuSep3
#000000,49.250000,-123.100000,246_ThuSep3
#040302,49.281271,-123.098454,246_ThuSep3
#1A1F1D,49.250000,-123.100000,246_ThuSep3
#030202,49.250000,-123.100000,246_ThuSep3
#9E8294,49.250000,-123.100000,246_ThuSep3
#040D05,49.286675,-123.143220,246_ThuSep3
#BBD0BB,49.285063,-123.120397,246_ThuSep3
#7B0813,49.250000,-123.100000,246_ThuSep3
#D1CBCA,49.283691,-123.103455,246_ThuSep3
#313D3F,49.300743,-123.130331,246_ThuSep3
#020102,49.300000,-123.140000,246_ThuSep3
#0B0808,49.250000,-123.100000,246_ThuSep3
#020202,49.233056,-123.116667,246_ThuSep3
#030303,49.242222,-123.115000,246_ThuSep3
#0E0807,49.287431,-123.112809,246_ThuSep3
#C1084F,49.281874,-123.124205,246_ThuSep3
#1B070E,49.250000,-123.100000,246_ThuSep3
#050304,49.280704,-123.117167,246_ThuSep3
#A8A4AF,49.300000,-123.140000,246_ThuSep3
#020202,49.231569,-123.087383,246_ThuSep3
#D886A9,49.282124,-123.120682,246_ThuSep3
#040305,49.300000,-123.140000,246_ThuSep3
#010000,49.272697,-123.152794,246_ThuSep3
#A40787,49.250000,-123.100000,246_ThuSep3
#0F0B0D,49.289711,-123.116074,246_ThuSep3
#5E5E5D,49.277227,-123.106409,246_ThuSep3
#FBF7F9,49.250000,-123.100000,246_ThuSep3
#020302,49.282124,-123.120682,246_ThuSep3
#170B15,49.272312,-123.128288,246_ThuSep3
#A8D5BD,49.288128,-123.114868,246_ThuSep3
#626056,49.289711,-123.116074,246_ThuSep3
#040402,49.280159,-123.122253,246_ThuSep3
#040103,49.277227,-123.106409,246_ThuSep3
#4B4F50,49.288128,-123.114868,246_ThuSep3
#1A1A1A,49.282120,-123.109520,246_ThuSep3
#040000,49.268150,-123.085602,246_ThuSep3
#F9F3F5,49.280167,-123.106000,246_ThuSep3
#020303,49.278038,-123.109234,246_ThuSep3
#100C0E,49.285856,-123.127205,246_ThuSep3
#F0F2F4,49.280509,-123.138430,246_ThuSep3
#75A580,49.250000,-123.100000,246_ThuSep3
#E5DFE4,49.282834,-123.120458,246_ThuSep3
#140912,49.266510,-123.069351,246_ThuSep3
#1C0B0F,49.279934,-123.108154,246_ThuSep3
#080807,49.280590,-123.120940,246_ThuSep3
#010101,49.268150,-123.085602,246_ThuSep3
#F4E9ED,49.250000,-123.100000,246_ThuSep3
#3FFD05,49.268150,-123.085602,246_ThuSep3
#B0B5AB,49.250000,-123.100000,246_ThuSep3
#030103,49.278160,-123.114601,246_ThuSep3
#040204,49.267879,-123.153412,246_ThuSep3
#1EB356,49.280371,-123.129529,246_ThuSep3
#CFACC2,49.253211,-123.101105,246_ThuSep3
#0A8525,49.280371,-123.129529,246_ThuSep3
#0B0F0F,49.287431,-123.112809,246_ThuSep3
#020302,49.282959,-123.115181,246_ThuSep3
#E6ABEA,49.274737,-123.116252,246_ThuSep3
#0C0615,49.270865,-123.151236,246_ThuSep3
#010101,49.300000,-123.140000,246_ThuSep3
#D6CAD6,49.282834,-123.120458,246_ThuSep3
#E7ECE8,49.284572,-123.124657,246_ThuSep3
#A87E8B,49.280552,-123.101929,246_ThuSep3
#13030C,49.278529,-123.098299,246_ThuSep3
