color,lat,long,date
#8A9BA0,49.234852,-123.156418,247_FriSep4
#FCF5FA,49.285192,-123.111250,247_FriSep4
#1D040B,49.280404,-123.121227,247_FriSep4
#050605,49.284080,-123.115060,247_FriSep4
#010101,49.281944,-123.121944,247_FriSep4
#1B0A09,49.282661,-123.104080,247_FriSep4
#030102,49.263660,-123.124649,247_FriSep4
#020F01,49.280491,-123.120567,247_FriSep4
#EDE2E6,49.279519,-123.115608,247_FriSep4
#181219,49.283859,-123.112185,247_FriSep4
#130B1D,49.279827,-123.116577,247_FriSep4
#130104,49.241027,-123.056643,247_FriSep4
#516951,49.277290,-123.148804,247_FriSep4
#020201,49.262348,-123.101410,247_FriSep4
#010101,49.280796,-123.117943,247_FriSep4
#190908,49.266222,-123.139545,247_FriSep4
#100909,49.285856,-123.127205,247_FriSep4
#010601,49.293667,-123.129701,247_FriSep4
#030102,49.282834,-123.120458,247_FriSep4
#060202,49.257355,-123.090080,247_FriSep4
#010101,49.280491,-123.120567,247_FriSep4
#010101,49.270460,-123.100585,247_FriSep4
#010100,49.280491,-123.120567,247_FriSep4
#840B12,49.278553,-123.115768,247_FriSep4
#0A070A,49.300000,-123.140000,247_FriSep4
#666061,49.270031,-123.144997,247_FriSep4
#020602,49.279810,-123.121969,247_FriSep4
#835A66,49.263573,-123.128449,247_FriSep4
#030303,49.226258,-123.115839,247_FriSep4
#84747E,49.250000,-123.100000,247_FriSep4
#0F0807,49.281593,-123.116981,247_FriSep4
#0F1507,49.226696,-123.128700,247_FriSep4
#050604,49.287842,-123.116341,247_FriSep4
#9AA39D,49.288128,-123.114868,247_FriSep4
#0A020B,49.281380,-123.085930,247_FriSep4
#020403,49.299592,-123.133758,247_FriSep4
#010101,49.263125,-123.109800,247_FriSep4
#ECEDED,49.300000,-123.140000,247_FriSep4
#896D7A,49.280704,-123.117167,247_FriSep4
#02DA01,49.280491,-123.120567,247_FriSep4
#040502,49.263957,-123.114953,247_FriSep4
#ECEDED,49.271856,-123.135008,247_FriSep4
#62565A,49.280704,-123.117167,247_FriSep4
#BDBFCC,49.284144,-123.116219,247_FriSep4
#7F5F78,49.245834,-123.090012,247_FriSep4
#020301,49.280491,-123.120567,247_FriSep4
#030001,49.280491,-123.120567,247_FriSep4
#EAEDEB,49.289825,-123.116800,247_FriSep4
#C6B5B9,49.264019,-123.105309,247_FriSep4
#94797F,49.250000,-123.100000,247_FriSep4
#050605,49.284080,-123.115060,247_FriSep4
#8E0304,49.276171,-123.144431,247_FriSep4
#030304,49.274295,-123.093706,247_FriSep4
#1D1518,49.300000,-123.140000,247_FriSep4
#101714,49.271856,-123.135008,247_FriSep4
#DE72B2,21.337816,-157.697919,247_FriSep4
#D9F2EF,49.250000,-123.100000,247_FriSep4
#020102,49.300000,-123.140000,247_FriSep4
#050302,49.279461,-123.122124,247_FriSep4
#8B6F7F,49.279252,-123.109565,247_FriSep4
#5E5A5D,49.267151,-123.069663,247_FriSep4
#700A18,49.246487,-123.101028,247_FriSep4
#030202,49.271856,-123.135008,247_FriSep4
#DED6DA,49.285789,-123.123780,247_FriSep4
#030402,49.250000,-123.100000,247_FriSep4
#0E0C0F,49.250000,-123.100000,247_FriSep4
#010101,49.258766,-123.117434,247_FriSep4
#030303,49.271856,-123.135008,247_FriSep4
#030101,49.290365,-123.133573,247_FriSep4
#050405,49.257629,-123.100838,247_FriSep4
#EBF1EE,49.302448,-123.144623,247_FriSep4
#070304,49.276520,-123.100632,247_FriSep4
#6D5565,49.281765,-123.107483,247_FriSep4
#AE8299,49.272451,-123.123960,247_FriSep4
#010100,49.280491,-123.120567,247_FriSep4
#030202,49.266788,-123.098221,247_FriSep4
#08100A,49.271856,-123.135008,247_FriSep4
#060503,49.284222,-123.100403,247_FriSep4
#B09FA0,49.250000,-123.100000,247_FriSep4
#030203,49.273338,-123.119461,247_FriSep4
#09110A,49.288128,-123.114868,247_FriSep4
#020303,49.278604,-123.125696,247_FriSep4
#645D63,49.278080,-123.122276,247_FriSep4
#28161F,49.268305,-123.153119,247_FriSep4
#050503,49.286556,-123.142616,247_FriSep4
#090708,49.242222,-123.115000,247_FriSep4
#140203,49.254456,-123.080432,247_FriSep4
#000000,49.280491,-123.120567,247_FriSep4
#982815,49.282620,-123.116921,247_FriSep4
#BEABBB,49.281548,-123.123627,247_FriSep4
#194622,49.286675,-123.143220,247_FriSep4
#0F0A09,49.287431,-123.112809,247_FriSep4
#030202,49.285253,-123.119877,247_FriSep4
#F9FDFB,49.292648,-123.128988,247_FriSep4
#000000,49.280491,-123.120567,247_FriSep4
#020404,49.300743,-123.130331,247_FriSep4
#0E1209,49.276171,-123.144431,247_FriSep4
#050301,49.281548,-123.123627,247_FriSep4
#261D21,49.279309,-123.102247,247_FriSep4
#080F02,49.280491,-123.120567,247_FriSep4
#011201,49.279549,-123.122833,247_FriSep4
#73AE8D,49.283642,-123.106773,247_FriSep4
#140F13,49.286228,-123.143023,247_FriSep4
#020202,49.287290,-123.129217,247_FriSep4
#A6899E,49.287894,-123.120479,247_FriSep4
#011B01,49.280491,-123.120567,247_FriSep4
#D2B5B6,49.300743,-123.130331,247_FriSep4
#191211,49.283613,-123.116880,247_FriSep4
#FCFCFC,49.280781,-123.132072,247_FriSep4
#060303,49.283691,-123.106049,247_FriSep4
#030401,49.250000,-123.100000,247_FriSep4
#050204,49.275814,-123.099678,247_FriSep4
#AD8999,49.286675,-123.143220,247_FriSep4
#AD8598,49.285192,-123.111250,247_FriSep4
#046B02,49.280491,-123.120567,247_FriSep4
#060506,49.289711,-123.116074,247_FriSep4
#010401,49.280804,-123.107742,247_FriSep4
