color,lat,long,date
#839888,49.272697,-123.152794,250_MonSep7
#130107,49.269031,-123.131782,250_MonSep7
#140609,49.276836,-123.125878,250_MonSep7
#040101,49.272850,-123.069778,250_MonSep7
#030102,49.282834,-123.120458,250_MonSep7
#020202,49.288383,-123.112904,250_MonSep7
#0C0C09,49.277069,-123.081642,250_MonSep7
#1D0910,49.291859,-123.135139,250_MonSep7
#141712,49.287290,-123.129217,250_MonSep7
#030101,49.284599,-123.108887,250_MonSep7
#8C9B96,49.300000,-123.140000,250_MonSep7
#181F1D,49.284661,-123.112716,250_MonSep7
#030202,49.282959,-123.115181,250_MonSep7
#050504,49.270840,-123.112675,250_MonSep7
#050304,49.286095,-123.126602,250_MonSep7
#DAD6DA,49.273055,-123.155155,250_MonSep7
#1B1822,49.279677,-123.119916,250_MonSep7
#050203,49.275713,-123.121739,250_MonSep7
#F6EDF4,49.285739,-123.123934,250_MonSep7
#080706,49.276894,-123.119896,250_MonSep7
#030304,49.323330,-123.120830,250_MonSep7
#779C8C,49.269400,-123.123800,250_MonSep7
#020401,49.272295,-123.133899,250_MonSep7
#050406,60.268520,-134.750676,250_MonSep7
#EAEFEA,49.304062,-123.156487,250_MonSep7
#0C060A,49.277069,-123.081642,250_MonSep7
#1C1013,49.284042,-123.107463,250_MonSep7
#030102,49.285524,-123.118666,250_MonSep7
#060105,49.288304,-123.141446,250_MonSep7
#030101,49.272350,-123.155327,250_MonSep7
#140A08,49.279270,-123.129776,250_MonSep7
#09130A,49.271856,-123.135008,250_MonSep7
#0E0906,49.249290,-123.089996,250_MonSep7
#B685A5,49.278652,-123.098618,250_MonSep7
#060706,49.250000,-123.100000,250_MonSep7
#210D13,49.265481,-123.100674,250_MonSep7
#010101,49.288128,-123.114868,250_MonSep7
#0E0808,49.287441,-123.141958,250_MonSep7
#040505,49.249290,-123.089996,250_MonSep7
#060404,49.265481,-123.100674,250_MonSep7
#0E0406,49.286095,-123.126602,250_MonSep7
#020402,49.263087,-123.076296,250_MonSep7
