color,lat,long,date
#040103,49.262896,-123.098184,251_TueSep8
#0B0607,49.282834,-123.120458,251_TueSep8
#010101,49.288071,-123.130814,251_TueSep8
#13120B,49.282834,-123.120458,251_TueSep8
#786657,49.283718,-123.121109,251_TueSep8
#010101,49.273353,-123.103411,251_TueSep8
#040203,49.279551,-123.103416,251_TueSep8
#4C1226,49.250000,-123.100000,251_TueSep8
#080904,49.284599,-123.108887,251_TueSep8
#BA0501,49.272625,-123.135620,251_TueSep8
#010002,49.282834,-123.120458,251_TueSep8
#241D22,49.282834,-123.120458,251_TueSep8
#050608,49.249427,-123.101099,251_TueSep8
#134A21,49.288033,-123.114475,251_TueSep8
#EDEAE9,49.261774,-123.097862,251_TueSep8
#010801,49.267021,-123.113693,251_TueSep8
#010101,49.265980,-123.069321,251_TueSep8
#1C221D,49.263260,-123.139191,251_TueSep8
#F2E4ED,49.282989,-123.124039,251_TueSep8
#030302,49.261774,-123.097862,251_TueSep8
#090509,49.249802,-123.100639,251_TueSep8
#17051C,49.238990,-123.129839,251_TueSep8
#0D0A08,49.280404,-123.121227,251_TueSep8
#030101,49.283642,-123.106773,251_TueSep8
#010101,49.282554,-123.117951,251_TueSep8
#020102,49.290901,-123.134270,251_TueSep8
#050403,49.277620,-123.121980,251_TueSep8
#040101,49.272625,-123.135620,251_TueSep8
#050101,49.282834,-123.120458,251_TueSep8
#EDE9EA,49.285671,-123.125870,251_TueSep8
#030301,49.269400,-123.123800,251_TueSep8
#0B060A,49.285290,-123.122795,251_TueSep8
#0A0A0A,49.250000,-123.100000,251_TueSep8
#020103,49.300000,-123.140000,251_TueSep8
#0B080A,49.300000,-123.140000,251_TueSep8
#1F0613,49.270460,-123.100585,251_TueSep8
#0C0F0B,49.272625,-123.135620,251_TueSep8
#010103,49.299592,-123.133758,251_TueSep8
#080708,49.272451,-123.123960,251_TueSep8
#010101,49.280404,-123.121227,251_TueSep8
#145D2D,49.271580,-123.106979,251_TueSep8
#040102,49.246155,-123.101036,251_TueSep8
#030502,49.279828,-123.121642,251_TueSep8
#826271,49.279635,-123.115846,251_TueSep8
#925D5C,49.250000,-123.100000,251_TueSep8
#8F0D0C,49.272625,-123.135620,251_TueSep8
#020202,49.278386,-123.116439,251_TueSep8
#141317,49.242222,-123.115000,251_TueSep8
#160522,49.244872,-123.108147,251_TueSep8
#010501,49.242100,-123.113800,251_TueSep8
#081811,49.288033,-123.114475,251_TueSep8
#030604,49.272451,-123.123960,251_TueSep8
#020102,49.283508,-123.105095,251_TueSep8
#FDFDFE,49.274700,-123.124657,251_TueSep8
#010101,49.288128,-123.114868,251_TueSep8
#06060C,49.274020,-123.126317,251_TueSep8
#B38FA6,49.218710,-123.102690,251_TueSep8
#FCFBFC,49.283336,-123.109054,251_TueSep8
#010101,49.264408,-123.147116,251_TueSep8
#958A90,49.272625,-123.135620,251_TueSep8
#030603,49.288033,-123.114475,251_TueSep8
#1B080C,49.258939,-123.100895,251_TueSep8
#090505,49.285833,-123.111667,251_TueSep8
#100907,49.293751,-123.149306,251_TueSep8
#1A0207,49.263200,-123.138753,251_TueSep8
#120E03,49.284599,-123.108887,251_TueSep8
#180307,49.275604,-123.121522,251_TueSep8
#565D5C,49.303227,-123.130853,251_TueSep8
#160308,49.287290,-123.129217,251_TueSep8
#0D080D,49.291458,-123.135155,251_TueSep8
#658B76,49.288033,-123.114475,251_TueSep8
#888988,49.250000,-123.100000,251_TueSep8
#010001,49.282834,-123.120458,251_TueSep8
#7D8A82,49.291458,-123.135155,251_TueSep8
#101207,49.271856,-123.135008,251_TueSep8
#251D1F,49.278664,-123.099243,251_TueSep8
#BB5F92,49.258340,-123.138232,251_TueSep8
#000000,49.283112,-123.102730,251_TueSep8
#010001,49.282834,-123.120458,251_TueSep8
#030300,49.274188,-123.123598,251_TueSep8
#080907,49.282834,-123.120458,251_TueSep8
#511F2B,49.282913,-123.106989,251_TueSep8
#060303,49.289967,-123.132828,251_TueSep8
#020101,49.287441,-123.141958,251_TueSep8
#0B0C0E,49.272005,-123.114896,251_TueSep8
#1A0B10,49.300000,-123.140000,251_TueSep8
#0B0A11,49.238990,-123.129839,251_TueSep8
#020101,49.284016,-123.114159,251_TueSep8
#0F1305,49.285079,-123.113636,251_TueSep8
#909B9A,49.271856,-123.135008,251_TueSep8
#020102,49.282834,-123.120458,251_TueSep8
#29141F,49.291458,-123.135155,251_TueSep8
#020101,49.271856,-123.135008,251_TueSep8
#FAF7FB,49.285079,-123.113636,251_TueSep8
#710213,49.268280,-123.146431,251_TueSep8
#0C0E10,49.281944,-123.121944,251_TueSep8
#030303,49.278179,-123.124046,251_TueSep8
#000000,49.250000,-123.100000,251_TueSep8
#190C0C,49.271856,-123.135008,251_TueSep8
#060301,49.284313,-123.095337,251_TueSep8
#010101,49.273353,-123.103411,251_TueSep8
#E7E1E4,49.289711,-123.116074,251_TueSep8
#010101,49.281846,-123.114606,251_TueSep8
#070807,49.260307,-123.096275,251_TueSep8
#030303,49.270865,-123.151236,251_TueSep8
#BC679E,49.277470,-123.089600,251_TueSep8
#C8B9BE,49.288026,-123.113001,251_TueSep8
#0E0807,49.277092,-123.122125,251_TueSep8
#B676A1,49.278160,-123.114601,251_TueSep8
#050102,49.284599,-123.108887,251_TueSep8
#120807,49.300000,-123.140000,251_TueSep8
#13080E,49.278160,-123.114601,251_TueSep8
#050203,49.250000,-123.100000,251_TueSep8
#040404,49.283484,-123.104265,251_TueSep8
#030102,49.282813,-123.132667,251_TueSep8
#040203,49.282834,-123.120458,251_TueSep8
#5EAD7E,49.298909,-123.140010,251_TueSep8
#030102,49.253497,-123.100731,251_TueSep8
#FBF8FA,49.263957,-123.114953,251_TueSep8
#DCB5D4,49.278160,-123.114601,251_TueSep8
#050504,49.282834,-123.120458,251_TueSep8
#1A0D11,49.278304,-123.112944,251_TueSep8
#040404,49.258879,-123.138543,251_TueSep8
#010601,49.279461,-123.122124,251_TueSep8
#010101,49.282124,-123.120682,251_TueSep8
#D06BAD,49.250000,-123.100000,251_TueSep8
#D0D6CF,49.250000,-123.100000,251_TueSep8
#040403,49.280790,-123.120748,251_TueSep8
#080808,49.275009,-123.122002,251_TueSep8
#CEBAB3,49.218710,-123.102690,251_TueSep8
#97818D,49.280404,-123.121227,251_TueSep8
#F3EFF2,49.288395,-123.139831,251_TueSep8
#060203,49.250000,-123.100000,251_TueSep8
#060305,49.281951,-123.115125,251_TueSep8
#030402,49.280010,-123.122459,251_TueSep8
#605154,49.276390,-123.109489,251_TueSep8
#0C150D,49.263200,-123.138753,251_TueSep8
#F5F7F7,49.278151,-123.148765,251_TueSep8
#080707,49.287441,-123.141958,251_TueSep8
#020202,49.250000,-123.100000,251_TueSep8
#020202,49.250000,-123.100000,251_TueSep8
#0E0A09,49.280404,-123.121227,251_TueSep8
#030100,49.288834,-123.118171,251_TueSep8
#19080C,49.270966,-123.155212,251_TueSep8
#18060C,49.283642,-123.106773,251_TueSep8
#0F0B0D,49.294185,-123.133082,251_TueSep8
#060304,49.250000,-123.100000,251_TueSep8
#030202,49.275726,-123.120552,251_TueSep8
#030202,49.250000,-123.100000,251_TueSep8
#020802,49.288384,-123.114520,251_TueSep8
#010101,49.282834,-123.120458,251_TueSep8
#0F0B14,49.250000,-123.100000,251_TueSep8
#130810,49.286675,-123.143220,251_TueSep8
#060A03,49.286675,-123.143220,251_TueSep8
#1E211E,49.285996,-123.115241,251_TueSep8
#83777F,49.273158,-123.119131,251_TueSep8
#78C493,49.300000,-123.140000,251_TueSep8
#070908,49.250000,-123.100000,251_TueSep8
#010201,49.242477,-123.089092,251_TueSep8
#0A1420,49.281224,-123.135785,251_TueSep8
#170C16,49.298958,-123.121335,251_TueSep8
#790211,49.280609,-123.132118,251_TueSep8
#AD164C,49.263706,-123.153290,251_TueSep8
#0C1110,49.272551,-123.133049,251_TueSep8
#1D0912,49.250000,-123.100000,251_TueSep8
#A5A288,49.298909,-123.140010,251_TueSep8
#6F666D,49.270865,-123.151236,251_TueSep8
#67717C,49.274063,-123.154361,251_TueSep8
#4D0201,49.282405,-123.107040,251_TueSep8
#A49FA4,49.287441,-123.141958,251_TueSep8
#EEF3E6,49.279677,-123.119916,251_TueSep8
#B9F0DD,49.250000,-123.100000,251_TueSep8
#0D1310,49.250000,-123.100000,251_TueSep8
#060D09,49.288033,-123.114475,251_TueSep8
#031409,49.288128,-123.114868,251_TueSep8
#0A0D09,49.281762,-123.117718,251_TueSep8
#040202,49.285996,-123.115241,251_TueSep8
