color,lat,long,date
#030202,49.285739,-123.123934,252_WedSep9
#70D9AE,49.275842,-123.128429,252_WedSep9
#8A606E,49.300000,-123.140000,252_WedSep9
#79A888,49.267972,-123.024231,252_WedSep9
#070401,49.279538,-123.100612,252_WedSep9
#CCB4C5,49.250000,-123.100000,252_WedSep9
#805685,49.277041,-123.112426,252_WedSep9
#010101,49.280100,-123.112800,252_WedSep9
#070403,49.272200,-123.134013,252_WedSep9
#018001,49.280100,-123.112800,252_WedSep9
#020202,49.279573,-123.138529,252_WedSep9
#EDF4F5,49.272697,-123.152794,252_WedSep9
#C2A1B8,49.268307,-123.155998,252_WedSep9
#010101,49.272697,-123.152794,252_WedSep9
#A9B8AE,49.279573,-123.138529,252_WedSep9
#9F8894,49.283749,-123.112595,252_WedSep9
#02DC8A,49.300743,-123.130331,252_WedSep9
#020100,49.289711,-123.116074,252_WedSep9
#FCFAFC,49.300000,-123.140000,252_WedSep9
#A58A99,49.274490,-123.127708,252_WedSep9
#AAB2AC,49.218218,-123.213284,252_WedSep9
#CC0C5A,49.250000,-123.100000,252_WedSep9
#5A0C1E,49.270801,-123.133972,252_WedSep9
#010101,49.284679,-123.111893,252_WedSep9
#F1EAEF,49.281455,-123.111310,252_WedSep9
#010201,49.280100,-123.112800,252_WedSep9
#060116,49.250000,-123.100000,252_WedSep9
#BFE9D8,49.271856,-123.135008,252_WedSep9
#0E0A08,49.249038,-123.097309,252_WedSep9
#010101,49.284679,-123.111893,252_WedSep9
#010000,49.290365,-123.133573,252_WedSep9
#020401,49.280100,-123.112800,252_WedSep9
#9F758D,49.250000,-123.100000,252_WedSep9
#050A09,49.281092,-123.107735,252_WedSep9
#FAFBF9,49.250000,-123.100000,252_WedSep9
#EEF7F1,49.250000,-123.100000,252_WedSep9
#1F9748,49.271418,-123.133671,252_WedSep9
#020101,49.284679,-123.111893,252_WedSep9
#071407,49.282158,-123.081897,252_WedSep9
#100B09,49.300743,-123.130331,252_WedSep9
#09120D,49.283108,-123.118874,252_WedSep9
#181113,49.289923,-123.126048,252_WedSep9
#0B0F0C,49.280796,-123.117943,252_WedSep9
#7B7E75,49.289711,-123.116074,252_WedSep9
#7C586B,49.260303,-123.069946,252_WedSep9
