color,lat,long,date
#080702,49.288311,-123.116730,262_SatSep19
#F0C0DB,49.263861,-123.154033,262_SatSep19
#050505,49.242222,-123.115000,262_SatSep19
#B6D0C7,49.282124,-123.120682,262_SatSep19
#080406,49.280201,-123.121857,262_SatSep19
#050405,49.268200,-123.149033,262_SatSep19
#000000,49.264004,-123.145966,262_SatSep19
#0A0A0A,49.263543,-123.115202,262_SatSep19
#F8F9F9,49.285789,-123.123780,262_SatSep19
#040202,49.288311,-123.116730,262_SatSep19
#E3DDE2,49.250000,-123.100000,262_SatSep19
#C5147A,49.283914,-123.117336,262_SatSep19
#030202,49.288311,-123.116730,262_SatSep19
#030903,49.282799,-123.104073,262_SatSep19
#031D01,49.298841,-123.133583,262_SatSep19
#020001,49.281503,-123.101743,262_SatSep19
#010201,49.280659,-123.100861,262_SatSep19
#0A0A0A,49.281503,-123.101743,262_SatSep19
#020102,49.242477,-123.089092,262_SatSep19
#170B0B,49.288311,-123.116730,262_SatSep19
#76666F,49.281678,-123.133362,262_SatSep19
#040303,49.288830,-123.117691,262_SatSep19
#5F675F,49.237186,-123.128189,262_SatSep19
#B9B5BA,49.285739,-123.123934,262_SatSep19
#191D1B,49.278604,-123.125696,262_SatSep19
#040302,49.282989,-123.124039,262_SatSep19
#0E0D06,49.298841,-123.133583,262_SatSep19
#1D0B07,49.281250,-123.116425,262_SatSep19
#040302,49.275173,-123.120865,262_SatSep19
#010201,49.281380,-123.085930,262_SatSep19
#B4A1A9,49.282684,-123.115288,262_SatSep19
#010101,49.292648,-123.128988,262_SatSep19
#1B060B,49.291103,-123.136284,262_SatSep19
#0F0508,49.250000,-123.100000,262_SatSep19
#040302,49.284222,-123.100403,262_SatSep19
#020102,49.281685,-123.132942,262_SatSep19
#000100,49.281929,-123.100098,262_SatSep19
#050607,49.287399,-123.125815,262_SatSep19
#FBF5FA,49.250000,-123.100000,262_SatSep19
#070806,49.250000,-123.100000,262_SatSep19
#0D0608,49.234162,-123.153609,262_SatSep19
#090909,49.281503,-123.101743,262_SatSep19
#030201,49.280339,-123.124896,262_SatSep19
#AC80A2,49.283204,-123.104778,262_SatSep19
