color,lat,long,date
#110C0B,49.250000,-123.100000,270_SunSep27
#050202,49.248142,-123.100906,270_SunSep27
#0A0306,49.250000,-123.100000,270_SunSep27
#D9D9D9,49.250000,-123.100000,270_SunSep27
#000000,49.250000,-123.100000,270_SunSep27
#050306,49.281368,-123.133431,270_SunSep27
#1F1E1C,49.283508,-123.105095,270_SunSep27
#040202,49.265209,-123.100388,270_SunSep27
#14050A,49.250000,-123.100000,270_SunSep27
#F9F6F8,49.279455,-123.107809,270_SunSep27
#0C080C,49.276809,-123.112154,270_SunSep27
#100615,49.271856,-123.135008,270_SunSep27
#010101,49.275593,-123.122135,270_SunSep27
#120A0D,49.265060,-123.112137,270_SunSep27
#1A0B0B,49.283508,-123.105095,270_SunSep27
#141905,49.283691,-123.106049,270_SunSep27
#0F0D0A,49.271732,-123.095047,270_SunSep27
#070402,49.267700,-123.101242,270_SunSep27
#010401,49.281271,-123.098454,270_SunSep27
#E9B0D6,49.287682,-123.115173,270_SunSep27
#050102,49.285856,-123.127205,270_SunSep27
#060307,49.250000,-123.100000,270_SunSep27
#040102,49.250000,-123.100000,270_SunSep27
#010101,49.270496,-123.109596,270_SunSep27
#020601,49.265644,-123.100494,270_SunSep27
#0F0C0D,49.277988,-123.110321,270_SunSep27
#090909,49.276809,-123.112154,270_SunSep27
#A2667C,49.280757,-123.080138,270_SunSep27
#040404,49.283840,-123.109564,270_SunSep27
#050102,49.276897,-123.130180,270_SunSep27
#020102,49.282652,-123.118607,270_SunSep27
#5B5D5F,49.250000,-123.100000,270_SunSep27
#120508,49.275814,-123.122162,270_SunSep27
#020101,49.281271,-123.098454,270_SunSep27
#261618,49.250000,-123.100000,270_SunSep27
#010101,49.285063,-123.120397,270_SunSep27
#020603,49.284042,-123.107463,270_SunSep27
#081109,49.289923,-123.126048,270_SunSep27
#021806,49.281271,-123.098454,270_SunSep27
#150D12,49.279519,-123.115608,270_SunSep27
#0F1011,49.250000,-123.100000,270_SunSep27
#180E11,49.279573,-123.138529,270_SunSep27
#030203,49.282801,-123.124067,270_SunSep27
#EFEEEE,49.250000,-123.100000,270_SunSep27
#090102,49.277157,-123.125916,270_SunSep27
#050505,49.289923,-123.126048,270_SunSep27
#0A0907,49.250000,-123.100000,270_SunSep27
#1A0A0E,49.277992,-123.109113,270_SunSep27
#1D1316,49.280281,-123.101974,270_SunSep27
#6BDAB8,49.277157,-123.125916,270_SunSep27
#260548,49.250000,-123.100000,270_SunSep27
#030101,49.267700,-123.101242,270_SunSep27
#11090C,49.276809,-123.112154,270_SunSep27
#181818,49.289923,-123.126048,270_SunSep27
#051408,49.250000,-123.100000,270_SunSep27
#040203,49.276979,-123.126573,270_SunSep27
#0F0805,49.284538,-123.109901,270_SunSep27
#0D0606,49.250000,-123.100000,270_SunSep27
#F3FAF7,49.250000,-123.100000,270_SunSep27
#171717,49.289923,-123.126048,270_SunSep27
#08120F,49.285079,-123.113636,270_SunSep27
#130B0D,49.283642,-123.106773,270_SunSep27
#1A030A,49.302448,-123.144623,270_SunSep27
#A7A8A8,49.274063,-123.154361,270_SunSep27
#070909,49.300000,-123.140000,270_SunSep27
#050202,49.285192,-123.111250,270_SunSep27
#684D5B,49.273055,-123.155155,270_SunSep27
#050101,49.280491,-123.120567,270_SunSep27
#0C0909,49.284572,-123.124657,270_SunSep27
#020101,49.280491,-123.120567,270_SunSep27
#050403,49.276809,-123.112154,270_SunSep27
#1B0804,49.280281,-123.101974,270_SunSep27
#86667A,49.282244,-123.121151,270_SunSep27
#7D031D,49.263382,-123.116341,270_SunSep27
#040302,49.280100,-123.112800,270_SunSep27
#CA1263,49.226822,-123.128702,270_SunSep27
#020101,49.280491,-123.120567,270_SunSep27
#090505,49.280628,-123.131287,270_SunSep27
#040404,49.250000,-123.100000,270_SunSep27
#030303,49.241141,-123.137562,270_SunSep27
#020402,49.250000,-123.100000,270_SunSep27
#150102,49.280590,-123.120940,270_SunSep27
#050504,49.250000,-123.100000,270_SunSep27
#010201,49.271856,-123.135008,270_SunSep27
#010000,49.279610,-123.113098,270_SunSep27
#031F03,49.276894,-123.119896,270_SunSep27
#050505,49.278038,-123.109234,270_SunSep27
#131D09,49.270863,-123.136085,270_SunSep27
#F6F5F5,49.293751,-123.149306,270_SunSep27
#050301,49.283484,-123.104265,270_SunSep27
#1A0609,49.250000,-123.100000,270_SunSep27
#020203,49.300000,-123.140000,270_SunSep27
#0D060A,49.250000,-123.100000,270_SunSep27
#050402,49.278038,-123.109234,270_SunSep27
#1B221F,49.270401,-123.143789,270_SunSep27
#190E0C,49.280281,-123.101974,270_SunSep27
#030302,49.281944,-123.121944,270_SunSep27
#855680,49.276809,-123.112154,270_SunSep27
#616359,49.250000,-123.100000,270_SunSep27
#030101,49.281582,-123.132782,270_SunSep27
#0A090B,49.260307,-123.096275,270_SunSep27
#A698A2,49.270556,-123.133333,270_SunSep27
#1D993B,49.293667,-123.129701,270_SunSep27
#090F13,49.250000,-123.100000,270_SunSep27
#030102,49.272625,-123.135620,270_SunSep27
#020101,49.242222,-123.115000,270_SunSep27
#78626F,49.288668,-123.115109,270_SunSep27
#080405,49.287290,-123.129217,270_SunSep27
#020102,49.271856,-123.135008,270_SunSep27
#161311,49.276809,-123.112154,270_SunSep27
#AC8098,49.226822,-123.128702,270_SunSep27
#CE6FA1,49.273812,-123.126635,270_SunSep27
#061606,49.282356,-123.104515,270_SunSep27
#02591C,49.250000,-123.100000,270_SunSep27
#041109,49.289711,-123.116074,270_SunSep27
#060302,49.280404,-123.121227,270_SunSep27
#09130B,49.271547,-123.139439,270_SunSep27
#19090D,49.226822,-123.128702,270_SunSep27
#040102,49.270237,-123.134750,270_SunSep27
#020403,49.273353,-123.103411,270_SunSep27
#020102,49.298958,-123.121335,270_SunSep27
#F5F3F3,49.250000,-123.100000,270_SunSep27
#4C1029,49.280281,-123.101974,270_SunSep27
#030703,49.280100,-123.112800,270_SunSep27
#050102,49.270237,-123.134750,270_SunSep27
#EBEBEB,49.270556,-123.133333,270_SunSep27
#0F0B0B,49.276705,-123.112065,270_SunSep27
#030304,49.233742,-123.099667,270_SunSep27
#060706,49.285961,-123.124161,270_SunSep27
#CC1E7E,49.226822,-123.128702,270_SunSep27
#1C070C,49.285739,-123.123934,270_SunSep27
#CCBEC8,49.281750,-123.085503,270_SunSep27
#0E0C0A,49.276809,-123.112154,270_SunSep27
#000100,49.260300,-123.096588,270_SunSep27
#1F060E,49.269420,-123.130701,270_SunSep27
#050404,49.283691,-123.106049,270_SunSep27
#100504,49.280804,-123.116337,270_SunSep27
#F0DEE2,49.250000,-123.100000,270_SunSep27
#828D76,49.250000,-123.100000,270_SunSep27
#F3EFF0,49.283254,-123.106564,270_SunSep27
#08070B,49.298958,-123.121335,270_SunSep27
#010001,49.281185,-123.104233,270_SunSep27
#204337,49.277644,-123.127207,270_SunSep27
