color,lat,long,date
#020302,49.263942,-123.105888,275_FriOct2
#957487,49.281044,-123.079275,275_FriOct2
#393D38,49.288033,-123.114475,275_FriOct2
#CDBAC3,49.279989,-123.103934,275_FriOct2
#050504,49.281593,-123.116981,275_FriOct2
#110D0D,49.294900,-123.150161,275_FriOct2
#051A0E,49.282834,-123.120458,275_FriOct2
#F9F7F8,49.259999,-123.115006,275_FriOct2
#131715,49.280910,-123.119471,275_FriOct2
#050B05,49.290484,-123.117764,275_FriOct2
#060705,49.270763,-123.136146,275_FriOct2
#A68AA0,49.246710,-123.100830,275_FriOct2
#DEEBE1,49.250000,-123.100000,275_FriOct2
#637165,49.260390,-123.113360,275_FriOct2
#5B5353,49.279989,-123.103934,275_FriOct2
#131112,49.279519,-123.115608,275_FriOct2
#080507,49.280067,-123.103790,275_FriOct2
#A9C9BE,49.271856,-123.135008,275_FriOct2
#990405,49.238913,-123.133495,275_FriOct2
#84A499,49.288128,-123.114868,275_FriOct2
#13080A,49.218299,-123.068157,275_FriOct2
#74B18F,49.280910,-123.119471,275_FriOct2
#C1E6D1,49.300000,-123.140000,275_FriOct2
#5B0A1B,49.250000,-123.100000,275_FriOct2
#CBDDDE,49.218710,-123.102690,275_FriOct2
#150503,49.282989,-123.106803,275_FriOct2
#020202,49.250000,-123.100000,275_FriOct2
#F8F4F3,49.279947,-123.116552,275_FriOct2
#02BC03,49.265213,-123.069923,275_FriOct2
#020101,49.289661,-123.133240,275_FriOct2
#C59AA2,49.266529,-123.139580,275_FriOct2
#0A0A0A,49.265213,-123.069923,275_FriOct2
#180B11,49.276764,-123.115486,275_FriOct2
#D5DAD1,49.285739,-123.123934,275_FriOct2
#030203,49.280404,-123.121227,275_FriOct2
#0B0201,49.250000,-123.100000,275_FriOct2
#090706,49.282791,-123.104782,275_FriOct2
#011704,49.279551,-123.103416,275_FriOct2
#0D1003,49.285079,-123.113636,275_FriOct2
#050403,49.283108,-123.118874,275_FriOct2
#020202,49.230943,-123.085525,275_FriOct2
#040401,49.250000,-123.100000,275_FriOct2
#73997B,49.291566,-123.135276,275_FriOct2
#000000,49.284538,-123.109901,275_FriOct2
#BFA6AB,49.280294,-123.125283,275_FriOct2
#1C1B1B,49.300000,-123.140000,275_FriOct2
#011302,49.284161,-123.112701,275_FriOct2
#040305,49.300000,-123.140000,275_FriOct2
#0B0408,49.281171,-123.122823,275_FriOct2
#0D0908,49.280067,-123.103790,275_FriOct2
#081405,49.250000,-123.100000,275_FriOct2
#671B23,49.266529,-123.139580,275_FriOct2
#430A1E,49.288921,-123.131226,275_FriOct2
#020201,49.280067,-123.103790,275_FriOct2
#010101,49.284599,-123.108887,275_FriOct2
#F2EFF1,49.287431,-123.112809,275_FriOct2
#0E070A,49.284019,-123.112503,275_FriOct2
#030801,49.276524,-123.100084,275_FriOct2
#040404,49.279459,-123.123020,275_FriOct2
#000400,49.284042,-123.107463,275_FriOct2
#010101,49.280404,-123.121227,275_FriOct2
#020101,49.250000,-123.100000,275_FriOct2
#D4BCC4,49.264511,-123.100304,275_FriOct2
#7F918B,49.250000,-123.100000,275_FriOct2
#C2C9C6,49.218710,-123.102690,275_FriOct2
#030001,49.272636,-123.149818,275_FriOct2
#CACACA,49.281251,-123.086168,275_FriOct2
#836775,49.282688,-123.104805,275_FriOct2
#640816,49.293751,-123.149306,275_FriOct2
#56C382,49.284067,-123.110492,275_FriOct2
#0C1610,49.285856,-123.127205,275_FriOct2
#1E090C,49.280491,-123.120567,275_FriOct2
#BDE1D8,49.250000,-123.100000,275_FriOct2
#010101,49.284599,-123.108887,275_FriOct2
#070907,49.284067,-123.110492,275_FriOct2
#193F2F,49.268103,-123.127083,275_FriOct2
#040805,49.284067,-123.110492,275_FriOct2
#899D93,49.280289,-123.106751,275_FriOct2
#020102,49.282801,-123.124067,275_FriOct2
#030101,49.282688,-123.104805,275_FriOct2
